Fce,AttC,meankl,EpisodesSoFar,MtR,TimeElapsed,TimestepsSoFar,TtR,entloss,entropy,AttNC,optimgain,surrgain
0.1661931987061806,7.414634146341464,0.007901206,41,23.49212869914413,96.9484372138977,9826,404.1463414634146,0.0,1.4191762,2.5853658536585367,0.0005073285,0.0005073285
0.2274785442456495,6.607843137254902,0.0007408723,92,29.839247642219565,200.67965006828308,19972,501.7647058823529,0.0,1.4153388,3.392156862745098,0.0013987491,0.0013987491
0.20926323990361514,6.895833333333333,0.0016694098,140,27.67296920299024,297.3329756259918,29754,476.25,0.0,1.4166915,3.1041666666666665,0.0011284442,0.0011284442
0.20240523997762822,6.98,0.003734085,190,27.36271540601821,393.8549556732178,39987,468.2,0.0,1.4051478,3.02,0.0005580463,0.0005580463
0.22942221545308134,6.551020408163265,0.0021268972,239,29.747469458479483,490.26064896583557,49862,504.2857142857143,0.0,1.399769,3.4489795918367347,0.0011722847,0.0011722847
0.22549279034569147,6.723404255319149,0.0015184841,286,30.280400920822732,583.3428590297699,59919,520.6382978723404,0.0,1.3803821,3.276595744680851,0.0005857181,0.0005857181
0.25093549985252667,6.769230769230769,0.0062601515,338,31.19766953610938,681.2833046913147,69887,523.0769230769231,0.0,1.3635889,3.230769230769231,0.00049475906,0.00049475906
0.20086206129429235,5.7727272727272725,0.0023001197,382,28.101116180188253,778.1190745830536,79802,475.90909090909093,0.0,1.390614,4.2272727272727275,0.0019842626,0.0019842626
0.17572093023255814,6.627906976744186,0.008478986,425,25.640887132837502,878.720253944397,89815,439.30232558139534,0.0,1.4021456,3.372093023255814,0.0026021595,0.0026021595
0.1747,6.525,0.010204914,465,24.936478738149496,979.2659134864807,99815,436.75,0.0,1.4063188,3.475,0.0025362542,0.0025362542
0.14769999999999997,5.775,0.008692887,505,21.032967245752438,1085.844115972519,109815,369.25,0.0,1.4062359,4.225,0.0027299805,0.0027299805
0.13040000000000002,5.675,0.0026842796,545,18.60951920300734,1181.2681760787964,119815,326.0,0.0,1.3963737,4.325,0.002587,0.002587
0.11000000000000003,5.425,0.0014585691,585,15.511322518913811,1284.2650566101074,129815,275.0,0.0,1.3843426,4.575,0.0013970135,0.0013970135
0.09810000000000005,4.95,0.0028923987,625,14.083322552000078,1389.631388425827,139815,245.25,0.0,1.356204,5.05,0.0007283098,0.0007283098
0.08920000000000006,4.35,0.0007532247,665,12.862312749945218,1488.1541321277618,149815,223.0,0.0,1.333497,5.65,0.0002662706,0.0002662706
0.08120000000000005,4.35,0.004342485,705,11.56866275601715,1596.059959411621,159815,203.0,0.0,1.355787,5.65,9.898659e-05,9.898659e-05
0.08680000000000006,4.65,0.0019756195,745,12.312747545225479,1696.91379570961,169815,217.0,0.0,1.3689716,5.35,6.8093264e-05,6.8093264e-05
0.08530000000000006,4.0,0.005588957,785,12.419367010169534,1801.0213985443115,179815,213.25,0.0,1.4301305,6.0,0.00022684876,0.00022684876
0.08760000000000004,4.5,0.0031653394,825,12.261399668597333,1907.6080448627472,189815,219.0,0.0,1.4812013,5.5,0.000120190125,0.000120190125
0.09310000000000004,4.05,0.0034777538,865,13.226285097633792,2010.6982069015503,199815,232.75,0.0,1.5340997,5.95,7.793335e-05,7.793335e-05
0.09630000000000004,4.425,0.00780766,905,13.740187099600552,2115.073205947876,209815,240.75,0.0,1.5986447,5.575,0.0003284204,0.0003284204
0.10380000000000007,4.675,0.0051855473,945,14.648174238760301,2220.30401802063,219815,259.5,0.0,1.6596705,5.325,0.00024559142,0.00024559142
0.10550000000000007,4.825,0.0056560286,985,15.079251005643021,2317.7355573177338,229815,263.75,0.0,1.7319797,5.175,0.00015413109,0.00015413109
0.1153,5.2,0.003125932,1025,16.321713428578512,2424.5243031978607,239815,288.25,0.0,1.780928,4.8,0.00014454285,0.00014454285
0.10926829268292684,5.195121951219512,0.0060082152,1066,15.529947909290998,2524.3097281455994,249824,273.1707317073171,0.0,1.8212554,4.804878048780488,0.0002554207,0.0002554207
