meankl,EpisodesSoFar,TtR,optimgain,MpbtN,MtR,Tmc,Tbt,AttC,TimeElapsed,Tmt,entloss,surrgain,Ptt,entropy,AttNC,TimestepsSoFar,MpbtA
0.0075852666,13578,-137.53846153846155,0.0008592401,24.700893222590476,-9.567947904775409,49.36923076923077,228682.83076923076,4.661538461538462,32812.681785583496,55.83076923076923,0.0,0.0008592401,54.46228263809556,0.15658826,5.338461538461538,1889951,75.29910677740949
0.009233185,13645,-127.61194029850746,0.0013869952,22.888887476942415,-9.427463529448772,49.38805970149254,228703.5223880597,2.3582089552238807,32974.61764383316,55.83582089552239,0.0,0.0013869952,54.45498940928882,0.18337445,7.641791044776119,1899896,77.11111252305759
0.008826052,13711,-127.72727272727273,0.0010147977,22.986387057945272,-9.191333961251399,49.833333333333336,226831.51515151514,3.287878787878788,33133.910717725754,55.378787878787875,0.0,0.0010147977,54.02841207070231,0.16228239,6.712121212121212,1909953,77.0136129420547
0.008883445,13775,-150.3125,0.0017408496,26.33901936119008,-10.445791424221074,48.03125,233728.0,3.390625,33288.80409479141,57.0625,0.0,0.0017408496,55.67708717609832,0.15118638,6.609375,1919858,73.66098063880992
0.0026736006,13842,-140.0,0.00066206563,25.509206834098354,-10.245303758094371,50.52238805970149,224729.79104477612,1.4328358208955223,33457.79513192177,54.865671641791046,0.0,0.00066206563,53.45866943990704,0.19788027,8.567164179104477,1929964,74.49079316590162
0.010266847,13907,-133.07692307692307,0.001269773,24.02881104598007,-9.531030390353768,49.89230769230769,226918.4,3.4,33620.972205638885,55.4,0.0,0.001269773,54.009728805326866,0.18569238,6.6,1939886,75.97118895401992
0.008812655,13973,-117.57575757575758,0.0013596558,21.47680789997643,-8.560707594161718,50.72727272727273,223666.42424242425,3.5,33783.765815496445,54.60606060606061,0.0,0.0013596558,53.23975904152491,0.19462277,6.5,1949854,78.52319210002358
0.00867098,14037,-145.9375,0.0012429621,25.44694146157436,-10.046940644671626,48.015625,234048.0,5.203125,33936.79902982712,57.140625,0.0,0.0012429621,55.721273573669095,0.1549354,4.796875,1959901,74.55305853842563
0.010090403,14103,-130.9090909090909,0.0010356205,23.543426553881318,-9.452622867191247,49.5,228072.72727272726,3.787878787878788,34096.53566098213,55.68181818181818,0.0,0.0010356205,54.327865203774245,0.19798458,6.212121212121212,1969936,76.45657344611868
0.00854436,14165,-168.5483870967742,0.001483374,28.634718160999384,-11.26267620727507,46.564516129032256,239483.87096774194,6.82258064516129,34247.70235967636,58.46774193548387,0.0,0.001483374,57.03281296175211,0.13685672,3.1774193548387095,1979954,71.3652818390006
0.009008401,14232,-132.23880597014926,0.0010631299,24.244345569271257,-9.651200755017571,50.492537313432834,224424.1194029851,3.2238805970149254,34409.861998558044,54.791044776119406,0.0,0.0010631299,53.43877374259235,0.17727232,6.776119402985074,1989978,75.75565443072877
0.00945035,14296,-140.9375,0.0009358142,25.052992395465683,-9.98832240255424,49.0625,229952.0,2.984375,34569.81402540207,56.140625,0.0,0.0009358142,54.75298116069508,0.17405018,7.015625,1999881,74.94700760453432
0.010231776,14362,-128.33333333333334,0.0014302336,23.528540935857848,-9.467075478490672,50.57575757575758,223852.60606060605,2.0757575757575757,34736.104528188705,54.65151515151515,0.0,0.0014302336,53.3334795834066,0.21732964,7.924242424242424,2009877,76.47145906414215
0.008198129,14428,-141.66666666666666,0.0010755649,25.031311777772235,-10.009378995997011,48.43939393939394,232292.84848484848,4.46969696969697,34892.81731939316,56.71212121212121,0.0,0.0010755649,55.31903350333451,0.16561988,5.53030303030303,2019944,74.96868822222777
0.008512397,14493,-138.92307692307693,0.0012594768,24.376899132391944,-9.778913914837695,48.292307692307695,232778.83076923076,3.4307692307692306,35049.99967002869,56.83076923076923,0.0,0.0012594768,55.44390397605981,0.16059193,6.569230769230769,2029990,75.6231008676081
0.010596303,14557,-147.34375,0.0017160595,25.423379301770883,-10.610384438366452,47.25,237120.0,1.9375,35212.25449371338,57.890625,0.0,0.0017160595,56.43629699554181,0.20500745,8.0625,2039958,74.5766206982291
0.0082807215,14622,-137.69230769230768,0.00088684214,24.09652157716986,-9.913275690260866,47.96923076923077,234165.16923076924,2.8153846153846156,35372.01718711853,57.16923076923077,0.0,0.00088684214,55.75741161291775,0.2044731,7.184615384615385,2049981,75.90347842283015
0.007977893,14682,-165.16666666666666,0.0012848551,27.689375159981072,-11.096585408786732,45.266666666666666,244940.8,5.516666666666667,35522.65390062332,59.8,0.0,0.0012848551,58.27228766909692,0.15247011,4.483333333333333,2059849,72.31062484001895
0.0103156455,14747,-151.07692307692307,0.0025388657,26.517378538724454,-10.914316124271616,48.43076923076923,232337.72307692308,3.3384615384615386,35681.475445985794,56.723076923076924,0.0,0.0025388657,55.32760261789437,0.19094124,6.661538461538462,2069912,73.48262146127556
0.008889167,14812,-145.23076923076923,0.001743665,25.441695291634222,-10.317584195426846,47.98461538461538,234291.2,3.876923076923077,35838.41682982445,57.2,0.0,0.001743665,55.762596939140586,0.19698203,6.123076923076923,2079852,74.55830470836578
0.00941164,14875,-156.5079365079365,0.0015302325,27.068002435819608,-10.664602094327268,47.25396825396825,236722.79365079364,5.7936507936507935,35995.23826909065,57.79365079365079,0.0,0.0015302325,56.39036454389696,0.17259279,4.2063492063492065,2089901,72.93199756418038
0.00869889,14938,-165.0793650793651,0.001978181,27.41611070089645,-11.19960119003567,45.142857142857146,245434.92063492062,5.079365079365079,36147.3381459713,59.92063492063492,0.0,0.001978181,58.38954262917622,0.15320389,4.920634920634921,2099982,72.58388929910356
0.009467265,15003,-139.07692307692307,0.0009988812,25.04703452839816,-10.077304649343137,49.753846153846155,227296.4923076923,3.0153846153846153,36307.86445426941,55.49230769230769,0.0,0.0009988812,54.120386511293695,0.18735023,6.984615384615385,2109977,74.95296547160184
0.010888037,15067,-145.46875,0.0017089774,25.594102613738094,-10.428615284384517,48.28125,233024.0,2.71875,36469.209192276,56.890625,0.0,0.0017089774,55.47853648859197,0.22288921,7.28125,2119857,74.40589738626188
0.008205284,15128,-181.9672131147541,0.00091272214,29.884068847496422,-11.938819753071147,44.63934426229508,247371.54098360657,6.868852459016393,36615.82033896446,60.39344262295082,0.0,0.00091272214,58.84983297331086,0.1312465,3.1311475409836067,2129929,70.11593115250356
