TimestepsSoFar,AttC,AttNC,TtR,MpbtA,MpbtN,Tbt,Ptt,entloss,Tmt,EpisodesSoFar,entropy,optimgain,Tmc,meankl,surrgain,TimeElapsed,MtR
9995,1.0,0.0,-80.06666666666666,4.870823386043409,95.12917661395629,344783.903030303,81.85364599126294,0.0,84.17575757575757,825,0.6846531,0.020583427,19.684848484848484,0.0085611055,0.020583427,2063.6939013004303,-75.7891539738066
19990,1.0,0.0,-80.27448275862069,4.740186143826209,95.25981385617358,345188.28137931036,81.94016152390529,0.0,84.27448275862069,1550,0.6593024,0.011283468,19.593103448275862,0.00869136,0.011283468,3878.3687915802,-75.39177861880806
29998,1.0,0.0,-80.5086887835703,4.583273931681862,95.41672606831786,345610.5150078989,82.04106143132486,0.0,84.37756714060032,2183,0.6154964,0.018912535,19.48341232227488,0.009576429,0.018912535,5458.980118751526,-74.8937360451591
39988,1.0,0.0,-80.45871559633028,4.476640718601361,95.52335928139848,345025.9963302752,81.89892788189992,0.0,84.2348623853211,2728,0.55543524,0.02134392,19.63853211009174,0.009769078,0.02134392,6840.296604394913,-73.9821713826018
49978,1.0,0.0,-80.60253164556963,4.410811997403326,95.58918800259666,345401.6810126582,82.00801925757318,0.0,84.32658227848101,3123,0.47963643,0.022828072,19.51645569620253,0.009871724,0.022828072,7836.693068742752,-71.90538613630932
59988,1.0,0.0,-78.87083333333334,5.577743476341369,94.4222565236586,342169.6,81.22371476071268,0.0,83.5375,3363,0.39632595,0.017189333,20.370833333333334,0.008742791,0.017189333,8482.923959732056,-66.64486542987306
69947,1.0,0.0,-78.57926829268293,6.670571112167337,93.32942888783272,344813.26829268294,81.82843666890372,0.0,84.1829268292683,3527,0.31430292,0.021894967,19.71951219512195,0.008952502,0.021894967,8925.973043441772,-62.32285318130766
79886,0.9655172413793104,0.034482758620689655,-75.40229885057471,9.689702280183168,90.31029771981683,341945.3793103448,81.16546489582304,0.0,83.48275862068965,3614,0.25571552,0.016256075,20.436781609195403,0.008660388,0.016256075,9172.681168079376,-51.40296395694409
89980,0.8947368421052632,0.10526315789473684,-73.7719298245614,12.051987168285743,87.94801283171424,343489.1228070175,81.49524447893181,0.0,83.85964912280701,3671,0.21900721,0.008856611,20.087719298245613,0.008272769,0.008856611,9347.710507154465,-44.58624695771786
99894,0.4878048780487805,0.5121951219512195,-71.82926829268293,13.519469096319847,86.48053090368012,340167.8048780488,80.75683487133986,0.0,83.04878048780488,3712,0.20016009,0.0030942978,20.878048780487806,0.0037295017,0.0030942978,9481.984120368958,-40.275557867001176
109791,0.1388888888888889,0.8611111111111112,-72.75,12.34361670174088,87.65638329825909,339968.0,80.71886964993683,0.0,83.0,3748,0.20668156,0.0018961242,20.916666666666668,0.001421295,0.0018961242,9610.312013149261,-39.67538319958896
119956,0.23076923076923078,0.7692307692307693,-74.17948717948718,11.315014279872862,88.68498572012713,342488.6153846154,81.30538845523049,0.0,83.61538461538461,3787,0.17054583,0.0038226333,20.28205128205128,0.0036994994,0.0038226333,9737.313835859299,-41.481722303747
129974,0.05555555555555555,0.9444444444444444,-75.72222222222223,9.310041852011198,90.6899581479888,341902.22222222225,81.15942810576918,0.0,83.47222222222223,3823,0.25900146,0.007155972,20.444444444444443,0.00678929,0.007155972,9864.98787355423,-41.006275369241756
139742,0.40540540540540543,0.5945945945945946,-71.24324324324324,14.0280280428551,85.9719719571449,339303.7837837838,80.50423095411283,0.0,82.83783783783784,3860,0.245427,0.0044137575,21.16216216216216,0.0021785747,0.0044137575,9995.36427974701,-39.47065415976009
149768,0.475,0.525,-72.025,13.586366703364154,86.41363329663588,341401.6,81.03881987156242,0.0,83.35,3900,0.19342881,0.0044658487,20.575,0.0045658643,0.0044658487,10124.821220636368,-39.96387887839885
159738,0.2972972972972973,0.7027027027027027,-72.54054054054055,12.105310277132526,87.89468972286747,337864.64864864864,80.21918408595295,0.0,82.48648648648648,3937,0.26220265,0.0048087034,21.45945945945946,0.004816249,0.0048087034,10257.526807785034,-40.93219881593018
169971,0.55,0.45,-71.3,13.323755608783776,86.67624439121624,336793.6,79.972591494517,0.0,82.225,3977,0.23450649,0.0044152266,21.725,0.00410179,0.0044152266,10389.446366071701,-39.56754297816307
179985,0.6,0.4,-71.7,14.05852741811501,85.941472581885,341606.4,81.06689824647216,0.0,83.4,4017,0.2252042,0.003126776,20.55,0.003330247,0.003126776,10524.799715042114,-40.73006139083212
189862,0.39473684210526316,0.6052631578947368,-71.47368421052632,13.793755382813746,86.20624461718624,339536.84210526315,80.57725029672197,0.0,82.89473684210526,4055,0.23818843,0.004213536,21.07894736842105,0.0024280369,0.004213536,10653.930770874023,-40.16910126173961
199854,0.39473684210526316,0.6052631578947368,-71.86842105263158,13.88006862795758,86.11993137204242,341800.4210526316,81.17410758168097,0.0,83.44736842105263,4093,0.19198813,0.0019800568,20.42105263157895,0.003757898,0.0019800568,10779.713438034058,-40.07558033824055
209770,0.25,0.75,-72.88888888888889,12.058052204063422,87.9419477959366,339399.1111111111,80.59209678967838,0.0,82.86111111111111,4129,0.2492769,0.0037546204,21.055555555555557,0.0035694507,0.0037546204,10905.788908958435,-40.24608829517106
219890,0.40540540540540543,0.5945945945945946,-70.67567567567568,14.581920466056506,85.4180795339435,338860.97297297296,80.4251269120492,0.0,82.72972972972973,4166,0.219675,0.002458821,21.243243243243242,0.0016604859,0.002458821,11032.373313188553,-39.18962677683353
229927,0.47368421052631576,0.5263157894736842,-71.42105263157895,13.075480942792398,86.92451905720758,336518.7368421053,79.8917735526881,0.0,82.15789473684211,4204,0.255682,0.002762504,21.81578947368421,0.0021607755,0.002762504,11161.619467496872,-39.66040081234679
239890,0.38461538461538464,0.6153846153846154,-70.84615384615384,14.222274214510788,85.77772578548921,338287.58974358975,80.31463808254385,0.0,82.58974358974359,4243,0.19492552,0.004519374,21.358974358974358,0.0058270036,0.004519374,11291.999728918076,-39.25738794516406
