EpisodesSoFar,AttNC,meankl,Ptt,TimestepsSoFar,entloss,Tmc,entropy,surrgain,MpbtN,MtR,optimgain,TimeElapsed,MpbtA,TtR,Tbt,Tmt,AttC
572,0.0,0.0081658885,72.61522320702547,9992,0.0,29.632867132867133,0.68530023,0.0031366397,97.50903853126425,-66.83767961400547,0.0031366397,1366.160561800003,2.4909614687356743,-725.5419580419581,304808.27972027974,74.41608391608392,10.0
1062,0.0,0.009457553,72.00093334225275,19992,0.0,30.304081632653062,0.6613078,0.0031998653,96.57365409350274,-64.69729973624445,0.0031998653,2495.3831963539124,3.4263459064972657,-712.530612244898,302243.00408163265,73.78979591836735,10.0
1479,0.0,0.008520139,70.43293647616164,29989,0.0,32.00959232613909,0.6226103,0.0047158413,95.37413138249305,-61.41680366835966,0.0047158413,3455.1799664497375,4.625868617506822,-688.3453237410072,295658.51318944845,72.18225419664269,10.0
1817,0.0,0.009072133,69.77464377966841,39997,0.0,32.73372781065089,0.57198757,0.00504723,92.85644234966202,-57.67043157067359,0.00504723,4214.045067548752,7.143557650337972,-663.9940828402367,292960.94674556213,71.52366863905326,10.0
2067,0.0,0.007632473,69.41989031667254,49987,0.0,33.12,0.5281241,0.004614848,87.64762031155125,-51.60556718826936,0.004614848,4757.342951059341,12.352379688448636,-623.44,291471.36,71.16,10.0
2240,0.0,0.0061622052,68.79406634898046,59960,0.0,33.83236994219653,0.49028406,0.0043381634,78.73825594104031,-42.56452311869604,0.0043381634,5125.977744579315,21.26174405895971,-555.7225433526012,289087.6300578035,70.57803468208093,10.0
2350,0.0,0.005490539,66.89147865201599,69995,0.0,35.91818181818182,0.46787453,0.0038594364,65.71403179194614,-30.880459512292056,0.0038594364,5383.033345460892,34.285968208053816,-451.72727272727275,281209.0181818182,68.65454545454546,10.0
2424,0.40540540540540543,0.0062190806,62.90572336983132,79986,0.0,40.28378378378378,0.39730746,0.00377003,44.71047687311111,-18.867230774755086,0.00377003,5547.90602183342,55.289523126888874,-292.02702702702703,264745.5135135135,64.63513513513513,9.594594594594595
2484,3.183333333333333,0.0027553632,61.91096989620688,89828,0.0,41.36666666666667,0.3609275,0.0034811655,35.034331840705164,-15.409176915761861,0.0034811655,5732.621262073517,64.96566815929484,-223.5,260573.86666666667,63.61666666666667,6.816666666666666
2545,3.6721311475409837,0.00334976,61.18843744915082,99901,0.0,42.131147540983605,0.36780304,0.0033984443,29.741114407442403,-13.21423464318138,0.0033984443,5881.4654796123505,70.25888559255756,-187.37704918032787,257376.52459016393,62.83606557377049,6.327868852459017
2606,2.8852459016393444,0.0028307224,60.33212750383077,109955,0.0,43.0655737704918,0.38121033,0.0028706365,31.6866238197004,-13.277663543926177,0.0028706365,6071.244466304779,68.31337618029958,-196.2295081967213,253817.70491803277,61.967213114754095,7.114754098360656
2669,1.3968253968253967,0.002919273,61.40979975859825,119818,0.0,41.904761904761905,0.39555946,0.002942116,36.012329653543986,-15.065740344446116,0.002942116,6224.575324058533,63.987670346456,-228.57142857142858,258438.09523809524,63.095238095238095,8.603174603174603
2729,2.4166666666666665,0.0033562088,60.493930541439134,129900,0.0,42.88333333333333,0.3896277,0.0029969045,33.01191088214897,-13.78041688043634,0.0029969045,6397.582210302353,66.98808911785103,-206.5,254498.13333333333,62.13333333333333,7.583333333333333
2790,2.8360655737704916,0.0030697568,61.05304096958792,139916,0.0,42.278688524590166,0.3966149,0.0032324682,31.05217126765289,-13.36058164218739,0.0032324682,6547.090375423431,68.94782873234712,-194.91803278688525,256839.34426229508,62.704918032786885,7.163934426229508
2849,2.6440677966101696,0.003100318,61.01135365523971,149996,0.0,42.32203389830509,0.4014215,0.0033225205,30.46848639873648,-12.694822139569832,0.0033225205,6724.646340370178,69.53151360126351,-190.84745762711864,256659.5254237288,62.66101694915254,7.3559322033898304
2907,2.310344827586207,0.0028164133,60.66499773224131,159995,0.0,42.689655172413794,0.40684262,0.0030076813,30.618419366757287,-12.940407501401914,0.0030076813,6875.885995149612,69.38158063324269,-191.72413793103448,255152.55172413794,62.293103448275865,7.689655172413793
2966,2.23728813559322,0.003011441,60.82735467456131,169994,0.0,42.52542372881356,0.40750197,0.0037740464,32.713043505040005,-13.539562916142723,0.0037740464,7039.967874288559,67.28695649495995,-205.08474576271186,255895.86440677967,62.47457627118644,7.762711864406779
3025,2.2542372881355934,0.0029826814,60.440354377449864,179923,0.0,42.932203389830505,0.41298148,0.0037393009,33.52173315416905,-13.817486297393343,0.0037393009,7194.721212148666,66.47826684583096,-208.64406779661016,254160.2711864407,62.05084745762712,7.745762711864407
3085,1.4833333333333334,0.0030358953,60.96878907759825,189990,0.0,42.36666666666667,0.41495824,0.0025874274,34.11512650266113,-13.89386362996262,0.0025874274,7371.301110744476,65.88487349733887,-215.33333333333334,256477.86666666667,62.61666666666667,8.516666666666667
3142,2.210526315789474,0.0021316272,60.174862871552435,199861,0.0,43.21052631578947,0.3955317,0.0024189453,32.170926460426514,-13.161227684033681,0.0024189453,7523.10062789917,67.8290735395735,-199.64912280701753,253017.8245614035,61.771929824561404,7.7894736842105265
3201,2.6779661016949152,0.0027741012,59.88439918579269,209859,0.0,43.52542372881356,0.41140202,0.0030798572,30.904186015159432,-12.954064081031888,0.0030798572,7689.162052154541,69.09581398484056,-190.67796610169492,251799.86440677967,61.47457627118644,7.322033898305085
3261,2.5,0.002840647,60.66077513133982,219816,0.0,42.7,0.3982014,0.0027593963,32.71807816320818,-13.664339969557703,0.0027593963,7850.992423295975,67.28192183679182,-204.66666666666666,255180.8,62.3,7.5
3321,2.466666666666667,0.0030626098,60.38603441068847,229883,0.0,42.983333333333334,0.397395,0.002708757,30.619357510828213,-13.021705928119896,0.002708757,8010.922113656998,69.38064248917179,-190.16666666666666,253883.73333333334,61.983333333333334,7.533333333333333
3379,2.7586206896551726,0.0031249279,61.19087922214106,239850,0.0,42.12068965517241,0.40797845,0.0028832562,29.73833744361894,-12.416895518324125,0.0028832562,8167.640746355057,70.26166255638108,-186.72413793103448,257341.7931034483,62.827586206896555,7.241379310344827
3437,2.6551724137931036,0.0028986426,61.04039829704924,249828,0.0,42.293103448275865,0.41417015,0.0029063874,31.20033532826646,-13.089085107413275,0.0029063874,8316.777066707611,68.79966467173354,-196.3793103448276,256776.8275862069,62.689655172413794,7.344827586206897
3497,1.8833333333333333,0.0026484746,60.711837296604,259983,0.0,42.63333333333333,0.41669095,0.0028310001,32.774683190935356,-13.440771210244838,0.0028310001,8495.429939746857,67.22531680906462,-205.16666666666666,255317.33333333334,62.333333333333336,8.116666666666667
3554,2.1228070175438596,0.0028999737,60.211124804752096,269838,0.0,43.175438596491226,0.42019767,0.0029168152,33.134540304206055,-13.615456490276635,0.0029168152,8653.486041784286,66.86545969579394,-205.96491228070175,253233.40350877194,61.824561403508774,7.87719298245614
3613,2.152542372881356,0.003420375,60.323993643006034,279911,0.0,43.05084745762712,0.40264484,0.0028239537,33.08091161431382,-13.47941720595795,0.0028239537,8822.826654434204,66.91908838568618,-205.42372881355934,253604.88135593222,61.91525423728814,7.8474576271186445
3672,2.169491525423729,0.0032968707,60.05011303081892,289995,0.0,43.3728813559322,0.3913611,0.0030293756,29.819807120189857,-12.250610649624768,0.0030293756,8973.721858024597,70.18019287981012,-184.91525423728814,252632.94915254237,61.67796610169491,7.830508474576271
3731,3.0847457627118646,0.0028717236,59.55340787864897,299892,0.0,43.86440677966102,0.39158437,0.0027759734,31.63138178855897,-13.069910580659608,0.0027759734,9160.18497133255,68.36861821144102,-193.5593220338983,250272.54237288135,61.101694915254235,6.915254237288136
3789,2.586206896551724,0.003033092,59.770451693910324,309969,0.0,43.6551724137931,0.41661608,0.0026969654,29.860152626378675,-12.372852017587476,0.0026969654,9309.505007266998,70.13984737362135,-183.44827586206895,251339.0344827586,61.36206896551724,7.413793103448276
3848,2.3389830508474576,0.0033142706,60.00521200203838,319933,0.0,43.40677966101695,0.39653483,0.0031133702,31.3706536666185,-12.792091777810198,0.0031133702,9485.403022050858,68.62934633338149,-193.5593220338983,252355.25423728814,61.610169491525426,7.661016949152542
3908,3.05,0.0039528636,59.981746707179,329881,0.0,43.416666666666664,0.4074502,0.0038575318,29.478793916839386,-12.29683844964546,0.0038575318,9635.629683971405,70.52120608316062,-181.66666666666666,252177.06666666668,61.56666666666667,6.95
3968,2.4,0.003378869,60.795788868389664,339875,0.0,42.55,0.40945047,0.003178964,30.962467601008225,-12.659318423256702,0.003178964,9817.352493047714,69.03753239899176,-193.83333333333334,255726.93333333332,62.43333333333333,7.6
4031,1.9047619047619047,0.003790064,61.33934469438002,349941,0.0,41.96825396825397,0.4023396,0.003007569,35.7187563644986,-14.627546441138097,0.003007569,9973.604605436325,64.28124363550143,-228.25396825396825,258113.0158730159,63.01587301587302,8.095238095238095
4091,2.2,0.00423065,60.726407089739695,359903,0.0,42.63333333333333,0.38759765,0.0030690692,34.356313520333565,-14.031439107878038,0.0030690692,10165.71402335167,65.64368647966641,-215.83333333333334,255453.86666666667,62.36666666666667,7.8
