meankl,entloss,TimeElapsed,optimgain,entropy,surrgain,EpisodesSoFar,TtR,MtR,Fce,AttNC,AttC,TimestepsSoFar
0.0030273946,0.0,120.36598300933838,0.0004979645,1.4213306,0.0004979645,45,417.1111111111111,24.351058811589585,0.17993498038742392,3.1555555555555554,6.844444444444444,9958
0.000489394,0.0,239.4401729106903,0.00035906045,1.4272426,0.00035906045,93,347.9166666666667,20.92894415263913,0.1671825012065131,1.625,8.375,19751
0.006434177,0.0,360.8120653629303,0.002028548,1.4227982,0.002028548,142,381.83673469387753,22.756702003758633,0.1787917633149807,2.204081632653061,7.795918367346939,29779
0.0030810928,0.0,480.5594515800476,0.0014428012,1.418349,0.0014428012,201,362.7118644067797,22.248820769305834,0.19825462279312037,1.694915254237288,8.305084745762711,39844
0.004945131,0.0,612.3873858451843,0.0028405497,1.4096,0.0028405497,267,388.93939393939394,24.12957071805541,0.21439313133819762,2.727272727272727,7.2727272727272725,49906
0.0025097115,0.0,740.8231108188629,0.0018177121,1.3898818,0.0018177121,341,365.6756756756757,23.4258602642734,0.22351093551967607,2.2972972972972974,7.702702702702703,59767
0.0024124347,0.0,872.8813095092773,0.0012286244,1.3606734,0.0012286244,430,352.13483146067415,22.251032081806503,0.22904820703971912,2.4269662921348316,7.573033707865169,69912
0.0020535914,0.0,1002.7931530475616,0.0011476047,1.3499094,0.0011476047,493,513.6507936507936,31.266843302703997,0.2671464058773029,4.317460317460317,5.682539682539683,79814
0.0031272327,0.0,1125.765736579895,0.0013458728,1.3434432,0.0013458728,559,512.4242424242424,31.077690937536595,0.27917265100795996,3.9393939393939394,6.0606060606060606,89860
0.002477752,0.0,1252.7227742671967,0.0012689441,1.3378916,0.0012689441,639,387.5,24.192510127969985,0.23602070183919888,3.025,6.975,99967
0.0017190524,0.0,1369.1018805503845,0.0010582214,1.3325768,0.0010582214,703,534.375,32.049736151307776,0.27238151164479474,4.734375,5.265625,109901
0.001803247,0.0,1481.394293308258,0.0009307773,1.3249546,0.0009307773,761,598.9655172413793,35.78834115548089,0.29406615362946503,5.051724137931035,4.948275862068965,119784
0.0044270516,0.0,1603.4298214912415,0.0011719833,1.3108376,0.0011719833,830,490.0,30.117939439530662,0.2730531631894681,3.869565217391304,6.130434782608695,129860
0.0015784027,0.0,1714.9561755657196,0.0010554706,1.302661,0.0010554706,880,815.2,47.96059824563092,0.3593823541944839,6.46,3.54,139985
0.004380703,0.0,1838.6520822048187,0.0012956543,1.2847252,0.0012956543,938,691.8965517241379,40.98119187681723,0.330105765108306,5.603448275862069,4.396551724137931,149950
0.0038318634,0.0,1954.4966502189636,0.001339252,1.2681307,0.001339252,998,716.3333333333334,42.90271207429452,0.3649302646834806,5.2,4.8,159766
0.0015939071,0.0,2068.6581649780273,0.00095182005,1.2528718,0.00095182005,1065,710.7462686567164,42.17870117489875,0.36177089319952666,4.970149253731344,5.029850746268656,169925
0.006623424,0.0,2190.9300453662872,0.0012845895,1.2274772,0.0012845895,1130,750.3076923076923,44.27505685817087,0.3785925913861954,5.2,4.8,179951
0.0026273474,0.0,2314.575672149658,0.0009960486,1.1987439,0.0009960486,1192,835.1612903225806,49.45273798302736,0.4082766743880381,5.451612903225806,4.548387096774194,189916
0.0021920116,0.0,2432.555329799652,0.0012256354,1.170149,0.0012256354,1261,754.0579710144928,44.80272612900074,0.3840382405261305,4.594202898550725,5.405797101449275,199828
0.0014603739,0.0,2551.034114599228,0.0009865152,1.1629028,0.0009865152,1314,1090.0,63.36206162384911,0.49080887537880413,6.886792452830188,3.1132075471698113,209829
0.0034806037,0.0,2678.088250875473,0.001348332,1.1294725,0.001348332,1372,972.0689655172414,56.8093383343094,0.4431183006265049,5.810344827586207,4.189655172413793,219763
0.0029817317,0.0,2786.8215799331665,0.0013772796,1.1156447,0.0013772796,1421,1325.7142857142858,76.76561418509871,0.5659349992926792,7.918367346938775,2.0816326530612246,229980
0.003987392,0.0,2904.7060816287994,0.0013269292,1.088303,0.0013269292,1466,1448.4444444444443,83.47603466861707,0.6090420288170862,8.377777777777778,1.6222222222222222,239767
0.0023917286,0.0,3028.866642475128,0.0012576262,1.0750546,0.0012576262,1515,1492.6530612244899,85.71666380289211,0.642998559029523,8.0,2.0,249926
0.0019067774,0.0,3146.3108110427856,0.001305637,1.0518619,0.001305637,1569,1356.851851851852,78.6147205515974,0.6028960764440259,6.944444444444445,3.0555555555555554,259988
0.0018496866,0.0,3267.9305832386017,0.00114114,1.0416682,0.00114114,1621,1448.4615384615386,83.61125302500854,0.6376560567949239,7.4423076923076925,2.5576923076923075,269943
0.0047841063,0.0,3385.966108083725,0.0011461804,1.0127379,0.0011461804,1668,1672.127659574468,96.5876878596142,0.6961896954593096,8.297872340425531,1.702127659574468,279977
0.0010393789,0.0,3507.2437915802,0.0010246913,1.0155686,0.0010246913,1711,1893.0232558139535,108.36479764159985,0.7749310844194565,9.023255813953488,0.9767441860465116,289811
0.0005395185,0.0,3625.1444816589355,0.0006680168,1.0070648,0.0006680168,1754,1933.0232558139535,110.76384961088237,0.7910876151490452,9.0,1.0,299771
0.0005320832,0.0,3735.239536046982,0.00061418867,0.991562,0.00061418867,1799,1889.5555555555557,108.56659172371283,0.7735801039361533,8.555555555555555,1.4444444444444444,309773
0.0037142981,0.0,3843.926206111908,0.001012836,0.95025533,0.001012836,1845,1910.6521739130435,109.41193352144157,0.791774178566923,8.652173913043478,1.3478260869565217,319901
