AttC,surrgain,TimestepsSoFar,MtR,optimgain,entropy,TimeElapsed,AttNC,TtR,entloss,meankl,Fce,EpisodesSoFar
0.024390243902439025,0.0039486303,2149771,19.829168594689204,0.0039486303,0.010336399,17935.91514468193,0.975609756097561,34.80487804878049,0.0,0.005491972,0.13921951219512196,10020
0.0,0.006393679,2159771,19.871305378248014,0.006393679,0.029245572,18015.38189291954,1.0,35.075,0.0,0.0076913834,0.14029999999999998,10060
0.024390243902439025,0.0047163083,2169772,19.616550621655772,0.0047163083,0.02065565,18109.066447734833,0.975609756097561,34.390243902439025,0.0,0.0076608667,0.1375609756097561,10101
0.0,0.0033796441,2179772,20.909019235388083,0.0033796441,0.018449783,18189.597808122635,1.0,36.575,0.0,0.004977789,0.1463,10141
0.047619047619047616,0.0041797743,2189822,19.312617849151323,0.0041797743,0.054180156,18282.24321436882,0.9523809523809523,33.666666666666664,0.0,0.005992614,0.1599436345966958,10183
0.024390243902439025,0.0044323066,2199823,19.11951507540997,0.0044323066,0.10311031,18364.16889166832,0.975609756097561,33.829268292682926,0.0,0.0065741655,0.13531707317073172,10224
0.047619047619047616,0.0046998155,2209825,18.3898392540715,0.0046998155,0.13567828,18443.57546877861,0.9523809523809523,32.404761904761905,0.0,0.0062729646,0.12961904761904763,10266
0.0,0.00430402,2219825,21.46645219570161,0.00430402,0.11454286,18537.885267734528,1.0,37.325,0.0,0.008919278,0.14930000000000004,10306
0.047619047619047616,0.005050046,2229827,19.45490760370738,0.005050046,0.1171943,18616.91243314743,0.9523809523809523,34.214285714285715,0.0,0.005427692,0.13685714285714287,10348
0.024390243902439025,0.0032184047,2239828,20.01646766580147,0.0032184047,0.1333618,18697.222173929214,0.975609756097561,35.26829268292683,0.0,0.006175775,0.14107317073170736,10389
0.06976744186046512,0.0040323,2249831,19.33977847999514,0.0040323,0.12694022,18780.457382917404,0.9302325581395349,33.74418604651163,0.0,0.0057927147,0.13497674418604652,10432
