AttNC,TimestepsSoFar,optimgain,MtR,entropy,EpisodesSoFar,TimeElapsed,TtR,Fce,entloss,AttC,surrgain,meankl
1.711111111111111,3529924,0.0008315409,14.545757093347978,1.2352828,15775,22943.32912683487,76.26666666666667,0.10906399108138243,0.0,1.288888888888889,0.0008315409,0.0013050347
1.813953488372093,3539933,0.0010971931,15.088761210181879,1.2266302,15818,23004.16777229309,79.25581395348837,0.10567441860465117,0.0,1.186046511627907,0.0010971931,0.0043864665
1.8837209302325582,3549984,0.000900117,15.007458174313143,1.2382822,15861,23067.408029794693,79.04651162790698,0.10860842237586428,0.0,1.1162790697674418,0.000900117,0.0038001833
1.6444444444444444,3559765,0.000558091,15.611362396638295,1.235649,15906,23129.77334666252,81.26666666666667,0.14177918396865763,0.0,1.3555555555555556,0.000558091,0.0029701858
1.9761904761904763,3569777,0.00033061218,15.196447226066027,1.2334117,15948,23198.02776479721,80.28571428571429,0.10959788359788361,0.0,1.0238095238095237,0.00033061218,0.0024523458
1.8297872340425532,3579850,0.00091422116,13.737221100493679,1.2725955,15995,23259.784967184067,71.87234042553192,0.10093594549955621,0.0,1.1702127659574468,0.00091422116,0.0022107656
1.6153846153846154,3589986,0.0003856303,13.32374371502935,1.2516658,16047,23318.277329444885,68.53846153846153,0.10914494052955592,0.0,1.3846153846153846,0.0003856303,0.006083533
1.6956521739130435,3599949,0.00095054525,13.965567743282824,1.2468396,16093,23384.439192533493,73.17391304347827,0.13189745841919756,0.0,1.3043478260869565,0.00095054525,0.0007318219
2.119047619047619,3609991,0.0007724523,14.56830250237742,1.2421874,16135,23453.72544813156,76.07142857142857,0.10648979591836737,0.0,0.8809523809523809,0.0007724523,0.0014287484
1.8780487804878048,3619813,0.00034539998,15.417365376675507,1.2425971,16176,23516.89866256714,79.53658536585365,0.10924630711095847,0.0,1.1219512195121952,0.00034539998,0.0076115998
1.8604651162790697,3629850,0.00047942402,14.783413310346601,1.2636323,16219,23582.21217107773,78.20930232558139,0.10529346622369881,0.0,1.1395348837209303,0.00047942402,0.0038723797
1.6326530612244898,3639945,0.0005030777,13.135401547840425,1.2461729,16268,23645.982494592667,68.44897959183673,0.12194040657198554,0.0,1.3673469387755102,0.0005030777,0.00056581426
1.7906976744186047,3649759,0.0007592148,15.39403103034251,1.2524314,16311,23706.866512298584,80.86046511627907,0.11752956033494591,0.0,1.2093023255813953,0.0007592148,0.0019155034
2.022222222222222,3659785,0.0013886413,14.552385194314173,1.2596432,16356,23770.99007511139,75.33333333333333,0.10858097103983762,0.0,0.9777777777777777,0.0013886413,0.00670248
1.6470588235294117,3669910,0.00065545173,13.05218944078516,1.2806005,16407,23831.80691409111,67.82352941176471,0.1088448196683491,0.0,1.3529411764705883,0.00065545173,0.0015071246
1.930232558139535,3679973,0.0005446289,16.601160432652893,1.2229546,16450,23897.27888059616,86.30232558139535,0.12717145278222386,0.0,1.069767441860465,0.0005446289,0.0037810176
1.471698113207547,3689951,0.001034526,12.166904287916873,1.194525,16503,23962.94210743904,63.22641509433962,0.11240984219789375,0.0,1.528301886792453,0.001034526,0.0021329022
1.72,3699777,0.00053044537,11.892599383086846,1.2291133,16553,24022.61405301094,61.38,0.09105580115408685,0.0,1.28,0.00053044537,0.0040717027
1.7391304347826086,3709837,0.0007382271,13.551374175601604,1.1885977,16599,24089.776657819748,72.06521739130434,0.10869466121640034,0.0,1.2608695652173914,0.0007382271,0.005043728
1.826086956521739,3719975,0.002418527,14.343422880413542,1.1945792,16645,24153.13653111458,75.45652173913044,0.11121708159515344,0.0,1.173913043478261,0.002418527,0.0027917894
1.8297872340425532,3729785,0.0006770813,12.788986857657875,1.1955565,16692,24212.25811600685,67.08510638297872,0.10615037917165579,0.0,1.1702127659574468,0.0006770813,0.0032734778
1.6875,3739881,0.00042577158,14.226317531522001,1.1708307,16740,24282.493482351303,73.5625,0.1408423177781751,0.0,1.3125,0.00042577158,0.0012814723
1.8478260869565217,3749927,0.00057978823,14.388201859556272,1.1613767,16786,24340.477298736572,75.3913043478261,0.10620402785620177,0.0,1.1521739130434783,0.00057978823,0.001262536
1.8863636363636365,3759941,0.0006714671,14.56368967888906,1.1478299,16830,24404.706480026245,75.88636363636364,0.13373737373737374,0.0,1.1136363636363635,0.0006714671,0.002386208
1.8181818181818181,3769979,0.0007841319,14.873409174372533,1.1378723,16874,24469.44331383705,78.13636363636364,0.11150505050505055,0.0,1.1818181818181819,0.0007841319,0.0010702285
