Ptt,AttC,EpisodesSoFar,MpbtN,meankl,entropy,TtR,Tmt,Tmc,Tbt,MpbtA,TimestepsSoFar,MtR,optimgain,surrgain,TimeElapsed,AttNC,entloss
82.16710952960024,1.0,833,95.16262803679624,0.008467633,0.6847071,-80.41536614645858,84.5078031212485,19.346938775510203,346143.96158463386,4.837371963203467,9993,-76.16753086119144,0.022381052,0.022381052,2062.8991916179657,0.0,0.0
82.06614223374604,1.0,1568,95.26107542620183,0.00897374,0.659195,-80.37959183673469,84.38503401360545,19.453061224489797,345641.0993197279,4.738924573797862,19988,-75.54803880920336,0.010773038,0.010773038,3870.753176689148,0.0,0.0
82.32973602009731,1.0,2199,95.2332681684793,0.009488734,0.6151389,-80.61806656101426,84.65610142630744,19.166402535657685,346751.3914421553,4.766731831520582,29994,-74.98438922122888,0.018575607,0.018575607,5429.2031400203705,0.0,0.0
81.88552782771262,1.0,2696,95.33276366700298,0.009689528,0.5528728,-80.2655935613682,84.20321931589537,19.64989939637827,344896.3863179074,4.667236332996783,39996,-73.23783528758698,0.02381519,0.02381519,6641.598784685135,0.0,0.0
82.1241809782099,1.0,3086,95.18121131783774,0.009661703,0.47714633,-80.36923076923077,84.44358974358974,19.38974358974359,345880.9435897436,4.818788682162307,49986,-71.69181361078454,0.023942614,0.023942614,7609.748088121414,0.0,0.0
81.83892912344047,1.0,3346,94.28781377862883,0.009351325,0.39890292,-79.3576923076923,84.17307692307692,19.703846153846154,344772.92307692306,5.712186221371218,59956,-67.42942100824848,0.024163645,0.024163645,8254.108416080475,0.0,0.0
81.68990757369832,0.9882352941176471,3516,93.36786811823893,0.008791275,0.3209625,-78.46470588235294,84.04117647058824,19.870588235294118,344232.65882352943,6.632131881761111,69993,-62.27800424677925,0.019428067,0.019428067,8679.932149887085,0.011764705882352941,0.0
81.645525712758,0.9711538461538461,3620,91.7651821189226,0.008596148,0.24481994,-77.07692307692308,83.97115384615384,19.91346153846154,343945.8461538461,8.234817881077397,79959,-54.44018653940156,0.014307123,0.014307123,8943.04417681694,0.028846153846153848,0.0
81.23513294755041,0.84375,3684,90.83051633709128,0.0074176164,0.1862717,-75.90625,83.546875,20.359375,342208.0,9.169483662908736,89796,-48.62982725890074,0.010555607,0.010555607,9118.658936738968,0.15625,0.0
81.96686835319326,0.7551020408163265,3733,91.17257175059065,0.0058235265,0.13019074,-76.89795918367346,84.3265306122449,19.571428571428573,345401.4693877551,8.827428249409335,99902,-44.17805320025473,0.00681644,0.00681644,9250.383522987366,0.24489795918367346,0.0
81.95584285636973,0.34210526315789475,3771,91.21175842132345,0.0049137385,0.116902694,-76.89473684210526,84.28947368421052,19.57894736842105,345249.6842105263,8.788241578676542,109865,-43.08586018349798,0.005222208,0.005222208,9359.831887722015,0.6578947368421053,0.0
81.20981246428067,0.2777777777777778,3807,93.21478498009941,0.007634401,0.17751424,-77.88888888888889,83.52777777777777,20.38888888888889,342129.77777777775,6.785215019900626,119927,-42.54740215762624,0.008336242,0.008336242,9465.67920255661,0.7222222222222222,0.0
81.6874911100022,0.5789473684210527,3845,90.2206560407682,0.0024805064,0.1602643,-75.78947368421052,84.0,19.86842105263158,344064.0,9.779343959231806,129832,-42.28845206404497,0.003791204,0.003791204,9573.35053730011,0.42105263157894735,0.0
81.33634172744176,0.5,3883,91.79874432132772,0.0038035568,0.14329982,-76.73684210526316,83.57894736842105,20.236842105263158,342339.36842105264,8.201255678672297,139934,-42.133053894671434,0.005460785,0.005460785,9680.147436618805,0.5,0.0
81.21106137484135,0.43243243243243246,3920,90.20571450927434,0.0043983017,0.13403752,-75.32432432432432,83.48648648648648,20.37837837837838,341960.64864864864,9.794285490725654,149939,-41.13479655923347,0.0037858796,0.0037858796,9787.98141670227,0.5675675675675675,0.0
80.53556213578592,0.23529411764705882,3954,91.36639892461196,0.006291728,0.1849194,-75.70588235294117,82.82352941176471,21.11764705882353,339245.17647058825,8.633601075388022,159730,-40.51264333082665,0.006701117,0.006701117,9893.096892595291,0.7647058823529411,0.0
81.25308301177836,0.16216216216216217,3991,90.96271993456244,0.0068259565,0.18034413,-76.08108108108108,83.62162162162163,20.35135135135135,342514.1621621622,9.037280065437546,169966,-41.17817585270661,0.006613809,0.006613809,9997.249373435974,0.8378378378378378,0.0
80.42032678683823,0.43243243243243246,4028,89.08365031705776,0.0038696427,0.16328569,-73.70270270270271,82.70270270270271,21.243243243243242,338750.2702702703,10.916349682942247,179833,-40.666694098769646,0.0039692763,0.0039692763,10104.748476028442,0.5675675675675675,0.0
81.62288934780082,0.16216216216216217,4065,89.2992904210047,0.004269227,0.17654835,-75.0,83.97297297297297,19.945945945945947,343953.2972972973,10.700709578995298,189799,-41.46809687731536,0.004575766,0.004575766,10210.572791814804,0.8378378378378378,0.0
81.1226826115258,0.14285714285714285,4100,89.31285420768978,0.003881304,0.18666498,-74.57142857142857,83.45714285714286,20.485714285714284,341840.45714285714,10.68714579231026,199791,-41.088276082253735,0.004437952,0.004437952,10314.996502876282,0.8571428571428571,0.0
81.08629956348581,0.05555555555555555,4136,88.56704367699096,0.0068117683,0.23538584,-73.88888888888889,83.41666666666667,20.52777777777778,341674.6666666667,11.432956323009023,209846,-41.01095302829819,0.008229183,0.008229183,10419.030806541443,0.9444444444444444,0.0
80.69040886143964,0.3076923076923077,4175,88.44878022270393,0.0051009483,0.1551529,-73.41025641025641,82.97435897435898,20.94871794871795,339862.9743589744,11.551219777296076,219714,-40.762509758596124,0.004633963,0.004633963,10533.131284952164,0.6923076923076923,0.0
81.39293972690433,0.05405405405405406,4212,88.94914341287144,0.004545447,0.21979295,-74.45945945945945,83.70270270270271,20.18918918918919,342846.2702702703,11.050856587128573,229930,-41.759497144107655,0.0067039635,0.0067039635,10636.873417377472,0.9459459459459459,0.0
80.7155677355816,0.19444444444444445,4248,87.71208419707948,0.0030127924,0.19441678,-72.80555555555556,82.97222222222223,20.916666666666668,339854.22222222225,12.287915802920539,239805,-39.496070425781674,0.0033821517,0.0033821517,10743.145360946655,0.8055555555555556,0.0
81.63794283318822,0.18421052631578946,4286,87.94003155009933,0.0032674416,0.19373474,-73.84210526315789,83.94736842105263,19.92105263157895,343848.4210526316,12.059968449900659,249980,-41.546965881520066,0.00499135,0.00499135,10851.48986196518,0.8157894736842105,0.0
81.04996049145396,0.1388888888888889,4322,87.12490238970378,0.0035673198,0.2163634,-72.61111111111111,83.33333333333333,20.555555555555557,341333.3333333333,12.875097610296251,259808,-40.18657704063226,0.0043676393,0.0043676393,10955.467366218567,0.8611111111111112,0.0
