AttC,TimeElapsed,MtR,AttNC,Tmt,entropy,EpisodesSoFar,Tbt,entloss,MpbtN,surrgain,Tmc,optimgain,TimestepsSoFar,Ptt,MpbtA,meankl,TtR
3.0,1570.6886160373688,-70.95088159192977,0.0,80.1029411764706,0.68436736,680,328101.64705882355,0.0,94.81606621814718,0.010383445,23.895588235294117,0.010383445,9990,77.96025342362913,5.183933781852748,0.008880172,-227.81029411764706
3.0,2935.7544219493866,-69.71907799273899,0.0,80.45360824742268,0.6561901,1262,329537.9793814433,0.0,93.90342870897572,0.0063428674,23.534364261168385,0.0063428674,19997,78.29480033186006,6.0965712910242615,0.009616941,-226.57731958762886
3.0,4048.5410709381104,-68.19143476925957,0.0,80.93004115226337,0.6083846,1748,331489.44855967077,0.0,92.75752185235615,0.009868244,23.059670781893004,0.009868244,29993,78.73725461613721,7.2424781476438405,0.009771029,-225.14814814814815
3.0,4870.079691171646,-65.2923815839033,0.0,81.1344537815126,0.54517114,2105,332326.7226890756,0.0,91.49784076262134,0.011796493,22.85434173669468,0.011796493,39990,78.92867541748171,8.50215923737872,0.009965045,-222.65546218487395
3.0,5363.115056276321,-58.96409934712953,0.0,81.25742574257426,0.47223586,2307,332830.41584158415,0.0,88.93737432284549,0.006450159,22.72772277227723,0.006450159,49992,79.04673751608242,11.062625677154594,0.007826578,-216.75742574257427
2.905263157894737,5606.857933282852,-48.04222288037247,0.09473684210526316,81.06315789473685,0.40242928,2402,332034.6947368421,0.0,82.94213817777278,0.0073341005,22.91578947368421,0.0073341005,59956,78.87046903575049,17.057861822227245,0.009108369,-201.7578947368421
2.510204081632653,5743.725492954254,-34.30947226945633,0.4897959183673469,79.75510204081633,0.3551409,2451,326676.89795918367,0.0,72.96526781810076,0.0036561782,24.244897959183675,0.0036561782,69918,77.63888994028389,27.03473218189922,0.006469783,-174.73469387755102
1.5365853658536586,5876.724838256836,-31.070582715023487,1.4634146341463414,79.39024390243902,0.27979895,2492,325182.43902439025,0.0,67.67114297876682,0.0025156229,24.609756097560975,0.0025156229,79775,77.30039910532689,32.32885702123319,0.0039398596,-161.1219512195122
1.2619047619047619,6010.417256593704,-32.30411033886011,1.7380952380952381,79.88095238095238,0.31727612,2534,327192.38095238095,0.0,68.53825934423287,0.0042164144,24.11904761904762,0.0042164144,89813,77.75740105953098,31.46174065576713,0.0053794784,-164.28571428571428
1.697674418604651,6144.591140985489,-31.935006476299655,1.302325581395349,79.37209302325581,0.3495098,2577,325108.0930232558,0.0,67.8990688809018,0.0051016905,24.627906976744185,0.0051016905,99949,77.28372682574916,32.10093111909822,0.0049671996,-161.86046511627907
2.3260869565217392,6283.490188360214,-30.76107324907663,0.6739130434782609,78.17391304347827,0.30003586,2623,320200.347826087,0.0,65.4991463013838,0.0022055695,25.82608695652174,0.0022055695,109974,76.16385362937658,34.500853698616176,0.003083558,-153.7826086956522
2.142857142857143,6417.6797976493835,-30.60649051621166,0.8571428571428571,79.0,0.29261312,2665,323584.0,0.0,65.8327968483439,0.0016194743,25.0,0.0016194743,119777,76.93574372302736,34.1672031516561,0.002707653,-156.07142857142858
1.3953488372093024,6552.2880165576935,-30.604281035230034,1.6046511627906976,78.34883720930233,0.31191492,2708,320916.83720930235,0.0,64.11779756784064,0.0027713673,25.651162790697676,0.0027713673,129817,76.33071291821906,35.88220243215937,0.0034809718,-150.7674418604651
1.9111111111111112,6693.199822664261,-30.638813273021306,1.0888888888888888,78.53333333333333,0.3001706,2753,321672.5333333333,0.0,65.28998183502924,0.0021658712,25.466666666666665,0.0021658712,139958,76.50163758081472,34.71001816497076,0.004396903,-154.0
1.3,6823.758084535599,-30.438850326656354,1.7,78.625,0.33630463,2793,322048.0,0.0,67.17551860268445,0.0038574142,25.375,0.0038574142,149923,76.58652189683363,32.824481397315544,0.0047038062,-158.625
1.9090909090909092,6956.518950223923,-30.367636242915623,1.0909090909090908,79.38636363636364,0.34788817,2837,325166.54545454547,0.0,64.64366326022996,0.0028308858,24.613636363636363,0.0028308858,159922,77.2963892870684,35.35633673977001,0.0023995447,-154.0909090909091
2.1555555555555554,7091.211801290512,-30.937933480846347,0.8444444444444444,78.97777777777777,0.36304486,2882,323492.97777777776,0.0,65.53357663759617,0.002703769,25.022222222222222,0.002703769,169828,76.917493390142,34.46642336240383,0.0022492514,-155.46666666666667
2.1333333333333333,7226.438875198364,-29.870138610645167,0.8666666666666667,78.26666666666667,0.29313725,2927,320580.26666666666,0.0,66.0813332406955,0.0033815068,25.711111111111112,0.0033815068,179880,76.2658745868796,33.91866675930449,0.0069317087,-155.46666666666667
1.627906976744186,7359.803102016449,-28.91072225144772,1.372093023255814,78.44186046511628,0.3285678,2970,321297.8604651163,0.0,62.74281401392757,0.0027138204,25.558139534883722,0.0027138204,189992,76.41584466797254,37.25718598607243,0.0029150548,-147.62790697674419
1.8571428571428572,7490.75036072731,-29.246073106408485,1.1428571428571428,78.04761904761905,0.3014009,3012,319683.04761904763,0.0,63.74932950389874,0.0028352712,25.976190476190474,0.0028352712,199856,76.03128160521304,36.25067049610126,0.003433533,-149.57142857142858
1.7619047619047619,7625.849075078964,-28.875054862933926,1.2380952380952381,77.5952380952381,0.3466606,3054,317830.09523809527,0.0,61.58321969803272,0.0028815207,26.404761904761905,0.0028815207,209829,75.62662752957229,38.41678030196729,0.0032983737,-143.28571428571428
1.813953488372093,7756.000595808029,-29.87669140723076,1.186046511627907,78.3953488372093,0.3092166,3097,321107.3488372093,0.0,64.78242450124185,0.0032702175,25.627906976744185,0.0032702175,219995,76.3589551452109,35.21757549875816,0.004391416,-152.51162790697674
1.9285714285714286,7890.726105690002,-29.721162360426995,1.0714285714285714,77.78571428571429,0.30258113,3139,318610.28571428574,0.0,63.58965443973131,0.0025677022,26.238095238095237,0.0025677022,229780,75.78689889144707,36.41034556026871,0.0036978978,-148.5
1.627906976744186,8025.443313121796,-30.23483770870208,1.372093023255814,77.69767441860465,0.2914744,3182,318249.67441860464,0.0,63.769678024153905,0.0023398732,26.302325581395348,0.0023398732,239936,75.72188224367764,36.2303219758461,0.0034678075,-148.46511627906978
