entloss,MtR,AttNC,surrgain,TtR,EpisodesSoFar,Fce,optimgain,TimeElapsed,TimestepsSoFar,meankl,entropy,AttC
0.0,12.03810184821546,0.647887323943662,0.0002766795,62.15492957746479,71,0.14003042658324652,0.0002766795,53.537131547927856,9951,0.0016907298,1.3848047,2.352112676056338
0.0,12.515784613210068,0.6857142857142857,0.00074466754,64.67142857142858,141,0.12365505797692795,0.00074466754,102.70644402503967,19801,0.00822862,1.3790313,2.3142857142857145
0.0,15.026143004986691,1.1538461538461537,0.0002582189,79.5,193,0.1330375009605779,0.0002582189,151.75781631469727,29887,0.004721084,1.3654757,1.8461538461538463
0.0,16.45079978601251,1.511111111111111,0.0003870341,86.8,238,0.11573333333333338,0.0003870341,197.24603247642517,39906,0.0040252735,1.3614018,1.488888888888889
0.0,16.21760884157926,1.1176470588235294,0.0004395256,84.58823529411765,289,0.1608828870436085,0.0004395256,248.22472286224365,49760,0.005853208,1.3142596,1.8823529411764706
0.0,15.590482224524013,1.2549019607843137,0.00041329855,83.52941176470588,340,0.1407561871430494,0.00041329855,299.52324891090393,59825,0.003941457,1.3276869,1.7450980392156863
0.0,17.02272891058221,1.2291666666666667,0.00051150157,89.875,388,0.12147826086956522,0.00051150157,351.60095143318176,69907,0.004791182,1.3230729,1.7708333333333333
0.0,14.939094395550052,0.9090909090909091,0.00023752543,76.96363636363637,443,0.15074956436567402,0.00023752543,399.4649519920349,79752,0.0021830674,1.3182474,2.090909090909091
0.0,17.822265568815144,1.2708333333333333,0.000368337,93.5625,491,0.1452435358758888,0.000368337,450.6301975250244,89836,0.0014506701,1.3061492,1.7291666666666667
0.0,14.65706203456444,1.0526315789473684,0.00052800647,74.6842105263158,548,0.11537698936401168,0.00052800647,500.0572581291199,99782,0.0059539652,1.2648102,1.9473684210526316
0.0,15.776788999520868,0.9137931034482759,0.0008574097,81.41379310344827,606,0.13600814435318542,0.0008574097,549.063303232193,109861,0.006795466,1.2358425,2.086206896551724
0.0,18.488253169183462,1.4,0.0004312332,97.33333333333333,651,0.140562962962963,0.0004312332,599.5013599395752,119948,0.003515305,1.2332737,1.6
0.0,14.827951687805717,0.95,0.001016924,76.0,711,0.1293521213038126,0.001016924,649.8216404914856,129880,0.007317462,1.2394615,2.05
0.0,17.069551905302983,1.2653061224489797,0.0008098436,89.51020408163265,760,0.12830496487639342,0.0008098436,700.4855906963348,139979,0.005804585,1.2001182,1.7346938775510203
0.0,17.246677919746187,1.6744186046511629,0.0006872826,91.32558139534883,803,0.12378858350951374,0.0006872826,746.4343402385712,149751,0.0062519703,1.2338185,1.3255813953488371
0.0,16.478750481986715,1.3061224489795917,0.00045235088,87.06122448979592,852,0.13220311134709678,0.00045235088,798.3640820980072,159910,0.001978204,1.2260224,1.6938775510204083
0.0,16.623337815976477,1.391304347826087,0.00060222065,87.84782608695652,898,0.11818764302059495,0.00060222065,846.6573240756989,169948,0.0054113525,1.1859692,1.608695652173913
0.0,17.23516264705879,1.7142857142857142,0.00068120065,89.28571428571429,940,0.1190476190476191,0.00068120065,899.110443353653,179964,0.004787797,1.2320685,1.2857142857142858
0.0,18.914669430586677,1.5952380952380953,0.001015258,99.57142857142857,982,0.1327619047619048,0.001015258,947.6339385509491,189968,0.00733174,1.2625865,1.4047619047619047
0.0,17.584614346996442,1.5681818181818181,0.00048614424,92.52272727272727,1026,0.12992640692640695,0.00048614424,1002.1845848560333,199765,0.0055709076,1.2322972,1.4318181818181819
0.0,16.886275417171046,1.4444444444444444,0.0002485232,88.33333333333333,1071,0.12428691051299748,0.0002485232,1049.6609153747559,209816,0.0024122086,1.2513294,1.5555555555555556
0.0,18.819075869055993,1.775,0.00041322937,100.05,1111,0.13340000000000002,0.00041322937,1101.0434548854828,219816,0.0044682985,1.2249625,1.225
0.0,18.00886582602461,1.925,0.0007760503,93.225,1151,0.12430000000000004,0.0007760503,1149.245200395584,229816,0.010746672,1.2479961,1.075
0.0,15.838756801862438,1.4680851063829787,0.00054699037,82.65957446808511,1198,0.1585045592705167,0.00054699037,1201.96009683609,239843,0.0073916884,1.2680665,1.5319148936170213
0.0,15.812172908058491,1.3265306122448979,0.0006185659,82.83673469387755,1247,0.1578231292517007,0.0006185659,1252.130716085434,249866,0.0046246224,1.2969555,1.6734693877551021
0.0,17.432546469070388,1.0784313725490196,0.00041911518,89.23529411764706,1298,0.16297613047308787,0.00041911518,1298.6076002120972,259997,0.0027739117,1.2915745,1.9215686274509804
0.0,12.148589084768203,0.7123287671232876,0.00048551077,61.06849315068493,1371,0.12614813863273724,0.00048551077,1345.521764755249,269777,0.005911899,1.2617913,2.287671232876712
0.0,16.54007722741597,1.3265306122448979,0.0008053055,86.57142857142857,1420,0.1448359270641577,0.0008053055,1395.9163784980774,279856,0.0035327303,1.2335739,1.6734693877551021
0.0,16.204831244310576,1.0188679245283019,0.0006888547,82.35849056603773,1473,0.13285363385930501,0.0006888547,1451.2897505760193,289962,0.0034867944,1.2354865,1.9811320754716981
0.0,16.316404458587414,1.2708333333333333,0.00066588365,85.3125,1521,0.12280303030303029,0.00066588365,1499.6880838871002,299767,0.004499047,1.2280377,1.7291666666666667
0.0,16.320561431978554,1.0185185185185186,0.0006840052,85.16666666666667,1575,0.1324799965753122,0.0006840052,1545.7756671905518,309800,0.0040469277,1.20618,1.9814814814814814
0.0,18.11433351594987,1.4489795918367347,0.00064073934,93.73469387755102,1624,0.14008186941331863,0.00064073934,1596.227077960968,320000,0.0030407826,1.2241653,1.5510204081632653
