entropy,meankl,TtR,AttC,EpisodesSoFar,AttNC,TimestepsSoFar,entloss,Fce,TimeElapsed,MtR,surrgain,optimgain
1.4198132,0.006994091,433.9024390243902,6.804878048780488,41,3.1951219512195124,9774,0.0,0.18067542213883678,375.2097325325012,25.068575706144834,0.00022292839,0.00022292839
1.4222834,0.0006010414,466.8085106382979,7.723404255319149,88,2.276595744680851,19939,0.0,0.20271516998600836,698.8269124031067,27.181438408208336,0.00071637484,0.00071637484
1.4147922,0.0076787537,392.5,7.541666666666667,136,2.4583333333333335,29825,0.0,0.17406732766289365,998.7414174079895,22.925094653375314,0.0014846231,0.0014846231
1.4108231,0.0040429495,365.1515151515151,8.242424242424242,202,1.7575757575757576,39971,0.0,0.21375038737681434,1355.5425715446472,22.517975328799643,0.0021468513,0.0021468513
1.4033202,0.0030467943,280.8433734939759,8.626506024096386,285,1.3734939759036144,49845,0.0,0.19273272146840217,1692.2853772640228,17.861107916526397,0.0023999389,0.0023999389
1.3854978,0.0013732533,295.2631578947368,8.073684210526316,380,1.9263157894736842,59907,0.0,0.21554501754085645,2064.7514219284058,19.156351024474876,0.00065521226,0.00065521226
1.3791947,0.012462532,419.44444444444446,6.805555555555555,452,3.1944444444444446,69978,0.0,0.24897454537217115,2401.3744282722473,26.01879285517718,0.00046930037,0.00046930037
1.3521581,0.0014550479,479.87654320987656,6.851851851851852,533,3.1481481481481484,79897,0.0,0.28920048691250544,2819.8044786453247,29.471069953369707,0.00048603743,0.00048603743
1.3417959,0.00027446306,672.2727272727273,5.333333333333333,599,4.666666666666667,89774,0.0,0.3372056484258946,3186.7435319423676,40.0836306019622,7.697151e-05,7.697151e-05
1.2973508,0.0101670055,652.112676056338,5.394366197183099,670,4.605633802816901,99876,0.0,0.3414578633027003,3583.089433193207,39.02128511519988,0.0003321495,0.0003321495
1.2549596,0.0072815013,1077.2727272727273,3.5272727272727273,725,6.472727272727273,109981,0.0,0.4880233314003273,3987.857694387436,63.07705608341564,0.0007471383,0.0007471383
1.2058263,0.0030564219,1076.7796610169491,3.9661016949152543,784,6.033898305084746,119799,0.0,0.5013594499702162,4417.50044798851,62.72785900380313,0.0005235932,0.0005235932
1.1516285,0.004026325,1127.8333333333333,4.066666666666666,844,5.933333333333334,129780,0.0,0.5207303052259826,4753.665808677673,65.63341744069163,0.00056146167,0.00056146167
1.1206497,0.004794583,1599.1489361702127,1.6382978723404256,891,8.361702127659575,139983,0.0,0.668106134999752,5124.952860832214,91.9568500601834,0.0006733641,0.0006733641
1.061825,0.0036926458,1475.4901960784314,3.019607843137255,942,6.980392156862745,149759,0.0,0.6525503853713439,5475.077201366425,85.4056824990453,0.00032128478,0.00032128478
1.0341041,0.0015472217,1724.2,2.04,992,7.96,159983,0.0,0.7243113547820421,5831.94984126091,99.08920851546296,0.00047557004,0.00047557004
1.0127,0.0038799888,2052.8571428571427,0.8333333333333334,1034,9.166666666666666,169802,0.0,0.8300355497037524,6215.321594953537,117.58092960676679,0.00077549514,0.00077549514
0.984065,0.0017000223,1975.7446808510638,1.4893617021276595,1081,8.51063829787234,179935,0.0,0.81754605059194,6539.731251239777,112.9136188632549,0.00010667572,0.00010667572
0.96571875,0.0005460274,1796.6666666666667,2.392156862745098,1132,7.607843137254902,189833,0.0,0.774716517623092,6858.679621934891,102.92395005698108,7.6602475e-05,7.6602475e-05
0.97046405,0.0034186428,1980.6521739130435,1.5217391304347827,1178,8.478260869565217,199760,0.0,0.8245947367735716,7236.7410407066345,113.87455544079263,0.00029142457,0.00029142457
0.93544596,0.0021915925,1873.6734693877552,1.836734693877551,1227,8.16326530612245,209991,0.0,0.7938526549560804,7583.437258720398,107.59053336874622,0.0003669577,0.0003669577
0.8773408,0.005051741,1965.1063829787233,1.702127659574468,1274,8.297872340425531,219885,0.0,0.8250816660543103,7923.643943309784,112.90714655600885,0.0003934001,0.0003934001
0.81394064,0.0047124065,2133.777777777778,1.1333333333333333,1319,8.866666666666667,229942,0.0,0.8909202501202499,8243.616950273514,122.34512260055061,0.00045436187,0.00045436187
0.7169467,0.010046727,2174.5454545454545,1.1363636363636365,1363,8.863636363636363,239857,0.0,0.9000085610480867,8579.487119436264,124.64594503460198,0.0005133345,0.0005133345
0.8143725,0.008904037,2355.714285714286,0.47619047619047616,1405,9.523809523809524,249889,0.0,0.9485784832451498,8910.172363758087,134.72300868538937,0.00012640613,0.00012640613
0.71710896,0.0101031605,2276.046511627907,0.6976744186046512,1448,9.30232558139535,259930,0.0,0.9205472666868016,9236.110876321793,130.2327594690807,0.0005080909,0.0005080909
0.81140125,0.008360507,2300.9302325581393,0.6976744186046512,1491,9.30232558139535,269997,0.0,0.9409326177698271,9556.297988891602,131.6771617796574,3.456131e-05,3.456131e-05
0.71865046,0.009166308,2433.5,0.0,1531,10.0,279997,0.0,0.9733999999999998,9855.76985836029,138.9230746737678,0.00011435875,0.00011435875
0.62112373,0.01016177,2408.0,0.25,1571,9.75,289758,0.0,0.9653727272727274,10169.067163944244,137.6763490243548,0.0002464072,0.0002464072
