MpbtA,entloss,meankl,AttNC,Tmt,Tmc,Ptt,surrgain,TimestepsSoFar,EpisodesSoFar,TimeElapsed,optimgain,MtR,Tbt,MpbtN,AttC,TtR,entropy
5.172528136457838,0.0,0.008671932,0.0,80.05822416302766,23.933042212518195,77.92399384774382,0.009612934,9997,687,1604.720909357071,0.009612934,-70.96826331621996,327918.4861717613,94.82747186354204,3.0,-227.70305676855895,0.6844857
6.250538910907085,0.0,0.009730113,0.0,80.74659863945578,23.246598639455783,78.56396302356737,0.008481099,19990,1275,2984.787970304489,0.008481099,-69.93691736903814,330738.0680272109,93.74946108909293,3.0,-227.04591836734693,0.6564603
7.164735095778491,0.0,0.009687657,0.0,80.77955911823648,23.20240480961924,78.60315687691379,0.009522797,29994,1774,4128.447114229202,0.009522797,-68.28473038391961,330873.0741482966,92.83526490422145,3.0,-224.91583166332666,0.6091935
8.499544448920288,0.0,0.009404395,0.0,81.64420485175202,22.318059299191376,79.4236967970956,0.011024807,39970,2145,4989.244500160217,0.011024807,-65.97712950333352,334414.6630727763,91.50045555107972,3.0,-224.02964959568735,0.5448081
10.84821691083638,0.0,0.008492213,0.004166666666666667,81.39166666666667,22.595833333333335,79.16958136194889,0.0068028946,49986,2385,5560.351963758469,0.0068028946,-60.534785081933364,333380.26666666666,89.15178308916364,2.995833333333333,-217.6375,0.4787253
17.81312934763874,0.0,0.007817509,0.009174311926605505,81.1559633027523,22.844036697247706,78.94133467400952,0.0060518044,59940,2494,5833.848918914795,0.0060518044,-47.51476964520923,332414.8256880734,82.18687065236126,2.9908256880733943,-200.1743119266055,0.41547972
26.259732302501813,0.0,0.007527142,0.203125,80.8125,23.171875,78.63620315682557,0.004307209,69916,2558,6006.938861608505,0.004307209,-37.502012748056366,331008.0,73.7402676974982,2.796875,-178.875,0.3425879
32.519872018589545,0.0,0.004222601,1.7619047619047619,79.57142857142857,24.428571428571427,77.46910823972026,0.003186918,79853,2600,6147.322858333588,0.003186918,-31.691221775860473,325924.5714285714,67.48012798141046,1.2380952380952381,-161.28571428571428,0.30726779
33.632531256842846,0.0,0.002622415,1.3255813953488371,78.83720930232558,25.162790697674417,76.78347233773856,0.0028169355,89930,2643,6284.998367071152,0.0028169355,-30.950870767205128,322917.20930232556,66.36746874315715,1.6744186046511629,-157.1860465116279,0.31812492
32.91908490978852,0.0,0.0041621914,1.2682926829268293,78.63414634146342,25.365853658536587,76.595456588302,0.0037761596,99772,2684,6419.547100067139,0.0037761596,-31.344560737380224,322085.46341463417,67.08091509021148,1.7317073170731707,-158.26829268292684,0.3697902
35.22349965289261,0.0,0.003925961,0.8695652173913043,78.6304347826087,25.369565217391305,76.59258024855977,0.003116573,109998,2730,6559.23507142067,0.003116573,-30.15462034114403,322070.26086956525,64.77650034710737,2.130434782608696,-153.0,0.33231914
35.03363073640462,0.0,0.005686731,1.2926829268292683,78.34146341463415,25.658536585365855,76.32072347965602,0.004855254,119985,2771,6693.277052402496,0.004855254,-29.547515263516004,320886.6341463415,64.96636926359535,1.7073170731707317,-152.78048780487805,0.38046134
35.85578576870335,0.0,0.002041658,0.6818181818181818,77.86363636363636,26.136363636363637,75.87703668929701,0.0015968302,129998,2815,6829.930705785751,0.0015968302,-28.97190310854538,318929.45454545453,64.14421423129666,2.3181818181818183,-149.86363636363637,0.37141868
34.13915012592389,0.0,0.003221831,0.9767441860465116,77.72093023255815,26.27906976744186,75.74209962130926,0.002966463,139843,2858,6968.749794006348,0.002966463,-30.035868176263207,318344.93023255817,65.8608498740761,2.0232558139534884,-153.8372093023256,0.37390736
34.52391938358156,0.0,0.005285617,1.0217391304347827,78.45652173913044,25.543478260869566,76.4306530046812,0.004401228,149925,2904,7106.115204572678,0.004401228,-31.28720264283023,321357.9130434783,65.47608061641841,1.9782608695652173,-154.2391304347826,0.33115482
36.6572914877565,0.0,0.0032198841,0.9302325581395349,78.6046511627907,25.3953488372093,76.5667001881645,0.0032523875,159823,2947,7241.419477701187,0.0032523875,-30.060165255786234,321964.6511627907,63.342708512243505,2.0697674418604652,-149.72093023255815,0.35180962
34.65307788082284,0.0,0.0029887818,0.8604651162790697,78.3953488372093,25.6046511627907,76.37248082935217,0.003017688,169827,2990,7377.304620265961,0.003017688,-30.26525908292038,321107.3488372093,65.34692211917717,2.13953488372093,-153.90697674418604,0.3418394
34.32166957515665,0.0,0.004676021,1.3953488372093024,78.06976744186046,25.953488372093023,76.05323650796467,0.0039977315,179849,3033,7517.863054990768,0.0039977315,-30.831469883304983,319773.76744186046,65.67833042484332,1.6046511627906976,-153.90697674418604,0.35321915
36.47905079587229,0.0,0.003222114,1.1333333333333333,78.28888888888889,25.711111111111112,76.27566730484548,0.0025236786,189945,3078,7653.692364454269,0.0025236786,-29.65859964054388,320671.2888888889,63.52094920412771,1.8666666666666667,-149.33333333333334,0.37865528
35.7616625274823,0.0,0.005557733,0.7906976744186046,78.23255813953489,25.767441860465116,76.22063632362745,0.0035823223,199975,3121,7788.487645864487,0.0035823223,-29.3529822826832,320440.5581395349,64.2383374725177,2.2093023255813953,-150.8372093023256,0.379386
36.57519945796838,0.0,0.003868066,1.0952380952380953,78.30952380952381,25.69047619047619,76.2926078456292,0.0033934047,209838,3163,7920.576041460037,0.0033934047,-29.320694216816882,320755.8095238095,63.424800542031626,1.9047619047619047,-149.07142857142858,0.35594082
37.64335046232028,0.0,0.0041803205,1.3181818181818181,77.75,26.25,75.77216323434612,0.0038089,219964,3207,8056.0208439826965,0.0038089,-29.043853660061302,318464.0,62.35664953767971,1.6818181818181819,-145.4318181818182,0.32639712
35.23854579586613,0.0,0.004874124,0.7333333333333333,77.64444444444445,26.355555555555554,75.67165223392173,0.003485547,229871,3252,8200.82849574089,0.003485547,-30.130119957796115,318031.64444444445,64.76145420413386,2.2666666666666666,-150.93333333333334,0.3129967
36.16470458977458,0.0,0.0032714112,1.4523809523809523,78.47619047619048,25.523809523809526,76.4456562061352,0.0024040292,239785,3294,8335.885128498077,0.0024040292,-29.995664319793292,321438.4761904762,63.83529541022544,1.5476190476190477,-150.28571428571428,0.31853658
36.70296773120142,0.0,0.0042865323,1.2325581395348837,77.69767441860465,26.302325581395348,75.72154462791826,0.0038929626,249811,3337,8469.37595820427,0.0038929626,-29.879762241029162,318249.67441860464,63.29703226879861,1.7674418604651163,-147.62790697674419,0.34070978
37.90490212143106,0.0,0.006586506,0.8409090909090909,78.77272727272727,25.227272727272727,76.72398512652889,0.004024241,259943,3381,8603.92167210579,0.004024241,-28.774845430654707,322653.0909090909,62.095097878568914,2.159090909090909,-147.0,0.31824964
37.50397929339509,0.0,0.005648276,1.3863636363636365,77.93181818181819,26.068181818181817,75.94015861191794,0.004676113,269900,3425,8744.64783525467,0.004676113,-29.231678209817645,319208.7272727273,62.496020706604924,1.6136363636363635,-146.1818181818182,0.32154942
37.42380195689313,0.0,0.0061242194,0.8372093023255814,77.90697674418605,26.093023255813954,75.91689595234823,0.003039789,279893,3468,8883.25889801979,0.003039789,-29.015504471376026,319106.9767441861,62.57619804310686,2.1627906976744184,-146.4418604651163,0.3183224
35.19361758688651,0.0,0.003880196,1.3095238095238095,77.71428571428571,26.285714285714285,75.73575496816152,0.0032360617,289862,3510,9017.586040973663,0.0032360617,-29.814087798144016,318317.71428571426,64.80638241311351,1.6904761904761905,-151.5,0.35074827
