Fce,EpisodesSoFar,entloss,entropy,surrgain,TtR,AttC,TimestepsSoFar,TimeElapsed,meankl,MtR,AttNC,optimgain
0.4117,1471,0.0,1.1509391,0.00077949354,1029.25,2.95,339830,2445.264079093933,0.005608155,59.64007701022492,7.05,0.00077949354
0.42972486772486773,1513,0.0,1.1394656,0.000615997,1048.3333333333333,2.4761904761904763,349842,2518.9317486286163,0.0032218667,60.888745937941025,7.523809523809524,0.000615997
0.44188617886178855,1554,0.0,1.0996667,0.0007552861,1084.6341463414635,2.7804878048780486,359845,2592.047612428665,0.0040548723,62.85721504859311,7.219512195121951,0.0007552861
0.4454316300163477,1597,0.0,1.0478668,0.00097040285,1090.2325581395348,2.9302325581395348,369908,2666.979431629181,0.0058173207,63.34232653339218,7.069767441860465,0.00097040285
0.5495100742311771,1638,0.0,1.0140797,0.00085516233,1364.1463414634147,1.8048780487804879,379931,2742.513522386551,0.0048067286,78.32802705455771,8.195121951219512,0.00085516233
0.5287441860465115,1681,0.0,0.99650127,0.0011316695,1310.9302325581396,2.627906976744186,389964,2817.0593156814575,0.007845519,75.68371421609888,7.372093023255814,0.0011316695
0.5326133003151144,1722,0.0,0.9701333,0.000726471,1320.7317073170732,1.9268292682926829,399838,2895.4954051971436,0.00443867,76.25592372505348,8.073170731707316,0.000726471
0.5828038176033934,1763,0.0,0.94616175,0.000887269,1452.1951219512196,1.4878048780487805,409861,2968.357433080673,0.0042053466,83.51017010961026,8.512195121951219,0.000887269
0.6164803001876173,1804,0.0,0.91240907,0.0010015455,1536.341463414634,1.5609756097560976,419926,3045.487277030945,0.0055320533,88.21380215460914,8.439024390243903,0.0010015455
0.6647619047619046,1846,0.0,0.88311726,0.0010113872,1650.2380952380952,1.6428571428571428,429934,3117.324175596237,0.004680429,94.74023774703609,8.357142857142858,0.0010113872
0.746118466898955,1887,0.0,0.8522559,0.0011605845,1856.8292682926829,0.4634146341463415,439941,3194.892555952072,0.0058178552,106.34942381072246,9.536585365853659,0.0011605845
0.7277,1927,0.0,0.843012,0.0008831926,1819.25,1.175,449941,3268.503028154373,0.0042949347,104.0040452373524,8.825,0.0008831926
0.6948000000000001,1967,0.0,0.8317814,0.0006831707,1737.0,1.375,459941,3344.7384259700775,0.0030175238,99.58316741108351,8.625,0.0006831707
0.7333000000000002,2007,0.0,0.80157936,0.0013328139,1833.25,0.8,469941,3419.1182453632355,0.0041844444,104.8061164491223,9.2,0.0013328139
0.7646000000000001,2047,0.0,0.7741153,0.0010604971,1911.5,0.875,479941,3493.768433570862,0.004896332,109.54463018218155,9.125,0.0010604971
0.7861654801455467,2090,0.0,0.7455378,0.001031003,1921.3953488372092,0.9069767441860465,489998,3569.6494851112366,0.0049816645,109.85573789671403,9.093023255813954,0.001031003
0.8112999999999999,2130,0.0,0.7551471,0.00080558733,2028.25,0.575,499998,3644.4242548942566,0.004189865,116.10918783709107,9.425,0.00080558733
0.8517000000000001,2170,0.0,0.73827446,0.00085254334,2129.25,0.225,509998,3720.389235973358,0.0028177234,121.67149294785729,9.775,0.00085254334
0.8532000000000002,2210,0.0,0.7334253,0.00072076125,2133.0,0.225,519998,3795.111891746521,0.0028825342,121.88011637011701,9.775,0.00072076125
0.8569000000000001,2250,0.0,0.71093047,0.0008402802,2142.25,0.225,529998,3870.6171023845673,0.0035475662,122.51817697621618,9.775,0.0008402802
0.8132000000000001,2290,0.0,0.7072698,0.0007537024,2022.5,0.85,539823,3948.806911468506,0.0038798624,115.91711946809096,9.15,0.0007537024
0.8136770186335405,2332,0.0,0.6835938,0.0012464978,2012.142857142857,0.7857142857142857,549871,4022.3322751522064,0.005309371,115.0410969229635,9.214285714285714,0.0012464978
0.8646000000000003,2372,0.0,0.67681843,0.0008221792,2161.5,0.0,559871,4098.253564119339,0.0032647436,123.52650216361307,10.0,0.0008221792
0.8825000000000003,2412,0.0,0.63623035,0.0012553063,2206.25,0.2,569871,4172.916850805283,0.007612971,126.2107709382972,9.8,0.0012553063
0.9032,2452,0.0,0.6463627,0.0007434515,2258.0,0.3,579871,4248.364422082901,0.003371225,128.96254392883753,9.7,0.0007434515
0.9342999999999998,2492,0.0,0.6589961,0.0004536132,2335.75,0.0,589871,4322.69084072113,0.0015644181,133.4934730960434,10.0,0.0004536132
0.9198999999999998,2532,0.0,0.6672306,0.001029424,2299.75,0.225,599871,4394.930543899536,0.003831987,131.29648017548104,9.775,0.001029424
0.9229,2572,0.0,0.6648189,0.00065240264,2307.25,0.0,609871,4466.664666414261,0.0029927015,132.06804334077364,10.0,0.00065240264
0.891,2612,0.0,0.6443487,0.00057835307,2227.5,0.475,619871,4538.382620334625,0.0036835645,127.21305171706777,9.525,0.00057835307
0.8779999999999998,2652,0.0,0.6364761,0.0011007726,2195.0,0.525,629871,4610.350734233856,0.005402788,125.25859754830326,9.475,0.0011007726
0.9286000000000001,2692,0.0,0.6606081,0.00088926207,2321.5,0.0,639871,4683.337715387344,0.0048749098,132.62855687906006,10.0,0.00088926207
0.8965000000000002,2732,0.0,0.61298424,0.0008449669,2241.25,0.225,649871,4754.857711315155,0.0054259705,128.39806413976703,9.775,0.0008449669
0.9273999999999999,2772,0.0,0.5986246,0.0006584998,2318.5,0.05,659871,4826.5215356349945,0.0034163953,132.54426540597936,9.95,0.0006584998
0.9427,2812,0.0,0.6021734,0.0006801181,2356.75,0.0,669871,4897.642797708511,0.0037737228,134.59362910176725,10.0,0.0006801181
0.8966000000000001,2852,0.0,0.5757377,0.00081480545,2241.5,0.45,679871,4968.985260009766,0.0034439918,128.03274847268642,9.55,0.00081480545
0.8940981240981242,2894,0.0,0.5806884,0.0013438835,2224.285714285714,0.6904761904761905,689907,5040.662081718445,0.0060115852,127.14413185312853,9.30952380952381,0.0013438835
0.9414000000000001,2934,0.0,0.57559407,0.00072355627,2353.5,0.0,699907,5111.314776420593,0.003998693,134.4452894047206,10.0,0.00072355627
0.9313,2974,0.0,0.5729757,0.0010734174,2328.25,0.0,709907,5183.365004062653,0.0040427144,133.24901475935232,10.0,0.0010734174
0.9298,3014,0.0,0.5744868,0.0013674496,2324.5,0.0,719907,5255.649171113968,0.0044561294,132.8935872107474,10.0,0.0013674496
0.9347000000000001,3054,0.0,0.59750366,0.001209881,2336.75,0.0,729907,5330.360454082489,0.005040141,133.62350095001477,10.0,0.001209881
