Fce,TtR,meankl,EpisodesSoFar,surrgain,optimgain,AttNC,MtR,entropy,AttC,TimestepsSoFar,TimeElapsed,entloss
0.1458969167866392,104.5813953488372,0.0045280377,14747,0.00062107545,0.00062107545,1.372093023255814,19.69581208283511,0.51717335,1.627906976744186,3359920,14855.723154067993,0.0
0.16905646407621824,117.78571428571429,0.006070082,14789,0.00082074787,0.00082074787,1.3571428571428572,22.334092451725137,0.4645453,1.6428571428571428,3369945,14896.908250808716,0.0
0.1581,118.575,0.0071300925,14829,0.0012301939,0.0012301939,1.65,21.975457318174442,0.46548465,1.35,3379945,14937.897645235062,0.0
0.15588641975308642,115.35,0.009603558,14869,0.0018409538,0.0018409538,1.75,21.712460005973053,0.441202,1.25,3389776,14978.567457914352,0.0
0.15877776481114092,114.73170731707317,0.006308361,14910,0.0015606217,0.0015606217,1.3170731707317074,21.96860640758424,0.49987164,1.6829268292682926,3399768,15022.141391277313,0.0
0.1615399744056038,116.64285714285714,0.008799655,14952,0.0011862862,0.0011862862,1.6666666666666667,22.14579455177896,0.4667685,1.3333333333333333,3409904,15063.041826725006,0.0
0.14185365853658535,106.39024390243902,0.008477844,14993,0.0019476512,0.0019476512,1.951219512195122,20.06458326758317,0.3838909,1.048780487804878,3419905,15105.707687854767,0.0
0.1513650843514976,109.07142857142857,0.005381666,15035,0.001304307,0.001304307,2.0238095238095237,20.39646094220384,0.38045377,0.9761904761904762,3429814,15146.498677015305,0.0
0.1508,113.1,0.0063071228,15075,0.0014195088,0.0014195088,1.95,21.082666853877548,0.43135646,1.05,3439814,15188.514642953873,0.0
0.15530000000000005,116.475,0.006705866,15115,0.0011544271,0.0011544271,2.25,21.609465117915754,0.43914738,0.75,3449814,15231.04558300972,0.0
0.1516,113.7,0.005793421,15155,0.0010989299,0.0010989299,1.8,21.120715133688698,0.47106755,1.2,3459814,15271.869058609009,0.0
0.15817392178869835,116.1951219512195,0.0058664125,15196,0.0011554891,0.0011554891,1.853658536585366,21.849905508085197,0.4769658,1.146341463414634,3469834,15313.437477111816,0.0
0.15431835570265234,107.18181818181819,0.0060796784,15240,0.001208521,0.001208521,1.4545454545454546,20.629822075649233,0.4984147,1.5454545454545454,3479924,15355.640968799591,0.0
