TimestepsSoFar,TimeElapsed,meankl,entloss,Fce,entropy,optimgain,AttNC,surrgain,EpisodesSoFar,TtR,AttC,MtR
9828,148.84164953231812,0.0011989939,0.0,0.17603277740287288,1.419025,1.8892211e-05,3.073170731707317,1.8892211e-05,41,428.5365853658537,6.926829268292683,24.701296625156427
19935,280.0385174751282,0.0053674965,0.0,0.16566363419731062,1.4147178,0.00015480087,2.4565217391304346,0.00015480087,87,385.0,7.543478260869565,22.427948334147754
29958,422.34819412231445,0.0041601076,0.0,0.15793849416755035,1.4180251,0.00025601045,3.292682926829268,0.00025601045,128,392.4390243902439,6.7073170731707314,22.221667095974123
39771,551.5372886657715,0.00042267362,0.0,0.18100686305564356,1.4130969,0.00029861665,2.9047619047619047,0.00029861665,170,432.14285714285717,7.095238095238095,25.07220309285465
49829,688.4217190742493,0.0037479242,0.0,0.16462974280621337,1.4131966,0.00037195816,2.5,0.00037195816,214,397.27272727272725,7.5,22.760749524262383
59829,824.030350446701,0.0021393278,0.0,0.168,1.4148082,0.0004600218,3.8,0.0004600218,254,420.0,6.2,24.30883566704049
69854,964.1971805095673,0.0016151442,0.0,0.1743414634146342,1.4182022,0.0005807948,3.8292682926829267,0.0005807948,295,427.0731707317073,6.170731707317073,24.89616784571139
79936,1099.731692314148,0.0036825312,0.0,0.1671973133339357,1.4171278,0.0007057933,3.2142857142857144,0.0007057933,337,404.76190476190476,6.785714285714286,23.217395574258415
89936,1237.269590139389,0.003905913,0.0,0.1557,1.4147394,0.0016478656,3.875,0.0016478656,377,389.25,6.125,22.4378904029276
99943,1377.403592824936,0.0021133043,0.0,0.13541463414634144,1.410658,0.0015795713,4.0,0.0015795713,418,338.5365853658537,6.0,19.380949144791746
109943,1509.9564695358276,0.0016749174,0.0,0.11930000000000004,1.4033339,0.0017150966,5.175,0.0017150966,458,298.25,4.825,16.88509476118349
119952,1657.6931133270264,0.0014942273,0.0,0.11668292682926833,1.3947762,0.001256988,4.609756097560975,0.001256988,499,291.7073170731707,5.390243902439025,16.499118231598317
129936,1790.0780282020569,0.0015382522,0.0,0.11340391375628363,1.391965,0.001136153,4.951219512195122,0.001136153,540,277.8048780487805,5.048780487804878,15.944436033802232
139918,1935.610309123993,0.0015944446,0.0,0.11227529543239083,1.377985,0.0010449603,4.928571428571429,0.0010449603,582,263.3333333333333,5.071428571428571,15.264987921705012
149851,2072.8709709644318,0.0047805174,0.0,0.11621945329670162,1.3759736,0.0013847396,3.891304347826087,0.0013847396,628,252.6086956521739,6.108695652173913,14.919732317557878
159863,2210.697705745697,0.006785084,0.0,0.1111912037073819,1.3578548,0.0011087629,4.6521739130434785,0.0011087629,674,233.04347826086956,5.3478260869565215,13.624621655200112
169926,2344.601343870163,0.011486408,0.0,0.09521734979354313,1.3636613,0.002430244,5.061224489795919,0.002430244,723,197.14285714285714,4.938775510204081,11.733381603329127
179944,2486.843364238739,0.0022503263,0.0,0.11607758228503647,1.3552209,0.0013293945,4.033898305084746,0.0013293945,782,185.42372881355934,5.966101694915254,11.619171137157355
189915,2626.605071783066,0.0036653231,0.0,0.12067772179686187,1.3493023,0.0012893045,3.1846153846153844,0.0012893045,847,167.53846153846155,6.815384615384615,10.733549385523187
199786,2768.004950284958,0.0030494602,0.0,0.11725460419975978,1.3466163,0.0018466864,4.019607843137255,0.0018466864,898,216.66666666666666,5.980392156862745,13.073632290812366
209903,2896.2987942695618,0.0070433863,0.0,0.11684669235505325,1.3479569,0.00189024,4.019607843137255,0.00189024,949,221.1764705882353,5.980392156862745,13.805324854143292
219940,3042.734981775284,0.0043378286,0.0,0.10357242806108644,1.3483884,0.001349736,5.119047619047619,0.001349736,991,248.57142857142858,4.880952380952381,14.31524790655997
229886,3173.5913574695587,0.008001941,0.0,0.1067930158029443,1.3364136,0.0018356292,5.119047619047619,0.0018356292,1033,243.57142857142858,4.880952380952381,14.067838921916545
239886,3303.318056344986,0.00201071,0.0,0.09090000000000006,1.3458132,0.00084185257,5.825,0.00084185257,1073,227.25,4.175,12.723832445025838
249886,3440.2673151493073,0.0011802304,0.0,0.09240000000000005,1.3403467,0.00037857026,5.425,0.00037857026,1113,231.0,4.575,13.13906123315084
259804,3582.631249666214,0.003467483,0.0,0.08796900660315299,1.3518181,0.0006332699,5.536585365853658,0.0006332699,1154,209.02439024390245,4.463414634146342,11.866466964866298
269937,3718.7413017749786,0.007657431,0.0,0.09517371624419056,1.3591275,1.5375825e-05,5.674418604651163,1.5375825e-05,1197,214.41860465116278,4.325581395348837,12.551388027254905
279957,3856.6829760074615,0.0026488272,0.0,0.10954608463740773,1.3543141,0.0010147472,4.777777777777778,0.0010147472,1242,228.88888888888889,5.222222222222222,13.629536871953924
289890,4001.8285553455353,0.0052212244,0.0,0.12076852840397198,1.3574773,0.0014347885,3.923076923076923,0.0014347885,1294,214.23076923076923,6.076923076923077,12.830207208396
299930,4137.6418623924255,0.012059601,0.0,0.11129726846616264,1.3604709,0.0021720678,3.9272727272727272,0.0021720678,1349,187.0909090909091,6.072727272727272,11.622141877261521
309829,4269.560111761093,0.006686355,0.0,0.1303970484259615,1.362179,0.0013681409,3.015873015873016,0.0013681409,1412,185.71428571428572,6.984126984126984,11.623982270387197
319911,4410.06498169899,0.0021160163,0.0,0.11485759913572988,1.3749353,0.0017134396,3.689655172413793,0.0017134396,1470,185.0,6.310344827586207,11.593793353982871
329913,4545.596008062363,0.0027893104,0.0,0.11413079494995984,1.3789064,0.00067154295,4.290909090909091,0.00067154295,1525,175.0909090909091,5.709090909090909,10.697558847208999
339956,4691.333548545837,0.007422428,0.0,0.11927210570459011,1.3744452,0.0012799539,4.739130434782608,0.0012799539,1571,238.91304347826087,5.260869565217392,14.168365751458976
349981,4819.32598400116,0.00578886,0.0,0.0897577333654813,1.3741316,0.00015322266,5.488372093023256,0.00015322266,1614,206.51162790697674,4.511627906976744,11.897422568468716
359981,4966.353046417236,0.001129392,0.0,0.08760000000000004,1.3759294,0.00034733795,5.975,0.00034733795,1654,219.0,4.025,12.651888752776681
