TtR,Tmc,AttC,surrgain,TimestepsSoFar,TimeElapsed,MtR,Tbt,meankl,entloss,Tmt,MpbtA,MpbtN,AttNC,optimgain,Ptt,entropy,EpisodesSoFar
-228.3485294117647,23.754411764705882,3.0,0.01037562,9985,1530.6832468509674,-71.1239281849672,328667.8588235294,0.008873753,0.0,80.24117647058823,5.1157986893181056,94.88420131068169,0.0,0.01037562,78.0915812240939,0.6842563,680
-226.59390862944161,23.526226734348562,3.0,0.006772377,19986,2870.9736700057983,-69.80954500355925,329606.7140439932,0.010232222,0.0,80.47038917089678,6.108452212560936,93.89154778743898,0.0,0.006772377,78.30413175613464,0.6561256,1271
-225.22058823529412,22.897058823529413,3.0,0.006473291,29987,3966.155096054077,-68.07426060539242,332180.4369747899,0.010913609,0.0,81.09873949579831,7.409268964232597,92.59073103576736,0.0,0.006473291,78.8904327646694,0.61003274,1747
-223.6,22.637333333333334,3.0,0.008939406,39997,4828.2264316082,-65.87352244661972,333206.86933333334,0.009725155,0.0,81.34933333333333,8.361724526208718,91.63827547379132,0.0,0.008939406,79.13058837790082,0.55471766,2122
-218.40963855421685,22.686746987951807,3.0,0.008175131,49976,5410.502342939377,-60.94457885762123,333026.1847389558,0.009580908,0.0,81.30522088353413,10.435668424515073,89.56433157548494,0.0,0.008175131,79.08513471579157,0.498864,2371
-206.82222222222222,22.814814814814813,2.9925925925925925,0.0076412,59984,5722.035019874573,-51.4858394300333,332413.15555555554,0.008877253,0.0,81.15555555555555,15.049205151094787,84.9507948489052,0.007407407407407408,0.0076412,78.96380838795085,0.45398062,2506
-179.12307692307692,23.6,2.7384615384615385,0.0035499334,69998,5874.523295879364,-37.89578758721711,329255.3846153846,0.005503536,0.0,80.38461538461539,25.804222201035156,74.19577779896484,0.26153846153846155,0.0035499334,78.23716613824162,0.3911483,2571
-160.42857142857142,23.88095238095238,1.7142857142857142,0.0037199676,79837,5989.573256254196,-31.271188054513694,328167.61904761905,0.007610073,0.0,80.11904761904762,33.346498154523175,66.65350184547682,1.2857142857142858,0.0037199676,77.98178685245718,0.44882756,2613
-185.16666666666666,23.541666666666668,2.8472222222222223,0.0058911475,89982,6159.359338521957,-40.0948376647066,329557.3333333333,0.00841888,0.0,80.45833333333333,23.40532628483462,76.59467371516536,0.1527777777777778,0.0058911475,78.29337242890199,0.42143905,2685
-159.0,24.658536585365855,1.146341463414634,0.002686789,99978,6271.804039716721,-30.35941367278174,324982.6341463415,0.0061658192,0.0,79.34146341463415,33.15755949336736,66.84244050663263,1.853658536585366,0.002686789,77.25583711087603,0.40712634,2726
-165.52941176470588,25.254901960784313,2.372549019607843,0.00411918,109911,6404.808929204941,-33.32379402435414,322539.92156862747,0.007956341,0.0,78.74509803921569,29.917281527624763,70.08271847237523,0.6274509803921569,0.00411918,76.69752201214833,0.37712044,2777
