AttNC,TtR,optimgain,surrgain,entloss,EpisodesSoFar,entropy,TimestepsSoFar,TimeElapsed,MtR,Fce,AttC,meankl
2.688888888888889,369.55555555555554,5.488159e-05,5.488159e-05,0.0,45,1.4169921,9916,76.88339734077454,21.676110337601006,0.15692438200462352,7.311111111111111,0.0016888825
2.4545454545454546,445.90909090909093,0.00011623841,0.00011623841,0.0,89,1.4190671,19881,152.76736450195312,26.037455166023275,0.1891758419084292,7.545454545454546,0.00047800786
2.4186046511627906,407.6744186046512,0.0002398278,0.0002398278,0.0,132,1.438976,29958,223.7031102180481,23.583080325082665,0.16922788186925272,7.5813953488372094,0.006191002
3.292682926829268,418.0487804878049,0.00023840279,0.00023840279,0.0,173,1.4524475,39780,296.3630225658417,24.118565419370654,0.17225845100556272,6.7073170731707314,0.0010115557
3.116279069767442,388.3720930232558,0.00025605972,0.00025605972,0.0,216,1.4689531,49893,366.6749336719513,22.54284214663059,0.16657883682743346,6.883720930232558,0.0039000397
2.5813953488372094,387.2093023255814,0.00017683457,0.00017683457,0.0,259,1.484374,59823,437.47764706611633,22.52552306618972,0.16070178000087212,7.4186046511627906,0.0016916944
2.8333333333333335,398.3333333333333,0.00018575134,0.00018575134,0.0,301,1.4938531,69869,508.1777081489563,23.08883023159936,0.16298012298012296,7.166666666666667,0.0052378466
2.4565217391304346,445.4347826086956,0.00042897477,0.00042897477,0.0,347,1.4895705,79791,582.0472044944763,26.14721562350304,0.1939791799381557,7.543478260869565,0.0017127466
2.3777777777777778,394.0,0.00024096268,0.00024096268,0.0,392,1.4775399,89922,653.8735928535461,22.732233809451046,0.1697799024021246,7.622222222222222,0.0013819345
3.2093023255813953,394.1860465116279,0.00024071212,0.00024071212,0.0,435,1.4458011,99782,730.9738690853119,23.071145940273233,0.16664575781698834,6.790697674418604,0.0031825176
3.3333333333333335,436.0416666666667,0.00035116225,0.00035116225,0.0,483,1.448663,109945,804.2395889759064,25.3689117429885,0.19331118434908082,6.666666666666667,0.0020439795
2.509433962264151,416.22641509433964,0.0014419968,0.0014419968,0.0,536,1.4380308,119921,879.974497795105,24.61059379334674,0.19513281625849335,7.490566037735849,0.0045267674
3.297872340425532,504.0425531914894,0.00035943466,0.00035943466,0.0,583,1.4434294,129904,952.3190162181854,29.712345068926652,0.22278108578043695,6.702127659574468,0.0031084106
3.7333333333333334,508.0,0.0009056714,0.0009056714,0.0,628,1.42607,139922,1025.4374306201935,29.915005079399933,0.2182203794774326,6.266666666666667,0.005563429
4.260869565217392,636.7391304347826,0.0010721113,0.0010721113,0.0,674,1.4125313,149949,1095.5328619480133,37.52019506005174,0.2728512735354295,5.739130434782608,0.0031326513
3.796875,546.40625,0.0012503072,0.0012503072,0.0,738,1.3874515,159960,1166.083967924118,33.00625093281751,0.270776934193634,6.203125,0.00223902
4.372881355932203,627.457627118644,0.00047636157,0.00047636157,0.0,797,1.3328372,169925,1236.4285089969635,37.64682952384738,0.30321250022773877,5.627118644067797,0.0042630387
4.4655172413793105,694.8275862068965,0.00088291796,0.00088291796,0.0,855,1.2908965,179911,1307.8023998737335,41.772715999110545,0.3379361800307278,5.5344827586206895,0.0068625594
5.810344827586207,887.2413793103449,0.0009055185,0.0009055185,0.0,913,1.2558714,189900,1379.4952054023743,52.063472788125104,0.41282620837976536,4.189655172413793,0.0047738682
6.6923076923076925,1054.2307692307693,0.0005747929,0.0005747929,0.0,965,1.221115,199757,1453.1718180179596,61.34590758525291,0.47272896152912103,3.3076923076923075,0.003751153
6.245614035087719,1047.1929824561403,0.00056983903,0.00056983903,0.0,1022,1.1639438,209791,1525.4111969470978,60.99523966601235,0.4840809355453906,3.754385964912281,0.005375266
6.103448275862069,1084.4827586206898,0.00070403796,0.00070403796,0.0,1080,1.124574,219946,1600.711477279663,63.1008853231649,0.4868945306053287,3.896551724137931,0.0043773632
6.654545454545454,1230.1818181818182,0.00061507843,0.00061507843,0.0,1135,1.0744593,229758,1673.892620563507,71.42031578787534,0.5762868260055819,3.3454545454545452,0.0066947606
8.565217391304348,1669.5652173913043,0.0009145405,0.0009145405,0.0,1181,1.0422508,239846,1745.0659081935883,96.04122242674481,0.6947506444406255,1.434782608695652,0.0048160236
6.875,1454.4642857142858,0.0006254576,0.0006254576,0.0,1237,0.98870814,249921,1815.3946151733398,83.73969151669442,0.6367954560844603,3.125,0.004196756
8.020833333333334,1723.9583333333333,0.0009895742,0.0009895742,0.0,1285,0.9475097,259862,1886.320130109787,99.27813669447757,0.7299101094983448,1.9791666666666667,0.006434324
8.866666666666667,2026.0,0.0004931428,0.0004931428,0.0,1330,0.8940828,269981,1954.0550191402435,116.11631716756929,0.8391081631081633,1.1333333333333333,0.0061057843
9.214285714285714,2185.9523809523807,0.00038514647,0.00038514647,0.0,1372,0.85799,279754,2022.4896793365479,124.96441956375752,0.8845820105820104,0.7857142857142857,0.0035060914
8.866666666666667,2158.222222222222,8.872597e-05,8.872597e-05,0.0,1417,0.8067628,289939,2091.9621245861053,123.82349524969058,0.8921063180827886,1.1333333333333333,0.0031397925
8.863636363636363,2171.590909090909,0.00012783012,0.00012783012,0.0,1461,0.71289015,299752,2158.96147108078,124.47297710331023,0.901744601439616,1.1363636363636365,0.009400141
9.731707317073171,2406.3414634146343,0.0006298881,0.0006298881,0.0,1502,0.6156681,309757,2226.683205127716,137.55702581724978,0.967317073170732,0.2682926829268293,0.010094867
