entropy,AttNC,entloss,surrgain,meankl,AttC,Fce,TimeElapsed,TtR,MtR,optimgain,EpisodesSoFar,TimestepsSoFar
1.4043531,2.4,0.0,0.0001379274,0.0028631147,7.6,0.16430000000000003,329.69859743118286,410.75,23.651261718907072,0.0001379274,40,10000
1.401737,2.5531914893617023,0.0,0.00081637717,0.0017868207,7.446808510638298,0.17701810545022564,681.5864782333374,408.72340425531917,24.0255778852286,0.00081637717,87,19901
1.3991263,2.183673469387755,0.0,0.00062111573,0.002592582,7.816326530612245,0.18124027492466221,1014.9090211391449,393.46938775510205,23.437431806835956,0.00062111573,136,29971
1.3995326,1.5714285714285714,0.0,0.00089486194,0.0065624546,8.428571428571429,0.17152069779020207,1381.630787372589,302.6984126984127,18.982583199677823,0.00089486194,199,39971
1.391414,1.5930232558139534,0.0,0.0039920094,0.005318996,8.406976744186046,0.19339980615646277,1779.7831661701202,277.4418604651163,17.74175538392772,0.0039920094,285,49865
1.3760313,2.8,0.0,0.0017307773,0.0023308676,7.2,0.24399974943626596,2168.7455401420593,417.0,26.061217449206712,0.0017307773,355,59754
1.3521758,2.311111111111111,0.0,0.0013535669,0.0019710378,7.688888888888889,0.2462125996815265,2541.154726266861,348.3333333333333,22.174610376546333,0.0013535669,445,69965
1.3342772,3.9452054794520546,0.0,0.00075018493,0.008063861,6.054794520547945,0.27149955921077756,2987.794425010681,452.4657534246575,27.35550192855781,0.00075018493,518,79968
1.3296491,4.045454545454546,0.0,0.00075857283,0.002410144,5.954545454545454,0.3194708669083958,3410.8200826644897,566.2121212121212,34.29679952495159,0.00075857283,584,89767
1.292652,3.72972972972973,0.0,0.0006316486,0.0023124355,6.27027027027027,0.3076268931625985,3836.534942150116,556.7567567567568,33.67422074609626,0.0006316486,658,99777
1.2574002,4.385714285714286,0.0,0.0007183854,0.0015719214,5.614285714285714,0.34880902603916997,4191.508947849274,658.4285714285714,39.35122287681231,0.0007183854,728,109994
1.2440186,5.161764705882353,0.0,0.0010408963,0.0032444894,4.838235294117647,0.38306903674677006,4572.22772860527,717.2058823529412,42.380339396788344,0.0010408963,796,119969
1.2273599,5.661290322580645,0.0,0.0005049496,0.0031482864,4.338709677419355,0.41839478040614536,4992.853698015213,871.2903225806451,51.076780080414586,0.0005049496,858,129814
1.1984409,7.074074074074074,0.0,0.00086624274,0.0077164317,2.925925925925926,0.4967081043487618,5421.929033041,1137.2222222222222,65.78134483381378,0.00086624274,912,139829
1.1981233,6.87037037037037,0.0,0.00076376006,0.0011683659,3.1296296296296298,0.54287218171465,5829.419074773788,1225.1851851851852,70.72979450120047,0.00076376006,966,149763
1.1570303,5.774193548387097,0.0,0.00073459593,0.003240791,4.225806451612903,0.5080717834446979,6218.314731836319,1114.8387096774193,65.03036732884796,0.00073459593,1028,159828
1.0943594,6.517241379310345,0.0,0.0009325051,0.0077318493,3.4827586206896552,0.5752656449085138,6624.539792299271,1291.2068965517242,74.73890780869093,0.0009325051,1086,169866
1.041687,7.461538461538462,0.0,0.00064703193,0.00517722,2.5384615384615383,0.6851121387572998,6967.075567483902,1599.423076923077,91.93627917436172,0.00064703193,1138,179911
0.9975746,8.456521739130435,0.0,0.00022531902,0.0029158823,1.5434782608695652,0.8040357524319073,7315.825869321823,1913.9130434782608,109.86118073919057,0.00022531902,1184,189760
0.94087315,8.695652173913043,0.0,0.00030005103,0.0041324785,1.3043478260869565,0.8299141331589845,7631.787175178528,2010.6521739130435,115.01198306124279,0.00030005103,1230,199814
1.0275074,9.523809523809524,0.0,4.5925884e-05,0.007088676,0.47619047619047616,0.9058811313999288,7949.244403362274,2259.0476190476193,129.27066429802628,4.5925884e-05,1272,209952
0.9585575,9.285714285714286,0.0,3.464447e-05,0.00498349,0.7142857142857143,0.8827612070469213,8241.516629934311,2170.714285714286,124.23157510919754,3.464447e-05,1314,219787
1.0561521,7.74,0.0,0.0003340667,0.008933416,2.26,0.785525211393863,8534.820790529251,1852.0,106.12792762101701,0.0003340667,1364,229754
