entloss,TtR,TimestepsSoFar,TimeElapsed,entropy,surrgain,meankl,optimgain,AttC,EpisodesSoFar,Fce,AttNC,MtR
0.0,60.16216216216216,9938,63.99135780334473,1.4236307,0.00036953582,0.0009502082,0.00036953582,2.364864864864865,74,0.122178891683075,0.6351351351351351,11.839294477601815
0.0,69.703125,19792,125.56149888038635,1.4143907,0.0007173269,0.0029672903,0.0007173269,2.125,138,0.12042769666432501,0.875,13.773717676246097
0.0,88.96153846153847,29974,183.01968693733215,1.4167017,0.000832843,0.0011023761,0.000832843,1.8653846153846154,190,0.13303558346415495,1.1346153846153846,17.17284458627345
0.0,83.59615384615384,39825,250.0677409172058,1.4083719,0.00089389854,0.0009700163,0.00089389854,1.8461538461538463,242,0.12731313131313132,1.1538461538461537,15.745037629737137
0.0,82.03846153846153,49979,315.226496219635,1.397696,0.0013734761,0.0028021352,0.0013734761,1.8461538461538463,294,0.12324852553480346,1.1538461538461537,15.578128882647393
0.0,93.88636363636364,59782,384.07295274734497,1.4061188,0.0010592275,0.0011302263,0.0010592275,1.6818181818181819,338,0.12841049146931505,1.3181818181818181,17.816886472393513
0.0,86.74468085106383,69815,438.5946364402771,1.4078274,0.0010415517,0.0038041747,0.0010415517,1.4680851063829787,385,0.12249645390070922,1.5319148936170213,16.648864504951487
0.0,88.82608695652173,79869,508.5576786994934,1.4060533,0.0007625308,0.00076967006,0.0007625308,1.5,431,0.12899573742540496,1.5,16.91085162806865
0.0,97.1590909090909,89917,571.0672881603241,1.3930571,0.001251,0.0056125014,0.001251,1.25,475,0.13436914600550964,1.75,18.61492643447038
0.0,86.74468085106383,99960,633.3473744392395,1.3867211,0.0013312378,0.0015291387,0.0013312378,1.4893617021276595,522,0.15486524822695039,1.5106382978723405,16.811768986863314
0.0,74.16,109797,698.3706154823303,1.3676276,0.0015400432,0.0019477876,0.0015400432,1.6,572,0.1045337862137862,1.4,14.216217949028369
0.0,82.69565217391305,119839,756.4653122425079,1.3695531,0.0015394755,0.0026465456,0.0015394755,1.391304347826087,618,0.1138666437532222,1.608695652173913,15.674620282578909
0.0,94.95,129839,822.7283687591553,1.3691292,0.0015412405,0.0023959477,0.0015412405,1.1,658,0.1266,1.9,18.076890208087484
0.0,83.875,139802,896.2953886985779,1.3484379,0.0016194112,0.0043791384,0.0016194112,1.5833333333333333,706,0.13673045581869112,1.4166666666666667,15.990584656799243
0.0,86.78571428571429,149832,961.5197260379791,1.3483791,0.0010952209,0.0010843545,0.0010952209,1.119047619047619,748,0.11789162561576358,1.880952380952381,16.460950944291895
0.0,80.51162790697674,159843,1020.7785286903381,1.3493184,0.0016416479,0.0068631526,0.0016416479,1.069767441860465,791,0.10734883720930238,1.930232558139535,15.353263161126062
0.0,78.1875,169832,1082.1998462677002,1.3389144,0.0011301005,0.0016700602,0.0011301005,1.3333333333333333,839,0.1214720159304356,1.6666666666666667,15.055229141296715
0.0,78.84782608695652,179990,1146.5779798030853,1.3586057,0.0010357727,0.0032739197,0.0010357727,1.3695652173913044,885,0.12111263760517943,1.6304347826086956,15.2782056840239
0.0,72.1875,189899,1209.9188439846039,1.3575063,0.0015693634,0.004930151,0.0015693634,1.3125,933,0.1029648188274949,1.6875,13.879579642140696
0.0,69.9795918367347,199948,1275.5929009914398,1.3550656,0.0010711994,0.001354668,0.0010711994,1.4489795918367347,982,0.11759224902082045,1.5510204081632653,13.357275416030012
0.0,82.53488372093024,209957,1335.4207966327667,1.3842031,0.0018164404,0.008031198,0.0018164404,1.186046511627907,1025,0.110046511627907,1.813953488372093,15.71532032300488
0.0,76.97872340425532,219889,1399.0328660011292,1.4048295,0.0011410187,0.0025024442,0.0011410187,1.3617021276595744,1072,0.11499854456508189,1.6382978723404256,14.837746060600907
0.0,80.02173913043478,229963,1465.529871225357,1.3983036,0.0014839284,0.0025817626,0.0014839284,1.2173913043478262,1118,0.1120383963862225,1.7826086956521738,15.216062080083084
0.0,84.27906976744185,239759,1528.1781179904938,1.4109659,0.0011473343,0.0011543948,0.0011473343,1.302325581395349,1161,0.11904909560723517,1.697674418604651,16.211129324274783
0.0,80.74468085106383,249868,1591.8177781105042,1.39735,0.00091203564,0.002569868,0.00091203564,1.297872340425532,1208,0.11159649280306433,1.702127659574468,15.367459370096347
0.0,81.6875,259946,1655.6925642490387,1.4077924,0.0004375389,0.0021118969,0.0004375389,1.4791666666666667,1256,0.11604030501089324,1.5208333333333333,15.574254833764053
0.0,73.71428571428571,269764,1717.815827846527,1.3906244,0.0011959153,0.002681192,0.0011959153,1.510204081632653,1305,0.10605412958834333,1.489795918367347,13.987169897707826
0.0,79.30434782608695,279998,1780.9067475795746,1.3913456,0.0012240736,0.0037526668,0.0012240736,1.391304347826087,1351,0.12032958364892397,1.608695652173913,14.895278030846777
0.0,82.02272727272727,289927,1835.3265454769135,1.4001495,0.001660818,0.0035932597,0.001660818,1.3863636363636365,1395,0.1407850315232866,1.6136363636363635,15.535627148765359
0.0,73.47058823529412,299976,1903.5736107826233,1.3909162,0.00018865305,0.005590391,0.00018865305,1.6274509803921569,1446,0.12932835356364766,1.3725490196078431,14.15528979517596
0.0,79.8409090909091,309763,1959.690535068512,1.4174052,0.0010687134,0.008960679,0.0010687134,1.2954545454545454,1490,0.10824901185770754,1.7045454545454546,15.345859616698663
0.0,95.34146341463415,319846,2029.4001536369324,1.4116329,0.00087302044,0.002505178,0.00087302044,1.1951219512195121,1531,0.12829973552747578,1.8048780487804879,18.077554413862355
0.0,82.43181818181819,329884,2090.1154460906982,1.3954988,0.00079075823,0.0022471263,0.00079075823,1.2727272727272727,1575,0.1374717765894236,1.7272727272727273,15.47359490361946
0.0,78.20930232558139,339907,2152.0153687000275,1.3985232,0.0004364591,0.00207458,0.0004364591,1.069767441860465,1618,0.13381668946648426,1.930232558139535,15.231327215035078
0.0,82.95348837209302,349912,2217.3635535240173,1.4061286,0.0004189565,0.007661718,0.0004189565,1.2790697674418605,1661,0.11060465116279072,1.7209302325581395,15.712663511579661
0.0,85.82608695652173,359885,2274.623470067978,1.3907464,0.0008698771,0.0016285445,0.0008698771,1.434782608695652,1707,0.1428885194844898,1.565217391304348,16.51296765846476
0.0,72.06122448979592,369781,2349.0197784900665,1.3838344,0.0010920685,0.00581024,0.0010920685,1.2857142857142858,1756,0.12874251883587104,1.7142857142857142,13.51859844076894
0.0,74.77358490566037,379875,2409.1211273670197,1.3845221,0.0024747045,0.005051608,0.0024747045,1.7358490566037736,1809,0.11966794212590094,1.2641509433962264,14.549126136153442
0.0,86.93333333333334,389992,2472.4610364437103,1.3781278,0.0010806152,0.0033333206,0.0010806152,1.3111111111111111,1854,0.12973862821481869,1.6888888888888889,16.862655871529146
0.0,78.95454545454545,399947,2533.1407639980316,1.3929536,0.00057553634,0.003895219,0.00057553634,1.0909090909090908,1898,0.11374466559081946,1.9090909090909092,15.122446264550753
0.0,84.55813953488372,409974,2596.7754209041595,1.3839113,0.0016882375,0.0019986914,0.0016882375,1.2790697674418605,1941,0.11768005637773081,1.7209302325581395,16.42160953290049
0.0,84.95121951219512,419806,2658.647005558014,1.3886747,0.00091248576,0.014613871,0.00091248576,1.1219512195121952,1982,0.1157109304426378,1.8780487804878048,16.09505970161096
0.0,92.14285714285714,429824,2723.374575614929,1.3996106,0.0010797124,0.0015423447,0.0010797124,1.3095238095238095,2024,0.12285714285714286,1.6904761904761905,17.570950557605176
0.0,76.95918367346938,439857,2783.840727329254,1.3859744,0.0011159378,0.0021059178,0.0011159378,1.510204081632653,2073,0.11317965195275352,1.489795918367347,14.878371253977368
0.0,74.93877551020408,449879,2851.768784046173,1.3786256,0.0010702334,0.0023411547,0.0010702334,1.489795918367347,2122,0.11283264347421634,1.510204081632653,14.490436091778575
0.0,77.1875,459870,2921.601411819458,1.3793112,0.0011752131,0.0021974198,0.0011752131,1.4375,2170,0.12259388073051979,1.5625,14.813692610639471
0.0,72.9375,469944,2977.976591348648,1.3885107,0.0011814274,0.0022385744,0.0011814274,1.1875,2218,0.10832277371751055,1.8125,13.989638212841422
0.0,74.82,479930,3039.031862258911,1.3820055,0.0007480044,0.003989077,0.0007480044,1.52,2268,0.11728230831459366,1.48,14.633840650144336
0.0,71.38775510204081,489958,3102.8279790878296,1.3763912,0.0011360788,0.0026966163,0.0011360788,1.4081632653061225,2317,0.10208675853695828,1.5918367346938775,13.908664356912679
0.0,83.86363636363636,499957,3170.8233358860016,1.3779662,0.00056097185,0.007119896,0.00056097185,1.2045454545454546,2361,0.12163138205075465,1.7954545454545454,16.193910213851435
0.0,74.14285714285714,509768,3235.009973049164,1.4036007,0.0010558823,0.0014796598,0.0010558823,1.5510204081632653,2410,0.11927645937490253,1.4489795918367347,14.340195289140828
0.0,88.9090909090909,519942,3300.3380839824677,1.4018437,0.0009917949,0.003124195,0.0009917949,1.1363636363636365,2454,0.12364313106248588,1.8636363636363635,16.917705701282447
0.0,79.66666666666667,529760,3358.250692844391,1.4144257,0.00034691975,0.0045082774,0.00034691975,1.3777777777777778,2499,0.10973140096618358,1.6222222222222222,14.989929117910114
0.0,71.25,539830,3422.614305496216,1.4053594,0.000648583,0.002336828,0.000648583,1.3541666666666667,2547,0.11515969802555169,1.6458333333333333,13.630863661831674
0.0,81.88636363636364,549876,3494.6694779396057,1.419112,0.00064455665,0.0028183649,0.00064455665,1.25,2591,0.11354820936639122,1.75,15.71645249245549
0.0,87.27906976744185,559901,3551.319215774536,1.4121206,0.0005948049,0.00508759,0.0005948049,1.2325581395348837,2634,0.11820829120323562,1.7674418604651163,16.665107389487446
0.0,86.0,569917,3613.9029092788696,1.4164197,0.00019665934,0.0002825805,0.00019665934,1.3571428571428572,2676,0.11673593073593073,1.6428571428571428,16.393297412248476
0.0,71.20408163265306,579974,3679.033915758133,1.420457,0.00088183896,0.0009362996,0.00088183896,1.469387755102041,2725,0.09954175293305731,1.530612244897959,13.697280237789064
0.0,78.13953488372093,589987,3741.8075935840607,1.4227669,0.00032806752,0.002382941,0.00032806752,1.1395348837209303,2768,0.11184496124031013,1.8604651162790697,15.043353476482869
0.0,82.1590909090909,599999,3806.7850625514984,1.4224826,0.0011657613,0.0028700763,0.0011657613,1.25,2812,0.10954545454545457,1.75,15.655146926504994
0.0,74.8,609906,3869.900372982025,1.4243517,0.0013065898,0.0036053436,0.0013065898,1.4,2857,0.11413391778222426,1.6,14.60647874523344
0.0,79.04651162790698,619943,3930.7860803604126,1.462934,0.00077358197,0.004124318,0.00077358197,1.1395348837209303,2900,0.11414536762826781,1.8604651162790697,15.187794254079854
0.0,92.26829268292683,629807,4001.244144678116,1.4789611,0.00019951731,0.008435132,0.00019951731,1.2195121951219512,2941,0.1298236397748593,1.7804878048780488,17.745351235215423
0.0,84.71739130434783,639800,4066.9402730464935,1.4943876,0.000956536,0.00273325,0.000956536,1.434782608695652,2987,0.13095383132954916,1.565217391304348,16.602123617666162
0.0,85.13333333333334,649869,4125.7151753902435,1.5101734,0.0012996577,0.0072331433,0.0012996577,1.511111111111111,3032,0.14687315007315002,1.488888888888889,16.313057633056165
0.0,85.97872340425532,659787,4183.001943349838,1.5293052,0.0011658284,0.002068557,0.0011658284,1.5319148936170213,3079,0.13360656627575282,1.4680851063829787,16.519234931875108
0.0,74.23636363636363,669906,4253.604083538055,1.5386862,0.0013800634,0.0072195255,0.0013800634,1.8181818181818181,3134,0.12523308023321772,1.1818181818181819,14.671993331139886
0.0,78.48979591836735,679800,4319.571108579636,1.5294182,0.00024020589,0.005312934,0.00024020589,1.6122448979591837,3183,0.16255773591764416,1.3877551020408163,15.286976535296988
0.0,86.5909090909091,689804,4380.788982152939,1.5266031,0.00044027378,0.0013189097,0.00044027378,1.3409090909090908,3227,0.13809090909090907,1.6590909090909092,16.48043295039725
0.0,93.8780487804878,699805,4449.44469332695,1.543824,0.00086414185,0.0010256732,0.00086414185,1.3658536585365855,3268,0.12517073170731707,1.6341463414634145,17.94902221702553
0.0,74.76,709804,4502.947680711746,1.5400065,0.0001688652,0.0009948303,0.0001688652,1.62,3318,0.13705364248317126,1.38,14.399009713050596
0.0,91.78571428571429,719773,4578.828776359558,1.540362,0.00092916057,0.0017848952,0.00092916057,1.380952380952381,3360,0.1248071115875994,1.619047619047619,17.49642633522669
0.0,75.5625,729801,4640.041941404343,1.4895439,0.0005358378,0.0030577744,0.0005358378,1.4791666666666667,3408,0.16708333333333333,1.5208333333333333,14.614115796800773
0.0,80.26666666666667,739826,4702.5828194618225,1.4927622,0.001297821,0.006903457,0.001297821,1.4,3453,0.1126434947768281,1.6,15.275424080671295
0.0,77.8125,749910,4762.97731089592,1.4687499,0.0004683492,0.0011145833,0.0004683492,1.5416666666666667,3501,0.10940795206971682,1.4583333333333333,14.686396355415576
0.0,73.69565217391305,759783,4829.886274337769,1.4760314,0.0014145444,0.009611946,0.0014145444,1.3695652173913044,3547,0.11536758238237284,1.6304347826086956,14.331655691225345
0.0,74.59615384615384,769991,4897.797587156296,1.4725773,0.00075721944,0.0040967683,0.00075721944,1.4230769230769231,3599,0.11495584775336638,1.5769230769230769,14.417213527381952
