surrgain,entloss,AttNC,MtR,meankl,TtR,TimestepsSoFar,AttC,Fce,entropy,optimgain,EpisodesSoFar,TimeElapsed
5.5996705e-05,0.0,2.840909090909091,22.321957214770876,0.001139585,380.0,9857,7.159090909090909,0.16258759982845158,1.4183342,5.5996705e-05,44,72.39412665367126
0.00024167236,0.0,2.25,26.40940848561004,0.00075202895,452.5,19802,7.75,0.19457748768279562,1.4169807,0.00024167236,88,144.23547792434692
0.00057562697,0.0,3.725,28.774516958461124,0.0078267725,495.5,29802,6.275,0.19820000000000002,1.4143032,0.00057562697,128,215.7402629852295
0.0019343487,0.0,2.3636363636363638,25.999286978313403,0.004160838,439.09090909090907,39972,7.636363636363637,0.2085626884022503,1.4108878,0.0019343487,183,287.73916268348694
0.00049337937,0.0,2.6818181818181817,27.559307160160756,0.005210301,464.77272727272725,49927,7.318181818181818,0.1986159201633431,1.4007561,0.00049337937,227,360.08331322669983
0.00278139,0.0,1.8428571428571427,22.23189864639477,0.0037776462,353.57142857142856,59857,8.157142857142857,0.20354240576112465,1.3946569,0.00278139,297,434.6763093471527
0.00047684854,0.0,3.0,27.029110108094834,0.0049895104,444.03225806451616,69921,7.0,0.22578449519744648,1.3829488,0.00047684854,359,507.96568489074707
0.0013076182,0.0,3.4615384615384617,34.0026599662626,0.0019906594,560.4615384615385,79880,6.538461538461538,0.2874164680302913,1.35426,0.0013076182,424,584.8985641002655
0.0006955972,0.0,3.4324324324324325,32.56773592706766,0.0035997108,539.1891891891892,89846,6.5675675675675675,0.2951480190669239,1.3054228,0.0006955972,498,656.9098784923553
0.00073338026,0.0,5.491525423728813,46.82550532103025,0.003968954,795.4237288135594,99885,4.508474576271187,0.36489957701622855,1.276688,0.00073338026,557,735.1765348911285
0.0008314937,0.0,4.746268656716418,42.849858739254195,0.0060219658,727.6119402985074,109933,5.253731343283582,0.36079741141767513,1.2390716,0.0008314937,624,808.5997385978699
0.00074019446,0.0,5.5,54.25715237821392,0.0061585405,925.8333333333334,119776,4.5,0.43644202227796214,1.1851205,0.00074019446,684,886.6862542629242
0.00052102143,0.0,7.211538461538462,71.87637247123384,0.002438431,1240.576923076923,129860,2.7884615384615383,0.537352596526093,1.1806642,0.00052102143,736,960.3715827465057
0.00066022476,0.0,6.385964912280702,64.3984586574564,0.0049193273,1105.7894736842106,139820,3.6140350877192984,0.49767811512452875,1.1352537,0.00066022476,793,1035.6471028327942
0.0007477951,0.0,6.413793103448276,68.7445456860813,0.006464422,1188.9655172413793,149788,3.586206896551724,0.5364909646125331,1.0841237,0.0007477951,851,1111.352189540863
0.0005179257,0.0,8.10204081632653,93.74555921419474,0.0036869096,1634.6938775510205,159985,1.8979591836734695,0.6840255525020854,1.0527332,0.0005179257,900,1183.620078086853
0.00060504995,0.0,7.836734693877551,93.5494495412907,0.005592525,1633.8775510204082,169907,2.163265306122449,0.7020546716092413,1.014546,0.00060504995,949,1255.7451720237732
0.0007742828,0.0,7.918367346938775,94.55477866496263,0.0046858503,1641.4285714285713,179893,2.0816326530612246,0.6993630421865717,0.97690827,0.0007742828,998,1329.5954794883728
0.0007175299,0.0,8.104166666666666,99.4729097501217,0.0030070127,1730.8333333333333,189828,1.8958333333333333,0.7343326391153178,0.96972686,0.0007175299,1046,1403.2564256191254
0.00084702636,0.0,8.16326530612245,99.95399083670505,0.0063387547,1740.408163265306,199991,1.836734693877551,0.735268424428787,0.9097859,0.00084702636,1095,1473.5008897781372
0.001088252,0.0,9.214285714285714,115.44776420321507,0.004473608,2014.2857142857142,209788,0.7857142857142857,0.8182145593869734,0.8946363,0.001088252,1137,1543.892216205597
0.00052262517,0.0,8.270833333333334,109.51930437801396,0.0034765182,1911.4583333333333,219904,1.7291666666666667,0.814886587193017,0.85272807,0.00052262517,1185,1613.904167175293
0.00091798085,0.0,9.523809523809524,128.40457974672935,0.007680802,2240.714285714286,229930,0.47619047619047616,0.9149659863945577,0.79165,0.00091798085,1227,1685.578708410263
0.0002444273,0.0,9.75609756097561,135.54851345094912,0.0025783614,2370.487804878049,239937,0.24390243902439024,0.9481951219512192,0.7516733,0.0002444273,1268,1753.6406092643738
0.00034266288,0.0,9.30232558139535,130.44321603228224,0.005533115,2281.6279069767443,249970,0.6976744186046512,0.929112234580384,0.68691844,0.00034266288,1311,1823.8347868919373
0.0001502811,0.0,9.682926829268293,137.54548420183926,0.007990142,2407.317073170732,259975,0.3170731707317073,0.9677073170731706,0.60061604,0.0001502811,1352,1893.407054424286
0.00027354198,0.0,9.30232558139535,132.27573902514635,0.0012079563,2313.4883720930234,269998,0.6976744186046512,0.9436834793113864,0.57901174,0.00027354198,1395,1963.6808140277863
0.00030043715,0.0,9.75,138.76331469083638,0.0040616505,2426.0,279763,0.25,0.9797999999999998,0.5489202,0.00030043715,1435,2035.0701780319214
0.00037707054,0.0,10.0,142.42646942358977,0.0057093264,2491.5,289763,0.0,0.9966000000000002,0.60126525,0.00037707054,1475,2105.229989528656
0.0004252494,0.0,9.731707317073171,137.90992329295594,0.0029559906,2411.951219512195,299766,0.2682926829268293,0.9808455284552844,0.56980234,0.0004252494,1516,2176.2961990833282
0.0008723491,0.0,10.0,141.86707920234318,0.012098474,2482.25,309766,0.0,0.9928999999999999,0.5811158,0.0008723491,1556,2245.6509668827057
0.00071618235,0.0,9.75609756097561,137.07820894753092,0.0035412933,2396.829268292683,319781,0.24390243902439024,0.9694308943089427,0.58944744,0.00071618235,1597,2317.224012374878
