MpbtA,Tbt,entloss,Tmt,Tmc,MtR,entropy,AttC,optimgain,Ptt,TimestepsSoFar,meankl,TimeElapsed,EpisodesSoFar,AttNC,MpbtN,surrgain,TtR
2.4163972611614817,305246.0777385159,0.0,74.52296819787986,29.52826855123675,-66.92174264416255,0.6836168,10.0,0.0037464008,72.71387034924987,9996,0.009183804,1354.5201942920685,566,0.0,97.58360273883848,0.0037464008,-727.1201413427561
3.394556525608449,301606.0826446281,0.0,73.63429752066116,30.444214876033058,-64.52551608678243,0.6590353,10.0,0.0027180726,71.86493289732543,19965,0.008628545,2490.455452442169,1050,0.0,96.60544347439146,0.0027180726,-711.2809917355372
4.887718108410395,296954.94320987654,0.0,72.49876543209876,31.651851851851852,-61.27837106959165,0.6177317,10.0,0.0038408765,70.7558126890722,29995,0.009213451,3417.576099395752,1455,0.0,95.11228189158962,0.0038408765,-689.4814814814815
7.958837383052693,293241.786407767,0.0,71.59223300970874,32.67313915857605,-56.52412319691333,0.566153,10.0,0.004533935,69.83349308651258,39979,0.008990106,4108.951443195343,1764,0.0,92.04116261694733,0.004533935,-658.7378640776699
14.823026377484423,292050.97487437184,0.0,71.30150753768844,32.98994974874372,-48.23193198398621,0.5279965,10.0,0.003632069,69.54606028692479,49963,0.0069632167,4558.491104364395,1963,0.0,85.17697362251555,0.003632069,-606.9849246231156
27.537880701559498,288991.41818181815,0.0,70.55454545454545,33.872727272727275,-35.33715779973183,0.49930704,9.981818181818182,0.0031671089,68.76281682557325,59983,0.005219186,4811.236987113953,2073,0.01818181818181818,72.46211929844051,0.0031671089,-511.1818181818182
55.88380401642963,267836.74576271186,0.0,65.38983050847457,39.45762711864407,-17.376627659286914,0.45450288,8.932203389830509,0.0030561988,63.65734146266111,69983,0.0046415795,4965.283421039581,2132,1.0677966101694916,44.11619598357037,0.0030561988,-290.33898305084745
66.65254140994418,263796.77192982455,0.0,64.40350877192982,40.59649122807018,-13.973681825702178,0.4015335,7.245614035087719,0.003086154,62.63835053489363,79932,0.0030211706,5115.864738702774,2189,2.754385964912281,33.347458590055815,0.003086154,-216.140350877193
67.32344497937864,259413.33333333334,0.0,63.333333333333336,41.6,-13.737742463852934,0.37964785,7.283333333333333,0.0022776402,61.67418831180125,89947,0.0023407366,5267.668589830399,2249,2.716666666666667,32.67655502062138,0.0022776402,-207.66666666666666
67.62069196369929,260338.98305084746,0.0,63.559322033898304,41.440677966101696,-13.95900118777377,0.37926802,7.3559322033898304,0.0027775846,61.846609326049006,99958,0.0025317217,5430.621307373047,2308,2.6440677966101696,32.37930803630067,0.0027775846,-205.42372881355934
64.90010715449026,264533.3333333333,0.0,64.58333333333333,40.38333333333333,-15.00773014090944,0.3724287,7.366666666666666,0.0028102738,62.829781788298824,109891,0.0031391073,5588.154114246368,2368,2.6333333333333333,35.09989284550972,0.0028102738,-227.33333333333334
68.99589360253904,256211.8620689655,0.0,62.55172413793103,42.43103448275862,-12.978093181034813,0.36911663,6.568965517241379,0.003126076,60.910917603395845,119957,0.003018942,5746.513397216797,2426,3.4310344827586206,31.00410639746094,0.003126076,-193.9655172413793
68.24055526244688,258867.2,0.0,63.2,41.75,-13.843898315615757,0.36686844,6.516666666666667,0.0025893673,61.54013314068338,129973,0.0024342956,5907.301548480988,2486,3.4833333333333334,31.75944473755312,0.0025893673,-201.33333333333334
69.25729556212703,257412.41379310345,0.0,62.8448275862069,42.12068965517241,-13.025199291181439,0.38109785,7.086206896551724,0.0022262998,61.196263065810896,139964,0.0022064755,6063.090767383575,2544,2.913793103448276,30.742704437872952,0.0022262998,-193.27586206896552
68.26202995629598,254305.10344827586,0.0,62.08620689655172,42.91379310344828,-13.233890664373284,0.3858839,6.724137931034483,0.0027642853,60.460538970139766,149965,0.0021031382,6235.656739473343,2602,3.2758620689655173,31.737970043704028,0.0027642853,-197.58620689655172
67.07493706781797,260378.4827586207,0.0,63.56896551724138,41.36206896551724,-13.199956025675359,0.39792195,7.724137931034483,0.0024431674,61.897605343721295,159960,0.0023104216,6396.964529514313,2660,2.2758620689655173,32.925062932182044,0.0024431674,-209.6551724137931
70.51226509688479,256211.8620689655,0.0,62.55172413793103,42.43103448275862,-12.131964521037277,0.37446806,7.0,0.0025614556,60.910357052704406,169854,0.0021594188,6564.645234107971,2718,3.0,29.487734903115186,0.0025614556,-184.82758620689654
68.24445337034618,258672.81355932204,0.0,63.152542372881356,41.83050847457627,-13.256968323396771,0.38727683,7.338983050847458,0.0028022076,61.47573507148099,179903,0.0021827049,6721.228314876556,2777,2.6610169491525424,31.755546629653818,0.0028022076,-201.35593220338984
68.2408193091074,255479.3220338983,0.0,62.3728813559322,42.6271186440678,-13.22925041288975,0.36333,6.9491525423728815,0.0019591034,60.73202743195901,189930,0.00179517,6882.366859197617,2836,3.0508474576271185,31.759180690892624,0.0019591034,-198.98305084745763
71.246352218923,256477.86666666667,0.0,62.61666666666667,42.4,-12.329238989023988,0.34186253,6.533333333333333,0.0024032495,60.953838086478946,199944,0.0028810292,7045.496655225754,2896,3.466666666666667,28.75364778107699,0.0024032495,-179.83333333333334
71.36276931042201,256546.13333333333,0.0,62.63333333333333,42.35,-12.261746740538873,0.3869921,6.616666666666666,0.0027843725,60.987120772350714,209929,0.0038786219,7207.794369220734,2956,3.3833333333333333,28.637230689578,0.0027843725,-179.5
64.8920254295861,257510.81967213115,0.0,62.868852459016395,42.114754098360656,-14.283598734697396,0.37940618,7.704918032786885,0.0023903141,61.20610096850896,219928,0.0024160536,7377.772408723831,3017,2.2950819672131146,35.10797457041389,0.0023903141,-222.29508196721312
65.98242408225315,260166.62068965516,0.0,63.51724137931034,41.46551724137931,-13.884836711278101,0.4044975,7.655172413793103,0.0030673577,61.81933284736835,229983,0.0034123997,7535.88588809967,3075,2.3448275862068964,34.01757591774685,0.0030673577,-217.06896551724137
64.04596121819587,256198.1935483871,0.0,62.54838709677419,42.41935483870968,-14.552500202524957,0.37851512,7.854838709677419,0.0030696646,60.912728352289015,239922,0.0022370135,7700.864521980286,3137,2.1451612903225805,35.95403878180413,0.0030696646,-226.1290322580645
67.09978079809913,259003.73333333334,0.0,63.233333333333334,41.733333333333334,-13.683853026584911,0.36681977,7.366666666666666,0.0028359904,61.560195079549175,249943,0.0027558524,7863.030426979065,3197,2.6333333333333333,32.90021920190084,0.0028359904,-209.33333333333334
70.20970208754149,256381.83050847458,0.0,62.59322033898305,42.389830508474574,-12.895928381212022,0.39277297,5.88135593220339,0.0030658417,60.94942092655013,259888,0.0044585825,8039.148823976517,3256,4.11864406779661,29.790297912458502,0.0030658417,-186.94915254237287
