AttNC,surrgain,optimgain,TimestepsSoFar,AttC,Fce,EpisodesSoFar,TimeElapsed,entloss,MtR,meankl,entropy,TtR
0.9512195121951219,0.0040223496,0.0040223496,4499772,0.04878048780487805,0.13801095072175212,19272,14160.830322742462,0.0,19.126188372308214,0.008332918,-0.011972427,33.90243902439025
0.9523809523809523,0.004299142,0.004299142,4509842,0.047619047619047616,0.15410717289438908,19314,14191.124303817749,0.0,20.78666126239325,0.0056269923,0.012444973,36.285714285714285
0.975609756097561,0.003708806,0.003708806,4519843,0.024390243902439025,0.1504390243902439,19355,14223.331553459167,0.0,21.14369042272336,0.007363348,-0.027342526,37.609756097560975
0.975609756097561,0.003979027,0.003979027,4529844,0.024390243902439025,0.1484878048780488,19396,14254.210860490799,0.0,20.99235954215536,0.0066401926,-0.018536588,37.1219512195122
0.975609756097561,0.0034851378,0.0034851378,4539845,0.024390243902439025,0.14331707317073172,19437,14285.72053527832,0.0,20.18057833540754,0.0053099296,-0.018926319,35.829268292682926
0.9523809523809523,0.004890886,0.004890886,4549847,0.047619047619047616,0.12799999999999997,19479,14316.668905735016,0.0,18.156371068423407,0.00649498,-0.034346327,32.0
0.9523809523809523,0.0030390685,0.0030390685,4559897,0.047619047619047616,0.14168707482993198,19521,14347.201167106628,0.0,19.906467375563153,0.0070257597,-0.020596504,34.73809523809524
0.9285714285714286,0.0043941895,0.0043941895,4569792,0.07142857142857142,0.14451001685077705,19563,14379.356887340546,0.0,19.896454190076437,0.006009877,-0.008216428,34.857142857142854
0.8604651162790697,0.0049452805,0.0049452805,4579814,0.13953488372093023,0.14888773394888227,19606,14409.47597527504,0.0,19.76113761771125,0.0068598525,0.031122021,35.02325581395349
0.9285714285714286,0.0036572297,0.0036572297,4589755,0.07142857142857142,0.14036317339781984,19648,14442.022976875305,0.0,19.08709781813046,0.0058071204,0.06724577,33.904761904761905
0.8478260869565217,0.0026931863,0.0026931863,4599832,0.15217391304347827,0.13071633862034845,19694,14473.454164505005,0.0,17.395678359658465,0.0047715353,0.06281127,30.282608695652176
0.9523809523809523,0.0039742356,0.0039742356,4609834,0.047619047619047616,0.13695238095238096,19736,14504.453091621399,0.0,19.549802342518905,0.006709504,0.09682165,34.23809523809524
0.9523809523809523,0.0034982925,0.0034982925,4619990,0.047619047619047616,0.14432258064516132,19778,14535.67412161827,0.0,20.375382073100262,0.0070549995,0.07251326,35.642857142857146
0.95,0.0044528674,0.0044528674,4629794,0.05,0.1562940199335548,19818,14566.66916179657,0.0,21.793667739164317,0.006115139,0.0703738,38.275
0.8863636363636364,0.0042878943,0.0042878943,4639907,0.11363636363636363,0.15007525789626197,19862,14599.238142251968,0.0,19.28760920402047,0.006476965,0.05821474,34.02272727272727
0.782608695652174,0.0050781798,0.0050781798,4649791,0.21739130434782608,0.14177724805908906,19908,14629.568076133728,0.0,19.1888040395342,0.00860325,0.047445264,33.26086956521739
0.975609756097561,0.0026310822,0.0026310822,4659792,0.024390243902439025,0.14741463414634148,19949,14662.150012731552,0.0,20.907864699645774,0.005420318,0.07490638,36.853658536585364
0.9090909090909091,0.0036074172,0.0036074172,4669868,0.09090909090909091,0.14009557109557108,19993,14692.993116378784,0.0,18.88557970892702,0.0070094634,0.0501157,33.43181818181818
0.9069767441860465,0.0029297844,0.0029297844,4679818,0.09302325581395349,0.14231486667478388,20036,14723.70816898346,0.0,20.146614677015293,0.005771535,0.100226395,35.348837209302324
0.7551020408163265,0.0040471097,0.0040471097,4689862,0.24489795918367346,0.15683916712075882,20085,14755.800960302353,0.0,19.165924921322965,0.007384356,0.12894738,32.795918367346935
0.8085106382978723,0.0030810277,0.0030810277,4699753,0.19148936170212766,0.14439129629327907,20132,14786.23098039627,0.0,18.990233284479277,0.0050727623,0.15107162,32.829787234042556
0.8333333333333334,0.004266103,0.004266103,4709991,0.16666666666666666,0.1525368732136703,20180,14817.976699590683,0.0,19.235851284175816,0.008159301,0.1361031,33.229166666666664
0.8863636363636364,0.0030046992,0.0030046992,4719766,0.11363636363636363,0.14449783549783546,20224,14848.453045129776,0.0,18.6374997490463,0.007598123,0.17386085,33.04545454545455
0.975609756097561,0.0036882875,0.0036882875,4729767,0.024390243902439025,0.1509268292682927,20265,14879.506145715714,0.0,21.5295698847853,0.005499977,0.17587824,37.73170731707317
0.9302325581395349,0.0017915199,0.0017915199,4739804,0.06976744186046512,0.13802114164904863,20308,14910.447119951248,0.0,19.195515396776315,0.0039230734,0.17243904,34.04651162790697
0.975609756097561,0.002829557,0.002829557,4749805,0.024390243902439025,0.14858536585365856,20349,14940.897023439407,0.0,21.114584996152537,0.007273348,0.19457091,37.146341463414636
0.8888888888888888,0.0037836945,0.0037836945,4759840,0.1111111111111111,0.13841146953405017,20394,14972.915342330933,0.0,19.744999734906216,0.007607718,0.16792487,34.28888888888889
0.8444444444444444,0.00320262,0.00320262,4769911,0.15555555555555556,0.15002251088014856,20439,15003.568326234818,0.0,19.465925847319358,0.007268535,0.16654791,33.53333333333333
0.8695652173913043,0.00390387,0.00390387,4779961,0.13043478260869565,0.13734914361001319,20485,15036.024621248245,0.0,18.52807570417821,0.0076747527,0.13419399,32.23913043478261
0.9512195121951219,0.0025004055,0.0025004055,4789821,0.04878048780487805,0.14932468113671962,20526,15066.672129154205,0.0,20.807853301314246,0.007051976,0.1402713,36.73170731707317
0.8297872340425532,0.0033500656,0.0033500656,4799801,0.1702127659574468,0.14249230731028228,20573,15097.462092876434,0.0,18.935138394445072,0.0069839354,0.12526684,33.1063829787234
0.975609756097561,0.0037198258,0.0037198258,4809802,0.024390243902439025,0.14058536585365855,20614,15129.962944984436,0.0,19.621992641752747,0.0055566565,0.13640666,35.146341463414636
0.9302325581395349,0.0043632477,0.0043632477,4819859,0.06976744186046512,0.14466423119189759,20657,15160.379445552826,0.0,19.705714494625955,0.0064792847,0.11647718,34.51162790697674
0.9523809523809523,0.003556723,0.003556723,4829869,0.047619047619047616,0.15091005291005294,20699,15193.044171333313,0.0,20.889146952705325,0.008346422,0.048509717,36.45238095238095
1.0,0.0028904914,0.0028904914,4839869,0.0,0.1511,20739,15223.785735607147,0.0,21.426563690040133,0.005338976,0.033649262,37.775
1.0,0.002421988,0.002421988,4849869,0.0,0.14830000000000002,20779,15255.154920339584,0.0,21.07383541528421,0.0041038026,0.016494144,37.075
