AttC,EpisodesSoFar,Ptt,optimgain,TimeElapsed,MtR,AttNC,surrgain,TtR,TimestepsSoFar,entloss,MpbtN,MpbtA,Tbt,entropy,meankl,Tmc,Tmt
1.4545454545454546,5255,74.77838047995236,0.004847951,14335.244604587555,-27.186546752030278,1.5454545454545454,0.004847951,-137.3181818181818,669959,0.0,59.577361397556075,40.42263860244391,314181.8181818182,0.32194838,0.005224719,27.318181818181817,76.70454545454545
1.372093023255814,5298,75.01199947437682,0.004859902,14469.795666694641,-27.48785008582499,1.627906976744186,0.004859902,-135.8372093023256,679779,0.0,58.8243351596175,41.1756648403825,315201.488372093,0.35584217,0.0053178445,27.069767441860463,76.95348837209302
1.8409090909090908,5342,75.07108503306418,0.0043303045,14603.840283632278,-27.94476603544088,1.1590909090909092,0.0043303045,-141.20454545454547,689869,0.0,61.059332339867595,38.94066766013242,315392.0,0.36338133,0.0055713034,27.0,77.0
2.066666666666667,5387,75.77647258702855,0.00333908,14739.97674536705,-28.06723684950701,0.9333333333333333,0.00333908,-141.06666666666666,699991,0.0,60.4532207164388,39.5467792835612,318486.7555555556,0.33029184,0.0043710894,26.244444444444444,77.75555555555556
1.3488372093023255,5430,75.63622067151745,0.005067215,14876.281799316406,-27.73589823339944,1.6511627906976745,0.005067215,-137.72093023255815,709901,0.0,59.15242234424432,40.847577655755664,317868.6511627907,0.3430783,0.0053669536,26.3953488372093,77.6046511627907
2.217391304347826,5476,75.88310857744723,0.0038168768,15014.924040079117,-28.267221391650274,0.782608695652174,0.0038168768,-143.47826086956522,719963,0.0,61.36683435782566,38.63316564217434,318953.73913043475,0.3354153,0.004627494,26.130434782608695,77.8695652173913
1.8,5521,75.75604151688863,0.0044695935,15151.4860060215,-28.56880252235041,1.2,0.0044695935,-140.73333333333332,729870,0.0,60.27639595038337,39.723604049616625,318395.73333333334,0.37125334,0.005417345,26.266666666666666,77.73333333333333
1.7777777777777777,5566,75.07579681992733,0.0038361126,15289.950650453568,-29.469044190707656,1.2222222222222223,0.0038361126,-144.66666666666666,739773,0.0,62.41806743033519,37.58193256966482,315483.02222222224,0.33932328,0.0048092236,27.0,77.02222222222223
1.6590909090909092,5610,75.3110524536989,0.0022635579,15421.137977838516,-26.933662213910683,1.3409090909090908,0.0022635579,-134.11363636363637,749867,0.0,57.82712706085822,42.172872939141776,316509.0909090909,0.33816972,0.002160987,26.75,77.27272727272727
1.6222222222222222,5655,75.15915119329485,0.004336312,15558.31132721901,-26.4622887209138,1.3777777777777778,0.004336312,-130.6,759820,0.0,56.42857673105681,43.57142326894318,315847.1111111111,0.33513165,0.005831586,26.91111111111111,77.11111111111111
