EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
1049,84.20930232558139,0.11881230913789054,209813,1109.5021715164185,16.101938222646712,0.0010183391,0.0,1.744186046511628,0.0010183391,0.00090207905,1.255813953488372,1.3876961
1092,91.95348837209302,0.12260465116279075,219822,1158.719978094101,17.57830109270471,0.0010246926,0.0,1.6511627906976745,0.0010246926,0.0016221987,1.3488372093023255,1.384887
1134,91.21428571428571,0.12575757575757576,229838,1214.2145409584045,17.474573410552495,0.0015000605,0.0,1.8333333333333333,0.0015000605,0.0024111958,1.1666666666666667,1.3742557
1177,84.76744186046511,0.11739534883720933,239871,1263.6493754386902,15.983036313780662,0.0010186859,0.0,1.7906976744186047,0.0010186859,0.0035065648,1.2093023255813953,1.3841555
1227,78.24,0.13812696148768674,249826,1314.8609895706177,14.867493807379525,0.0013830843,0.0,1.5,0.0013830843,0.0012450875,1.5,1.3882937
1271,89.31818181818181,0.12373386034255597,259868,1366.1836705207825,16.94307173588229,0.0011022476,0.0,1.6136363636363635,0.0011022476,0.0021791894,1.3863636363636365,1.3920808
1321,80.58,0.12209952335062284,269847,1415.830542564392,15.479409247487105,0.001690511,0.0,1.3,0.001690511,0.0025530772,1.7,1.3909547
1368,90.8936170212766,0.13222995322369988,279838,1469.3813767433167,17.561955900272046,0.0013301469,0.0,1.4680851063829787,0.0013301469,0.0029004354,1.5319148936170213,1.4197643
1416,85.125,0.1283095502262407,289843,1522.409348487854,16.357624249360367,0.0014218506,0.0,1.4375,0.0014218506,0.0019423176,1.5625,1.4165134
1459,102.06976744186046,0.1420883846298502,299904,1575.01638007164,19.029777449114697,0.0010080877,0.0,1.5813953488372092,0.0010080877,0.0012828467,1.4186046511627908,1.4223167
1506,90.0,0.14846953296432752,309751,1623.775957584381,17.283867926190773,0.00156752,0.0,1.127659574468085,0.00156752,0.0058943448,1.872340425531915,1.4162606
1553,84.82978723404256,0.12471932248416008,319822,1675.3252582550049,16.068228838978666,0.00087288284,0.0,1.4042553191489362,0.00087288284,0.002389492,1.5957446808510638,1.430138
