AttC,Fce,TimeElapsed,optimgain,TtR,TimestepsSoFar,entropy,surrgain,entloss,AttNC,MtR,EpisodesSoFar,meankl
6.512195121951219,0.17673002523128678,104.3850667476654,0.0003091577,434.390243902439,9782,1.4200978,0.0003091577,0.0,3.4878048780487805,25.185200695352606,41,0.0069426326
7.372549019607843,0.21165538684603605,206.99899744987488,0.0015478501,465.29411764705884,19902,1.4108772,0.0015478501,0.0,2.627450980392157,27.450971482656854,92,0.0023722977
7.458333333333333,0.21245425365841067,314.610404253006,0.00069465407,466.6666666666667,29770,1.4157263,0.00069465407,0.0,2.5416666666666665,27.405906720896937,140,0.0010459652
6.088888888888889,0.2493429094662783,409.77104449272156,0.0016715329,582.2222222222222,39862,1.4071609,0.0016715329,0.0,3.911111111111111,34.37492304409781,185,0.004392112
6.5,0.25451635085512453,511.7596445083618,0.0013348816,554.0,49888,1.3989254,0.0013348816,0.0,3.5,33.01885480946477,235,0.002024639
6.75,0.23010521444109405,611.941143989563,0.0008295618,492.3076923076923,59814,1.3856953,0.0008295618,0.0,3.25,29.1485916979425,287,0.003771739
5.5,0.23364630102744863,713.5868330001831,0.000411156,538.5416666666666,69793,1.3687298,0.000411156,0.0,4.5,31.664304796559477,335,0.002593453
5.978260869565218,0.1991040148543655,814.8824806213379,0.0026245539,448.4782608695652,79969,1.3972853,0.0026245539,0.0,4.021739130434782,26.240851304408046,381,0.0037897346
5.4523809523809526,0.19055900621118013,912.9421651363373,0.002715473,462.3809523809524,89997,1.4093778,0.002715473,0.0,4.5476190476190474,27.180782567187137,423,0.0074291015
6.35,0.1643,1008.467208147049,0.0031215542,398.5,99752,1.4114877,0.0031215542,0.0,3.65,22.890505816109528,463,0.010478467
5.75,0.14110000000000006,1108.9238126277924,0.002429626,352.75,109752,1.4111189,0.002429626,0.0,4.25,20.33659101386599,503,0.008375272
5.4,0.12010000000000005,1203.9680137634277,0.0020797022,300.25,119752,1.3972203,0.0020797022,0.0,4.6,17.02189913937245,543,0.003631936
5.25,0.10570000000000004,1307.0868151187897,0.0011623752,264.25,129752,1.3808024,0.0011623752,0.0,4.75,15.16672638393726,583,0.0022526393
4.775,0.09790000000000006,1407.9474575519562,0.0005795169,244.75,139752,1.3434403,0.0005795169,0.0,5.225,13.991991104123368,623,0.0018041696
4.275,0.08630000000000006,1502.6417100429535,1.29776e-06,215.75,149752,1.3258177,1.29776e-06,0.0,5.725,12.488053969546506,663,0.0061674914
4.55,0.08400000000000005,1608.4949731826782,0.00012676789,210.0,159752,1.3499303,0.00012676789,0.0,5.45,11.780746768684393,703,0.00925551
4.375,0.07960000000000003,1702.5301616191864,9.4822695e-05,199.0,169752,1.3626592,9.4822695e-05,0.0,5.625,11.629332366615046,743,0.008036044
4.35,0.09090000000000005,1807.4732778072357,0.00025680344,227.25,179752,1.4227163,0.00025680344,0.0,5.65,12.92784682844287,783,0.005309631
4.5,0.09070000000000004,1903.6846568584442,0.00024653965,226.75,189752,1.4558097,0.00024653965,0.0,5.5,12.91590792360363,823,0.0102030095
4.475,0.09330000000000004,2005.9461195468903,0.000224926,233.25,199752,1.5228149,0.000224926,0.0,5.525,13.336055062931559,863,0.006064717
4.125,0.10180000000000007,2098.8974103927612,0.00026218063,254.5,209752,1.5713298,0.00026218063,0.0,5.875,14.665111119515121,903,0.009869801
4.85,0.10000000000000006,2201.317931652069,0.000173965,250.0,219752,1.6565686,0.000173965,0.0,5.15,14.166086968347898,943,0.007042438
5.05,0.10730000000000003,2295.642349720001,0.00018622169,268.25,229752,1.7265595,0.00018622169,0.0,4.95,15.450570873813849,983,0.005601262
5.2,0.11350000000000005,2393.580419778824,0.00013766174,283.75,239752,1.8094144,0.00013766174,0.0,4.8,16.027809837954813,1023,0.00730015
5.1,0.12390000000000001,2492.9812200069427,0.00014678894,309.75,249752,1.8566103,0.00014678894,0.0,4.9,17.92558127391236,1063,0.002583209
5.725,0.12270000000000007,2593.7997710704803,0.00025904764,306.75,259752,1.8623021,0.00025904764,0.0,4.275,17.39433628636791,1103,0.007095853
5.5,0.1315,2694.640730381012,2.0626527e-05,328.75,269752,1.856771,2.0626527e-05,0.0,4.5,18.227924775584498,1143,0.0011495025
5.65,0.12440000000000002,2797.887744665146,0.00017297684,311.0,279752,1.8694729,0.00017297684,0.0,4.35,17.852226117555837,1183,0.0083446745
5.25,0.12000000000000002,2893.034597635269,8.3717045e-05,300.0,289752,1.9255785,8.3717045e-05,0.0,4.75,17.11862645186062,1223,0.004387634
5.95,0.12440000000000002,2996.4983563423157,5.124977e-05,311.0,299752,1.9915872,5.124977e-05,0.0,4.05,17.84490290785527,1263,0.0044505578
5.525,0.12710000000000005,3098.5261087417603,0.00018290768,317.75,309752,2.0694587,0.00018290768,0.0,4.475,18.118542495542307,1303,0.0058118384
5.825,0.12650000000000006,3197.854117155075,3.514145e-05,316.25,319752,2.1333308,3.514145e-05,0.0,4.175,18.348791371152053,1343,0.004879455
5.925,0.13470000000000001,3294.5485124588013,0.00020002872,336.75,329752,2.2003171,0.00020002872,0.0,4.075,19.18868327900241,1383,0.010594035
6.439024390243903,0.1387317073170732,3400.873126268387,8.700104e-05,346.8292682926829,339759,2.2271814,8.700104e-05,0.0,3.5609756097560976,19.917981602959834,1424,0.007986125
7.2272727272727275,0.15782451016185958,3496.3985028266907,0.0001705066,368.40909090909093,349871,2.2274084,0.0001705066,0.0,2.772727272727273,21.23425583398952,1468,0.0066783014
