entropy,MtR,Tmt,TimestepsSoFar,Tbt,Ptt,EpisodesSoFar,AttNC,Tmc,MpbtA,TimeElapsed,TtR,optimgain,surrgain,AttC,MpbtN,meankl,entloss
0.6854031,-67.06226394301545,74.69702276707531,9986,305959.0052539405,72.88625508995099,571,0.0,29.339754816112084,2.523649605362139,1440.8827362060547,-728.0210157618213,0.0030644098,0.0030644098,10.0,97.4763503946378,0.00778094,0.0
0.66293126,-64.65965937912522,73.4486921529175,19998,300845.8430583501,71.67259997349774,1068,0.0,30.6579476861167,3.1522206663542476,2680.1527891159058,-711.2474849094567,0.0026951837,0.0026951837,10.0,96.84777933364582,0.008264725,0.0
0.62294626,-61.359553232454914,72.09156626506024,29993,295287.05542168673,70.34044543794182,1483,0.0,32.11084337349398,4.521707771855002,3716.953181028366,-688.1927710843373,0.0045662937,0.0045662937,10.0,95.47829222814508,0.0101820445,0.0
0.5740818,-57.3297086480634,71.90342679127725,39954,294516.43613707164,70.16674381854824,1804,0.0,32.29595015576324,7.571942683980562,4527.218410730362,-664.392523364486,0.0045578512,0.0045578512,10.0,92.42805731601938,0.008736616,0.0
0.5230396,-48.979003080558,71.5377358490566,49986,293018.56603773584,69.75197350406715,2016,0.0,32.778301886792455,14.76853415755356,5067.695310115814,-609.5283018867924,0.004727019,0.004727019,10.0,85.23146584244644,0.008548363,0.0
0.4875161,-31.64020233987251,69.61,59866,285122.56,67.82548739701417,2116,0.0,34.9,32.22535901112103,5402.1565771102905,-473.0,0.004770097,0.004770097,10.0,67.77464098887899,0.009303447,0.0
0.46096015,-15.303063873127606,65.57894736842105,69930,268611.36842105264,63.775844743226514,2173,1.6842105263157894,39.36842105263158,62.438929801710344,5670.521783351898,-247.5438596491228,0.00070669345,0.00070669345,8.31578947368421,37.56107019828966,0.0026819878,0.0
0.42471254,-15.445660698400031,65.01818181818182,79854,266314.4727272727,63.27208964784061,2228,2.327272727272727,39.89090909090909,61.645028760371645,5946.4440932273865,-250.0,0.002068987,0.002068987,7.672727272727273,38.35497123962833,0.004473214,0.0
0.38012415,-13.541270846179847,62.8,89996,257228.8,61.15245255475023,2288,4.283333333333333,42.166666666666664,69.37845667857906,6235.211026668549,-192.5,0.0014513946,0.0014513946,5.716666666666667,30.62154332142094,0.0038401282,0.0
0.37838066,-13.74918149820154,62.94827586206897,99889,257836.1379310345,61.282106390264005,2346,1.793103448275862,42.03448275862069,67.15792444540104,6519.49650478363,-207.06896551724137,0.0010352881,0.0010352881,8.206896551724139,32.842075554598956,0.005785235,0.0
0.4161765,-11.889177403659982,60.75,109852,248832.0,59.21221576164352,2406,3.55,44.233333333333334,71.5692467001144,6795.679171562195,-172.5,0.0014947861,0.0014947861,6.45,28.430753299885584,0.004778174,0.0
0.39707336,-13.365480322018994,63.50847457627118,119924,260130.71186440677,61.81923365174199,2465,1.4745762711864407,41.45762711864407,67.31693582058585,7064.574484586716,-207.79661016949152,0.0011401791,0.0011401791,8.525423728813559,32.683064179414124,0.0034641814,0.0
0.4182641,-12.944561813126905,62.19298245614035,129872,254742.45614035087,60.57146005275096,2522,2.8771929824561404,42.78947368421053,68.04522351627581,7330.392731666565,-199.82456140350877,0.001420494,0.001420494,7.12280701754386,31.954776483724146,0.0033640254,0.0
0.36495072,-13.248957949831635,63.19672131147541,139935,258853.77049180327,61.534883220548124,2583,1.1639344262295082,41.75409836065574,67.41925352477749,7586.946300268173,-206.55737704918033,0.0018549985,0.0018549985,8.836065573770492,32.58074647522253,0.007152406,0.0
0.36839446,-12.532379867973189,61.389830508474574,149961,251452.74576271186,59.805183987274624,2642,3.5084745762711864,43.610169491525426,69.55841693115181,7871.340969800949,-186.77966101694915,0.0016745072,0.0016745072,6.491525423728813,30.441583068848203,0.0038092737,0.0
0.4216179,-12.842580259391463,62.10344827586207,159844,254375.72413793104,60.46871327270785,2700,3.5689655172413794,42.91379310344828,69.87993217471018,8151.670704126358,-187.58620689655172,0.0018132766,0.0018132766,6.431034482758621,30.12006782528982,0.004787883,0.0
0.39986372,-13.030007191599266,63.19642857142857,169819,258852.57142857142,61.51497017541896,2756,1.5535714285714286,41.785714285714285,67.18965761608457,8428.921375751495,-208.57142857142858,0.0016520648,0.0016520648,8.446428571428571,32.81034238391538,0.004579605,0.0
0.37897637,-11.709552904349717,60.45,179915,247603.2,58.90133770970151,2816,3.1333333333333333,44.583333333333336,71.7389316640884,8730.388591051102,-171.83333333333334,0.0009761046,0.0009761046,6.866666666666666,28.26106833591156,0.0041733165,0.0
0.35211945,-12.221480716857636,62.88135593220339,189850,257562.0338983051,61.22093803883141,2875,2.983050847457627,42.101694915254235,70.70314188999549,9031.00457572937,-184.23728813559322,0.0011825458,0.0011825458,7.016949152542373,29.296858110004482,0.003795426,0.0
0.38464847,-11.682163601353592,60.68852459016394,199868,248580.19672131148,59.13766550770231,2936,3.3114754098360657,44.32786885245902,72.87646152272723,9344.190583467484,-164.2622950819672,0.0014522205,0.0014522205,6.688524590163935,27.123538477272803,0.0037636436,0.0
0.38059512,-12.607943524082048,61.540983606557376,209929,252071.868852459,59.94681383435055,2997,2.4098360655737703,43.459016393442624,69.71524461089872,9658.558907032013,-186.2295081967213,0.0016398941,0.0016398941,7.590163934426229,30.28475538910127,0.004307265,0.0
0.42086577,-11.837854976629746,61.578947368421055,219920,252227.36842105264,59.99517004591864,3054,2.6315789473684212,43.40350877192982,71.03718797576286,9973.690618038177,-179.12280701754386,0.0011119522,0.0011119522,7.368421052631579,28.96281202423715,0.002918539,0.0
0.32678273,-14.444582265423437,64.12962962962963,229808,262674.962962963,62.41582440714561,3108,1.4074074074074074,40.81481481481482,63.5557247212531,10286.294733285904,-234.8148148148148,0.0011385998,0.0011385998,8.592592592592593,36.44427527874689,0.008758026,0.0
0.39087754,-13.44186219660365,63.43103448275862,239902,259813.5172413793,61.72711643165645,3166,3.1206896551724137,41.56896551724138,68.17046836809874,10597.217941999435,-201.89655172413794,0.0013100592,0.0013100592,6.879310344827586,31.829531631901247,0.0038535835,0.0
0.36059672,-12.58382434884158,61.793103448275865,249944,253104.55172413794,60.17633084388895,3224,2.103448275862069,43.224137931034484,69.00100036465649,10896.224140167236,-191.3793103448276,0.0009856225,0.0009856225,7.896551724137931,30.99899963534349,0.0027145178,0.0
0.3761152,-12.388722169034018,61.186440677966104,259993,250619.66101694916,59.61345528545498,3283,2.305084745762712,43.813559322033896,69.80073933686715,11171.514407157898,-184.74576271186442,0.0013901483,0.0013901483,7.694915254237288,30.199260663132858,0.0028435437,0.0
0.3534076,-13.106610042515653,63.267857142857146,269962,259145.14285714287,61.60441048150018,3339,1.7857142857142858,41.67857142857143,67.9863307704539,11460.699724435806,-203.57142857142858,0.0011824704,0.0011824704,8.214285714285714,32.0136692295461,0.0030324555,0.0
0.34712988,-12.257694455918347,60.46551724137931,279954,247666.75862068965,58.9255314619615,3397,3.293103448275862,44.55172413793103,69.65056462575564,11769.719081640244,-183.79310344827587,0.0018526803,0.0018526803,6.706896551724138,30.34943537424434,0.0043256837,0.0
0.34357134,-12.943055997777524,61.40677966101695,289925,251522.16949152542,59.822127933289046,3456,3.4237288135593222,43.59322033898305,68.58475785854957,12079.707722187042,-192.88135593220338,0.0010387149,0.0010387149,6.576271186440678,31.415242141450438,0.0026428278,0.0
0.31824207,-11.5413907592521,60.5,299862,247808.0,58.957467755235186,3514,3.8620689655172415,44.51724137931034,71.89583542654965,12411.485241174698,-170.0,0.0013124045,0.0013124045,6.137931034482759,28.10416457345036,0.0034102802,0.0
0.32349253,-11.107644441839163,59.93333333333333,309892,245486.93333333332,58.43488969839007,3574,4.066666666666666,45.06666666666667,73.38368055173272,12744.488334417343,-160.0,0.0013065088,0.0013065088,5.933333333333334,26.616319448267284,0.003032556,0.0
0.31238154,-11.577874672738908,60.310344827586206,319915,247031.1724137931,58.780581881309345,3632,3.8793103448275863,44.706896551724135,71.93175669405811,13083.605966567993,-169.31034482758622,0.0014980363,0.0014980363,6.120689655172414,28.06824330594191,0.0029405488,0.0
0.31305486,-11.577193482627305,59.645161290322584,329971,244306.5806451613,58.138474350411144,3694,4.467741935483871,45.403225806451616,72.54800831469404,13414.716306686401,-164.51612903225808,0.0014452032,0.0014452032,5.532258064516129,27.451991685305934,0.0035141178,0.0
0.36795837,-11.31691498738952,58.90163934426229,339861,241261.11475409835,57.41692519533848,3755,4.39344262295082,46.18032786885246,72.62276079380753,13764.951606988907,-161.47540983606558,0.0015320671,0.0015320671,5.60655737704918,27.37723920619247,0.006611046,0.0
0.37431124,-12.460774559503827,60.215384615384615,349849,246642.21538461538,58.67155088922611,3820,1.6,44.83076923076923,69.32007150149417,14124.579075098038,-186.46153846153845,0.0019150281,0.0019150281,8.4,30.679928498505813,0.0032848155,0.0
0.36179817,-11.510943178223869,59.885245901639344,359994,245289.96721311475,58.36910428229259,3881,1.8360655737704918,45.14754098360656,70.80707640802109,14461.952555418015,-176.55737704918033,0.0017510236,0.0017510236,8.163934426229508,29.192923591978943,0.004115695,0.0
0.35826734,-10.546676733521242,58.721311475409834,369982,240522.49180327868,57.25623561998409,3942,4.557377049180328,46.34426229508197,74.40908092260563,14812.931425333023,-150.327868852459,0.0013050983,0.0013050983,5.442622950819672,25.590919077394407,0.0027485443,0.0
0.35774323,-11.301590824210594,60.145161290322584,379990,246354.5806451613,58.62336337551236,4004,3.5806451612903225,44.87096774193548,73.38104358449013,15150.610553741455,-160.32258064516128,0.0016142724,0.0016142724,6.419354838709677,26.61895641550988,0.0058124824,0.0
0.40651116,-11.820778731879768,58.53225806451613,389981,239748.12903225806,57.08555545792588,4066,2.532258064516129,46.516129032258064,72.50338183041131,15498.555488586426,-160.80645161290323,0.0020471902,0.0020471902,7.467741935483871,27.496618169588654,0.00651273,0.0
0.4018061,-10.690583075544897,60.55,399814,248012.8,58.9974733780951,4126,2.066666666666667,44.483333333333334,73.86875369633307,15828.89961862564,-158.33333333333334,0.0011852178,0.0011852178,7.933333333333334,26.13124630366693,0.003313496,0.0
0.38896704,-11.403202278142016,59.74603174603175,409990,244719.74603174604,58.223495231924645,4189,2.2222222222222223,45.317460317460316,72.35124511549336,16173.615166187286,-166.1904761904762,0.0015843762,0.0015843762,7.777777777777778,27.648754884506644,0.003662561,0.0
0.41665176,-10.161529957237239,59.416666666666664,419898,243370.66666666666,57.911187230159825,4249,3.283333333333333,45.65,75.11614207799126,16504.70662713051,-148.16666666666666,0.0018543677,0.0018543677,6.716666666666667,24.883857922008737,0.0059255054,0.0
