meankl,optimgain,surrgain,AttC,entropy,EpisodesSoFar,AttNC,MtR,TtR,Tmc,entloss,TimeElapsed,Ptt,TimestepsSoFar,Tbt,MpbtN,MpbtA,Tmt
0.008641884,0.022848636,0.022848636,1.0,0.68454444,823,0.0,-75.94885695679793,-80.23329283110571,19.518833535844472,0.0,2058.80411028862,82.0068511427341,9988,345432.65127582016,95.14214046911913,4.857859530880497,84.33414337788578
0.008985788,0.013317172,0.013317172,1.0,0.6585296,1570,0.0,-75.53531180860739,-80.285140562249,19.619812583668004,0.0,3944.0410680770874,81.91487176615901,19985,345067.437751004,95.30580785180523,4.694192148194508,84.24497991967871
0.009659953,0.017564693,0.017564693,1.0,0.614385,2203,0.0,-74.82054226766013,-80.42496050552923,19.513428120063192,0.0,5558.11829996109,82.01175998561972,29993,345442.2748815166,95.36689745587304,4.633102544126674,84.33649289099526
0.0098986775,0.02094268,0.02094268,1.0,0.5531242,2728,0.0,-73.7179973625151,-80.38857142857142,19.676190476190477,0.0,6929.441426753998,81.86303712132364,39993,344859.7942857143,95.4846417246241,4.515358275375765,84.19428571428571
0.010009407,0.025565572,0.025565572,1.0,0.47435585,3116,0.0,-71.71060883477972,-80.38144329896907,19.641752577319586,0.0,7929.363369941711,81.89615428714963,49956,345024.6597938144,95.42745872272927,4.57254127727069,84.23453608247422
0.008949168,0.01427001,0.01427001,0.995049504950495,0.36922187,3318,0.0049504950495049506,-65.1539924396496,-78.82178217821782,19.985148514851485,0.0,8472.784128904343,81.58184215730424,59991,343739.5643564357,93.91905684064226,6.0809431593578145,83.92079207920793
0.008052621,0.01234672,0.01234672,0.8252427184466019,0.2878809,3421,0.17475728155339806,-57.899279853711406,-76.4368932038835,20.174757281553397,0.0,8755.122084856033,81.41246042974538,69997,343109.5922330097,91.23336931334538,8.766630686654592,83.76699029126213
0.00611802,0.009935022,0.009935022,0.5576923076923077,0.2536588,3473,0.4423076923076923,-45.900002185694014,-73.15384615384616,20.884615384615383,0.0,8923.469172477722,80.74677907396563,79883,340046.76923076925,88.125340140265,11.874659859735,83.01923076923077
0.002859642,0.0018174271,0.0018174271,0.6046511627906976,0.22337402,3516,0.3953488372093023,-40.371520199878795,-70.93023255813954,20.767441860465116,0.0,9060.067431211472,80.85421173272405,89915,340444.27906976745,85.27275162434137,14.727248375658625,83.11627906976744
0.0038585067,0.0034153885,0.0034153885,0.6,0.22854072,3556,0.4,-39.927356358460315,-71.15,21.525,0.0,9201.984667301178,80.16784413701171,99823,337817.6,86.25652153277619,13.743478467223834,82.475
0.006593074,0.003381894,0.003381894,0.2564102564102564,0.16015983,3595,0.7435897435897436,-40.32046737282951,-72.76923076923077,20.794871794871796,0.0,9334.37324142456,80.82998839110495,109901,340388.10256410256,87.5295862360302,12.470413763969798,83.1025641025641
0.0043291003,0.0038771331,0.0038771331,0.02857142857142857,0.22364135,3630,0.9714285714285714,-40.810431324287606,-74.71428571428571,21.0,0.0,9454.102658510208,80.63702557820696,119910,339499.8857142857,90.1675312323884,9.832468767611592,82.88571428571429
0.0021907254,0.0030561797,0.0030561797,0.1891891891891892,0.19660163,3667,0.8108108108108109,-40.52709705435944,-73.27027027027027,20.864864864864863,0.0,9590.258504629135,80.76797019943638,129919,340189.4054054054,88.20598984502718,11.79401015497284,83.05405405405405
0.0014284224,0.0020289489,0.0020289489,0.5263157894736842,0.20611894,3705,0.47368421052631576,-40.45242778694825,-73.52631578947368,20.86842105263158,0.0,9715.713183641434,80.76192503249248,139930,340075.7894736842,88.552688101919,11.447311898080992,83.02631578947368
