entropy,AttNC,surrgain,Fce,TtR,TimestepsSoFar,optimgain,TimeElapsed,MtR,AttC,meankl,EpisodesSoFar,entloss
1.4210964,0.7540983606557377,0.00018568548,0.14577955815015953,75.78688524590164,9981,0.00018568548,48.237067222595215,14.900144551608255,2.2459016393442623,0.0034738663,61,0.0
1.4354341,0.4329896907216495,0.0008874135,0.13819979514240724,48.21649484536083,19998,0.0008874135,96.62244391441345,9.804261891965592,2.5670103092783507,0.006824534,158,0.0
1.4448352,0.9508196721311475,0.0002530075,0.17220934731697382,71.90163934426229,29852,0.0002530075,144.76335048675537,13.99463588347932,2.0491803278688523,0.0008350288,219,0.0
1.4394968,0.8813559322033898,0.00029939244,0.1301766257176548,80.44067796610169,39868,0.00029939244,190.816739320755,15.727332866636408,2.1186440677966103,0.0045536603,278,0.0
1.4401399,0.9824561403508771,0.00033200785,0.1247919746371759,75.78947368421052,49774,0.00033200785,234.60256552696228,14.788027834908508,2.017543859649123,0.005389827,335,0.0
1.4195117,1.24,0.0004364024,0.12406549528902472,84.3,59858,0.0004364024,282.79314041137695,16.17858028596236,1.76,0.0038336061,385,0.0
1.425127,1.44,0.00037612344,0.11699846193022667,81.66,69920,0.00037612344,329.0420570373535,15.6209005335408,1.56,0.0032582108,435,0.0
1.3966837,1.3181818181818181,0.0003083725,0.12797202797202797,92.25,79944,0.0003083725,375.66844964027405,17.329414436340713,1.6818181818181819,0.0015994874,479,0.0
1.3761351,1.4666666666666666,0.0007783277,0.12181164021164022,88.0,89979,0.0007783277,421.8381915092468,16.750415812327258,1.5333333333333334,0.0026188493,524,0.0
1.3711674,1.4523809523809523,0.0005881665,0.1207619047619048,89.28571428571429,99764,0.0005881665,467.0090205669403,16.82520694531658,1.5476190476190477,0.0022215429,566,0.0
1.3606695,1.7317073170731707,0.0005075073,0.12770731707317076,95.78048780487805,109765,0.0005075073,511.23171758651733,17.976981464954513,1.2682926829268293,0.002481053,607,0.0
1.3571899,1.5238095238095237,0.00017880605,0.13236566332218505,95.85714285714286,119801,0.00017880605,558.8609478473663,18.177680215189415,1.4761904761904763,0.00062705483,649,0.0
1.3823266,1.7209302325581395,0.0009539871,0.12439009752438111,91.81395348837209,129840,0.0009539871,604.5440692901611,17.573995440232565,1.2790697674418605,0.007947205,692,0.0
1.3904917,1.2954545454545454,0.000527331,0.1583968253968254,96.68181818181819,139872,0.000527331,649.1698379516602,18.201474908225535,1.7045454545454546,0.004804544,736,0.0
1.3962036,0.8771929824561403,0.00052862754,0.12487066833595742,78.6842105263158,149778,0.00052862754,692.8256185054779,15.39514469683398,2.1228070175438596,0.0019242676,793,0.0
1.4094682,1.0384615384615385,0.0003278117,0.12765979051570658,85.15384615384616,159909,0.0003278117,738.9361619949341,16.55254583817141,1.9615384615384615,0.0017436844,845,0.0
1.3769529,0.8771929824561403,0.0004903132,0.1257699493488967,79.3157894736842,169826,0.0004903132,785.6024942398071,15.409877472497422,2.1228070175438596,0.00501233,902,0.0
1.3820688,1.1372549019607843,0.0006355062,0.12576341625291845,88.88235294117646,179947,0.0006355062,830.4930992126465,16.957492193108756,1.8627450980392157,0.006931961,953,0.0
1.3895291,0.9622641509433962,0.0004396371,0.15442889138995144,87.73584905660377,189796,0.0004396371,878.6699132919312,16.952222252991543,2.0377358490566038,0.0042269155,1006,0.0
1.3775659,0.9464285714285714,0.00037226078,0.14646404957096856,85.07142857142857,199921,0.00037226078,924.2169432640076,16.753504307111974,2.0535714285714284,0.0037057486,1062,0.0
1.3566403,1.127659574468085,0.000598835,0.13712165412764218,93.31914893617021,209909,0.000598835,969.251035451889,17.868426972597703,1.872340425531915,0.006364271,1109,0.0
1.3346763,1.4893617021276595,0.0007637014,0.12683068394880576,91.46808510638297,219970,0.0007637014,1014.1405799388885,17.178285209229607,1.5106382978723405,0.0024767704,1156,0.0
1.3487557,1.4883720930232558,0.0008131353,0.11541085271317833,85.46511627906976,229758,0.0008131353,1058.0978734493256,16.383796330918493,1.5116279069767442,0.009323711,1199,0.0
1.3704951,1.7209302325581395,0.00058904546,0.1274418604651163,95.5813953488372,239763,0.00058904546,1106.4311106204987,18.48318207512786,1.2790697674418605,0.0054360405,1242,0.0
1.3580328,1.3043478260869565,0.00071302895,0.15535340022296545,93.84782608695652,249793,0.00071302895,1151.0553946495056,17.69799184148404,1.6956521739130435,0.0065951305,1288,0.0
1.3413055,1.037037037037037,0.00046191915,0.117996857088475,82.44444444444444,259786,0.00046191915,1198.2155497074127,15.795479261835,1.962962962962963,0.0026416196,1342,0.0
1.3531984,1.2553191489361701,0.00059178367,0.1446421708697661,95.68085106382979,269962,0.00059178367,1242.5272145271301,18.261142192152466,1.7446808510638299,0.002934763,1389,0.0
1.3718626,0.6521739130434783,0.0013747093,0.16781574024701057,66.65217391304348,279770,0.0013747093,1292.0890548229218,13.24482376526836,2.347826086956522,0.008795864,1458,0.0
1.3573375,1.391304347826087,0.0004296903,0.1472173913043478,94.17391304347827,289782,0.0004296903,1333.5783760547638,17.826014895657174,1.608695652173913,0.003441863,1504,0.0
1.3464819,1.297872340425532,0.00072748004,0.1342520458265139,95.61702127659575,299839,0.00072748004,1380.4076566696167,17.955987849444032,1.702127659574468,0.0055944957,1551,0.0
1.3454473,1.3409090909090908,0.00067570544,0.13829618768328447,101.79545454545455,309891,0.00067570544,1421.541829586029,19.40506479663313,1.6590909090909092,0.007065563,1595,0.0
