Tbt,optimgain,Tmc,Tmt,EpisodesSoFar,meankl,AttNC,MtR,Ptt,AttC,entropy,TimestepsSoFar,TtR,surrgain,entloss,MpbtA,MpbtN,TimeElapsed
345314.46153846156,0.026437383,19.546875,84.30528846153847,832,0.009449662,0.0,-75.93499614771528,81.98084211022666,1.0,0.68381125,9997,-80.171875,0.026437383,0.0,4.893792220912756,95.1062077790869,2072.53094291687
345979.2331034483,0.013996504,19.361379310344827,84.46758620689656,1557,0.009728534,0.0,-75.59219134731664,82.14968948498748,1.0,0.6553562,19987,-80.49103448275862,0.013996504,0.0,4.700299592601673,95.299700407398,3917.0751655101776
345542.0064724919,0.019035192,19.478964401294498,84.36084142394822,2175,0.009841284,0.0,-74.7233348944172,82.04184556384126,1.0,0.60917354,29990,-80.46601941747574,0.019035192,0.0,4.610496854471209,95.38950314552858,5473.576434135437
345247.81502890174,0.02299618,19.560693641618496,84.28901734104046,2694,0.010237387,0.0,-73.74274747903625,81.96748554426588,1.0,0.54450595,39984,-80.51637764932562,0.02299618,0.0,4.47278771449829,95.52721228550156,6798.115332126617
345817.9282051282,0.023806911,19.415384615384614,84.42820512820512,3084,0.009730624,0.0,-71.72829177202642,82.10208967616249,1.0,0.47210956,49989,-80.47435897435898,0.023806911,0.0,4.673984106324326,95.32601589367569,7783.592314958572
345192.3320754717,0.02324925,19.59245283018868,84.27547169811321,3349,0.00951832,0.0,-67.61892422163429,81.94123247438675,1.0,0.39920416,59999,-79.61132075471698,0.02324925,0.0,5.531721455036577,94.46827854496352,8464.914344549179
344762.1818181818,0.019668598,19.693181818181817,84.17045454545455,3525,0.008995962,0.0,-62.17686771540239,81.8468362059788,1.0,0.32717538,69995,-78.5965909090909,0.019668598,0.0,6.62494983020493,93.37505016979512,8928.84849023819
342106.61946902657,0.014395596,20.424778761061948,83.52212389380531,3638,0.007909697,0.0,-54.948831957587004,81.17980475394329,1.0,0.27978846,79983,-76.57522123893806,0.014395596,0.0,8.322422074527335,91.67757792547269,9239.970233678818
342237.4054054054,0.009109917,20.33783783783784,83.55405405405405,3712,0.006022451,0.02702702702702703,-47.70174516337855,81.25387343290707,0.972972972972973,0.25607416,89920,-75.0,0.009109917,0.0,10.252687939968482,89.74731206003149,9443.083721160889
344369.67164179106,0.009806189,19.80597014925373,84.07462686567165,3779,0.004571337,0.0,-46.66829961820306,81.74614639815164,1.0,0.22618546,99982,-75.23880597014926,0.009806189,0.0,10.528146555760461,89.47185344423956,9633.644389390945
343457.18518518517,0.007766504,20.074074074074073,83.85185185185185,3833,0.004663253,0.037037037037037035,-43.27723245253542,81.50468290404066,0.9629629629629629,0.22364677,109898,-73.38888888888889,0.007766504,0.0,12.48545403187778,87.51454596812226,9784.56646490097
342635.16279069765,0.008272594,20.27906976744186,83.65116279069767,3876,0.006004006,0.32558139534883723,-41.40872989288854,81.31362065665807,0.6744186046511628,0.18663171,119809,-72.76744186046511,0.008272594,0.0,13.063258518226396,86.93674148177361,9920.606583833694
340632.2162162162,0.004770404,20.72972972972973,83.16216216216216,3913,0.0016021141,0.8108108108108109,-40.44577335465971,80.88872081446898,0.1891891891891892,0.19000234,129871,-73.35135135135135,0.004770404,0.0,11.830002756402251,88.16999724359776,10035.245246171951
341372.34285714285,0.0069105774,20.62857142857143,83.34285714285714,3948,0.0034209464,0.9428571428571428,-41.18732592042279,80.99686579164326,0.05714285714285714,0.19519883,139722,-75.11428571428571,0.0069105774,0.0,9.884572509869706,90.11542749013029,10148.473330974579
342447.15789473685,0.004332019,20.263157894736842,83.60526315789474,3986,0.0024349906,0.7368421052631579,-41.91223164551155,81.31943543780653,0.2631578947368421,0.15099315,149852,-75.89473684210526,0.004332019,0.0,9.219078925507404,90.7809210744926,10263.21899151802
343244.8,0.006386015,20.114285714285714,83.8,4021,0.0029376254,0.9428571428571428,-41.04105493572126,81.46436800033435,0.05714285714285714,0.18260162,159825,-76.57142857142857,0.006386015,0.0,8.64811174940579,91.35188825059421,10373.10957980156
341477.05263157893,0.005479785,20.55263157894737,83.36842105263158,4059,0.002733542,0.6842105263157895,-41.923116054802534,81.05890388747855,0.3157894736842105,0.18829702,169872,-74.78947368421052,0.005479785,0.0,10.325102734426498,89.67489726557348,10488.586863040924
337578.6666666667,0.005358157,21.555555555555557,82.41666666666667,4095,0.0019454132,0.7777777777777778,-40.18563221777223,80.13379240005206,0.2222222222222222,0.1838916,179878,-73.83333333333333,0.005358157,0.0,10.435174453316286,89.56482554668374,10608.04089140892
344949.6216216216,0.0070744674,19.675675675675677,84.21621621621621,4132,0.0037995628,0.918918918918919,-42.817699302059,81.86901473209687,0.08108108108108109,0.19886008,189741,-76.43243243243244,0.0070744674,0.0,9.26762048094858,90.73237951905142,10722.611229896545
