entloss,meankl,TimestepsSoFar,entropy,TimeElapsed,Fce,EpisodesSoFar,TtR,AttC,AttNC,optimgain,MtR,surrgain
0.0,0.0023053885,2969861,-2.7522264,87671.11564826965,1.0,12246,2500.0,0.0,10.0,4.4222356e-06,142.8784238871937,4.4222356e-06
0.0,0.010174744,2979861,-2.849853,87912.26975870132,1.0,12286,2500.0,0.0,10.0,0.00036843884,142.8784238871937,0.00036843884
0.0,0.008933204,2989861,-2.7522264,88139.09509277344,1.0,12326,2500.0,0.0,10.0,0.00019063878,142.8784238871937,0.00019063878
0.0,0.008933204,2999861,-2.654665,88374.0760936737,1.0,12366,2500.0,0.0,10.0,0.0002784454,142.8784238871937,0.0002784454
0.0,0.008933204,3009861,-2.557099,88606.07541799545,1.0,12406,2500.0,0.0,10.0,0.00038727853,142.8784238871937,0.00038727853
0.0,0.00058555603,3019861,-2.5326908,88875.00206947327,1.0,12446,2500.0,0.0,10.0,1.3240528e-06,142.8784238871937,1.3240528e-06
0.0,0.010174871,3029861,-2.6302557,89098.4734158516,1.0,12486,2500.0,0.0,10.0,0.00013502999,142.8784238871937,0.00013502999
0.0,0.010174863,3039861,-2.7278728,89319.93461036682,1.0,12526,2500.0,0.0,10.0,0.0006612665,142.8784238871937,0.0006612665
0.0,0.01017476,3049861,-2.825441,89546.74576163292,1.0,12566,2500.0,0.0,10.0,0.00016523324,142.8784238871937,0.00016523324
0.0,0.01017476,3059861,-2.9230685,89768.75509524345,1.0,12606,2500.0,0.0,10.0,9.608821e-05,142.8784238871937,9.608821e-05
0.0,0.008933204,3069861,-2.825441,89984.24299263954,1.0,12646,2500.0,0.0,10.0,7.412437e-05,142.8784238871937,7.412437e-05
0.0,0.00060498714,3079861,-2.849853,90252.08762407303,1.0,12686,2500.0,0.0,10.0,2.1603203e-06,142.8784238871937,2.1603203e-06
0.0,0.008933204,3089861,-2.7522264,90471.12400603294,1.0,12726,2500.0,0.0,10.0,0.0004901578,142.8784238871937,0.0004901578
0.0,0.008933204,3099861,-2.654665,90680.95165419579,1.0,12766,2500.0,0.0,10.0,0.00037360497,142.8784238871937,0.00037360497
0.0,0.0023053025,3109861,-2.6058583,90901.14922070503,1.0,12806,2500.0,0.0,10.0,2.9227447e-06,142.8784238871937,2.9227447e-06
0.0,0.008933102,3119861,-2.5082946,91112.75034379959,1.0,12846,2500.0,0.0,10.0,0.0005453041,142.8784238871937,0.0005453041
0.0,0.008933204,3129861,-2.4106755,91320.45018529892,1.0,12886,2500.0,0.0,10.0,5.818756e-05,142.8784238871937,5.818756e-05
0.0,0.008933102,3139861,-2.3131096,91521.72353482246,1.0,12926,2500.0,0.0,10.0,0.0006931354,142.8784238871937,0.0006931354
0.0,0.010174781,3149861,-2.4106755,91717.28847885132,1.0,12966,2500.0,0.0,10.0,0.00017115533,142.8784238871937,0.00017115533
0.0,0.010174863,3159861,-2.5082946,91922.87971115112,1.0,13006,2500.0,0.0,10.0,0.00014665863,142.8784238871937,0.00014665863
0.0,0.0023053885,3169861,-2.4594748,92132.83789253235,1.0,13046,2500.0,0.0,10.0,1.1742592e-06,142.8784238871937,1.1742592e-06
0.0,0.008933196,3179861,-2.3619113,92328.64739966393,1.0,13086,2500.0,0.0,10.0,0.0001532889,142.8784238871937,0.0001532889
0.0,1.1324883e-06,3189861,-2.3608396,92616.43429517746,1.0,13126,2500.0,0.0,10.0,1.7356873e-09,142.8784238871937,1.7356873e-09
0.0,0.008933204,3199861,-2.2632704,92819.89511489868,1.0,13166,2500.0,0.0,10.0,0.00027754958,142.8784238871937,0.00027754958
0.0,0.008933204,3209861,-2.1656513,93027.34293198586,1.0,13206,2500.0,0.0,10.0,0.00021454976,142.8784238871937,0.00021454976
0.0,0.008933204,3219861,-2.0680788,93229.5121088028,1.0,13246,2500.0,0.0,10.0,0.00036718656,142.8784238871937,0.00036718656
0.0,0.008933416,3229861,-1.9704669,93426.98633551598,1.0,13286,2500.0,0.0,10.0,5.457815e-05,142.8784238871937,5.457815e-05
0.0,0.008933204,3239861,-1.8728921,93630.58703613281,1.0,13326,2500.0,0.0,10.0,0.00028481492,142.8784238871937,0.00028481492
0.0,0.008933204,3249861,-1.7752796,93831.81089758873,1.0,13366,2500.0,0.0,10.0,0.0003165787,142.8784238871937,0.0003165787
0.0,0.010174781,3259861,-1.8728921,94030.4474067688,1.0,13406,2500.0,0.0,10.0,0.00016717496,142.8784238871937,0.00016717496
0.0,0.008933204,3269861,-1.7752796,94228.7372379303,1.0,13446,2500.0,0.0,10.0,0.00024031186,142.8784238871937,0.00024031186
0.0,0.010174781,3279861,-1.8728906,94438.61410880089,1.0,13486,2500.0,0.0,10.0,0.00019682822,142.8784238871937,0.00019682822
0.0,0.008933102,3289861,-1.7752796,94639.2584578991,1.0,13526,2500.0,0.0,10.0,0.00033307247,142.8784238871937,0.00033307247
0.0,0.008933102,3299861,-1.6777225,94837.06299757957,1.0,13566,2500.0,0.0,10.0,0.00032593095,142.8784238871937,0.00032593095
0.0,0.008933416,3309861,-1.5801184,95045.46234035492,1.0,13606,2500.0,0.0,10.0,0.00020438051,142.8784238871937,0.00020438051
0.0,0.008933204,3319861,-1.4825337,95254.15220427513,1.0,13646,2500.0,0.0,10.0,0.00017114296,142.8784238871937,0.00017114296
0.0,0.008933204,3329861,-1.3849422,95451.66700530052,1.0,13686,2500.0,0.0,10.0,0.0007026389,142.8784238871937,0.0007026389
0.0,0.008933204,3339861,-1.2873524,95646.7205209732,1.0,13726,2500.0,0.0,10.0,0.0003718729,142.8784238871937,0.0003718729
0.0,0.008933102,3349861,-1.1897581,95848.65294289589,1.0,13766,2500.0,0.0,10.0,6.0494393e-05,142.8784238871937,6.0494393e-05
0.0,0.010175116,3359861,-1.2873524,96045.42276787758,1.0,13806,2500.0,0.0,10.0,0.0008296687,142.8784238871937,0.0008296687
0.0,0.010174781,3369861,-1.3849422,96246.27514958382,1.0,13846,2500.0,0.0,10.0,0.00067482877,142.8784238871937,0.00067482877
0.0,0.008933416,3379861,-1.2873524,96448.02617788315,1.0,13886,2500.0,0.0,10.0,0.0001601001,142.8784238871937,0.0001601001
0.0,0.008933196,3389861,-1.1897582,96651.78158903122,1.0,13926,2500.0,0.0,10.0,0.00032708648,142.8784238871937,0.00032708648
0.0,0.008933204,3399861,-1.0921634,96848.36438941956,1.0,13966,2500.0,0.0,10.0,7.667871e-05,142.8784238871937,7.667871e-05
0.0,0.008933204,3409861,-0.99457175,97043.41606092453,1.0,14006,2500.0,0.0,10.0,0.00031952537,142.8784238871937,0.00031952537
0.0,0.01017476,3419861,-1.0921633,97239.89791250229,1.0,14046,2500.0,0.0,10.0,0.00020784458,142.8784238871937,0.00020784458
0.0,0.008933196,3429861,-0.99457175,97443.09458613396,1.0,14086,2500.0,0.0,10.0,0.0002509374,142.8784238871937,0.0002509374
0.0,0.008933204,3439861,-0.89697796,97642.9044239521,1.0,14126,2500.0,0.0,10.0,0.0005348246,142.8784238871937,0.0005348246
0.0,0.008933204,3449861,-0.7993966,97853.40257143974,1.0,14166,2500.0,0.0,10.0,4.1022835e-05,142.8784238871937,4.1022835e-05
0.0,0.008933204,3459861,-0.7018089,98062.41076493263,1.0,14206,2500.0,0.0,10.0,9.553137e-06,142.8784238871937,9.553137e-06
0.0,0.008933204,3469861,-0.60421735,98266.51145386696,1.0,14246,2500.0,0.0,10.0,0.00042229999,142.8784238871937,0.00042229999
0.0,0.008933102,3479861,-0.50662297,98462.88679432869,1.0,14286,2500.0,0.0,10.0,0.00016461252,142.8784238871937,0.00016461252
0.0,0.008933102,3489861,-0.40903646,98673.26848220825,1.0,14326,2500.0,0.0,10.0,0.00012567976,142.8784238871937,0.00012567976
0.0,0.010175116,3499861,-0.5066242,98873.67659306526,1.0,14366,2500.0,0.0,10.0,0.0001395613,142.8784238871937,0.0001395613
0.0,0.008933102,3509861,-0.40903684,99072.99137687683,1.0,14406,2500.0,0.0,10.0,0.00042482102,142.8784238871937,0.00042482102
0.0,0.008933204,3519861,-0.31144714,99271.24303126335,1.0,14446,2500.0,0.0,10.0,8.316162e-05,142.8784238871937,8.316162e-05
