surrgain,Fce,TimestepsSoFar,entropy,AttNC,TtR,TimeElapsed,MtR,EpisodesSoFar,meankl,entloss,optimgain,AttC
0.0006756012,0.17689264793343418,9987,1.4296097,0.6470588235294118,52.51764705882353,42.147905588150024,10.425347634301215,85,0.0027056357,0.0,0.0006756012,2.3529411764705883
0.0006802419,0.12820014948993863,19863,1.4300443,0.9322033898305084,78.35593220338983,81.95750403404236,15.244793293906433,144,0.002173321,0.0,0.0006802419,2.0677966101694913
0.0007911311,0.11814721804425143,29841,1.4212737,1.0909090909090908,80.23636363636363,122.55181574821472,15.365815822194273,199,0.002386714,0.0,0.0007911311,1.9090909090909092
0.0006969528,0.1392042328042328,39858,1.4269903,1.3555555555555556,96.6,165.55704379081726,18.51937675325975,244,0.0030324657,0.0,0.0006969528,1.6444444444444444
0.00063914235,0.1372476646160857,49903,1.4329479,1.2765957446808511,91.91489361702128,206.20416021347046,17.723779617892664,291,0.0025845298,0.0,0.00063914235,1.7234042553191489
0.0013623128,0.13453519434191702,59824,1.418332,1.0714285714285714,79.39285714285714,246.22145771980286,15.407465082604926,347,0.00604103,0.0,0.0013623128,1.9285714285714286
0.0007151489,0.13641669206100446,69928,1.4268805,1.3333333333333333,88.5625,285.76038336753845,17.022446119421065,395,0.0024303761,0.0,0.0007151489,1.6666666666666667
0.0009490763,0.132410582010582,79957,1.4224406,1.4666666666666666,96.4,328.6648955345154,18.298872050417682,440,0.003511883,0.0,0.0009490763,1.5333333333333334
0.0010471751,0.1193665966412704,89946,1.3965319,1.2037037037037037,79.33333333333333,369.45320534706116,15.079652856448527,494,0.004489275,0.0,0.0010471751,1.7962962962962963
0.0011599335,0.13231893687707644,99957,1.3815465,1.558139534883721,94.3953488372093,411.0051507949829,17.88258582755484,537,0.005515907,0.0,0.0011599335,1.441860465116279
0.0011874563,0.1286829268292683,109960,1.3957138,1.5609756097560976,96.51219512195122,450.4834015369415,18.562282005391733,578,0.0032346807,0.0,0.0011874563,1.4390243902439024
0.0011711157,0.1242524916943522,119969,1.4086943,1.9534883720930232,90.76744186046511,491.70870208740234,17.43354706386568,621,0.005032899,0.0,0.0011711157,1.0465116279069768
0.00083797454,0.14235284337412002,129773,1.4045774,1.1702127659574468,97.02127659574468,532.267326593399,18.331858692430334,668,0.0038379785,0.0,0.00083797454,1.8297872340425532
0.0012239164,0.1404176646061533,139939,1.397452,0.8524590163934426,77.26229508196721,573.9472362995148,15.18078343640359,729,0.004026249,0.0,0.0012239164,2.1475409836065573
0.0010758855,0.14263986684528884,149884,1.382688,1.1,91.92,617.0172159671783,17.674639281227034,779,0.0035431162,0.0,0.0010758855,1.9
0.000846314,0.12750572082379863,159936,1.3618166,1.2391304347826086,94.04347826086956,657.1949591636658,17.898963230217504,825,0.0023674336,0.0,0.000846314,1.7608695652173914
0.0008251709,0.16770466570466575,169797,1.3465677,0.9629629629629629,79.88888888888889,698.1325800418854,15.244867332321089,879,0.0029000281,0.0,0.0008251709,2.037037037037037
0.0009048777,0.1502341482806599,179834,1.3226286,1.3488372093023255,103.11627906976744,737.9908485412598,19.868338818315447,922,0.0044520125,0.0,0.0009048777,1.6511627906976745
0.0013794167,0.12502867715078628,189897,1.3029907,1.1702127659574468,86.36170212765957,778.8530683517456,16.357960783330665,969,0.0065642335,0.0,0.0013794167,1.8297872340425532
0.00086576823,0.1273170731707317,199900,1.2940706,1.5853658536585367,95.48780487804878,819.8140995502472,18.24828757537675,1010,0.0016112977,0.0,0.00086576823,1.4146341463414633
0.000968338,0.13150000000000003,209900,1.2959492,1.525,98.625,860.4904375076294,18.920239346601473,1050,0.004413412,0.0,0.000968338,1.475
0.00078473816,0.12890365448504984,219913,1.304331,1.7906976744186047,94.25581395348837,901.3170039653778,17.7785181510974,1093,0.0051953606,0.0,0.00078473816,1.2093023255813953
0.0011453059,0.13521951219512193,229924,1.3010994,1.7073170731707317,101.41463414634147,941.9711632728577,19.300696493209124,1134,0.0021420894,0.0,0.0011453059,1.2926829268292683
0.00088204956,0.14158139534883718,239929,1.3398539,1.558139534883721,88.81395348837209,982.2626371383667,16.893728504662157,1177,0.004055382,0.0,0.00088204956,1.441860465116279
0.0014974511,0.13533454694716418,249813,1.3513554,1.2222222222222223,94.86666666666666,1023.3022844791412,18.1500323446943,1222,0.007129993,0.0,0.0014974511,1.7777777777777777
0.0011773376,0.13791109025559808,259898,1.3676873,1.0416666666666667,97.1875,1064.5156347751617,18.856747806829965,1270,0.0044185957,0.0,0.0011773376,1.9583333333333333
0.0010862033,0.15088383554897342,269908,1.3550175,1.0408163265306123,97.16326530612245,1106.4838342666626,19.158335525984487,1319,0.0040955697,0.0,0.0010862033,1.9591836734693877
0.0012262665,0.1394225455768626,279752,1.360476,0.7592592592592593,83.83333333333333,1146.643352508545,16.328411945407417,1373,0.0052725985,0.0,0.0012262665,2.240740740740741
0.0011870798,0.14673853249740884,289943,1.3523042,1.0980392156862746,86.11764705882354,1187.6197197437286,16.501017478410528,1424,0.006618261,0.0,0.0011870798,1.9019607843137254
0.0012422604,0.15590476190476188,299945,1.3469992,1.6428571428571428,99.14285714285714,1231.610511302948,18.762153811903303,1466,0.0037123463,0.0,0.0012422604,1.3571428571428572
0.0008631297,0.12907681088964515,309999,1.3427703,1.5454545454545454,92.6590909090909,1271.633014202118,17.702470003508477,1510,0.006604285,0.0,0.0008631297,1.4545454545454546
0.00082142453,0.1369,319999,1.3489262,1.8,102.675,1312.0807943344116,19.152690741832682,1550,0.0032076782,0.0,0.00082142453,1.2
