optimgain,EpisodesSoFar,entloss,meankl,AttNC,Tbt,TimeElapsed,entropy,TimestepsSoFar,Ptt,MpbtN,surrgain,TtR,MtR,Tmc,AttC,Tmt,MpbtA
0.008219397,682,0.0,0.00877421,0.0,328899.1906158358,1609.4767212867737,0.68432546,9997,78.14346565056468,94.6964530648094,0.008219397,-228.0791788856305,-71.05144284634173,23.697947214076247,3.0,80.29765395894428,5.303546935190482
0.0043668477,1264,0.0,0.008134144,0.0,331051.10652920965,2957.533588886261,0.66006994,19994,78.63260089501675,93.75641347364645,0.0043668477,-227.27835051546393,-69.93850293564374,23.173539518900345,3.0,80.82302405498282,6.243586526353554
0.011502036,1757,0.0,0.010426155,0.0,331659.68356997974,4079.4849948883057,0.6134121,29992,78.77209002580445,92.92323988098977,0.011502036,-225.66937119675455,-68.4411425511911,23.024340770791074,3.0,80.97160243407708,7.07676011901009
0.011334969,2149,0.0,0.009925437,0.0,333165.71428571426,4998.9616158008575,0.55349153,39979,79.1281060057078,91.74477112090631,0.011334969,-223.77551020408163,-66.29667567998086,22.637755102040817,3.0,81.33928571428571,8.2552288790937
0.0050162906,2365,0.0,0.006758035,0.0,333217.18518518517,5510.096260547638,0.4971082,49975,79.13340866596546,88.52503169787768,0.0050162906,-215.97222222222223,-59.19438150175452,22.63425925925926,3.0,81.35185185185185,11.474968302122383
0.007035559,2522,0.0,0.009223781,0.03821656050955414,333054.36942675157,5897.541161775589,0.41238815,59990,79.09652956318008,86.75681625782231,0.007035559,-211.6815286624204,-55.426242004546474,22.67515923566879,2.961783439490446,81.31210191082802,13.24318374217772
0.0062392233,2579,0.0,0.007671103,0.5263157894736842,331919.7192982456,6063.795813322067,0.34361085,69946,78.83012891563543,77.40853620211406,0.0062392233,-188.1578947368421,-39.34314387268024,22.964912280701753,2.473684210526316,81.03508771929825,22.591463797885943
0.0017715947,2620,0.0,0.0025042337,1.170731707317073,322684.8780487805,6198.976881980896,0.30641514,79854,76.72917043902754,71.16024240622373,0.0017715947,-168.29268292682926,-32.22831525110235,25.21951219512195,1.829268292682927,78.78048780487805,28.839757593776262
0.0030256805,2659,0.0,0.0045599616,1.435897435897436,323268.92307692306,6330.4892246723175,0.29807526,89917,76.86385513094133,72.0356016054439,0.0030256805,-170.6153846153846,-31.94746696325664,25.076923076923077,1.564102564102564,78.92307692307692,27.964398394556085
0.0025519205,2699,0.0,0.0033421249,1.425,325324.8,6463.777570962906,0.31931242,99802,77.33209918967879,69.5835397965374,0.0025519205,-165.9,-31.89537237991592,24.575,1.575,79.425,30.416460203462613
0.005048404,2746,0.0,0.0076895966,0.7872340425531915,326634.21276595746,6607.3550317287445,0.2560856,109924,77.6281244243928,68.44661516576193,0.005048404,-163.91489361702128,-32.20669697330397,24.25531914893617,2.2127659574468086,79.74468085106383,31.553384834238106
0.0042141774,2786,0.0,0.004374653,1.65,326758.4,6742.966976642609,0.31528562,119847,77.67734193155516,69.6188229860681,0.0042141774,-166.8,-32.853336533141174,24.2,1.35,79.775,30.381177013931886
0.0033646158,2827,0.0,0.0033879385,1.4146341463414633,323084.48780487804,6880.392458438873,0.32566026,129787,76.82298401686974,68.04519670623071,0.0033646158,-161.1219512195122,-31.20271164295931,25.121951219512194,1.5853658536585367,78.8780487804878,31.954803293769263
0.0032731039,2869,0.0,0.003552797,1.3095238095238095,323876.5714285714,7012.521828889847,0.32613268,139895,77.00339219029476,67.81973586221318,0.0032731039,-160.85714285714286,-30.976159940617084,24.928571428571427,1.6904761904761905,79.07142857142857,32.18026413778685
0.0024621664,2913,0.0,0.0057320846,0.9772727272727273,322560.0,7150.726436376572,0.27700162,149912,76.70309606405927,66.62899384572951,0.0024621664,-157.63636363636363,-30.361914809427137,25.25,2.022727272727273,78.75,33.37100615427046
0.0016384603,2955,0.0,0.0012368291,1.5476190476190477,326704.7619047619,7283.351367473602,0.30482337,159863,77.6484209688128,67.31558908423368,0.0016384603,-161.28571428571428,-31.53654832129622,24.238095238095237,1.4523809523809523,79.76190476190476,32.68441091576633
0.0030628154,2997,0.0,0.0029102415,1.6904761904761905,321731.04761904763,7417.092678785324,0.3296112,169903,76.53223824647841,66.52891442763742,0.0030628154,-156.92857142857142,-30.850609744115168,25.428571428571427,1.3095238095238095,78.54761904761905,33.471085572362576
0.0025686899,3042,0.0,0.0030914554,1.0888888888888888,328044.0888888889,7552.36151266098,0.30516675,179996,77.95145996833713,65.79801086523753,0.0025686899,-158.2,-31.12432783949216,23.91111111111111,1.9111111111111112,80.08888888888889,34.201989134762464
0.0041363426,3083,0.0,0.005799564,1.6585365853658536,320287.2195121951,7688.154778957367,0.35565194,189783,76.1860447639902,64.25826712740918,0.0041363426,-150.8780487804878,-30.01269066404329,25.804878048780488,1.3414634146341464,78.1951219512195,35.74173287259082
0.0033718995,3131,0.0,0.00472731,0.75,320682.6666666667,7831.305602312088,0.3051371,199837,76.27675452015735,65.80218644731686,0.0033718995,-154.6875,-30.85499617863647,25.708333333333332,2.25,78.29166666666667,34.19781355268311
0.0033492453,3175,0.0,0.003919096,1.3181818181818181,320046.54545454547,7965.805748939514,0.34986,209923,76.13267028230489,63.83937895339948,0.0033492453,-149.79545454545453,-29.837965899710436,25.863636363636363,1.6818181818181819,78.13636363636364,36.16062104660052
0.0023007202,3221,0.0,0.0035508554,0.8260869565217391,317440.0,8105.446825027466,0.30493867,219911,75.53890244529975,63.20473636227457,0.0023007202,-147.0,-29.557501383736,26.5,2.1739130434782608,77.5,36.795263637725405
0.0028796701,3266,0.0,0.0040094904,1.511111111111111,322855.8222222222,8242.671248912811,0.3122996,230000,76.77156018373938,64.1665459053298,0.0028796701,-151.86666666666667,-30.542839329587462,25.177777777777777,1.488888888888889,78.82222222222222,35.8334540946702
