TimestepsSoFar,MpbtN,Tmc,entropy,Tbt,AttC,TtR,MtR,EpisodesSoFar,AttNC,Tmt,entloss,meankl,MpbtA,Ptt,TimeElapsed,optimgain,surrgain
129872,31.15246453431775,41.666666666666664,0.36222452,259413.33333333334,6.859649122807017,-198.59649122807016,-12.663253456403764,2523,3.1403508771929824,63.333333333333336,0.0,0.004307624,68.84753546568226,61.63522339666267,7206.189296245575,0.0015184185,0.0015184185
139885,27.96720021734233,43.9,0.39632168,250333.86666666667,6.333333333333333,-171.66666666666666,-11.818241312283956,2583,3.6666666666666665,61.11666666666667,0.0,0.010507211,72.03279978265768,59.5384323358715,7488.30823135376,0.0023560345,0.0023560345
149912,31.555494403311233,43.646153846153844,0.34967172,251431.38461538462,9.153846153846153,-194.30769230769232,-12.907760052140302,2648,0.8461538461538461,61.38461538461539,0.0,0.0033916498,68.44450559668873,59.785541788873196,7779.961564540863,0.0016905625,0.0016905625
159911,27.499158307823183,44.73770491803279,0.4006208,246834.3606557377,6.918032786885246,-165.7377049180328,-11.660961137372507,2709,3.081967213114754,60.26229508196721,0.0,0.005783726,72.50084169217679,58.74456782773339,8081.870581865311,0.0018017782,0.0018017782
169997,29.885289111342903,42.13333333333333,0.41982386,257433.6,7.816666666666666,-189.0,-12.473403306287333,2769,2.183333333333333,62.85,0.0,0.002842473,70.11471088865711,61.189430537092605,8368.562090158463,0.00145993,0.00145993
179975,27.67113197729078,43.44827586206897,0.38421553,252115.8620689655,7.810344827586207,-171.0344827586207,-11.23793162094172,2827,2.189655172413793,61.55172413793103,0.0,0.004902787,72.32886802270923,59.95703777989583,8673.437368154526,0.00086278503,0.00086278503
189973,28.45923461335307,44.01724137931034,0.3800572,249785.37931034484,6.551724137931035,-173.10344827586206,-11.775667097483874,2885,3.4482758620689653,60.98275862068966,0.0,0.0023161443,71.5407653866469,59.42114333254101,8985.764329910278,0.0012917615,0.0012917615
199876,26.878791179996988,45.885245901639344,0.3305765,242134.03278688525,6.295081967213115,-159.01639344262296,-11.193237678155514,2946,3.7049180327868854,59.114754098360656,0.0,0.003403651,73.121208820003,57.66056221174876,9325.596470355988,0.0010972734,0.0010972734
209860,27.842068553638086,44.725806451612904,0.37507868,246949.16129032258,4.629032258064516,-167.58064516129033,-12.104924674062238,3008,5.370967741935484,60.29032258064516,0.0,0.0049256007,72.1579314463619,58.76216057281844,9655.886377573013,0.0013330993,0.0013330993
219967,30.47999132515699,43.317460317460316,0.37517408,252651.68253968254,7.7936507936507935,-189.20634920634922,-12.224865850648612,3071,2.2063492063492065,61.682539682539684,0.0,0.0029850313,69.52000867484301,60.081891988961274,9988.783426046371,0.0013585318,0.0013585318
229836,25.900064237060455,44.50819672131148,0.34072164,247841.5737704918,5.475409836065574,-156.88524590163934,-11.196880565397542,3132,4.524590163934426,60.50819672131148,0.0,0.0024678162,74.09993576293955,58.96343093885689,10324.763170719147,0.0015009266,0.0015009266
239919,26.661406595212807,45.42857142857143,0.36044258,244134.60317460317,5.603174603174603,-158.4126984126984,-11.530104253657855,3195,4.396825396825397,59.6031746031746,0.0,0.004266222,73.33859340478719,58.106529187224346,10655.744319438934,0.0021064007,0.0021064007
249918,29.966511981293806,44.78125,0.36065832,246976.0,7.09375,-181.40625,-12.273763184225169,3259,2.90625,60.296875,0.0,0.0035117047,70.03348801870618,58.73547430705244,10978.590229511261,0.0013954428,0.0013954428
259981,28.599753070128013,45.721311475409834,0.35381636,243074.09836065574,4.163934426229508,-169.34426229508196,-11.960728197732966,3320,5.836065573770492,59.34426229508197,0.0,0.00294625,71.40024692987201,57.844826792407005,11315.269306659698,0.0013146038,0.0013146038
269923,28.5349245491042,44.96666666666667,0.3511898,246033.06666666668,5.783333333333333,-172.16666666666666,-11.70115998011626,3380,4.216666666666667,60.06666666666667,0.0,0.0046213414,71.46507545089577,58.54046351211195,11640.73697400093,0.001597952,0.001597952
279867,25.248667019879072,45.75806451612903,0.34119532,242787.09677419355,5.274193548387097,-149.19354838709677,-10.933067485004047,3442,4.725806451612903,59.274193548387096,0.0,0.0038415594,74.75133298012092,57.79585319064068,11977.51205778122,0.0012610697,0.0012610697
289850,27.236949000183255,44.88709677419355,0.3616689,246288.51612903227,5.951612903225806,-164.67741935483872,-11.43381514609267,3504,4.048387096774194,60.12903225806452,0.0,0.0039221416,72.76305099981676,58.6103293964031,12306.96460533142,0.0017355914,0.0017355914
299889,27.705721090495892,45.0655737704918,0.35723555,245827.1475409836,6.704918032786885,-166.55737704918033,-11.40136049393425,3565,3.2950819672131146,60.01639344262295,0.0,0.0021154487,72.29427890950409,58.469812541033576,12634.496497631073,0.001460899,0.001460899
309959,28.261618521169037,44.33870967741935,0.33008814,248468.64516129033,6.661290322580645,-172.25806451612902,-11.61687358255618,3627,3.338709677419355,60.66129032258065,0.0,0.003115582,71.73838147883096,59.11907820638074,12934.653175592422,0.0013469973,0.0013469973
319880,25.537459462764108,46.32786885245902,0.34467036,240455.34426229508,5.213114754098361,-149.50819672131146,-10.582926704564057,3688,4.786885245901639,58.704918032786885,0.0,0.0027750735,74.4625405372359,57.257572760890625,13237.342312812805,0.0014168815,0.0014168815
329966,24.275152501489355,46.74603174603175,0.38428348,238933.33333333334,6.0476190476190474,-141.74603174603175,-10.215217183071235,3751,3.9523809523809526,58.333333333333336,0.0,0.004562088,75.72484749851064,56.88344460660903,13522.989492893219,0.0014902689,0.0014902689
339841,31.121253121121985,42.71875,0.36102587,255104.0,8.984375,-195.46875,-12.361545351739338,3815,1.015625,62.28125,0.0,0.0050776927,68.878746878878,60.64605400055522,13838.233939170837,0.0029176474,0.0029176474
349867,28.61947384984831,44.5,0.33627325,247874.06451612903,7.82258064516129,-173.70967741935485,-11.83503345250713,3877,2.1774193548387095,60.516129032258064,0.0,0.0050352328,71.3805261501517,58.9726100834128,14170.015001773834,0.0015064917,0.0015064917
359885,25.727341359106024,46.578125,0.33579823,239488.0,6.015625,-150.0,-11.100640293140472,3941,3.984375,58.46875,0.0,0.0049314853,74.27265864089398,57.0303962462362,14496.580553531647,0.0017044257,0.0017044257
369958,26.48482024154767,47.578125,0.3205552,235712.0,7.40625,-153.125,-11.325366724124605,4005,2.59375,57.546875,0.0,0.0054511256,73.51517975845232,56.11854153024249,14844.82293343544,0.0015045191,0.0015045191
