meankl,entropy,TimestepsSoFar,TtR,MtR,AttNC,entloss,surrgain,EpisodesSoFar,Fce,TimeElapsed,optimgain,AttC
0.0068464465,1.4300547,9790,407.85714285714283,23.58836308584538,2.5,0.0,0.00016844604,42,0.16930671430629984,303.0229434967041,0.00016844604,7.5
0.00046768738,1.4464909,19790,392.5,22.594073443382015,3.6,0.0,0.00013441422,82,0.15699999999999997,621.3769688606262,0.00013441422,6.4
0.0014659938,1.4493519,29803,410.4878048780488,23.245898515406477,3.3658536585365852,0.0,0.00029488007,123,0.16419512195121952,971.8839530944824,0.00029488007,6.634146341463414
0.007818101,1.449263,39844,436.3414634146341,25.42035295516403,3.8048780487804876,0.0,0.001097778,164,0.17553123140987506,1345.394805431366,0.001097778,6.195121951219512
0.0047606933,1.4580625,49863,374.1463414634146,21.62231382184829,3.4878048780487805,0.0,0.00011944111,205,0.1508446726572529,1733.7657165527344,0.00011944111,6.512195121951219
0.0071794237,1.4547015,59863,420.25,24.37647334117733,3.825,0.0,0.0005784061,245,0.16810000000000003,2135.8827447891235,0.0005784061,6.175
0.0011814479,1.4600966,69863,371.75,21.48342336348754,3.825,0.0,0.00039860472,285,0.14870000000000003,2493.054546356201,0.00039860472,6.175
0.0007936952,1.4658067,79863,392.25,22.498111545055387,3.75,0.0,0.00025790496,325,0.15690000000000007,2877.3722422122955,0.00025790496,6.25
0.006402688,1.4734665,89863,386.5,22.08885982268854,3.825,0.0,0.00027731995,365,0.1546,3252.9236104488373,0.00027731995,6.175
0.004608625,1.4831034,99906,420.0,24.293791474051257,3.268292682926829,0.0,0.00032761658,406,0.16893930799773116,3602.4590084552765,0.00032761658,6.7317073170731705
0.0065414943,1.4880344,109822,499.06976744186045,28.81481854452244,2.86046511627907,0.0,0.0025754706,449,0.20958650837197243,4030.834146499634,0.0025754706,7.1395348837209305
0.0072247256,1.4704556,119934,406.9047619047619,23.409062515835178,2.9047619047619047,0.0,0.00032352525,491,0.16792097891788293,4349.2822070121765,0.00032352525,7.095238095238095
0.0011754094,1.4772922,129934,393.25,22.777803879150035,3.85,0.0,0.0005954446,531,0.1573,4699.2856986522675,0.0005954446,6.15
0.0010688294,1.4859089,139961,372.6829268292683,21.34685080592016,3.926829268292683,0.0,0.00026604233,572,0.1522962962962963,5080.690802097321,0.00026604233,6.073170731707317
0.0073755425,1.4764438,149757,370.93023255813955,21.074559907620145,2.697674418604651,0.0,0.00055390777,615,0.1511989454853592,5438.568857908249,0.00055390777,7.3023255813953485
