Tmt,entloss,TimestepsSoFar,TimeElapsed,TtR,entropy,optimgain,AttC,EpisodesSoFar,MtR,MpbtN,MpbtA,Tmc,AttNC,surrgain,Ptt,Tbt,meankl
74.56499133448874,0.0,9992,1383.4914774894714,-727.2790294627383,0.68464595,0.0025975928,10.0,577,-67.04234270719458,97.54859927997244,2.4514007200275705,29.48526863084922,0.0,0.0025975928,72.75430951524797,305418.2045060659,0.008455722
73.72577319587629,0.0,19977,2528.530527114868,-712.1649484536083,0.66099924,0.0029321595,10.0,1062,-64.61023856691521,96.6051494263082,3.394850573691661,30.356701030927834,0.0,0.0029321595,71.94817291128416,301980.76701030927,0.008650255
72.4253164556962,0.0,29997,3442.1915154457092,-688.7848101265823,0.6159128,0.003966496,10.0,1457,-61.05729374330559,95.11977955207823,4.88022044792184,31.739240506329114,0.0,0.003966496,70.67790944782459,296654.09620253165,0.010806527
72.20462046204621,0.0,39985,4122.488575220108,-662.8052805280528,0.55774486,0.0047712894,10.0,1760,-56.732878406585776,91.8196977640585,8.180302235941411,31.993399339933994,0.0,0.0047712894,70.45045644165634,295750.12541254127,0.010180542
71.52071005917159,0.0,49904,4508.511805295944,-597.2781065088758,0.526641,0.0037301492,10.0,1929,-46.069046185216344,83.52396650796493,16.476033492035103,32.76331360946745,0.0,0.0037301492,69.75654754472347,292948.82840236684,0.0062947706
69.75257731958763,0.0,59989,4732.8199462890625,-473.8144329896907,0.49922475,0.0036646149,9.989690721649485,2026,-31.241678025980576,67.89945398841931,32.10054601158071,34.77319587628866,0.010309278350515464,0.0036646149,67.9493876638571,285706.55670103093,0.0061442796
66.72727272727273,0.0,69819,4916.476612567902,-331.2121212121212,0.48267582,0.003512517,9.545454545454545,2092,-20.037559459238768,49.47614863460721,50.52385136539279,38.09090909090909,0.45454545454545453,0.003512517,64.93264873872218,273314.9090909091,0.003629075
65.17460317460318,0.0,79971,5067.40208530426,-249.04761904761904,0.42464215,0.0026319274,8.761904761904763,2155,-15.80683358837993,37.90158039880342,62.098419601196575,39.74603174603175,1.2380952380952381,0.0026319274,63.412050715069,266955.1746031746,0.0026469086
63.813559322033896,0.0,89856,5243.803933382034,-216.61016949152543,0.42430636,0.0031260473,7.830508474576271,2214,-14.124079493918256,33.92221109190834,66.07778890809166,41.152542372881356,2.169491525423729,0.0031260473,62.107261991299524,261380.33898305084,0.0027362898
63.0,0.0,99856,5393.0405259132385,-207.11864406779662,0.4115342,0.0027076618,7.813559322033898,2273,-13.510923259115458,32.789573188011815,67.21042681198819,41.932203389830505,2.1864406779661016,0.0027076618,61.36190170588263,258048.0,0.003247274
63.38333333333333,0.0,109928,5558.047511577606,-209.5,0.4068821,0.0025845044,7.933333333333334,2333,-14.006042862704959,32.94810118953806,67.05189881046195,41.6,2.066666666666667,0.0025845044,61.693942460585056,259618.13333333333,0.002432194
63.79661016949152,0.0,119858,5707.225043058395,-192.88135593220338,0.39599067,0.0029333502,6.932203389830509,2392,-13.013905518172983,30.32225421611778,69.67774578388222,41.186440677966104,3.0677966101694913,0.0029333502,62.08035871842678,261310.91525423728,0.003134629
62.34426229508197,0.0,129853,5888.97110915184,-204.91803278688525,0.38084525,0.0028439325,7.639344262295082,2453,-13.531474048930106,32.92862538730264,67.07137461269734,42.68852459016394,2.360655737704918,0.0028439325,60.68898985524681,255362.09836065574,0.0038096607
62.55,0.0,139931,6040.227937459946,-198.33333333333334,0.38942719,0.0035008301,7.55,2513,-13.297396614539679,31.6172573058864,68.38274269411359,42.45,2.45,0.0035008301,60.89491152479627,256204.8,0.0022568475
62.74576271186441,0.0,149860,6211.621499538422,-184.91525423728814,0.38763008,0.0025035113,6.813559322033898,2572,-12.832914770826042,29.503758176032385,70.49624182396762,42.23728813559322,3.1864406779661016,0.0025035113,61.0938165439448,257006.64406779662,0.0026904321
63.23728813559322,0.0,159983,6361.8819189071655,-195.76271186440678,0.39213017,0.0025972843,7.254237288135593,2631,-12.995740613239155,30.82617659157439,69.17382340842563,41.71186440677966,2.7457627118644066,0.0025972843,61.57543574485129,259019.93220338982,0.0029493375
63.8448275862069,0.0,169976,6536.043263435364,-200.17241379310346,0.40477422,0.0025082857,6.948275862068965,2689,-13.324241958279886,31.343411316506852,68.65658868349315,41.1551724137931,3.0517241379310347,0.0025082857,62.114396172680614,261508.41379310345,0.002393346
63.333333333333336,0.0,179959,6688.194720983505,-209.12280701754386,0.426883,0.002370263,7.87719298245614,2746,-13.446206452159723,32.86469120374193,67.13530879625807,41.63157894736842,2.1228070175438596,0.002370263,61.65649698949932,259413.33333333334,0.0021167672
64.17543859649123,0.0,189837,6862.999469041824,-227.19298245614036,0.4202686,0.002170316,7.87719298245614,2803,-14.47638333008457,35.271642854109025,64.72835714589098,40.75438596491228,2.1228070175438596,0.002170316,62.47051723084459,262862.5964912281,0.0019117576
64.21052631578948,0.0,199861,7009.681515932083,-233.68421052631578,0.43099257,0.0029058135,8.175438596491228,2860,-14.675209823451913,36.2971506282922,63.70284937170778,40.78947368421053,1.8245614035087718,0.0029058135,62.45987838971369,263006.3157894737,0.0035198408
63.31147540983606,0.0,209983,7182.756972074509,-214.91803278688525,0.3969757,0.003426127,8.295081967213115,2921,-13.830447869228733,33.816494315890154,66.18350568410983,41.68852459016394,1.7049180327868851,0.003426127,61.611616406570704,259323.80327868852,0.0036866614
