MtR,TimeElapsed,AttNC,MpbtA,TimestepsSoFar,Tbt,MpbtN,optimgain,Tmc,surrgain,Tmt,EpisodesSoFar,meankl,Ptt,TtR,entloss,AttC,entropy
-70.96433778616789,1540.6802649497986,0.0,5.152981201858749,9994,327949.4736842105,94.84701879814104,0.009716205,23.922514619883042,0.009716205,80.0657894736842,684,0.0091332365,77.93317506406514,-227.75438596491227,0.0,3.0,0.6841404
-70.01067298166186,2870.7323853969574,0.0,6.034617483336442,19994,330269.50508474576,93.96538251666352,0.006336965,23.364406779661017,0.006336965,80.63220338983051,1274,0.009854129,78.45498555655831,-227.25254237288135,0.0,3.0,0.656321
-68.36069845813867,4011.752272605896,0.0,7.144444306870812,29988,331143.95190380764,92.85555569312918,0.010047825,23.148296593186373,0.010047825,80.84569138276554,1773,0.009835323,78.65551581685163,-225.15030060120242,0.0,3.0,0.6105231
-66.15962650726209,4876.012789726257,0.0,8.39548401534057,39989,333526.8808290156,91.6045159846594,0.009905624,22.56217616580311,0.009905624,81.42746113989638,2159,0.009855058,79.20064598899096,-223.74093264248705,0.0,3.0,0.55136204
-60.94685574628673,5451.7144820690155,0.0,10.473640814869078,49980,333757.39837398374,89.52635918513091,0.0083051715,22.5,0.0083051715,81.48373983739837,2405,0.0069570737,79.25749988301897,-218.78048780487805,0.0,3.0,0.5015187
-53.16349912141832,5789.337931632996,0.0,13.96463733078335,59890,332538.70344827586,86.03536266921665,0.008465027,22.8,0.008465027,81.18620689655172,2550,0.008524357,78.98017232193449,-209.50344827586207,0.0,3.0,0.4501699
-38.75084269009406,5947.366195440292,0.171875,22.894535135126286,69932,329856.0,77.10546486487372,0.005391757,23.453125,0.005391757,80.53125,2614,0.0046816273,78.37373270693486,-186.328125,0.0,2.828125,0.4352756
-33.80013187643764,6079.182942390442,0.3018867924528302,28.66465182050586,79888,326211.62264150946,71.33534817949412,0.0056931917,24.358490566037737,0.0056931917,79.64150943396227,2667,0.0047443938,77.53269524496285,-170.60377358490567,0.0,2.69811320754717,0.3923292
-32.91978430912109,6212.624016046524,0.37254901960784315,30.588840577943383,89894,325913.09803921566,69.41115942205664,0.0043466096,24.431372549019606,0.0043466096,79.56862745098039,2718,0.0029818811,77.46374871718736,-166.0,0.0,2.627450980392157,0.35446423
-31.416304964945596,6329.90291595459,0.9069767441860465,30.972241192489705,99875,320916.83720930235,69.02775880751028,0.0045272736,25.674418604651162,0.0045272736,78.34883720930233,2761,0.003113066,76.3127356625551,-162.34883720930233,0.0,2.0930232558139537,0.37083635
-31.868354864845593,6445.4832265377045,0.9302325581395349,32.03264827285348,109805,324822.32558139536,67.96735172714651,0.0045610946,24.72093023255814,0.0045610946,79.30232558139535,2804,0.0027390446,77.20365320540114,-161.93023255813952,0.0,2.0697674418604652,0.3593557
-30.68658919859379,6568.263005018234,0.8222222222222222,33.44405882884887,119936,320489.2444444444,66.55594117115113,0.0052694846,25.755555555555556,0.0052694846,78.24444444444444,2849,0.0030773894,76.23131786579647,-156.4,0.0,2.1777777777777776,0.3382118
-30.83409381016742,6684.8311603069305,1.3170731707317074,33.87989420713938,129758,321286.243902439,66.12010579286058,0.0042860536,25.5609756097561,0.0042860536,78.4390243902439,2890,0.002521401,76.41325292337586,-155.5609756097561,0.0,1.6829268292682926,0.34578863
-31.974596765394118,6802.191529273987,0.9767441860465116,31.15852964425492,139892,327298.9767441861,68.84147035574506,0.0040458837,24.093023255813954,0.0040458837,79.90697674418605,2933,0.002558436,77.78193798753361,-165.06976744186048,0.0,2.0232558139534884,0.3581128
-31.402169572189237,6917.3621301651,1.3636363636363635,33.721933342208054,149941,327214.54545454547,66.27806665779194,0.005155991,24.113636363636363,0.005155991,79.88636363636364,2977,0.0037210514,77.76353387924786,-159.0,0.0,1.6363636363636365,0.3527831
-30.8886752056276,7033.761521816254,0.9767441860465116,33.87197791861515,159859,324631.81395348837,66.12802208138483,0.0049307626,24.74418604651163,0.0049307626,79.25581395348837,3020,0.0030138085,77.17470103000238,-157.46511627906978,0.0,2.0232558139534884,0.36451885
