meankl,AttC,Ptt,MpbtA,MtR,surrgain,entloss,EpisodesSoFar,Tmt,TtR,Tmc,optimgain,AttNC,MpbtN,TimeElapsed,entropy,TimestepsSoFar,Tbt
0.008977079,3.0,78.08191471452051,5.263972451934923,-71.03964722727126,0.009493209,0.0,685,80.23357664233576,-227.97810218978103,23.764963503649636,0.009493209,0.0,94.73602754806494,1532.0569710731506,0.6839719,10000,328636.7299270073
0.009783666,3.0,78.54771573115555,6.202704798241622,-69.87856127977295,0.0054667154,0.0,1266,80.7263339070568,-227.09638554216866,23.263339070567987,0.0054667154,0.0,93.79729520175827,2847.670283794403,0.65646577,19996,330655.06368330464
0.010204455,3.0,78.94174080308328,7.557753892240215,-68.12119130346213,0.010135111,0.0,1752,81.1440329218107,-224.96296296296296,22.839506172839506,0.010135111,0.0,92.44224610775979,3951.2302861213684,0.6102895,29992,332365.95884773665
0.009257889,3.0,79.16261809210047,8.645071346601538,-65.89623075871178,0.010459573,0.0,2138,81.38860103626943,-223.0103626943005,22.60362694300518,0.010459573,0.0,91.35492865339852,4825.055651187897,0.5554849,39993,333367.7098445596
0.00854744,3.0,79.32325633364361,10.523110276884902,-61.77355072267211,0.008587758,0.0,2410,81.55514705882354,-218.8566176470588,22.43014705882353,0.008587758,0.0,89.47688972311512,5426.083825111389,0.5052438,49975,334049.8823529412
0.0076163188,3.0,79.47507353692066,14.279418783714123,-53.68208817158191,0.008623116,0.0,2568,81.70253164556962,-210.0379746835443,22.265822784810126,0.008623116,0.0,85.72058121628591,5787.806036949158,0.4722741,59928,334653.56962025317
0.0054805856,2.9791666666666665,79.40295049928712,19.988528621659956,-44.313258331059764,0.006928673,0.0,2664,81.625,-195.90625,22.34375,0.006928673,0.020833333333333332,80.01147137834005,6016.080168247223,0.43801004,69941,334336.0
0.006250127,2.84375,78.23077546164639,25.033610892014828,-37.526671075121676,0.006694233,0.0,2728,80.390625,-180.890625,23.609375,0.006694233,0.15625,74.96638910798517,6177.329896688461,0.409757,79912,329280.0
0.0040792706,2.814814814814815,78.05322959262769,26.98498168006478,-35.03266816488937,0.005545085,0.0,2782,80.18518518518519,-175.72222222222223,23.796296296296298,0.005545085,0.18518518518518517,73.01501831993521,6313.503133773804,0.38815892,89926,328438.51851851854
0.0028698065,2.3636363636363638,76.93458591132789,30.694365105722508,-31.695878514201976,0.0043441085,0.0,2826,79.0,-164.25,25.0,0.0043441085,0.6363636363636364,69.30563489427749,6431.23406291008,0.3987924,99912,323584.0
0.0030897716,2.425531914893617,77.2519292251704,30.761444803533532,-32.07806562448083,0.004880375,0.0,2873,79.34042553191489,-164.80851063829786,24.659574468085108,0.004880375,0.574468085106383,69.23855519646646,6557.383076667786,0.38821626,109823,324978.3829787234
0.002877915,2.1136363636363638,77.27608867679339,33.963364803436434,-30.53028043084282,0.004780701,0.0,2917,79.36363636363636,-157.4318181818182,24.636363636363637,0.004780701,0.8863636363636364,66.03663519656357,6672.218687534332,0.39870083,119787,325073.45454545453
0.0040646237,2.0,77.1967179964664,32.16872986176429,-31.720880978527962,0.0071219644,0.0,2960,79.27906976744185,-161.4418604651163,24.72093023255814,0.0071219644,1.0,67.8312701382357,6785.6826548576355,0.41841525,129866,324727.06976744183
0.0034630075,2.347826086956522,76.99615789663703,30.756578109457855,-31.994807472316058,0.004982303,0.0,3006,79.06521739130434,-164.47826086956522,24.934782608695652,0.004982303,0.6521739130434783,69.24342189054214,6910.988059282303,0.3948916,139841,323851.1304347826
0.002464708,2.13953488372093,76.80684678174892,30.416957972850803,-31.732699484970034,0.0043302733,0.0,3049,78.86046511627907,-164.72093023255815,25.13953488372093,0.0043302733,0.8604651162790697,69.58304202714918,7025.643077135086,0.38819918,149775,323012.4651162791
0.0030283271,1.9767441860465116,77.76111768355396,31.644611549241553,-32.189327780965236,0.0045121885,0.0,3092,79.88372093023256,-163.88372093023256,24.11627906976744,0.0045121885,1.0232558139534884,68.35538845075843,7140.047808170319,0.39452538,159782,327203.72093023255
0.0029589646,2.1818181818181817,77.29318932992014,28.87910188415374,-32.685387437483975,0.0049175485,0.0,3136,79.36363636363636,-169.4318181818182,24.613636363636363,0.0049175485,0.8181818181818182,71.12089811584627,7257.367043018341,0.39061034,169849,325073.45454545453
