Tmc,MtR,MpbtN,meankl,entloss,AttNC,optimgain,TimestepsSoFar,TimeElapsed,Tmt,TtR,surrgain,EpisodesSoFar,AttC,Tbt,Ptt,MpbtA,entropy
29.424825174825173,-67.0466933917609,97.5632056366812,0.0074724653,0.0,0.0,0.0028776377,9992,1344.5561680793762,74.6048951048951,-727.7972027972028,0.0028776377,572,10.0,305581.65034965036,72.80422140571848,2.4367943633187696,0.6858346
30.597510373443985,-64.36753437408913,96.64040145804867,0.00907499,0.0,0.0,0.003073493,19994,2486.755084514618,73.48132780082987,-710.0207468879668,0.003073493,1054,10.0,300979.51867219916,71.72134184932732,3.35959854195126,0.66326165
30.881401617250674,-61.19224267392759,94.93568236127132,0.009041343,0.0,0.0,0.0051478078,29990,3340.4519448280334,73.20754716981132,-694.8517520215634,0.0051478078,1425,10.0,299858.11320754717,71.45864731544384,5.064317638728695,0.62606233
32.30952380952381,-48.344431398698404,87.757660010811,0.0026746574,0.0,0.0873015873015873,0.0011096657,39984,3645.8703689575195,71.94444444444444,-631.3492063492064,0.0011096657,1551,9.912698412698413,294684.44444444444,70.17201536669701,12.242339989188974,0.6077057
32.316901408450704,-47.451817004547166,86.66163346838651,0.006823761,0.0,0.02112676056338028,0.0031940471,49930,3977.6485097408295,71.91549295774648,-623.0985915492957,0.0031940471,1693,9.97887323943662,294565.8591549296,70.15842919527616,13.33836653161345,0.59690046
33.84415584415584,-33.31044705304113,74.71453204960294,0.0067133373,0.0,0.09090909090909091,0.0022558363,60000,4173.6576726436615,70.54545454545455,-527.012987012987,0.0022558363,1770,9.909090909090908,288954.1818181818,68.77676638255241,25.285467950397052,0.56589335
38.05769230769231,-18.334748178387514,46.073700340394176,0.004429151,0.0,1.1538461538461537,0.0020257179,70000,4302.707139253616,66.73076923076923,-308.84615384615387,0.0020257179,1822,8.846153846153847,273329.23076923075,64.95544845819744,53.926299659605824,0.502468
40.111111111111114,-14.91405065948147,36.50534938149844,0.005418166,0.0,1.8888888888888888,0.0023199122,79855,4428.63308429718,64.79629629629629,-237.40740740740742,0.0023199122,1876,8.11111111111111,265405.6296296296,63.065588498038466,63.49465061850154,0.40219817
38.660714285714285,-15.994638229645497,35.365313944847635,0.002419442,0.0,3.3214285714285716,0.0013755359,89958,4559.279822349548,66.21428571428571,-234.28571428571428,0.0013755359,1932,6.678571428571429,271213.71428571426,64.41883788244391,64.63468605515233,0.34352696
39.8421052631579,-15.89992079490886,35.182935099604066,0.0026345463,0.0,2.982456140350877,0.0015315234,99996,4691.520520210266,65.05263157894737,-228.59649122807016,0.0015315234,1989,7.017543859649122,266455.5789473684,63.31497897963058,64.81706490039593,0.3520728
40.49122807017544,-14.421644462579556,32.16932570621104,0.0024479902,0.0,3.0526315789473686,0.0012726062,109959,4824.037168741226,64.45614035087719,-207.5438596491228,0.0012726062,2046,6.947368421052632,264012.350877193,62.722166186261305,67.83067429378893,0.3521512
41.39655172413793,-14.50094381207325,31.774596863162373,0.0038286163,0.0,3.7758620689655173,0.0018363437,119847,4961.91353559494,63.56896551724138,-201.72413793103448,0.0018363437,2104,6.224137931034483,260378.4827586207,61.879255459622634,68.2254031368376,0.3707292
43.65,-12.492098605146413,29.862348589349434,0.0033999854,0.0,3.25,0.0015789022,129996,5100.554181337357,61.4,-183.16666666666666,0.0015789022,2164,6.75,251494.4,59.788905191172006,70.13765141065056,0.4056301
42.47457627118644,-12.538939366690478,29.460479196020728,0.004375802,0.0,2.305084745762712,0.0020318597,140000,5236.533935070038,62.50847457627118,-184.40677966101694,0.0020318597,2223,7.694915254237288,256034.71186440677,60.869893963948066,70.53952080397926,0.40701273
43.8,-11.728955471735455,26.81753517453078,0.0036538537,0.0,2.7666666666666666,0.0017570893,149862,5370.130917787552,61.2,-164.5,0.0017570893,2283,7.233333333333333,250675.2,59.62740299577304,73.1824648254692,0.35432246
44.904761904761905,-12.63651461119388,29.096678436671915,0.003111449,0.0,3.1904761904761907,0.0018199707,159967,5508.957735300064,60.111111111111114,-174.44444444444446,0.0018199707,2346,6.809523809523809,246215.11111111112,58.59349091780499,70.9033215633281,0.3573551
45.016129032258064,-12.067551053167065,28.168063094196466,0.0034362476,0.0,1.6935483870967742,0.0015016834,169873,5648.476632118225,59.983870967741936,-168.5483870967742,0.0015016834,2408,8.306451612903226,245693.93548387097,58.482857757887786,71.83193690580354,0.34956685
45.06349206349206,-11.844505049386562,27.176202263709893,0.0043915343,0.0,3.5873015873015874,0.002322743,179945,5786.928327322006,59.93650793650794,-163.33333333333334,0.002322743,2471,6.412698412698413,245499.9365079365,58.43621298958305,72.82379773629015,0.36109295
44.333333333333336,-11.24227154249506,26.300839637176146,0.0038071957,0.0,2.933333333333333,0.0017435449,189837,5928.180260181427,60.71666666666667,-160.66666666666666,0.0017435449,2531,7.066666666666666,248695.46666666667,59.14721334952127,73.6991603628238,0.39299616
44.333333333333336,-11.35169425373302,26.904620756356667,0.0036728033,0.0,2.0952380952380953,0.002321495,199947,6066.641949415207,60.714285714285715,-163.015873015873,0.002321495,2594,7.904761904761905,248685.7142857143,59.145354605047466,73.09537924364332,0.38698158
46.75806451612903,-10.20523263992629,24.586151609897165,0.0029097244,0.0,3.370967741935484,0.0014214349,209833,6206.611831665039,58.32258064516129,-143.70967741935485,0.0014214349,2656,6.629032258064516,238889.29032258064,56.87295316577677,75.41384839010284,0.35477856
