TimestepsSoFar,TimeElapsed,meankl,Fce,TtR,entropy,MtR,EpisodesSoFar,surrgain,AttNC,entloss,AttC,optimgain
9843,32.4572811126709,0.006747766,0.0862192770031525,8.488372093023257,1.4223025,5.074929108953568,172,0.0021266285,0.21511627906976744,0.0,0.7848837209302325,0.0021266285
19882,63.191994190216064,0.0017323553,0.09454183652688518,13.913461538461538,1.3994743,8.19990491418596,276,0.0013549336,0.375,0.0,0.625,0.0013549336
29819,94.56703281402588,0.002255347,0.09396097481330039,18.025,1.376221,10.451115905734127,356,0.0009667721,0.4875,0.0,0.5125,0.0009667721
39982,124.77440595626831,0.0049050148,0.0861959366994661,18.746666666666666,1.3503568,10.74061506802418,431,0.0016495461,0.5333333333333333,0.0,0.4666666666666667,0.0016495461
49861,156.51492476463318,0.0031939659,0.10957155829932848,20.176470588235293,1.330157,11.45776825974048,499,0.001272966,0.5735294117647058,0.0,0.4264705882352941,0.001272966
59947,186.37060260772705,0.004180246,0.09842742697915113,20.90909090909091,1.280757,12.136533737571762,565,0.0015103043,0.6060606060606061,0.0,0.3939393939393939,0.0015103043
69779,218.25538444519043,0.0064823176,0.10914597970335678,20.983606557377048,1.2862966,12.096815612490126,626,0.0017887993,0.639344262295082,0.0,0.36065573770491804,0.0017887993
79895,249.56019258499146,0.00546089,0.09349565249565249,18.75,1.237507,10.788532240883482,698,0.002410492,0.5555555555555556,0.0,0.4444444444444444,0.002410492
90000,279.7404794692993,0.0034881034,0.08882574712643676,17.253333333333334,1.1977696,9.811874760313543,773,0.0014316742,0.5333333333333333,0.0,0.4666666666666667,0.0014316742
99791,312.07716846466064,0.0020802324,0.10339169472502806,24.462962962962962,1.1983591,14.022684537729665,827,0.0010700295,0.7222222222222222,0.0,0.2777777777777778,0.0010700295
109911,342.70518159866333,0.0034993987,0.13582587037597502,20.015151515151516,1.155085,11.534110708271553,893,0.0014995056,0.6060606060606061,0.0,0.3939393939393939,0.0014995056
119769,373.95007371902466,0.006016481,0.09748087773674817,20.661538461538463,1.1258936,12.071554363729742,958,0.0025320512,0.6,0.0,0.4,0.0025320512
129827,404.849187374115,0.008289614,0.0909605734767025,20.548387096774192,1.1254325,11.814720326565272,1020,0.0028969275,0.6451612903225806,0.0,0.3548387096774194,0.0028969275
139878,435.45263624191284,0.0038807946,0.10164628099173553,23.436363636363637,1.106874,13.517302106498867,1075,0.0017583977,0.7272727272727273,0.0,0.2727272727272727,0.0017583977
149971,467.17421674728394,0.0045508826,0.11549328378805171,22.52542372881356,1.0792615,12.811959839801315,1134,0.0019155457,0.6779661016949152,0.0,0.3220338983050847,0.0019155457
