surrgain,entloss,EpisodesSoFar,TtR,TimeElapsed,meankl,entropy,AttC,MtR,TimestepsSoFar,Fce,optimgain,AttNC
0.0039226227,0.0,9417,33.36585365853659,6327.031764984131,0.0075363847,0.19799201,0.024390243902439025,18.80205951808313,1789922,0.13346341463414635,0.0039226227,0.975609756097561
0.0032398843,0.0,9458,34.31707317073171,6357.590971231461,0.0069827517,0.1827086,0.024390243902439025,19.532347690119632,1799981,0.14011078958247214,0.0032398843,0.975609756097561
0.0019045318,0.0,9500,34.38095238095238,6390.512321472168,0.006220057,0.23240623,0.047619047619047616,19.38332549469754,1809983,0.13752380952380952,0.0019045318,0.9523809523809523
0.003483777,0.0,9543,33.25581395348837,6422.049598693848,0.008684493,0.26018688,0.06976744186046512,18.57958216089366,1819986,0.1330232558139535,0.003483777,0.9302325581395349
0.001778006,0.0,9587,33.56818181818182,6453.543067455292,0.0062722764,0.2905019,0.13636363636363635,19.051178534217094,1829964,0.14428911337526729,0.001778006,0.8636363636363636
0.0019818824,0.0,9633,32.17391304347826,6486.247313737869,0.0071660173,0.296406,0.15217391304347827,18.499996362890972,1839751,0.13053856942496492,0.0019818824,0.8478260869565217
0.0014021678,0.0,9685,30.942307692307693,6517.439168930054,0.005223725,0.27851865,0.28846153846153844,17.84353948778965,1849966,0.13916393063628382,0.0014021678,0.7115384615384616
0.004114354,0.0,9731,32.45652173913044,6550.33523440361,0.008932104,0.25971836,0.2608695652173913,18.90893878210195,1859978,0.14090478476082394,0.004114354,0.7391304347826086
0.0020354674,0.0,9775,31.90909090909091,6581.677598953247,0.009391862,0.2260978,0.09090909090909091,17.88277565791187,1869982,0.12763636363636366,0.0020354674,0.9090909090909091
0.0024357757,0.0,9815,34.725,6612.768436670303,0.0073865717,0.24607891,0.0,19.044444053799687,1879982,0.1389,0.0024357757,1.0
0.003028954,0.0,9858,32.81395348837209,6646.40980553627,0.008220463,0.30714414,0.06976744186046512,18.619062650105384,1889985,0.13125581395348837,0.003028954,0.9302325581395349
0.003236639,0.0,9903,31.866666666666667,6676.432125091553,0.0066227447,0.34692806,0.13333333333333333,17.804841032101063,1899789,0.1307482993197279,0.003236639,0.8666666666666667
0.0031743324,0.0,9945,35.61904761904762,6708.557800769806,0.0060057775,0.3605685,0.047619047619047616,20.15365930139127,1909793,0.1424761904761905,0.0031743324,0.9523809523809523
0.0018953884,0.0,9989,33.27272727272727,6739.928681612015,0.0063761636,0.41587505,0.09090909090909091,18.788375902306445,1919799,0.13309090909090912,0.0018953884,0.9090909090909091
0.002113331,0.0,10034,30.77777777777778,6771.449648857117,0.009818214,0.37194905,0.1111111111111111,17.27821933068846,1929822,0.1463251461988304,0.002113331,0.8888888888888888
0.0020890655,0.0,10082,28.854166666666668,6803.109232187271,0.0076621827,0.3620715,0.16666666666666666,16.55262983218582,1939860,0.11679320987654318,0.0020890655,0.8333333333333334
0.0021426224,0.0,10125,32.0,6834.129682779312,0.006228423,0.38499546,0.06976744186046512,18.135275890972608,1949863,0.12800000000000003,0.0021426224,0.9302325581395349
0.0036796937,0.0,10177,28.21153846153846,6866.51743888855,0.008463209,0.32121176,0.25,16.278263775180264,1959854,0.11855675170222012,0.0036796937,0.75
0.003341687,0.0,10223,31.97826086956522,6898.439721822739,0.010246912,0.30268958,0.13043478260869565,17.976585309531483,1969892,0.13138977879481314,0.003341687,0.8695652173913043
0.0016708816,0.0,10265,34.095238095238095,6929.907027244568,0.005708321,0.329421,0.047619047619047616,19.382431044321958,1979894,0.13638095238095238,0.0016708816,0.9523809523809523
0.0017295365,0.0,10309,31.454545454545453,6961.475815534592,0.0061934786,0.35715812,0.09090909090909091,17.833808756202437,1989906,0.12581818181818183,0.0017295365,0.9090909090909091
0.0026566016,0.0,10357,30.854166666666668,6991.87388420105,0.007454479,0.29678845,0.16666666666666666,17.73072673048838,1999950,0.1259761904761905,0.0026566016,0.8333333333333334
0.0014373886,0.0,10402,32.577777777777776,7023.195070028305,0.0051129744,0.28442356,0.17777777777777778,18.54575844278585,2009762,0.1327834573502907,0.0014373886,0.8222222222222222
0.0032661147,0.0,10450,31.270833333333332,7055.3500299453735,0.008749155,0.21593398,0.16666666666666666,17.937169510766072,2019904,0.12958557778632804,0.0032661147,0.8333333333333334
0.003941598,0.0,10498,30.125,7086.101825714111,0.009070293,0.15182754,0.20833333333333334,17.291413583927646,2029798,0.12905358760593097,0.003941598,0.7916666666666666
0.0035091506,0.0,10543,32.37777777777778,7118.648644685745,0.009571849,0.066640325,0.1111111111111111,18.29068315979013,2039833,0.13139498207885303,0.0035091506,0.8888888888888888
0.0032530555,0.0,10583,36.9,7149.440605640411,0.0078768525,0.053226586,0.0,20.799098787271156,2049833,0.1476,0.0032530555,1.0
0.002288874,0.0,10625,34.92857142857143,7181.6378700733185,0.008934534,0.041503325,0.047619047619047616,19.882898837168884,2059835,0.13971428571428574,0.002288874,0.9523809523809523
0.0025921569,0.0,10670,32.84444444444444,7213.137249946594,0.0075521334,0.04561615,0.1111111111111111,18.565531541530575,2069848,0.1313777777777778,0.0025921569,0.8888888888888888
0.0035388435,0.0,10713,35.7906976744186,7243.7572429180145,0.007947388,-0.0010082722,0.06976744186046512,20.36434763182606,2079851,0.14316279069767443,0.0035388435,0.9302325581395349
0.0017562011,0.0,10754,35.19512195121951,7276.219979763031,0.007023857,0.029266357,0.024390243902439025,19.959354382123124,2089852,0.14078048780487804,0.0017562011,0.975609756097561
0.0013506919,0.0,10794,37.125,7307.1610951423645,0.006017342,0.043460283,0.0,21.080967340811288,2099852,0.1485,0.0013506919,1.0
0.00340614,0.0,10834,34.3,7339.526075839996,0.008691205,0.03258588,0.0,19.71807294702086,2109852,0.1372,0.00340614,1.0
0.0018477654,0.0,10875,34.0,7370.254287958145,0.006148829,0.02792951,0.024390243902439025,19.149463278571737,2119853,0.13599999999999998,0.0018477654,0.975609756097561
0.0016026574,0.0,10916,33.21951219512195,7401.579727649689,0.007551706,0.00779839,0.024390243902439025,18.72524748454647,2129854,0.13287804878048787,0.0016026574,0.975609756097561
0.0029201217,0.0,10957,33.5609756097561,7434.673451900482,0.008705336,0.025162758,0.024390243902439025,18.84820834171111,2139855,0.13424390243902443,0.0029201217,0.975609756097561
