AttC,Tbt,TimeElapsed,Ptt,entropy,EpisodesSoFar,TimestepsSoFar,AttNC,Tmt,MpbtA,MtR,TtR,surrgain,Tmc,entloss,MpbtN,meankl,optimgain
3.0,328975.0588235294,1560.6458387374878,78.16311170383764,0.68418,680,9985,0.0,80.31617647058823,5.250351376775607,-71.08411235359412,-228.23382352941175,0.01103737,23.676470588235293,0.0,94.74964862322423,0.0092867715,0.01103737
3.0,329399.48122866894,2885.5064277648926,78.25805816550566,0.65749544,1266,19991,0.0,80.419795221843,6.23715263345847,-69.62117225622478,-226.14163822525597,0.005469508,23.57508532423208,0.0,93.76284736654151,0.0096423235,0.005469508
3.0,332008.16194331984,4007.5385715961456,78.86483063153999,0.6179489,1760,29995,0.0,81.05668016194332,7.330321338086813,-68.31983878675898,-225.27327935222672,0.008668075,22.92105263157895,0.0,92.6696786619132,0.008431626,0.008668075
3.0,333347.48514851485,4926.917367935181,79.15739617835729,0.5693888,2164,39994,0.0,81.38366336633663,8.288973239375018,-66.50853039410252,-223.8490099009901,0.009707491,22.60891089108911,0.0,91.71102676062502,0.008493685,0.009707491
3.0,332632.9645390071,5556.517796278,79.0035898676827,0.51771486,2446,49991,0.0,81.20921985815603,9.969556918548532,-62.26693013960152,-219.2659574468085,0.010199831,22.77304964539007,0.0,90.03044308145148,0.0081442045,0.010199831
3.0,331824.7619047619,5945.822704315186,78.81534890407568,0.4658164,2614,59969,0.0,81.01190476190476,13.369386060670573,-54.69615207735372,-210.5,0.009151258,22.976190476190474,0.0,86.63061393932941,0.008489568,0.009151258
2.978723404255319,329117.9574468085,6166.412274360657,78.21680428336404,0.44512552,2708,69965,0.02127659574468085,80.35106382978724,18.70564836945909,-44.60426888950191,-196.0531914893617,0.006087143,23.617021276595743,0.0,81.29435163054092,0.00548549,0.006087143
2.96875,325376.0,6323.257609605789,77.35416607667352,0.41240826,2772,79966,0.03125,79.4375,26.586215389644565,-35.342831219776166,-175.03125,0.004868451,24.546875,0.0,73.41378461035545,0.0035155874,0.004868451
2.901639344262295,327948.59016393445,6480.204306602478,77.92759189063902,0.3855103,2833,89986,0.09836065573770492,80.06557377049181,25.778150979552183,-35.82035592298248,-178.37704918032787,0.0051509924,23.934426229508198,0.0,74.22184902044783,0.00455675,0.0051509924
2.693877551020408,325423.02040816325,6609.182280540466,77.35534052226444,0.39086556,2882,99916,0.30612244897959184,79.44897959183673,31.118398616711556,-32.575853773008994,-164.3877551020408,0.0048840395,24.551020408163264,0.0,68.88160138328847,0.0036141672,0.0048840395
2.7254901960784315,325752.4705882353,6737.651938676834,77.44557213554747,0.35992143,2933,109863,0.27450980392156865,79.52941176470588,30.30813032514496,-33.374056160318354,-166.47058823529412,0.0059170187,24.45098039215686,0.0,69.69186967485504,0.0030471582,0.0059170187
2.6530612244897958,322413.71428571426,6867.402903556824,76.6687910236198,0.36000112,2982,119954,0.3469387755102041,78.71428571428571,31.08659263735805,-32.48740354948536,-162.79591836734693,0.0053088423,25.285714285714285,0.0,68.91340736264196,0.0034435934,0.0053088423
2.4130434782608696,321357.9130434783,6989.5280504226685,76.4137803935529,0.37571222,3028,129986,0.5869565217391305,78.45652173913044,35.47027055603793,-29.967241652162055,-151.95652173913044,0.005077692,25.565217391304348,0.0,64.52972944396208,0.002450119,0.005077692
2.3191489361702127,322276.7659574468,7110.250220775604,76.63900961169088,0.36560345,3075,139899,0.6808510638297872,78.68085106382979,32.4773936254294,-31.686216772565988,-159.4468085106383,0.0048277974,25.319148936170212,0.0,67.52260637457061,0.0024639578,0.0048277974
2.2888888888888888,324858.31111111114,7227.810744762421,77.22684738905313,0.38845938,3120,149891,0.7111111111111111,79.31111111111112,32.97937364779078,-30.864501932345316,-159.73333333333332,0.00476278,24.68888888888889,0.0,67.02062635220922,0.0029441938,0.00476278
2.2127659574468086,325414.12765957444,7352.510844707489,77.35449377008634,0.3984972,3167,159944,0.7872340425531915,79.44680851063829,32.705190388081476,-31.621729888765376,-160.46808510638297,0.006165169,24.5531914893617,0.0,67.29480961191852,0.004600354,0.006165169
2.63265306122449,324001.9591836735,7482.067105770111,77.02929014145128,0.40614232,3216,169876,0.3673469387755102,79.10204081632654,29.113853148996167,-33.14845275306782,-168.55102040816325,0.004776987,24.897959183673468,0.0,70.88614685100384,0.0032160152,0.004776987
2.1818181818181817,321815.2727272727,7600.115663528442,76.53267025166848,0.3788239,3260,179937,0.8181818181818182,78.56818181818181,33.135929593812314,-30.55157191468982,-157.77272727272728,0.0051911133,25.431818181818183,0.0,66.86407040618768,0.003275332,0.0051911133
2.1333333333333333,324767.2888888889,7719.975431680679,77.20564826177473,0.37425914,3305,189893,0.8666666666666667,79.28888888888889,32.29330211178895,-31.323728045803698,-161.26666666666668,0.005160991,24.711111111111112,0.0,67.70669788821105,0.0040866113,0.005160991
2.2,320762.31111111114,7839.42028927803,76.30927734269649,0.3795032,3350,199942,0.8,78.31111111111112,30.253038894428396,-32.28122175543819,-164.06666666666666,0.004757478,25.666666666666668,0.0,69.7469611055716,0.0033063472,0.004757478
2.1136363636363638,323956.36363636365,7961.578827857971,77.02072854894219,0.38192943,3394,209827,0.8863636363636364,79.0909090909091,31.545373204499594,-32.36548649782083,-162.6818181818182,0.00441264,24.90909090909091,0.0,68.45462679550039,0.0027691724,0.00441264
2.4130434782608696,318775.652173913,8085.303856611252,75.82434354088295,0.37685326,3440,219984,0.5869565217391305,77.82608695652173,31.62078701288379,-31.19893020798133,-159.91304347826087,0.0049942615,26.195652173913043,0.0,68.3792129871162,0.0028544504,0.0049942615
