surrgain,entloss,Tbt,EpisodesSoFar,AttNC,MtR,entropy,Ptt,TimeElapsed,optimgain,Tmc,Tmt,AttC,MpbtA,meankl,MpbtN,TimestepsSoFar,TtR
0.009528064,0.0,328276.44576523034,673,0.0,-70.82771917018052,0.6850098,78.00240883634919,1576.385018825531,0.009528064,23.84992570579495,80.14561664190194,3.0,5.3212273897399625,0.008175778,94.67877261025997,9993,-227.58989598811291
0.006561342,0.0,330157.3058419244,1255,0.0,-69.6654572742663,0.6613491,78.43080236614256,2922.668766260147,0.006561342,23.39003436426117,80.60481099656357,3.0,6.360332017385871,0.008286701,93.63966798261401,19985,-226.38144329896906
0.009781619,0.0,331709.93548387097,1751,0.0,-68.24726551189198,0.6214798,78.78705105628941,4081.6150002479553,0.009781619,23.006048387096776,80.98387096774194,3.0,7.3967977049286695,0.008784518,92.60320229507136,29986,-224.9334677419355
0.011264589,0.0,332467.2644836272,2148,0.0,-66.1715613301232,0.56998175,78.9638607882479,4983.213960647583,0.011264589,22.816120906801007,81.16876574307305,3.0,8.369212715423943,0.009197367,91.63078728457609,39948,-223.10327455919395
0.010994839,0.0,334402.970464135,2385,0.0,-59.89026366137423,0.5135527,79.40180140183982,5511.1506514549255,0.010994839,22.345991561181435,81.64135021097046,3.0,11.527514520141846,0.009048541,88.47248547985816,49980,-216.63291139240508
0.0072040414,0.0,333734.95652173914,2523,0.0,-52.00829398726668,0.46572506,79.2577678734374,5828.455380439758,0.0072040414,22.5,81.47826086956522,3.0,14.944665265600314,0.007845166,85.0553347343997,59983,-207.8913043478261
0.006015331,0.0,332180.5432098765,2604,0.0,-41.32274267846468,0.40492484,78.89862835947163,6021.958265066147,0.006015331,22.88888888888889,81.09876543209876,3.0,21.25392943573374,0.0077116555,78.74607056426625,69954,-191.59259259259258
0.0045542032,0.0,327989.1320754717,2657,0.20754716981132076,-33.76317194999064,0.34283966,77.93853458878188,6156.463871955872,0.0045542032,23.92452830188679,80.0754716981132,2.792452830188679,29.146102672846407,0.0060410374,70.85389732715359,79863,-170.0943396226415
0.0031330434,0.0,326217.14285714284,2699,0.9761904761904762,-32.52997689242908,0.29048863,77.55256615093242,6266.297588348389,0.0031330434,24.333333333333332,79.64285714285714,2.0238095238095237,30.78625264146124,0.004474271,69.21374735853877,89848,-165.5
0.004182947,0.0,325203.3488372093,2742,1.0465116279069768,-33.14433277385806,0.3397278,77.30424812563297,6383.804083347321,0.004182947,24.6046511627907,79.3953488372093,1.9534883720930232,30.49197678769934,0.004886215,69.50802321230064,99889,-165.69767441860466
0.0029960403,0.0,322631.4418604651,2785,0.7906976744186046,-31.64987955976594,0.355219,76.71841905446485,6499.820543766022,0.0029960403,25.232558139534884,78.76744186046511,2.2093023255813953,31.389923610749598,0.003031017,68.61007638925041,109791,-162.27906976744185
0.003296823,0.0,322631.4418604651,2828,0.9767441860465116,-31.107965432248584,0.32549188,76.72017351426477,6613.8630266189575,0.003296823,25.232558139534884,78.76744186046511,2.0232558139534884,32.75330454281331,0.0036118827,67.24669545718666,119816,-159.0
0.004259063,0.0,323679.25581395347,2871,1.2325581395348837,-31.442325161080017,0.3301209,76.97675679706185,6731.137217998505,0.004259063,24.953488372093023,79.02325581395348,1.7674418604651163,33.07292275532993,0.003454046,66.92707724467004,129942,-158.86046511627907
0.0034522654,0.0,321438.4761904762,2913,1.7142857142857142,-29.30267834090011,0.29466525,76.44879384233867,6846.710347652435,0.0034522654,25.523809523809526,78.47619047619048,1.2857142857142858,37.84657120715201,0.0039034225,62.15342879284799,139879,-146.28571428571428
0.00397257,0.0,319195.4285714286,2955,1.9285714285714286,-29.76422492805272,0.32528073,75.938038431542,6961.481865167618,0.00397257,26.071428571428573,77.92857142857143,1.0714285714285714,36.522106382141594,0.0042449296,63.47789361785842,149862,-148.5
0.0029124785,0.0,319943.1111111111,3000,1.2444444444444445,-30.40149914020624,0.30387896,76.10728172439597,7079.573212862015,0.0029124785,25.88888888888889,78.11111111111111,1.7555555555555555,35.10740272475956,0.0038199816,64.89259727524042,159867,-152.26666666666668
0.0032228283,0.0,319878.09523809527,3042,1.9285714285714286,-30.22666960546152,0.33375338,76.09247054971777,7196.431280136108,0.0032228283,25.904761904761905,78.0952380952381,1.0714285714285714,35.42828148199943,0.0038828144,64.5717185180006,169817,-151.5
0.003564321,0.0,316074.6666666667,3084,1.4761904761904763,-28.872213648377087,0.34801582,75.22610858313085,7307.099310398102,0.003564321,26.833333333333332,77.16666666666667,1.5238095238095237,36.84123779863116,0.0028517472,63.158762201368845,179844,-146.28571428571428
0.0028194254,0.0,318850.84444444446,3129,1.488888888888889,-29.087838168608403,0.32147902,75.86140805525513,7421.806982755661,0.0028194254,26.155555555555555,77.84444444444445,1.511111111111111,38.05878249057231,0.0028351455,61.94121750942771,189915,-144.73333333333332
0.004157357,0.0,317297.11627906974,3172,1.558139534883721,-28.339921025197423,0.34890166,75.50528709424123,7536.761082172394,0.004157357,26.53488372093023,77.46511627906976,1.441860465116279,38.87148859112785,0.00419284,61.128511408872136,199822,-142.1860465116279
