TtR,Tmt,Tbt,MpbtA,optimgain,entropy,surrgain,meankl,EpisodesSoFar,MtR,Ptt,MpbtN,entloss,Tmc,AttC,TimestepsSoFar,AttNC,TimeElapsed
-728.9005235602094,74.804537521815,306399.38568935427,2.5531195640563094,0.0028578965,0.68455666,0.0028578965,0.008662141,573,-67.15893305018419,72.98398339648402,97.44688043594365,0.0,29.237347294938917,10.0,9998,0.0,1329.1570925712585
-711.5303983228512,73.70020964360587,301876.05870020966,3.444429248779879,0.004148039,0.65591794,0.004148039,0.010608601,1050,-64.44224022468283,71.93249704037015,96.55557075122006,0.0,30.368972746331238,10.0,19985,0.0,2429.7032103538513
-689.3954659949623,72.39042821158691,296511.19395466,4.7567686745989395,0.0044688312,0.6142796,0.0044688312,0.008690127,1447,-61.144662982748436,70.63888149216245,95.24323132540111,0.0,31.783375314861463,10.0,29997,0.0,3340.7204642295837
-658.4175084175084,71.57239057239057,293160.5117845118,7.988652430082109,0.0041468674,0.56588817,0.0041468674,0.008483836,1744,-56.19001685247545,69.82990328775794,92.01134756991785,0.0,32.67003367003367,10.0,39984,0.0,3997.3334381580353
-589.9350649350649,71.26623376623377,291906.4935064935,17.201684083422474,0.003931552,0.5287566,0.003931552,0.008092152,1898,-44.578656504406695,69.52074021106152,82.79831591657751,0.0,33.01298701298701,10.0,49938,0.0,4341.759300470352
-362.14285714285717,68.375,280064.0,47.28736040868603,0.0014045673,0.49726075,0.0014045673,0.005905002,1954,-21.38459089700805,66.60993915647772,52.712639591313966,0.0,36.232142857142854,9.267857142857142,59976,0.7321428571428571,4488.956423282623
-213.79310344827587,64.77586206896552,265321.9310344828,67.03344151040176,0.0030886768,0.43020737,0.0030886768,0.008498215,2012,-14.434795683238027,63.01260965597483,32.96655848959822,0.0,40.189655172413794,4.5,69999,5.5,4641.476879358292
-346.8333333333333,66.51666666666667,272452.26666666666,48.017507140062925,0.002078008,0.46249437,0.002078008,0.007394033,2072,-20.7080553622729,64.69329369458414,51.982492859937075,0.0,38.36666666666667,9.35,79968,0.65,4795.472358942032
-220.0,64.74545454545455,265197.38181818184,66.20950854875605,0.0014349102,0.3987637,0.0014349102,0.0063121645,2127,-14.26592859208995,63.00469459977809,33.79049145124397,0.0,40.18181818181818,3.4363636363636365,89886,6.5636363636363635,4952.291860103607
-303.51851851851853,66.94444444444444,274204.44444444444,54.962894187792934,0.0020866247,0.43394145,0.0020866247,0.0077594053,2181,-18.425962229268258,65.11723078798566,45.037105812207066,0.0,37.907407407407405,7.87037037037037,99929,2.1296296296296298,5098.327818870544
-226.3793103448276,64.94827586206897,266028.1379310345,65.2112926426266,0.002449502,0.38572022,0.002449502,0.01015419,2239,-15.478974004783412,63.2177840891814,34.78870735737338,0.0,39.94827586206897,2.7413793103448274,109924,7.258620689655173,5263.751564502716
-236.72727272727272,64.45454545454545,264005.8181818182,63.495058992740944,0.0015282183,0.41317573,0.0015282183,0.006580456,2294,-14.547427014283702,62.72088415056219,36.50494100725903,0.0,40.49090909090909,7.945454545454545,119908,2.0545454545454547,5403.197252035141
-188.135593220339,62.32203389830509,255271.05084745763,69.87427131076257,0.0026672578,0.3875487,0.0026672578,0.009566589,2353,-13.26737100107028,60.70272369931586,30.1257286892374,0.0,42.644067796610166,3.2203389830508473,129854,6.779661016949152,5560.14968252182
-210.68965517241378,64.32758620689656,263485.7931034483,67.29153994208045,0.0009576489,0.41256347,0.0009576489,0.0077068224,2411,-13.342285230600694,62.580445374430866,32.70846005791954,0.0,40.6551724137931,7.327586206896552,139973,2.6724137931034484,5702.7718806266785
-178.66666666666666,61.766666666666666,252996.26666666666,71.19662569508682,0.001783917,0.42545757,0.001783917,0.0077903843,2471,-12.419291390507846,60.17093845128822,28.8033743049132,0.0,43.21666666666667,4.916666666666667,149962,5.083333333333333,5855.078870773315
-267.1929824561403,66.08771929824562,270695.29824561405,59.731582736920686,0.0017726867,0.43519288,0.0017726867,0.008270708,2528,-16.290696794256174,64.35073072943604,40.268417263079314,0.0,38.70175438596491,8.736842105263158,159918,1.263157894736842,5996.232938051224
-176.0,61.7,252723.2,71.47897352352778,0.0020344544,0.3957257,0.0020344544,0.008353391,2588,-12.38347035838351,60.08863818107927,28.521026476472205,0.0,43.31666666666667,3.5833333333333335,169877,6.416666666666667,6152.774450778961
-198.85245901639345,62.68852459016394,256772.19672131148,68.39879499690349,0.00080502074,0.40610644,0.00080502074,0.0045322664,2649,-12.790694250115932,61.020602893148414,31.60120500309649,0.0,42.32786885245902,7.573770491803279,179993,2.4262295081967213,6294.165836572647
-163.17460317460316,61.42857142857143,251611.42857142858,73.45445936836742,0.0013135498,0.39184082,0.0013135498,0.0047640544,2712,-11.657772396252337,59.841856643314145,26.54554063163257,0.0,43.57142857142857,4.063492063492063,189965,5.936507936507937,6447.447963476181
-200.67796610169492,62.152542372881356,254576.81355932204,67.88244214505731,0.0007474854,0.43759325,0.0007474854,0.002965427,2771,-12.959467412047575,60.52320697417692,32.1175578549427,0.0,42.847457627118644,7.169491525423729,199894,2.830508474576271,6589.294556617737
-173.5,61.61666666666667,252381.86666666667,71.81541698829588,0.00078849244,0.36960778,0.00078849244,0.005797406,2831,-11.428600205306005,60.019142233473296,28.184583011704138,0.0,43.38333333333333,5.766666666666667,209984,4.233333333333333,6740.988797187805
-175.9016393442623,62.14754098360656,254556.32786885247,71.68103989545972,0.0020692286,0.35406798,0.0020692286,0.006868775,2892,-12.514964621486888,60.55725262877113,28.318960104540263,0.0,42.78688524590164,2.0163934426229506,219895,7.983606557377049,6904.735171556473
