entropy,TimestepsSoFar,TimeElapsed,AttC,meankl,TtR,MtR,AttNC,Tmt,entloss,Tmc,Tbt,Ptt,surrgain,MpbtN,MpbtA,EpisodesSoFar,optimgain
0.68419373,9991,2093.3610842227936,1.0,0.008967493,-80.35885167464114,-76.13229102338929,0.0,84.41267942583733,0.0,19.44138755980861,345754.3349282297,82.07918363383494,0.024096146,95.20201009899858,4.797989901001037,836,0.024096146
0.658395,19992,3917.2625982761383,1.0,0.008694617,-80.30978260869566,-75.49119786602995,0.0,84.30163043478261,0.0,19.567934782608695,345299.47826086957,81.96354679732548,0.013631572,95.27377553838095,4.7262244616187505,1572,0.013631572
0.61384773,29991,5500.346920251846,1.0,0.009445477,-80.44038155802862,-74.79954890593082,0.0,84.36406995230524,0.0,19.492845786963436,345555.2305246423,82.03150465634825,0.019578813,95.35242484059188,4.647575159407876,2201,0.019578813
0.552478,39996,6792.185068130493,1.0,0.009850528,-80.41747572815534,-73.60051613198638,0.0,84.20582524271845,0.0,19.662135922330098,344907.06019417476,81.87597652236023,0.02324132,95.50908054248309,4.490919457516823,2716,0.02324132
0.4745796,49990,7807.936336040497,1.0,0.0095644165,-80.16290726817043,-71.62813174463595,0.0,84.09273182957394,0.0,19.791979949874687,344443.82957393484,81.75795218759055,0.024451092,95.33113270018829,4.668867299811682,3115,0.024451092
0.38190463,59945,8428.451086997986,0.9920318725099602,0.00895081,-79.3187250996016,-67.51920540413477,0.00796812749003984,84.1593625498008,0.0,19.697211155378486,344716.7490039841,81.84270977666911,0.019383801,94.2546504830531,5.745349516946929,3366,0.019383801
0.30908486,69974,8784.28499341011,0.9640287769784173,0.008272592,-77.51079136690647,-59.863579546635705,0.03597122302158273,83.56115107913669,0.0,20.345323741007196,342266.4748201439,81.24764201736708,0.016215567,92.74595209626474,7.254047903735233,3505,0.016215567
0.24276245,79912,9046.519420862198,0.9897959183673469,0.008755451,-76.24489795918367,-53.24398631945505,0.01020408163265306,83.1938775510204,0.0,20.6734693877551,340762.1224489796,80.93702298117528,0.013889438,91.6255298819659,8.374470118034115,3603,0.013889438
0.19048838,89842,9242.55748796463,0.9285714285714286,0.007288339,-75.82857142857142,-48.77513051604979,0.07142857142857142,83.42857142857143,0.0,20.52857142857143,341723.4285714286,81.08517511173396,0.011106949,90.89437622804432,9.105623771955672,3673,0.011106949
0.1422456,99945,9402.49222946167,0.9137931034482759,0.008068005,-76.3103448275862,-46.00260449770444,0.08620689655172414,83.65517241379311,0.0,20.224137931034484,342651.5862068966,81.35724029170224,0.00870501,91.23748053629667,8.76251946370334,3731,0.00870501
0.13171107,109746,9521.403806686401,0.65,0.005919981,-76.125,-41.905619245486974,0.35,83.575,0.0,20.275,342323.2,81.30517956168379,0.005397205,91.02307458396743,8.976925416032566,3771,0.005397205
0.20614077,119995,9630.517199754715,0.28205128205128205,0.004997706,-76.87179487179488,-41.96848155892979,0.717948717948718,84.02564102564102,0.0,19.871794871794872,344169.0256410256,81.68651633976425,0.005932553,91.48712904162343,8.512870958376581,3810,0.005932553
0.19031255,129898,9747.942878007889,0.425,0.004781468,-73.475,-40.54389261112638,0.575,82.45,0.0,21.5,337715.2,80.18048207960098,0.005792963,89.10502194147863,10.894978058521371,3850,0.005792963
0.2490158,139876,9857.384968280792,0.08333333333333333,0.00546287,-73.38888888888889,-40.22179450547197,0.9166666666666666,82.80555555555556,0.0,21.166666666666668,339171.55555555556,80.49629867382306,0.0051159547,88.64436548672745,11.35563451327254,3886,0.0051159547
0.297089,149937,9970.845118284225,0.28205128205128205,0.0055082203,-70.2051282051282,-39.6520319387187,0.717948717948718,82.46153846153847,0.0,21.512820512820515,337762.46153846156,80.17554111696077,0.0054056123,85.10353359618246,14.896466403817554,3925,0.0054056123
