TimeElapsed,meankl,surrgain,TimestepsSoFar,optimgain,entloss,EpisodesSoFar,TtR,MtR,entropy,AttNC,AttC,Fce
346.40075755119324,0.007372038,0.00026574708,10000,0.00026574708,0.0,40,424.0,24.351230391163483,1.4020313,2.8,7.2,0.16960000000000006
696.8089954853058,0.0019623388,0.0019404895,19838,0.0019404895,0.0,85,511.77777777777777,29.695826596331127,1.3984411,2.6666666666666665,7.333333333333333,0.22321172004881498
1041.4889397621155,0.0017576229,0.0010801748,29783,0.0010801748,0.0,141,366.07142857142856,22.461867855875898,1.393964,1.625,8.375,0.18672261452097774
1367.0323004722595,0.007211377,0.0015928153,39927,0.0015928153,0.0,212,319.4366197183099,19.704991087203958,1.395087,1.8873239436619718,8.112676056338028,0.1846982805658339
1736.189752817154,0.0036449865,0.0018080596,49831,0.0018080596,0.0,296,302.14285714285717,19.553935693265746,1.3839141,1.4523809523809523,8.547619047619047,0.20051226413516285
2085.6204886436462,0.0018328379,0.0016801761,59933,0.0016801761,0.0,378,409.1463414634146,25.6446388850987,1.3613311,2.5365853658536586,7.463414634146342,0.2612127758612271
2517.730085134506,0.00070228387,0.0002483319,69920,0.0002483319,0.0,474,327.1875,20.733248086117854,1.3533815,2.3125,7.6875,0.23219396264339462
2880.8934948444366,0.0039142626,0.00065611326,79787,0.00065611326,0.0,541,497.3134328358209,30.649883541656376,1.3549842,3.656716417910448,6.343283582089552,0.2791320194990009
3236.1719183921814,0.0055915858,0.001417496,89819,0.001417496,0.0,622,446.04938271604937,27.38449984652388,1.3377829,2.7160493827160495,7.283950617283951,0.2604738128456076
3562.1619358062744,0.0036475256,0.00070623565,99820,0.00070623565,0.0,688,753.4848484848485,45.10228619932837,1.3021233,4.5,5.5,0.3794544253505183
3909.7774336338043,0.0029011227,0.0006230046,109761,0.0006230046,0.0,753,892.7692307692307,52.31032183690733,1.2772256,5.323076923076923,4.676923076923077,0.4282463103898914
4323.0735466480255,0.0040388643,0.0009513069,119933,0.0009513069,0.0,816,911.5873015873016,53.691937543307716,1.2506135,5.587301587301587,4.412698412698413,0.4403700896493198
4695.999973535538,0.002724345,0.00068366743,129835,0.00068366743,0.0,869,1184.3396226415093,68.61175241010571,1.2319467,6.7924528301886795,3.207547169811321,0.5292952087878248
5025.440832853317,0.0077435547,0.00021607536,139834,0.00021607536,0.0,931,1119.032258064516,65.05503344874187,1.1822668,5.919354838709677,4.080645161290323,0.5188251071048455
5357.753539800644,0.0028373026,0.00036566384,149846,0.00036566384,0.0,984,1516.4150943396226,87.20522851105872,1.1539342,7.320754716981132,2.6792452830188678,0.660116919980752
5653.3685529232025,0.0070728296,0.0004868361,159799,0.0004868361,0.0,1034,1689.0,96.90666959275312,1.0776517,7.76,2.24,0.7199183982574078
5987.441206932068,0.013653103,0.000557169,169763,0.000557169,0.0,1088,1639.2592592592594,94.45593011005025,1.0505993,7.037037037037037,2.962962962962963,0.7150555039999681
6331.423108577728,0.0025404477,0.00042605377,179867,0.00042605377,0.0,1143,1474.0,85.07721897163842,1.0155077,7.054545454545455,2.9454545454545453,0.656390961928771
6681.372114181519,0.0055970256,0.00089536957,189912,0.00089536957,0.0,1193,1711.0,98.3333927367414,0.9664258,7.74,2.26,0.7309090955356504
7045.072273492813,0.0053880177,0.0005546927,199770,0.0005546927,0.0,1238,2031.3333333333333,116.33641516951742,0.9314531,8.666666666666666,1.3333333333333333,0.8326754489710115
7419.884276390076,0.0039183614,0.00034120484,209808,0.00034120484,0.0,1282,2057.7272727272725,117.64605561333984,0.87494,9.045454545454545,0.9545454545454546,0.8349289131920713
7773.756660938263,0.0073238965,0.0008476982,219847,0.0008476982,0.0,1327,2077.777777777778,118.63687779730923,0.93951815,8.88888888888889,1.1111111111111112,0.8429038122371455
8109.832877874374,0.0043231286,0.000553367,229949,0.000553367,0.0,1375,1853.3333333333333,106.15849040806255,0.88224155,8.3125,1.6875,0.7756870295167508
8489.151190757751,0.0016417581,0.00052525307,239867,0.00052525307,0.0,1420,1966.2222222222222,112.70358036538362,0.89601827,8.577777777777778,1.4222222222222223,0.8106268827531985
8821.779742717743,0.002621344,0.00024303753,249880,0.00024303753,0.0,1463,2136.279069767442,122.23153900851307,0.86578375,9.255813953488373,0.7441860465116279,0.8667286821705426
9148.013501644135,0.00042313576,0.00016587082,259907,0.00016587082,0.0,1506,2223.2558139534885,127.03768521684682,0.8576272,9.279069767441861,0.7209302325581395,0.907174214606283
9461.95430469513,0.0066432836,0.0008552438,269967,0.0008552438,0.0,1550,2156.818181818182,123.46921694304505,0.79095596,9.068181818181818,0.9318181818181818,0.8824285714285712
9809.17149734497,0.006096486,0.00032354248,279980,0.00032354248,0.0,1591,2381.2195121951218,136.19155752842067,0.81156,9.707317073170731,0.2926829268292683,0.9596022514071295
10114.455332517624,0.0062570423,0.0003748791,289784,0.0003748791,0.0,1632,2260.731707317073,129.386501839668,0.7502442,9.439024390243903,0.5609756097560976,0.9142757590841213
10437.504715919495,0.0012480274,0.0003979874,299948,0.0003979874,0.0,1678,2106.9565217391305,120.68547554123515,0.7257014,8.58695652173913,1.4130434782608696,0.8698970980760639
10794.910382270813,0.006058994,0.00022688405,309959,0.00022688405,0.0,1719,2381.2195121951218,136.18439373775865,0.65872216,9.75609756097561,0.24390243902439024,0.956727272727273
11203.811706781387,0.0054341597,0.00035324215,319959,0.00035324215,0.0,1759,2462.25,140.84407207122698,0.5946429,10.0,0.0,0.9849
11515.044898986816,0.008848106,0.0004420417,329959,0.0004420417,0.0,1799,2487.75,142.166248989881,0.69171154,10.0,0.0,0.9951000000000001
11869.754688501358,0.0013953502,7.571798e-05,339973,7.571798e-05,0.0,1841,2362.6190476190477,135.02711229430875,0.6560117,9.523809523809524,0.47619047619047616,0.9548148148148149
12196.077244281769,0.008929117,0.0003448036,349973,0.0003448036,0.0,1881,2480.5,141.76031010232737,0.75357985,10.0,0.0,0.9921999999999999
12504.682844161987,0.008933204,0.00048149237,359996,0.00048149237,0.0,1924,2283.4883720930234,130.61657270297883,0.8511739,9.30232558139535,0.6976744186046512,0.9304753850800364
12830.950695514679,0.010174781,0.0007073454,369785,0.0007073454,0.0,1966,2258.5714285714284,129.22458353028495,0.7535799,9.285714285714286,0.7142857142857143,0.9335187969924812
13166.245755672455,0.008933102,4.9966144e-05,379799,4.9966144e-05,0.0,2008,2343.5714285714284,133.90595960327914,0.8511739,9.5,0.5,0.9425291005291001
13482.779472351074,0.0030799205,1.3497391e-05,389931,1.3497391e-05,0.0,2054,2119.3478260869565,121.4637055628239,0.9077148,8.695652173913043,1.3043478260869565,0.8758514409716457
13813.991395235062,0.008933204,0.00020893189,399774,0.00020893189,0.0,2100,2035.6521739130435,116.57446305960269,1.0053089,8.456521739130435,1.5434782608695652,0.8509114899736727
14145.553177833557,0.01017476,0.00018447587,409864,0.00018447587,0.0,2150,1879.0,107.72986076810754,0.9077148,7.96,2.04,0.7977416754006225
14456.554662704468,0.010174781,9.167778e-05,419992,9.167778e-05,0.0,2198,2000.625,114.78317599403834,0.81012076,8.333333333333334,1.6666666666666667,0.837978471081919
14777.08004617691,0.00893351,0.0004393523,429756,0.0004393523,0.0,2239,2320.0,132.55480956718552,0.9077148,9.512195121951219,0.4878048780487805,0.942391722099039
15085.8398604393,0.008933102,0.00019559143,439756,0.00019559143,0.0,2279,2387.5,136.5870383252986,1.0053089,10.0,0.0,0.9550000000000001
15383.987743377686,0.010174863,0.00055614155,449816,0.00055614155,0.0,2325,2022.1739130434783,115.64445987175067,0.9077148,8.58695652173913,1.4130434782608696,0.8330126766190841
15712.843454360962,0.010174863,0.00010674381,459915,0.00010674381,0.0,2372,2051.276595744681,117.49089583491595,0.81012076,8.51063829787234,1.4893617021276595,0.856419993177256
16029.2806224823,0.010174781,0.00037492553,469968,0.00037492553,0.0,2415,2266.5116279069766,129.77498532727515,0.71252984,9.255813953488373,0.7441860465116279,0.9228646453762729
16396.941645622253,0.010174863,0.00024127672,479996,0.00024127672,0.0,2457,2357.3809523809523,134.83228955074114,0.6149372,9.523809523809524,0.47619047619047616,0.9568344671201814
16692.841361761093,0.010174863,0.00032478082,489755,0.00032478082,0.0,2497,2424.25,138.57950228487937,0.51735544,9.75,0.25,0.9777333333333331
