entloss,TimestepsSoFar,TtR,TimeElapsed,EpisodesSoFar,meankl,Fce,AttC,entropy,optimgain,MtR,surrgain,AttNC
0.0,1039994,400.5,9952.899499893188,4260,0.008933196,0.1602,6.65,3.4651632,1.7539215e-06,22.984930905898665,1.7539215e-06,3.35
0.0,1049755,394.25,10032.505625963211,4300,0.008933204,0.15987272727272733,6.175,3.5627487,2.1749877e-06,22.681999236294835,2.1749877e-06,3.825
0.0,1059766,404.8780487804878,10116.050225019455,4341,0.008933204,0.1640709534368071,6.2682926829268295,3.6603825,2.3300172e-06,23.40735445580162,2.3300172e-06,3.731707317073171
0.0,1069766,415.5,10192.57197880745,4381,0.008933196,0.16620000000000004,6.25,3.7579732,2.5821686e-07,23.790883544384492,2.5821686e-07,3.75
0.0,1079842,412.14285714285717,10273.912179470062,4423,0.008933204,0.17224841824841822,6.119047619047619,3.8555312,1.4646912e-06,23.913360175095352,1.4646912e-06,3.880952380952381
0.0,1089861,380.2439024390244,10350.951226949692,4464,0.008933204,0.15446983311938386,6.609756097560975,3.9531252,7.6812745e-07,21.960919030024854,7.6812745e-07,3.3902439024390243
0.0,1099861,387.25,10430.091624259949,4504,0.008933204,0.15490000000000004,6.875,4.0507216,8.0688477e-07,22.3241218835762,8.0688477e-07,3.125
0.0,1109889,389.2857142857143,10507.157447099686,4546,0.0089311935,0.1632008281573499,6.619047619047619,4.1482663,7.476807e-09,22.22933446264844,7.476807e-09,3.380952380952381
0.0,1119898,387.5609756097561,10584.977267503738,4587,0.01017476,0.15502439024390238,6.634146341463414,4.0507207,1.195755e-06,22.450523956271088,1.195755e-06,3.3658536585365852
0.0,1129905,378.780487804878,10661.675166130066,4628,0.01017476,0.15151219512195124,7.439024390243903,3.9531238,9.741211e-07,21.5715953091239,9.741211e-07,2.5609756097560976
0.0,1139905,421.75,10737.079499721527,4668,0.008933204,0.16870000000000002,6.15,4.0507207,1.7338562e-06,24.35862391097304,1.7338562e-06,3.85
0.0,1149905,405.25,10812.87431693077,4708,0.008933204,0.1621,5.975,4.1482663,1.2592316e-06,23.426043211636124,1.2592316e-06,4.025
0.0,1159930,397.3170731707317,10888.9066259861,4749,0.00893351,0.1598048780487805,6.121951219512195,4.245864,9.1163633e-07,22.752646050348613,9.1163633e-07,3.8780487804878048
0.0,1169930,406.25,10963.138184070587,4789,0.008933204,0.16249999999999998,6.675,4.343501,1.0032654e-06,23.13962454466543,1.0032654e-06,3.325
0.0,1179961,373.1707317073171,11038.377379179,4830,0.008933204,0.15271439811172305,6.804878048780488,4.4410944,4.8080443e-07,21.873964135032843,4.8080443e-07,3.1951219512195124
