MpbtN,MpbtA,Tmc,EpisodesSoFar,surrgain,MtR,TtR,Ptt,Tbt,entropy,TimestepsSoFar,AttC,AttNC,optimgain,TimeElapsed,meankl,Tmt,entloss
26.583659990045355,73.41634000995465,47.38095238095238,26777,0.00130229,-10.604455563404139,-153.33333333333334,56.29985628316766,236462.73015873015,0.22736992,3989927,5.555555555555555,4.444444444444445,0.00130229,64316.16278505325,0.008375633,57.73015873015873,0.0
27.716520804662863,72.28347919533714,45.32786885245902,26838,0.0017172705,-11.191334418427246,-166.55737704918033,58.19294233309089,244484.19672131148,0.20524229,3999904,6.295081967213115,3.7049180327868854,0.0017172705,64458.621285915375,0.008540436,59.68852459016394,0.0
25.47496168237693,74.52503831762306,47.703125,26902,0.0013300665,-10.373424966466018,-146.25,56.00059082789893,235200.0,0.24810255,4009893,2.546875,7.453125,0.0013300665,64611.366879463196,0.009600464,57.421875,0.0
26.57839083178279,73.42160916821723,47.55555555555556,26965,0.0011865204,-10.806780596430343,-152.85714285714286,56.12594244030935,235682.53968253967,0.19747996,4019894,5.301587301587301,4.698412698412699,0.0011865204,64759.09534430504,0.008760738,57.53968253968254,0.0
27.312066928029115,72.6879330719709,47.609375,27029,0.0015007186,-11.307795435015263,-157.1875,56.060544153388655,235328.0,0.20394707,4029942,2.546875,7.453125,0.0015007186,64916.07433009148,0.009169745,57.453125,0.0
25.10449100136191,74.89550899863806,48.25,27093,0.0015532806,-10.296205847740636,-142.65625,55.477564500579035,232896.0,0.23484977,4039916,3.28125,6.71875,0.0015532806,65067.5649228096,0.010599465,56.859375,0.0
25.866863468608674,74.13313653139134,48.140625,27157,0.000987048,-10.438325689877784,-147.34375,55.552537868444766,233088.0,0.20097041,4049850,5.375,4.625,0.000987048,65213.164518117905,0.008166869,56.90625,0.0
26.45483257151875,73.54516742848125,47.21875,27221,0.0022495235,-10.813988422622213,-153.125,56.43068663302791,236928.0,0.200993,4059902,4.953125,5.046875,0.0022495235,65359.54961824417,0.009534651,57.84375,0.0
24.775115456019112,75.2248845439809,48.12307692307692,27286,5.803955e-05,-10.18471304296065,-141.53846153846155,55.596433689181104,233408.9846153846,0.16928639,4069931,4.4,5.6,5.803955e-05,65508.250750780106,0.0069431495,56.98461538461538,0.0
26.859779595959317,73.14022040404069,47.828125,27350,0.0011021277,-11.192133104702998,-154.0625,55.89015824106526,234752.0,0.21516478,4079828,2.421875,7.578125,0.0011021277,65659.19432377815,0.008659401,57.3125,0.0
