meankl,TtR,Fce,entropy,AttC,MtR,surrgain,TimeElapsed,TimestepsSoFar,EpisodesSoFar,optimgain,entloss,AttNC
0.0058462694,413.95348837209303,0.17504970783927104,1.4098587,7.209302325581396,24.037905691770856,0.00023777221,68.76201748847961,9990,43,0.00023777221,0.0,2.7906976744186047
0.0028771765,458.9795918367347,0.2093039646218756,1.4082599,7.448979591836735,27.248298573140776,0.0016778833,138.22424387931824,19958,92,0.0016778833,0.0,2.5510204081632653
0.0009565855,421.1111111111111,0.17895897641107728,1.4298785,7.2,24.996619580540067,0.00022982544,207.5451204776764,29789,137,0.00022982544,0.0,2.8
0.0050697117,390.8333333333333,0.1788919511262019,1.405719,7.6875,22.86742205671725,0.0006578033,276.3907127380371,39934,185,0.0006578033,0.0,2.3125
0.005236385,373.77358490566036,0.17758231899920443,1.3972632,7.981132075471698,22.091730537921876,0.0012213554,347.03668189048767,49818,238,0.0012213554,0.0,2.018867924528302
0.0025363183,403.27868852459017,0.20580707834344322,1.379624,7.786885245901639,24.339929551926023,0.0017322275,417.7172791957855,59809,299,0.0017322275,0.0,2.2131147540983607
0.005183971,410.63492063492066,0.22437957178887186,1.3618311,7.428571428571429,25.090679476348143,0.00047404313,487.742089509964,69801,362,0.00047404313,0.0,2.5714285714285716
0.004225303,621.1475409836065,0.309540319809994,1.3303703,6.213114754098361,37.38848572134029,0.0008332231,559.1459565162659,79843,423,0.0008332231,0.0,3.7868852459016393
0.002902976,411.29411764705884,0.27151635281385966,1.2985871,7.305882352941176,25.546483262536633,0.00093679444,630.3876669406891,89927,508,0.00093679444,0.0,2.6941176470588237
0.0053110644,524.2857142857143,0.2949907889920767,1.285721,5.714285714285714,31.961941678527637,0.0009117883,705.094268321991,99979,578,0.0009117883,0.0,4.285714285714286
0.0061150226,591.9402985074627,0.30175299364328173,1.2626354,5.940298507462686,35.71385377591032,0.0009971393,777.9546625614166,109899,645,0.0009971393,0.0,4.059701492537314
0.00511723,775.1470588235294,0.40215684727345835,1.2249725,5.029411764705882,46.0050533630476,0.0009165298,851.8186819553375,119912,713,0.0009165298,0.0,4.970588235294118
0.0028616241,1040.1851851851852,0.475910211421175,1.202865,3.4444444444444446,60.983766563782964,0.00081697665,924.2139303684235,129929,767,0.00081697665,0.0,6.555555555555555
0.0023613016,996.5,0.47084832036349666,1.1690505,4.016666666666667,57.976645173578376,0.0005143427,996.7007806301117,139812,827,0.0005143427,0.0,5.983333333333333
0.006824546,1148.3333333333333,0.5046951797856429,1.132999,3.111111111111111,66.37458607345212,0.00086392194,1070.2327835559845,149866,881,0.00086392194,0.0,6.888888888888889
0.0043718093,1390.9803921568628,0.6104733539821864,1.080322,2.7058823529411766,80.41319312192803,0.00061181845,1141.5161952972412,159797,932,0.00061181845,0.0,7.294117647058823
0.004614543,1375.5555555555557,0.620288036104895,1.0371274,2.814814814814815,79.24333843829714,0.0007722572,1214.203898191452,169846,986,0.0007722572,0.0,7.185185185185185
0.0051644472,1589.5744680851064,0.6726283899102846,1.0298916,1.851063829787234,91.47519096380508,0.00052940665,1287.3528625965118,179784,1033,0.00052940665,0.0,8.148936170212766
0.0040286477,1674.5833333333333,0.7051621752149136,0.99200404,1.8541666666666667,96.25976987097307,0.0010279856,1356.7432560920715,189984,1081,0.0010279856,0.0,8.145833333333334
0.0050009773,1789.111111111111,0.7291985548501676,0.9451241,1.3333333333333333,102.71489193789063,0.0007658661,1427.9394385814667,199830,1126,0.0007658661,0.0,8.666666666666666
0.0038327277,1865.8695652173913,0.7902150992833521,0.9001469,1.565217391304348,107.14736575780206,0.00065317476,1498.0614194869995,209799,1172,0.00065317476,0.0,8.434782608695652
0.0082632555,1946.888888888889,0.795054239587573,0.8505874,1.1111111111111112,111.64269531414638,0.0009383754,1567.1975312232971,219870,1217,0.0009383754,0.0,8.88888888888889
0.0039037066,2145.813953488372,0.8683383593151035,0.81835467,0.6976744186046512,122.94198116957016,0.00059820735,1636.530690908432,229897,1260,0.00059820735,0.0,9.30232558139535
0.0044311318,2205.5813953488373,0.8986641559175218,0.7957516,0.6976744186046512,126.0611468129451,0.0006998688,1705.6377427577972,239934,1303,0.0006998688,0.0,9.30232558139535
0.0048546297,2314.1463414634145,0.9334959349593495,0.7821109,0.24390243902439024,132.39597689028602,0.0005343009,1777.3004112243652,249943,1344,0.0005343009,0.0,9.75609756097561
0.0055165617,2347.317073170732,0.9389268292682927,0.7368166,0.24390243902439024,134.1247286330847,0.0003964884,1848.813000202179,259946,1385,0.0003964884,0.0,9.75609756097561
0.0048763123,2382.9268292682927,0.9602851782363976,0.6758648,0.24390243902439024,136.33397411847284,0.00032844834,1920.26553440094,269959,1426,0.00032844834,0.0,9.75609756097561
0.0049420213,2419.0243902439024,0.973993031358885,0.6132218,0.24390243902439024,138.34741953459752,0.0002570665,1992.0360321998596,279980,1467,0.0002570665,0.0,9.75609756097561
0.0031604941,2479.25,0.9917,0.57953095,0.0,141.67851810788653,0.00033821815,2059.640533685684,289980,1507,0.00033821815,0.0,10.0
0.004835398,2425.121951219512,0.9807460545193687,0.6252682,0.24390243902439024,138.66949959494107,0.00042510286,2127.841552734375,299997,1548,0.00042510286,0.0,9.75609756097561
0.0029323008,2473.75,0.9894999999999999,0.6340336,0.0,141.40214783871292,0.0004687139,2196.537889480591,309997,1588,0.0004687139,0.0,10.0
0.0056816395,2341.951219512195,0.9528359636537542,0.5733098,0.5365853658536586,133.930778418036,0.00048345065,2263.6711485385895,319767,1629,0.00048345065,0.0,9.463414634146341
