Tmt,MtR,surrgain,EpisodesSoFar,Ptt,meankl,optimgain,AttNC,entloss,TtR,Tmc,TimeElapsed,TimestepsSoFar,Tbt,AttC,entropy,MpbtA,MpbtN
59.43333333333333,-10.66083295719739,0.0032644537,22632,57.945172464345795,0.0043651513,0.0032644537,2.8833333333333333,0.0,-158.66666666666666,45.6,60010.09356021881,3499911,243438.93333333332,7.116666666666666,0.26306522,73.45685685655366,26.543143143446347
59.016129032258064,-11.153467391525078,0.0030092096,22694,57.55175686107557,0.0040980787,0.0030092096,3.5,0.0,-160.32258064516128,46.016129032258064,60166.42323708534,3509894,241730.06451612903,6.5,0.26562238,72.92398561226464,27.076014387735338
57.950819672131146,-10.743725094054914,0.0023389633,22755,56.52201230371224,0.0032945748,0.0023389633,3.0327868852459017,0.0,-153.7704918032787,47.131147540983605,60328.16848182678,3519849,237366.55737704918,6.967213114754099,0.24922425,73.49776636946669,26.502233630533297
57.73770491803279,-10.918989970641588,0.0026968427,22816,56.296909778100016,0.003494396,0.0026968427,3.3114754098360657,0.0,-157.86885245901638,47.39344262295082,60482.98088526726,3529920,236493.6393442623,6.688524590163935,0.2508918,72.67770835485595,27.32229164514403
57.65573770491803,-11.429956121323103,0.0032483845,22877,56.25776716554503,0.0047762413,0.0032483845,3.180327868852459,0.0,-164.59016393442624,47.39344262295082,60644.081689834595,3539925,236157.90163934426,6.819672131147541,0.26011372,71.4506530209153,28.54934697908467
57.9344262295082,-10.83867663997592,0.0030992285,22938,56.521958119484104,0.0039027326,0.0030992285,3.2131147540983607,0.0,-157.70491803278688,47.114754098360656,60797.172860860825,3549901,237299.40983606558,6.786885245901639,0.2662831,72.8358802305194,27.164119769480617
58.32786885245902,-10.4173725652754,0.0030077228,22999,56.90118332592676,0.003942267,0.0030077228,3.3442622950819674,0.0,-151.47540983606558,46.704918032786885,60952.83705449104,3559959,238910.95081967214,6.655737704918033,0.26942918,74.12911437279423,25.87088562720577
58.88333333333333,-11.097687963479082,0.0027000452,23059,57.39191877970269,0.0033795948,0.0027000452,3.1,0.0,-165.0,46.21666666666667,61106.51940751076,3569974,241186.13333333333,6.9,0.26014525,72.21003679840888,27.789963201591142
57.61666666666667,-11.085191578360305,0.0027792978,23119,56.195664040211405,0.0037561054,0.0027792978,2.9833333333333334,0.0,-164.33333333333334,47.483333333333334,61265.185901641846,3579832,235997.86666666667,7.016666666666667,0.26600865,71.64898872211907,28.351011277880932
59.5,-11.764310951733444,0.003380495,23181,57.99213562720642,0.0042623403,0.003380495,2.8225806451612905,0.0,-175.96774193548387,45.564516129032256,61419.75249361992,3589889,243712.0,7.17741935483871,0.2699216,70.62442535431636,29.375574645683646
58.82258064516129,-10.314910242619623,0.0031715233,23243,57.3261274605797,0.0034518226,0.0031715233,2.5,0.0,-154.03225806451613,46.29032258064516,61571.266392469406,3599927,240937.29032258064,7.5,0.25931868,73.95022594125788,26.04977405874213
58.11290322580645,-10.691539700200511,0.0030623828,23305,56.67539530547309,0.003957524,0.0030623828,2.693548387096774,0.0,-158.70967741935485,46.96774193548387,61722.079820394516,3609943,238030.4516129032,7.306451612903226,0.2781286,72.74550678556515,27.25449321443486
58.57377049180328,-11.272085904195858,0.00373804,23366,57.1497227097229,0.005367919,0.00373804,2.360655737704918,0.0,-169.18032786885246,46.42622950819672,61874.69104862213,3619961,239918.16393442624,7.639344262295082,0.2900461,71.18333430925556,28.81666569074444
59.20967741935484,-10.509834742094197,0.002644935,23428,57.70848922396867,0.0037217597,0.002644935,2.129032258064516,0.0,-157.74193548387098,45.87096774193548,62026.52493262291,3629962,242522.83870967742,7.870967741935484,0.26927412,73.56554495221489,26.434455047785104
58.854838709677416,-10.709577530983168,0.0032936416,23490,57.3733234533558,0.00402912,0.0032936416,2.2096774193548385,0.0,-157.74193548387098,46.225806451612904,62176.29088592529,3639861,241069.4193548387,7.790322580645161,0.2991681,73.3795039431251,26.62049605687488
59.435483870967744,-10.96555946069869,0.0025318477,23552,57.91523693146052,0.0034850363,0.0025318477,2.338709677419355,0.0,-161.29032258064515,45.66129032258065,62323.501030921936,3649930,243447.74193548388,7.661290322580645,0.28326905,72.87644770013084,27.12355229986918
59.95238095238095,-12.339821124926958,0.003172671,23615,58.44057804322701,0.0043637995,0.003172671,2.5238095238095237,0.0,-185.0793650793651,45.06349206349206,62474.44648051262,3659964,245564.95238095237,7.476190476190476,0.28377056,69.43638996869107,30.56361003130895
61.016666666666666,-11.58630037061682,0.002886449,23675,59.454916019058174,0.00492303,0.002886449,2.283333333333333,0.0,-174.5,43.983333333333334,62622.228939533234,3669973,249924.26666666666,7.716666666666667,0.26005152,71.60825795518025,28.391742044819743
59.14754098360656,-11.031661067402721,0.002695632,23736,57.68354980195809,0.0035436612,0.002695632,2.5737704918032787,0.0,-161.9672131147541,45.868852459016395,62771.21295237541,3679996,242268.32786885247,7.426229508196721,0.24436653,72.82677110003333,27.17322889996666
58.278688524590166,-11.571540427965786,0.0033611238,23797,56.84630548100442,0.0040403814,0.0033611238,2.2459016393442623,0.0,-171.31147540983608,46.77049180327869,62926.60174655914,3689896,238709.50819672132,7.754098360655738,0.27059257,70.83446484840273,29.16553515159727
60.03333333333333,-12.354693712029661,0.0031322474,23857,58.52474410988616,0.0036904463,0.0031322474,2.3,0.0,-184.83333333333334,44.96666666666667,63077.00939536095,3699885,245896.53333333333,7.7,0.26308692,69.48851930700035,30.511480692999687
58.67213114754098,-11.264611061372102,0.0025893212,23918,57.201665775386225,0.0032627697,0.0025893212,2.3934426229508197,0.0,-167.86885245901638,46.40983606557377,63236.04109144211,3709965,240321.04918032786,7.60655737704918,0.2632514,71.4137256978049,28.58627430219509
58.96774193548387,-10.975324712938265,0.0036061602,23980,57.505019995559806,0.004478052,0.0036061602,2.629032258064516,0.0,-161.7741935483871,46.064516129032256,63384.91594743729,3719959,241531.87096774194,7.370967741935484,0.2850837,72.54021363093338,27.459786369066656
59.29032258064516,-11.463136823998264,0.0027755382,24042,57.81043666011979,0.0036539899,0.0027755382,2.274193548387097,0.0,-173.70967741935485,45.74193548387097,63541.78000283241,3729971,242853.16129032258,7.725806451612903,0.28583288,70.81701310331574,29.182986896684234
