Tmt,meankl,TimestepsSoFar,Tbt,EpisodesSoFar,MtR,entloss,AttNC,MpbtN,TimeElapsed,surrgain,AttC,MpbtA,optimgain,Tmc,TtR,entropy,Ptt
82.44736842105263,0.0025673052,1269963,337704.4210526316,8042,-38.46168168386833,0.0,0.7894736842105263,83.2418403252245,24658.576507091522,0.0027294678,0.21052631578947367,16.758159674775502,0.0027294678,21.5,-68.63157894736842,0.22772534,80.18348622105114
82.1025641025641,0.0058213794,1279787,336292.10256410256,8081,-39.03322815513464,0.0,0.717948717948718,84.67970652785772,24794.215190649033,0.007744458,0.28205128205128205,15.32029347214229,0.007744458,21.871794871794872,-69.53846153846153,0.21570913,79.84212602500973
82.65789473684211,0.0062804352,1289968,338566.7368421053,8119,-38.036599010105306,0.0,0.6578947368421053,82.82326091715304,24920.84783053398,0.0061770976,0.34210526315789475,17.176739082846943,0.0061770976,21.289473684210527,-68.44736842105263,0.2610438,80.37954876381372
82.66666666666667,0.006507846,1299977,338602.6666666667,8158,-38.995668769461325,0.0,0.48717948717948717,83.08359065560226,25053.959724664688,0.005494188,0.5128205128205128,16.916409344397724,0.005494188,21.256410256410255,-68.6923076923077,0.28858355,80.40616577505266
82.4,0.0062579466,1309779,337510.4,8198,-38.57791429951556,0.0,0.325,83.77417140871611,25195.10234451294,0.005966681,0.675,16.22582859128387,0.005966681,21.6,-69.05,0.22534825,80.09894619545402
82.0,0.00571957,1319982,335872.0,8237,-38.37814673438698,0.0,0.5128205128205128,83.64503242415424,25326.54592871666,0.005683065,0.48717948717948717,16.354967575845752,0.005683065,21.923076923076923,-68.61538461538461,0.28688383,79.78530372173095
82.9,0.0037058725,1329919,339558.4,8277,-39.48778640548426,0.0,0.5,82.76776747829896,25470.238790273666,0.0031960236,0.5,17.232232521701015,0.0031960236,21.025,-68.625,0.25856623,80.62203190712624
81.9,0.005901718,1339974,335462.4,8317,-38.76877033869747,0.0,0.375,82.54087590348887,25602.511978149414,0.00459848,0.625,17.459124096511125,0.00459848,22.1,-67.575,0.21225286,79.6330763941878
81.89189189189189,0.0044445433,1349936,335429.1891891892,8354,-37.65306469851071,0.0,0.6756756756756757,83.00936141906404,25727.088944911957,0.0051021744,0.32432432432432434,16.990638580935958,0.0051021744,22.10810810810811,-67.97297297297297,0.2617143,79.62671545128529
81.72222222222223,0.0048533753,1359679,334734.22222222225,8390,-37.221051445344045,0.0,0.7222222222222222,82.25858164017403,25867.2283911705,0.005605937,0.2777777777777778,17.741418359825964,0.005605937,22.25,-67.25,0.26527914,79.49037876760735
81.625,0.0056247385,1369979,334336.0,8430,-38.638659353765895,0.0,0.525,83.67395088246039,25996.987886428833,0.0065466003,0.475,16.326049117539608,0.0065466003,22.35,-68.3,0.25007474,79.396108821268
81.7948717948718,0.006030645,1379851,335031.7948717949,8469,-38.20025801322522,0.0,0.4358974358974359,82.66785933326676,26136.951684951782,0.005771869,0.5641025641025641,17.332140666733263,0.005771869,22.153846153846153,-67.61538461538461,0.2616897,79.57519913950212
81.88095238095238,0.005579216,1389961,335384.38095238095,8511,-38.18526868478515,0.0,0.23809523809523808,83.09357896131984,26280.820731639862,0.005045505,0.7619047619047619,16.90642103868017,0.005045505,22.095238095238095,-68.04761904761905,0.21991602,79.63420494972117
81.0,0.0051347823,1399891,331776.0,8550,-37.637000207582886,0.0,0.23076923076923078,83.50382766238133,26416.07875585556,0.0051725525,0.7692307692307693,16.496172337618667,0.0051725525,22.974358974358974,-67.66666666666667,0.22594278,78.81438937749454
82.94736842105263,0.0066834586,1409757,339752.4210526316,8588,-39.17991502234162,0.0,0.631578947368421,83.41092098408348,26561.367107868195,0.0055208495,0.3684210526315789,16.589079015916536,0.0055208495,21.0,-69.1842105263158,0.25516552,80.64950076435777
82.1,0.0052087824,1419846,336281.6,8628,-38.11787350442555,0.0,0.525,82.67408635358998,26696.50776863098,0.0062006437,0.475,17.32591364641005,0.0062006437,21.825,-67.825,0.22964065,79.87786212606406
82.21951219512195,0.005536536,1429873,336771.1219512195,8669,-39.36576365099543,0.0,0.3902439024390244,84.20850461245416,26832.34010076523,0.004706082,0.6097560975609756,15.791495387545849,0.004706082,21.73170731707317,-69.2439024390244,0.2149477,79.96863172108753
81.76315789473684,0.0039583724,1439768,334901.8947368421,8707,-37.691185515490375,0.0,0.42105263157894735,83.67132817614036,26975.87556552887,0.003211905,0.5789473684210527,16.328671823859633,0.003211905,22.18421052631579,-68.42105263157895,0.18724711,79.54619703920712
81.86842105263158,0.006069991,1449843,335333.05263157893,8745,-38.83572664610682,0.0,0.631578947368421,85.50570245914825,27101.29597043991,0.0067302063,0.3684210526315789,14.494297540851766,0.0067302063,22.07894736842105,-70.0,0.20523216,79.6457814796734
81.71794871794872,0.0045363214,1459961,334716.71794871794,8784,-37.73913695092917,0.0,0.46153846153846156,84.00225991502809,27248.49901008606,0.004844168,0.5384615384615384,15.997740084971914,0.004844168,22.256410256410255,-68.66666666666667,0.20697732,79.48118402965729
81.43589743589743,0.0051904367,1469841,333561.4358974359,8823,-38.88502588331533,0.0,0.4358974358974359,83.64029711201553,27382.95650076866,0.005775772,0.5641025641025641,16.35970288798448,0.005775772,22.53846153846154,-68.12820512820512,0.19446294,79.22088245595795
82.0,0.0048491913,1479818,335872.0,8860,-38.080216962454834,0.0,0.6216216216216216,84.16121022198541,27510.506404161453,0.005383531,0.3783783783783784,15.838789778014592,0.005383531,22.0,-69.05405405405405,0.19625728,79.72610635085945
82.02631578947368,0.0056364066,1489822,335979.7894736842,8898,-38.38230124060943,0.0,0.7105263157894737,84.5952624579663,27656.432500123978,0.004948291,0.2894736842105263,15.404737542033708,0.004948291,21.92105263157895,-69.39473684210526,0.21894231,79.79130905544203
82.44736842105263,0.0066649644,1499937,337704.4210526316,8936,-38.20125538474961,0.0,0.7631578947368421,83.56649049849395,27779.03780388832,0.007153132,0.23684210526315788,16.433509501506073,0.007153132,21.5,-68.86842105263158,0.23240879,80.18247957595209
81.82051282051282,0.004142296,1509907,335136.8205128205,8975,-38.42165336429342,0.0,0.5641025641025641,83.76635246516861,27916.6715157032,0.0054038847,0.4358974358974359,16.233647534831398,0.0054038847,22.102564102564102,-68.53846153846153,0.19661453,79.61805989899206
