optimgain,EpisodesSoFar,Fce,entloss,AttNC,surrgain,entropy,TimestepsSoFar,TtR,AttC,MtR,TimeElapsed,meankl
7.2717285e-06,44,0.17009695341444067,0.0,3.1136363636363638,7.2717285e-06,1.4221852,9937,406.8181818181818,6.886363636363637,23.341837502457835,384.7865173816681,0.00019569886
2.43219e-05,86,0.17081632653061227,0.0,2.4523809523809526,2.43219e-05,1.3867217,19997,414.76190476190476,7.5476190476190474,23.85555231497243,751.655999660492,0.0014065896
0.00010123192,132,0.18007509471986574,0.0,2.5,0.00010123192,1.3860615,29984,407.39130434782606,7.5,23.683468372759297,1060.761069059372,0.0002029998
6.336349e-05,173,0.17371583045855268,0.0,2.7560975609756095,6.336349e-05,1.3860406,39866,423.6585365853659,7.2439024390243905,24.84184049617964,1401.998854637146,0.002634828
0.00016068786,218,0.2176983534098789,0.0,2.7777777777777777,0.00016068786,1.38702,49823,505.3333333333333,7.222222222222222,29.324887964764564,1762.2984874248505,0.00083664275
0.00016046326,270,0.16272626399960105,0.0,1.9038461538461537,0.00016046326,1.4094204,59921,338.46153846153845,8.096153846153847,20.052545029225254,2087.0222492218018,0.0016507626
0.00011130814,313,0.1873821052752308,0.0,2.9767441860465116,0.00011130814,1.3892176,69999,451.6279069767442,7.023255813953488,26.318326956745004,2461.982750415802,0.0011319937
3.8400725e-05,356,0.21149354005167964,0.0,3.86046511627907,3.8400725e-05,1.3815953,79803,516.7441860465116,6.1395348837209305,30.198854778001063,2837.344460248947,0.0008571416
0.0005443297,399,0.18142217775440367,0.0,3.046511627906977,0.0005443297,1.3815341,89969,436.9767441860465,6.953488372093023,25.38337773263737,3151.957676887512,0.0020099042
0.0020820312,439,0.3154761904761904,0.0,5.225,0.0020820312,1.3841562,99824,780.75,4.775,45.07421768135948,3556.3526401519775,0.0058795176
0.0003325486,482,0.2134057119518077,0.0,4.023255813953488,0.0003325486,1.3675977,109925,518.8372093023256,5.976744186046512,30.143669303769123,3913.347637653351,0.002678786
0.0014752591,525,0.1878103371835479,0.0,3.9302325581395348,0.0014752591,1.3608847,119855,449.7674418604651,6.069767441860465,26.6642715586965,4312.006053924561,0.010783313
0.0005611963,567,0.3117680097680098,0.0,5.619047619047619,0.0005611963,1.3599266,129913,768.5714285714286,4.380952380952381,44.924442562160515,4674.283101558685,0.0035554324
0.00088109175,612,0.23788153778142535,0.0,3.933333333333333,0.00088109175,1.3404427,139877,532.4444444444445,6.066666666666666,31.403792315195506,5053.730142593384,0.007883971
0.0017876236,657,0.36838176177430787,0.0,5.644444444444445,0.0017876236,1.3385781,149788,862.6666666666666,4.355555555555555,50.46922025556332,5422.726715564728,0.0056135366
0.0006488045,707,0.3687390346905691,0.0,5.96,0.0006488045,1.3285061,159901,795.4,4.04,46.93520341482494,5773.587006568909,0.0030914478
0.0014117939,766,0.3139750999456816,0.0,4.5423728813559325,0.0014117939,1.3135388,169757,644.5762711864406,5.4576271186440675,38.53698651290012,6158.204766511917,0.003763285
0.000473378,826,0.3428428905330955,0.0,5.283333333333333,0.000473378,1.3012667,179793,722.5,4.716666666666667,43.10102793256054,6497.2661049366,0.0068718726
0.0004722313,884,0.4018411515225553,0.0,5.551724137931035,0.0004722313,1.2664924,189814,871.8965517241379,4.448275862068965,51.474700999943586,6892.013476133347,0.0027042453
0.0007761632,947,0.43213666353591623,0.0,5.777777777777778,0.0007761632,1.2337686,199973,899.8412698412699,4.222222222222222,52.43428909810917,7242.555991411209,0.0043853605
0.0007855264,1004,0.4861762091486829,0.0,6.578947368421052,0.0007855264,1.1813828,209972,1083.859649122807,3.4210526315789473,62.77024820240254,7608.669851541519,0.003797135
0.0006741903,1064,0.4754920044794643,0.0,5.883333333333334,0.0006741903,1.1378787,219934,1039.5,4.116666666666666,60.509110040181106,7990.4039747715,0.0044642035
0.00080369925,1120,0.5191153302732313,0.0,6.696428571428571,0.00080369925,1.1242851,229830,1130.7142857142858,3.3035714285714284,65.59062825289301,8410.390945672989,0.008159367
0.00088019966,1169,0.5968699423641676,0.0,7.73469387755102,0.00088019966,1.0848955,239947,1425.7142857142858,2.2653061224489797,82.28255759970317,8821.096854686737,0.004487666
0.0008326671,1216,0.6977092141973023,0.0,8.23404255319149,0.0008326671,1.0430954,249873,1647.2340425531916,1.7659574468085106,94.53731121273674,9218.040805339813,0.005183164
0.00056957395,1262,0.7549385783298826,0.0,8.652173913043478,0.00056957395,1.0062253,259923,1824.3478260869565,1.3478260869565217,104.36367195893828,9592.708453655243,0.0043673045
0.0006876761,1307,0.8173813051146386,0.0,8.733333333333333,0.0006876761,0.96123874,269972,1961.111111111111,1.2666666666666666,112.25981586414426,9976.819064855576,0.0061837207
0.00062702224,1353,0.7547646155593324,0.0,8.391304347826088,0.00062702224,0.96962094,279917,1813.9130434782608,1.608695652173913,104.06602150911836,10330.809074163437,0.0029644861
0.00041955715,1397,0.8398651026392961,0.0,9.068181818181818,0.00041955715,0.924745,289971,2053.409090909091,0.9318181818181818,117.76142757520849,10666.030452489853,0.002726936
0.0005156984,1445,0.7888242389234413,0.0,8.125,0.0005156984,0.8608995,299888,1895.2083333333333,1.875,108.72157758693159,11024.653706789017,0.0055931336
0.0005960092,1487,0.8826984126984128,0.0,9.452380952380953,0.0005960092,0.85433143,309894,2187.1428571428573,0.5476190476190477,125.21115639133941,11357.44695186615,0.0017472449
0.0008820488,1534,0.8291142499553011,0.0,8.51063829787234,0.0008820488,0.7792952,319955,2005.3191489361702,1.4893617021276595,114.77192722812032,11677.098549365997,0.006592859
