entloss,meankl,surrgain,EpisodesSoFar,AttC,AttNC,TtR,Fce,TimestepsSoFar,TimeElapsed,entropy,optimgain,MtR
0.0,0.005903776,0.0010086738,6680,0.0,10.0,2489.25,0.9956999999999999,1599755,10328.487653017044,0.13145986,0.0010086738,142.13319891209176
0.0,0.008804255,0.0012516613,6720,0.0,10.0,2497.75,0.9991000000000001,1609755,10382.291842460632,0.12155216,0.0012516613,142.74436454636356
0.0,0.0053994176,0.0009642241,6760,0.0,10.0,2482.0,0.9927999999999999,1619755,10438.884326219559,0.08486521,0.0009642241,141.64235077573585
0.0,0.006073743,0.00085087155,6800,0.0,10.0,2491.0,0.9964000000000001,1629755,10496.177585363388,0.06310624,0.00085087155,142.253849697844
0.0,0.00362716,0.000627448,6840,0.0,10.0,2494.5,0.9978,1639755,10552.242526769638,0.046186205,0.000627448,142.38839036317282
0.0,0.0024966877,0.00049590296,6880,0.0,10.0,2491.5,0.9965999999999997,1649755,10607.543015480042,0.04190873,0.00049590296,142.14216817730298
0.0,0.0061164815,0.000608264,6920,0.0,10.0,2494.0,0.9976,1659755,10663.218364715576,0.111758165,0.000608264,142.30876451512128
0.0,0.0029109453,0.0009178108,6960,0.0,10.0,2492.5,0.9969999999999999,1669755,10720.981159448624,0.13655135,0.0009178108,142.32721886443633
0.0,0.003428521,0.0008422093,7000,0.0,10.0,2494.75,0.9978999999999999,1679755,10778.300022602081,0.12537898,0.0008422093,142.4990624092205
0.0,0.006098573,0.0009601865,7040,0.0,10.0,2489.25,0.9957,1689755,10833.41342830658,0.16197823,0.0009601865,141.9587110626017
0.0,0.008492886,0.0011485057,7080,0.0,10.0,2492.75,0.9971,1699755,10887.05750131607,0.22596851,0.0011485057,142.28300120338116
0.0,0.004171124,0.0008851829,7120,0.0,10.0,2485.0,0.9939999999999998,1709755,10942.846773147583,0.272461,0.0008851829,141.64413884201278
0.0,0.0028424594,0.00081172516,7161,0.24390243902439024,9.75609756097561,2434.1463414634145,0.9784853831517039,1719896,11001.573674201965,0.26062462,0.00081172516,139.0124721187228
0.0,0.0039961888,0.00083532487,7201,0.0,10.0,2487.75,0.9950999999999997,1729896,11059.41958618164,0.23530544,0.00083532487,141.9125868286346
0.0,0.0043209265,0.000611237,7241,0.0,10.0,2481.25,0.9925000000000003,1739896,11114.983959674835,0.23847936,0.000611237,141.4842378431571
0.0,0.004977063,0.00082376786,7281,0.0,10.0,2488.0,0.9951999999999999,1749896,11172.066209554672,0.21852566,0.00082376786,141.9692226992513
0.0,0.005617982,0.00082226517,7321,0.0,10.0,2492.75,0.9970999999999999,1759896,11223.60852432251,0.27401277,0.00082226517,142.27307448886887
0.0,0.0035778207,0.0007755466,7362,0.24390243902439024,9.75609756097561,2420.243902439024,0.9761300813008132,1769899,11278.005270242691,0.26843238,0.0007755466,138.08838597552247
0.0,0.007405422,0.0010715218,7402,0.0,10.0,2488.5,0.9953999999999998,1779899,11330.259958267212,0.33912805,0.0010715218,142.01226957958633
