TtR,MpbtN,Tmc,AttNC,TimeElapsed,optimgain,AttC,entloss,TimestepsSoFar,Ptt,EpisodesSoFar,surrgain,Tmt,Tbt,MtR,MpbtA,entropy,meankl
-80.30525030525031,95.10234426652333,19.4017094017094,0.0,2064.2329244613647,0.025178427,1.0,0.0,9999,82.11536926968824,819,0.025178427,84.44688644688645,345894.4468864469,-75.98456820822064,4.897655733476367,0.6835293,0.009457655
-80.3121546961326,95.29888704105267,19.582872928176794,0.0,3869.335725069046,0.01626348,1.0,0.0,19988,81.94895740624214,1543,0.01626348,84.27900552486187,345206.80662983423,-75.42460462974292,4.701112958947043,0.6554097,0.009561448
-80.20739549839229,95.28244355033233,19.683279742765272,0.0,5447.102709531784,0.02121521,1.0,0.0,29985,81.85606784174853,2165,0.02121521,84.18327974276528,344814.7138263666,-74.52558080425442,4.7175564496674784,0.6087512,0.01017298
-80.27777777777777,95.42130340255731,19.743295019157088,0.0,6782.180472135544,0.024043659,1.0,0.0,39987,81.80234804863677,2687,0.024043659,84.1360153256705,344621.11877394636,-73.57759031124748,4.578696597442543,0.54670095,0.009929115
-80.3957783641161,95.29345742909926,19.480211081794195,0.0,7746.296399354935,0.022790365,1.0,0.0,49981,82.04280799879211,3066,0.022790365,84.37203166226912,345587.8416886543,-71.41258378655736,4.706542570900731,0.47381225,0.009878596
-79.42194092827005,94.33600701886613,19.662447257383967,0.0,8365.081215143204,0.018959884,1.0,0.0,59983,81.87339338907756,3303,0.018959884,84.18987341772151,344841.7215189873,-66.56885309529065,5.663992981133981,0.39494282,0.0090235295
-77.5,92.67817452792436,20.273333333333333,0.0,8763.111498832703,0.018246975,1.0,0.0,69953,81.31145066432889,3453,0.018246975,83.62,342507.52,-59.976116712696204,7.321825472075651,0.3273637,0.008965805
-75.71717171717172,91.0929993347944,20.818181818181817,0.020202020202020204,9032.792977333069,0.014930692,0.9797979797979798,0.0,79973,80.81233827844932,3552,0.014930692,83.11111111111111,340423.1111111111,-53.42123512713604,8.90700066520563,0.26851,0.008176962
-73.1896551724138,88.01750502613054,20.862068965517242,0.08620689655172414,9198.50031709671,0.0084320465,0.9137931034482759,0.0,89934,80.78141009154855,3610,0.0084320465,83.12068965517241,340462.3448275862,-44.29112266539624,11.98249497386948,0.24652436,0.005647016
-73.30434782608695,87.5722995735291,20.26086956521739,0.2391304347826087,9335.999423742294,0.010219601,0.7608695652173914,0.0,99994,81.33494259896473,3656,0.010219601,83.69565217391305,342817.39130434784,-42.01177385761415,12.427700426470894,0.1961969,0.006557945
-72.73684210526316,87.16515552220841,20.55263157894737,0.5526315789473685,9454.019580364227,0.0049277847,0.4473684210526316,0.0,109795,81.06659600243722,3694,0.0049277847,83.42105263157895,341692.63157894736,-40.62693251893161,12.834844477791586,0.20387211,0.0020272145
-74.825,89.52052957680833,20.4,0.725,9577.644025564194,0.005921077,0.275,0.0,119938,81.20880121405945,3734,0.005921077,83.575,342323.2,-41.866370254159975,10.47947042319165,0.16478777,0.0037003013
-73.28571428571429,89.035209218031,21.62857142857143,0.6857142857142857,9694.067759990692,0.0046606734,0.3142857142857143,0.0,129781,80.05974953036853,3769,0.0046606734,82.31428571428572,337159.3142857143,-40.45243680391578,10.964790781969,0.16592647,0.0031231998
-76.69444444444444,91.86636680733005,20.416666666666668,0.9722222222222222,9802.023007392883,0.0055566947,0.027777777777777776,0.0,139953,81.18027940186107,3805,0.0055566947,83.47222222222223,341902.22222222225,-41.2064980390985,8.133633192669938,0.1773918,0.003261014
-75.55263157894737,90.21941493283634,20.236842105263158,0.7368421052631579,9923.956341266632,0.006328282,0.2631578947368421,0.0,149922,81.35573437450832,3843,0.006328282,83.71052631578948,342878.3157894737,-42.066997257638285,9.780585067163644,0.15253726,0.0043365145
-75.8,90.94316627795659,20.6,0.8857142857142857,10036.55789232254,0.005257892,0.11428571428571428,0.0,159923,81.01057578857149,3878,0.005257892,83.31428571428572,341255.3142857143,-40.45669478778178,9.0568337220434,0.1588944,0.0017059342
-75.47058823529412,91.12461844836967,21.11764705882353,0.9117647058823529,10152.477247476578,0.008207474,0.08823529411764706,0.0,169721,80.52981553087558,3912,0.008207474,82.79411764705883,339124.70588235295,-40.705901124704326,8.875381551630326,0.21325469,0.0065837693
-74.51351351351352,89.56741342143678,20.756756756756758,0.7567567567567568,10268.003847837448,0.006716249,0.24324324324324326,0.0,179841,80.86382286031292,3949,0.006716249,83.13513513513513,340521.5135135135,-41.07713570196049,10.432586578563212,0.19457258,0.0020319228
-74.87179487179488,89.72348442527327,20.46153846153846,0.5897435897435898,10384.15224647522,0.005629317,0.41025641025641024,0.0,189900,81.14036892861857,3988,0.005629317,83.43589743589743,341753.4358974359,-42.07131281024123,10.276515574726737,0.21357627,0.0022204758
-74.57894736842105,88.96923378366262,20.026315789473685,0.6842105263157895,10500.031917095184,0.008328534,0.3157894736842105,0.0,199927,81.53575394947374,4026,0.008328534,83.8157894736842,343309.4736842105,-41.74652054272301,11.030766216337396,0.21747388,0.0031931088
-74.23076923076923,88.81104115528446,20.333333333333332,0.6153846153846154,10621.63579249382,0.0063032676,0.38461538461538464,0.0,209935,81.25982921664142,4065,0.0063032676,83.56410256410257,342278.5641025641,-40.825455016369204,11.188958844715527,0.18774839,0.0024392002
-74.10526315789474,88.97448660943859,20.736842105263158,0.5789473684210527,10741.284991979599,0.009893933,0.42105263157894735,0.0,219813,80.88722450742229,4103,0.009893933,83.21052631578948,340830.3157894737,-40.82392088570222,11.025513390561427,0.2146331,0.0036949334
