TimestepsSoFar,Fce,meankl,optimgain,entloss,AttNC,AttC,MtR,TimeElapsed,EpisodesSoFar,surrgain,entropy,TtR
9826,0.12084820267622667,0.0022567443,0.0005821869,0.0,0.828125,2.171875,13.822123787521068,43.51425790786743,64,0.0005821869,1.4161282,71.015625
19945,0.14506109764597294,0.0052216575,0.0010061503,0.0,0.6266666666666667,2.3733333333333335,12.457605799417609,87.10296726226807,139,0.0010061503,1.423508,62.88
29942,0.14381761237013574,0.0050934814,0.00055811694,0.0,0.9629629629629629,2.037037037037037,16.24187175249108,129.3436176776886,193,0.00055811694,1.4222786,84.11111111111111
39865,0.12325179943745981,0.0016270109,0.00064055534,0.0,1.12,1.88,15.958116696487462,174.91628313064575,243,0.00064055534,1.4117792,82.74
49937,0.12559297852474327,0.0037377835,0.0006874275,0.0,1.24,1.76,16.795516821917055,217.49414730072021,293,0.0006874275,1.4196786,87.72
59799,0.12871946099013767,0.0026373202,0.00071395084,0.0,1.183673469387755,1.816326530612245,16.520364932401677,261.49156880378723,342,0.00071395084,1.4132073,86.57142857142857
69882,0.13038372456964006,0.0035664006,0.0010147941,0.0,1.4,1.6,18.26636785754932,304.830450296402,387,0.0010147941,1.4086162,95.26666666666667
79918,0.12414957264957265,0.0020488617,0.0012860865,0.0,1.1875,1.8125,16.400183427065127,348.7989683151245,435,0.0012860865,1.4003453,85.6875
89932,0.12811721611721616,0.0025080168,0.0015634641,0.0,1.7619047619047619,1.2380952380952381,17.87932625473807,390.87355065345764,477,0.0015634641,1.3856171,94.78571428571429
99972,0.15111948920644566,0.0057135387,0.00096123555,0.0,1.5,1.5,15.732330342404186,432.68136858940125,523,0.00096123555,1.3934802,82.8913043478261
109796,0.12163301871700528,0.0017343119,0.0009644124,0.0,1.6170212765957446,1.3829787234042554,15.019053320457514,474.57855463027954,570,0.0009644124,1.3870395,78.70212765957447
119888,0.1427452465834819,0.0059758276,0.0010072772,0.0,1.625,1.375,15.533339241681754,518.9903385639191,618,0.0010072772,1.3833776,82.0625
129932,0.11463385002094682,0.0067270496,0.00070381165,0.0,1.5909090909090908,1.4090909090909092,15.810665978946902,560.1261823177338,662,0.00070381165,1.4116985,81.68181818181819
139753,0.1341967595548858,0.002010333,0.00081421714,0.0,1.7857142857142858,1.2142857142857142,18.034079722725178,602.3511354923248,704,0.00081421714,1.4375006,93.07142857142857
149802,0.12373573573573575,0.001986168,0.00068743614,0.0,1.6,1.4,16.81102715262771,641.6314253807068,749,0.00068743614,1.4507948,88.0
159937,0.12132941012047438,0.0034245865,0.0006065519,0.0,1.530612244897959,1.469387755102041,15.289429736581678,686.4345636367798,798,0.0006065519,1.4865618,80.20408163265306
169752,0.1187907361455749,0.0019669118,0.00070910493,0.0,1.3125,1.6875,16.327725371612384,725.9668180942535,846,0.00070910493,1.47208,86.1875
179773,0.12555277280858676,0.0017850586,0.0004480072,0.0,1.5116279069767442,1.4883720930232558,16.941363198389308,769.1850869655609,889,0.0004480072,1.4619234,90.34883720930233
189827,0.14247309833024116,0.0025312875,0.00059090677,0.0,1.6818181818181819,1.3181818181818181,16.82396966795025,808.3823194503784,933,0.00059090677,1.458331,89.31818181818181
199841,0.1211428571428572,0.00060805614,0.000391627,0.0,1.8333333333333333,1.1666666666666667,17.405460261766063,851.3194961547852,975,0.000391627,1.4698495,90.85714285714286
209889,0.1361159420289855,0.0037543527,0.00064261426,0.0,1.5217391304347827,1.4782608695652173,15.851754262986553,890.0129885673523,1021,0.00064261426,1.4311966,83.80434782608695
219918,0.11643410852713179,0.0057408437,0.0009234843,0.0,1.5813953488372092,1.4186046511627908,16.209359283021072,934.8062772750854,1064,0.0009234843,1.4726676,86.23255813953489
229950,0.12006138107416882,0.0059551722,0.00091968157,0.0,1.5869565217391304,1.4130434782608696,16.272124327008818,974.492481470108,1110,0.00091968157,1.5093112,85.95652173913044
239907,0.1265064948740338,0.0030101675,0.0007146848,0.0,1.3695652173913044,1.6304347826086956,17.000081934413732,1015.8678364753723,1156,0.0007146848,1.5197746,88.43478260869566
249955,0.13801598401598403,0.008997022,0.0009985372,0.0,1.4772727272727273,1.5227272727272727,18.573545444432195,1055.6486814022064,1200,0.0009985372,1.5388182,98.04545454545455
259936,0.1276697023266764,0.0023896017,0.0009052897,0.0,1.2549019607843137,1.7450980392156863,16.710824036531836,1098.9755339622498,1251,0.0009052897,1.5462297,86.88235294117646
