MpbtN,meankl,entropy,EpisodesSoFar,TimeElapsed,Tmc,MtR,Ptt,TtR,optimgain,entloss,surrgain,AttNC,Tmt,Tbt,TimestepsSoFar,AttC,MpbtA
95.08836121051742,0.009256571,0.68382126,824,1975.6593573093414,19.518203883495147,-75.91010360217314,82.0088739939988,-80.19538834951456,0.024193699,0.0,0.024193699,0.0,84.34344660194175,345470.7572815534,9999,1.0,4.911638789482248
95.19893918529796,0.010274091,0.6553501,1552,3740.8590257167816,19.667582417582416,-75.30035423321134,81.871505030036,-80.15521978021978,0.013411116,0.0,0.013411116,0.0,84.2032967032967,344896.7032967033,19982,1.0,4.801060814701915
95.39346326172986,0.010216053,0.6083535,2180,5266.292759180069,19.452229299363058,-74.83693586243953,82.06790054964566,-80.5015923566879,0.018430056,0.0,0.018430056,0.0,84.39490445859873,345681.5286624204,30000,1.0,4.606536738269933
95.44878894248804,0.010027103,0.54678655,2694,6516.5215446949005,19.64396887159533,-73.5390560209414,81.89007029475617,-80.36770428015564,0.020426217,0.0,0.020426217,0.0,84.20622568093385,344908.70038910507,39999,1.0,4.55121105751181
95.40516112744659,0.009764758,0.4772761,3118,7557.6534605026245,19.580188679245282,-72.26725496450634,81.94946052936275,-80.39150943396227,0.02643681,0.0,0.02643681,0.0,84.26886792452831,345165.28301886795,49993,1.0,4.59483887255344
94.63838166909451,0.009456941,0.40460604,3389,8213.313224077225,19.494464944649447,-68.15572027171947,82.03169087527878,-79.84870848708488,0.02142754,0.0,0.02142754,0.0,84.3690036900369,345575.43911439116,59994,1.0,5.361618330905605
93.53700547204723,0.008806892,0.33321208,3567,8651.327184677124,19.825842696629213,-62.813890568968795,81.73274560895294,-78.66292134831461,0.01929056,0.0,0.01929056,0.0,84.09550561797752,344455.19101123593,69992,1.0,6.46299452795277
92.66214594475305,0.0079785045,0.28515494,3695,8974.267172813416,20.5390625,-57.18825054865714,81.06568256953724,-77.265625,0.016331905,0.0,0.016331905,0.0,83.359375,341440.0,79955,1.0,7.337854055247005
91.47370074209937,0.0056817383,0.25265312,3786,9210.877738714218,20.10989010989011,-51.908622731148974,81.45609311233757,-76.5934065934066,0.011319433,0.0,0.011319433,0.02197802197802198,83.72527472527473,342938.7252747253,89995,0.978021978021978,8.526299257900689
90.14142319225769,0.004687014,0.22922884,3857,9397.984652519226,20.43661971830986,-47.472308796854236,81.15843502147371,-75.21126760563381,0.009623828,0.0,0.009623828,0.04225352112676056,83.43661971830986,341756.3943661972,99937,0.9577464788732394,9.858576807742324
