entloss,MtR,TimeElapsed,TtR,Tmt,Tbt,AttNC,MpbtA,meankl,AttC,optimgain,entropy,Tmc,MpbtN,EpisodesSoFar,Ptt,TimestepsSoFar,surrgain
0.0,-66.87128847579423,1385.3447396755219,-726.8617021276596,74.64539007092199,305747.5177304965,0.0,2.6154246063754645,0.0072551123,10.0,0.0025766077,0.6858506,29.404255319148938,97.38457539362443,564,72.83030060793763,9999,0.0025766077
0.0,-64.62027287021373,2577.538408279419,-712.201646090535,73.6604938271605,301713.3827160494,0.0,3.299757619661687,0.009593315,10.0,0.0018690272,0.6608605,30.421810699588477,96.7002423803383,1050,71.88699303960853,19980,0.0018690272
0.0,-61.66039198894791,3547.8668172359467,-694.0897755610972,72.79551122194513,298170.41396508727,0.0,4.650518861090684,0.008547747,10.0,0.004351591,0.62301487,31.361596009975063,95.34948113890931,1451,71.02947374284444,29986,0.004351591
0.0,-56.85716504800617,4298.071177959442,-663.6184210526316,71.91447368421052,294561.6842105263,0.0,7.7155800650582265,0.008824104,10.0,0.0044660945,0.5719164,32.35197368421053,92.28441993494175,1755,70.13562220549106,39975,0.0044660945
0.0,-43.844986751044644,4693.576561450958,-588.1884057971015,71.05797101449275,291053.4492753623,0.021739130434782608,17.207819811805955,0.0071764234,9.978260869565217,0.0034658392,0.53697014,33.28260869565217,82.79218018819407,1893,69.28777875988273,49977,0.0034658392
0.0,-21.975298978841746,4931.056786298752,-384.375,69.41666666666667,284330.6666666667,1.5416666666666667,44.6850333064362,0.0036472403,8.458333333333334,0.0010257502,0.5067436,35.1875,55.31496669356378,1941,67.58709734406268,59775,0.0010257502
0.0,-17.77080807813178,5172.452774524689,-294.61538461538464,66.65384615384616,273014.1538461539,3.4038461538461537,55.83545521731047,0.0043041566,6.596153846153846,0.0007557135,0.43102804,38.19230769230769,44.164544782689525,1993,64.84791882110112,69901,0.0007557135
0.0,-15.97851262989468,5442.78883600235,-266.34615384615387,65.6923076923077,269075.6923076923,3.769230769230769,59.578965255122014,0.0033414834,6.230769230769231,0.0012291687,0.41421163,39.28846153846154,40.42103474487799,2045,63.86146213853931,79961,0.0012291687
0.0,-14.249567116148471,5720.292391777039,-221.63636363636363,65.2,267059.2,3.8181818181818183,66.07672652008341,0.004257531,6.181818181818182,0.0014180944,0.39648226,39.72727272727273,33.92327347991661,2100,63.43426901812003,89933,0.0014180944
0.0,-12.63250337692406,5998.661807060242,-182.5,62.18333333333333,254702.93333333332,4.95,70.67039906255933,0.0019529797,5.05,0.0011023604,0.33953017,42.78333333333333,29.32960093744066,2160,60.57307857975536,99990,0.0011023604
0.0,-12.925147935828873,6300.332939863205,-185.59322033898306,61.898305084745765,253535.45762711865,4.203389830508475,70.09736065033223,0.0037400974,5.796610169491525,0.0017577087,0.37833866,43.067796610169495,29.90263934966778,2219,60.30630616267985,109931,0.0017577087
