TimestepsSoFar,MtR,TtR,surrgain,MpbtA,optimgain,TimeElapsed,entloss,AttNC,Tmc,Tbt,Ptt,MpbtN,AttC,entropy,meankl,EpisodesSoFar,Tmt
9999,-76.13252224784547,-80.42839805825243,0.0243036,4.793473990930763,0.0243036,2005.763599395752,0.0,0.0,19.359223300970875,346047.3786407767,82.15409298218724,95.20652600906894,1.0,0.68461007,0.008664213,824,84.48422330097087
19991,-75.55446784522202,-80.40163934426229,0.015470995,4.769086223931993,0.015470995,3801.534031391144,0.0,0.0,19.386612021857925,345849.0054644809,82.12504192496415,95.23091377606775,1.0,0.659727,0.008487703,1556,84.43579234972678
29993,-75.09999326514284,-80.55828220858896,0.020505283,4.7192399546639265,0.020505283,5389.740305662155,0.0,0.0,19.299079754601227,346338.15950920247,82.2115640255928,95.28076004533591,1.0,0.6183452,0.008917696,2208,84.55521472392638
39996,-73.83061236028392,-80.37732342007435,0.022516027,4.5214575015496195,0.022516027,6728.7099533081055,0.0,0.0,19.691449814126393,344840.56505576207,81.85047817411767,95.4785424984502,1.0,0.5599013,0.009635895,2746,84.18959107806691
49991,-71.80416801703974,-80.18536585365854,0.026168026,4.912244719003808,0.026168026,7727.128179311752,0.0,0.0,19.55121951219512,345412.68292682926,81.9813507077923,95.0877552809961,1.0,0.4894781,0.009627169,3156,84.32926829268293
60000,-69.37160859393956,-79.89490445859873,0.026375309,5.047937488171232,0.026375309,8504.282081127167,0.0,0.0,19.748407643312103,344651.00636942673,81.7997578156703,94.95206251182879,1.0,0.41555986,0.009357721,3470,84.14331210191082
69948,-64.0333084969754,-78.859375,0.015784226,6.196449290681191,0.015784226,8976.808049440384,0.0,0.005208333333333333,19.807291666666668,344341.3333333333,81.74341490172175,93.80355070931877,0.9947916666666666,0.34100455,0.008389712,3662,84.06770833333333
79860,-55.76447855796471,-77.25892857142857,0.012938731,7.9691479820694635,0.012938731,9261.001672506332,0.0,0.026785714285714284,19.982142857142858,343808.0,81.58807559252944,92.03085201793056,0.9732142857142857,0.28765768,0.007153041,3774,83.9375
89992,-51.753037090794344,-77.19354838709677,0.011955421,8.099467186265667,0.011955421,9501.14229798317,0.0,0.010752688172043012,19.913978494623656,344019.9569892473,81.64855819108037,91.90053281373437,0.989247311827957,0.22671084,0.008021313,3867,83.98924731182795
99952,-45.90744080917159,-75.3076923076923,0.008011182,9.70907791820791,0.008011182,9673.62342619896,0.0,0.03076923076923077,20.584615384615386,341480.3692307692,81.03190174682857,90.2909220817921,0.9692307692307692,0.1875425,0.0074565383,3932,83.36923076923077
109964,-43.4621272074642,-75.43137254901961,0.008805112,9.12463280216475,0.008805112,9813.144402265549,0.0,0.09803921568627451,20.96078431372549,339968.0,80.68423017772317,90.87536719783525,0.9019607843137255,0.17132771,0.0046412842,3983,83.0
119994,-43.064755802345644,-76.16666666666667,0.005139814,8.996183202734118,0.005139814,9944.70376420021,0.0,0.0625,20.25,342784.0,81.34214966111008,91.00381679726587,0.9375,0.13830146,0.004407832,4031,83.6875
129801,-41.43545080081104,-75.63414634146342,0.005408326,9.452581337629736,0.005408326,10061.371512889862,0.0,0.0975609756097561,20.414634146341463,342065.9512195122,81.18670966011533,90.54741866237025,0.9024390243902439,0.1565224,0.0032036167,4072,83.51219512195122
139965,-41.62020877654099,-75.02439024390245,0.0048066773,9.813490422574336,0.0048066773,10178.621343135834,0.0,0.17073170731707318,20.73170731707317,340667.31707317074,80.88907048126488,90.18650957742565,0.8292682926829268,0.14034148,0.0060805166,4113,83.17073170731707
149841,-42.8041196546607,-76.39473684210526,0.0039374377,8.889979957759378,0.0039374377,10284.321781635284,0.0,0.5789473684210527,20.05263157894737,343417.2631578947,81.52030921655195,91.11002004224065,0.42105263157894735,0.14603306,0.0042834734,4151,83.84210526315789
159916,-42.077591584164004,-76.08108108108108,0.0061113746,9.435625029580835,0.0061113746,10388.72245669365,0.0,0.7027027027027027,19.89189189189189,343953.2972972973,81.66482295941327,90.56437497041917,0.2972972972972973,0.14941196,0.003860298,4188,83.97297297297297
169715,-41.02262816331657,-74.63888888888889,0.0034747361,10.309166469133975,0.0034747361,10496.520781040192,0.0,0.6388888888888888,20.63888888888889,340764.44444444444,80.96280612290633,89.69083353086604,0.3611111111111111,0.1614641,0.002476501,4224,83.19444444444444
179841,-40.877106919468716,-74.44736842105263,0.0068187104,10.209835961255143,0.0068187104,10605.865020513535,0.0,0.6052631578947368,21.026315789473685,339536.84210526315,80.61684819071698,89.79016403874483,0.39473684210526316,0.16094056,0.0055095265,4262,82.89473684210526
189954,-41.571457908511114,-76.13888888888889,0.0047697797,9.146625982046844,0.0047697797,10704.230731725693,0.0,0.9444444444444444,20.055555555555557,343153.77777777775,81.50712432252607,90.85337401795316,0.05555555555555555,0.18898422,0.0043893526,4298,83.77777777777777
199822,-40.41888825872934,-75.2,0.006320865,10.25619497449282,0.006320865,10808.057115316391,0.0,0.9142857142857143,20.17142857142857,343244.8,81.41882114365872,89.74380502550717,0.08571428571428572,0.20097981,0.005319739,4333,83.8
209924,-41.446709520041985,-74.21621621621621,0.008471632,11.237341528121494,0.008471632,10914.721440315247,0.0,0.918918918918919,20.2972972972973,342514.1621621622,81.29664359554812,88.76265847187847,0.08108108108108109,0.25894973,0.007069969,4370,83.62162162162163
219888,-40.313105927664566,-72.15384615384616,0.005842456,12.689651868111811,0.005842456,11025.911706924438,0.0,0.5897435897435898,21.256410256410255,338497.641025641,80.40025565688217,87.31034813188822,0.41025641025641024,0.20616494,0.0037954766,4409,82.64102564102564
229910,-39.24300377976902,-71.37837837837837,0.0040375483,13.531625564410065,0.0040375483,11132.815562725067,0.0,0.6486486486486487,21.405405405405407,338086.0540540541,80.27047218769049,86.46837443558992,0.35135135135135137,0.2504011,0.004290111,4446,82.54054054054055
