AttC,entropy,TimestepsSoFar,TimeElapsed,optimgain,entloss,meankl,TtR,Fce,AttNC,MtR,surrgain,EpisodesSoFar
0.14893617021276595,0.41946784,2649886,11918.87323307991,0.005255835,0.0,0.004293915,26.404255319148938,0.1056170212765958,0.851063829787234,15.137032423413842,0.005255835,12732
0.024390243902439025,0.41624403,2659887,11967.976826190948,0.0056251343,0.0,0.0049008424,31.121951219512194,0.12448780487804882,0.975609756097561,17.91987437567014,0.0056251343,12773
0.024390243902439025,0.40933532,2669888,12010.30611205101,0.0054326826,0.0,0.003216571,32.58536585365854,0.13034146341463418,0.975609756097561,18.649699076830338,0.0054326826,12814
0.047619047619047616,0.42149302,2679898,12055.357261896133,0.005510188,0.0,0.0051903273,29.476190476190474,0.1204550264550265,0.9523809523809523,16.91995170880556,0.005510188,12856
0.16666666666666666,0.42382818,2689906,12095.881726264954,0.004424312,0.0,0.003389839,25.291666666666668,0.10116666666666668,0.8333333333333334,14.721712426425787,0.004424312,12904
0.024390243902439025,0.45235172,2699907,12138.624662399292,0.0054455963,0.0,0.004727864,32.34146341463415,0.1293658536585366,0.975609756097561,18.670601195678035,0.0054455963,12945
0.06976744186046512,0.42450026,2709918,12189.874125480652,0.005000025,0.0,0.0044594835,27.697674418604652,0.11328165374677007,0.9302325581395349,16.016126666205206,0.005000025,12988
0.09090909090909091,0.41810942,2719966,12237.948676347733,0.0057908623,0.0,0.0035264348,28.522727272727273,0.11533333333333333,0.9090909090909091,16.122340042440012,0.0057908623,13032
0.0,0.4005423,2729966,12280.040014982224,0.0056955237,0.0,0.0042510154,32.55,0.13020000000000004,1.0,18.551747623316423,0.0056955237,13072
0.11363636363636363,0.39283758,2739967,12320.083721399307,0.005723376,0.0,0.0039070677,29.977272727272727,0.123555376199444,0.8863636363636364,17.300256366675185,0.005723376,13116
0.047619047619047616,0.4017915,2749981,12367.352269887924,0.0062762555,0.0,0.0030910426,29.261904761904763,0.11704761904761905,0.9523809523809523,16.66881781370639,0.0062762555,13158
0.20408163265306123,0.4010611,2759777,12414.985839366913,0.004551816,0.0,0.0032802727,25.06122448979592,0.10336700336700341,0.7959183673469388,14.208781270497932,0.004551816,13207
0.06976744186046512,0.397808,2769800,12455.765409946442,0.005585197,0.0,0.004414101,28.46511627906977,0.12760575858250275,0.9302325581395349,16.108937311263528,0.005585197,13250
0.09090909090909091,0.39219347,2779804,12505.266932725906,0.0050465986,0.0,0.003485348,27.5,0.11,0.9090909090909091,15.894495819015019,0.0050465986,13294
0.1111111111111111,0.41683653,2789885,12552.78492307663,0.006452304,0.0,0.004533345,28.666666666666668,0.12387160493827161,0.8888888888888888,16.47453727306295,0.006452304,13339
0.15217391304347827,0.41609144,2799752,12597.404893875122,0.0050630523,0.0,0.0038050876,27.565217391304348,0.1155822501120574,0.8478260869565217,15.575564948445518,0.0050630523,13385
0.047619047619047616,0.43396354,2809754,12640.827866792679,0.0072036698,0.0,0.0054791947,27.714285714285715,0.11085714285714288,0.9523809523809523,15.677561187342462,0.0072036698,13427
0.06976744186046512,0.42821988,2819777,12677.73688697815,0.0054581305,0.0,0.0040543573,29.906976744186046,0.12064230343300116,0.9302325581395349,17.015852260173464,0.0054581305,13470
0.047619047619047616,0.42785558,2829787,12727.172572135925,0.006186134,0.0,0.006078516,31.952380952380953,0.13291005291005295,0.9523809523809523,18.188625175754133,0.006186134,13512
0.2,0.4290043,2839973,12780.607851982117,0.005681368,0.0,0.00418278,27.04,0.12358275867922926,0.8,15.641451986343318,0.005681368,13562
0.2641509433962264,0.43060282,2849883,12823.358893871307,0.005334465,0.0,0.0037380187,25.41509433962264,0.1313661047231713,0.7358490566037735,14.567354378590776,0.005334465,13615
0.06976744186046512,0.41827744,2859908,12864.513294935226,0.005044606,0.0,0.00402523,31.162790697674417,0.12924165824064715,0.9302325581395349,17.85606926488292,0.005044606,13658
0.16666666666666666,0.40427867,2869936,12908.303875684738,0.004295807,0.0,0.0041013844,28.833333333333332,0.11624206349206351,0.8333333333333334,16.31182815521881,0.004295807,13706
0.09090909090909091,0.4051513,2879942,12950.563217878342,0.00503633,0.0,0.0038111282,29.954545454545453,0.11981818181818181,0.9090909090909091,16.71726538993221,0.00503633,13750
0.07142857142857142,0.4028328,2889765,12993.633526802063,0.0057450775,0.0,0.004213399,30.214285714285715,0.12485438233264322,0.9285714285714286,17.24124722354517,0.0057450775,13792
0.1111111111111111,0.42322144,2899794,13034.147000312805,0.005893485,0.0,0.003895855,29.11111111111111,0.12255353535353536,0.8888888888888888,16.91460278913236,0.005893485,13837
0.09090909090909091,0.44456074,2909860,13081.991803884506,0.004686882,0.0,0.003902404,31.522727272727273,0.1334639498432602,0.9090909090909091,18.305339156955736,0.004686882,13881
0.13043478260869565,0.4414065,2919954,13127.959757328033,0.0046846,0.0,0.0037666336,28.304347826086957,0.12511982037150438,0.8695652173913043,16.100320042349406,0.0046846,13927
0.09090909090909091,0.44512945,2929966,13174.894558429718,0.0045478316,0.0,0.003224778,30.272727272727273,0.12352525252525251,0.9090909090909091,17.146144130422893,0.0045478316,13971
0.047619047619047616,0.46776336,2939968,13211.351649522781,0.0056722965,0.0,0.0047652484,30.214285714285715,0.12085714285714289,0.9523809523809523,17.270655392030964,0.0056722965,14013
0.13043478260869565,0.454304,2949978,13258.226144075394,0.004560773,0.0,0.004261478,28.02173913043478,0.11924637681159422,0.8695652173913043,16.069786844997175,0.004560773,14059
0.22,0.43960646,2959937,13310.567088842392,0.0048657204,0.0,0.0033997702,26.82,0.12017742833742834,0.78,15.25921378702167,0.0048657204,14109
0.06976744186046512,0.4437568,2969996,13352.80532693863,0.005519775,0.0,0.0038027458,31.74418604651163,0.13383571102859745,0.9302325581395349,18.241958682423483,0.005519775,14152
0.09302325581395349,0.4342786,2979788,13394.287629842758,0.0054635988,0.0,0.004230764,29.325581395348838,0.12183184257602865,0.9069767441860465,16.853089221501854,0.0054635988,14195
0.13043478260869565,0.46996054,2989890,13443.716656923294,0.00483407,0.0,0.004327424,27.565217391304348,0.11938221085535666,0.8695652173913043,15.90359006774611,0.00483407,14241
0.06976744186046512,0.4702732,2999903,13488.104383468628,0.004380702,0.0,0.0028011163,28.813953488372093,0.117276955602537,0.9302325581395349,16.358629233838574,0.004380702,14284
