Tmc,entropy,TimestepsSoFar,MtR,surrgain,meankl,Tmt,Ptt,optimgain,TimeElapsed,entloss,Tbt,AttNC,MpbtA,AttC,MpbtN,EpisodesSoFar,TtR
48.47692307692308,0.16147575,3459924,-10.135018535319334,0.001436596,0.008830091,56.707692307692305,55.29645168554224,0.001436596,57142.53021335602,0.0,232274.70769230768,6.6923076923076925,74.56704011170632,3.3076923076923075,25.432959888293688,23665,-144.0
47.43076923076923,0.21574496,3469958,-10.954959897071204,0.0017566346,0.010649499,57.738461538461536,56.27964934581187,0.0017566346,57310.41196489334,0.0,236496.73846153845,8.723076923076922,73.50100501279942,1.2769230769230768,26.49899498720059,23730,-152.15384615384616
48.01587301587302,0.16192067,3479860,-10.429148595257852,0.0012942634,0.008957495,57.12698412698413,55.71503914683072,0.0012942634,57468.99821519852,0.0,233992.12698412698,5.650793650793651,73.56705835102525,4.349206349206349,26.432941648974726,23793,-150.95238095238096
48.753846153846155,0.17528094,3489957,-10.21096921756777,0.00082131044,0.008999063,56.46153846153846,55.05091846986327,0.00082131044,57632.888821840286,0.0,231266.46153846153,6.984615384615385,74.3818504280948,3.0153846153846153,25.61814957190523,23858,-144.15384615384616
47.92063492063492,0.17320031,3499907,-10.243573184946444,0.001382373,0.00877506,57.26984126984127,55.8257318485112,0.001382373,57796.55031514168,0.0,234577.26984126985,7.0476190476190474,74.58797672438712,2.9523809523809526,25.412023275612878,23921,-145.55555555555554
47.890625,0.18001316,3509852,-10.471220024630286,0.0012857959,0.0099200215,57.21875,55.817022478964866,0.0012857959,57962.73517990112,0.0,234368.0,7.1875,74.1498314056598,2.8125,25.85016859434022,23985,-147.65625
48.776119402985074,0.17374662,3519863,-10.920647456069409,0.0009529683,0.009161416,56.37313432835821,54.99904047806463,0.0009529683,58130.27856492996,0.0,230904.35820895524,8.17910447761194,73.25377911453052,1.8208955223880596,26.746220885469484,24052,-150.44776119402985
49.13636363636363,0.16735074,3529949,-9.788600764405768,0.0012708658,0.008387337,56.09090909090909,54.69512158114391,0.0012708658,58296.210037469864,0.0,229748.36363636365,8.393939393939394,75.82483770154258,1.606060606060606,24.175162298457415,24118,-135.15151515151516
48.359375,0.19007924,3539881,-10.24622923567391,0.0015621033,0.009728456,56.859375,55.42316199504066,0.0015621033,58460.440302848816,0.0,232896.0,8.40625,75.64496907409672,1.59375,24.355030925903286,24182,-138.75
48.54545454545455,0.18605639,3549993,-10.14069790109468,0.0015457873,0.009408314,56.59090909090909,55.212074405518884,0.0015457873,58625.11749839783,0.0,231796.36363636365,6.712121212121212,74.90572843900014,3.287878787878788,25.094271560999857,24248,-141.66666666666666
49.63076923076923,0.21277957,3559944,-10.07099089222233,0.0023781115,0.011666592,55.61538461538461,54.236357517403185,0.0023781115,58785.39282608032,0.0,227800.61538461538,6.153846153846154,74.95884384266307,3.8461538461538463,25.04115615733697,24313,-138.46153846153845
44.81666666666667,0.14386752,3569841,-12.04565260094995,0.00094434357,0.008987327,60.2,58.67544798081622,0.00094434357,58934.7097928524,0.0,246579.2,2.05,68.29686386010003,7.95,31.703136139899975,24373,-190.66666666666666
48.125,0.18393123,3579906,-9.971976971079421,0.0012738208,0.01166976,56.96875,55.589153631279565,0.0012738208,59087.98182988167,0.0,233344.0,3.96875,75.48134114860186,6.03125,24.518658851398165,24437,-139.84375
48.4,0.17151685,3589939,-10.519124706748933,0.0012325024,0.009299058,56.76923076923077,55.363527071897565,0.0012325024,59244.157413721085,0.0,232526.76923076922,2.4,72.33967391394063,7.6,27.66032608605939,24502,-156.6153846153846
46.08064516129032,0.13165806,3599916,-11.506485177628555,0.0012766626,0.0088671725,58.983870967741936,57.504657821167484,0.0012766626,59393.237876176834,0.0,241597.93548387097,2.1129032258064515,70.30906433938206,7.887096774193548,29.69093566061793,24564,-175.16129032258064
49.046875,0.14702663,3609900,-10.481213464102236,0.0014327698,0.008862627,56.0625,54.72369917720502,0.0014327698,59548.89704680443,0.0,229632.0,4.171875,73.33680784162705,5.828125,26.663192158372926,24628,-149.21875
48.89230769230769,0.19610293,3619906,-10.867944669960833,0.0017286364,0.009056062,56.323076923076925,54.91946953151369,0.0017286364,59714.944905519485,0.0,230699.3230769231,7.292307692307692,73.63775197387106,2.707692307692308,26.362248026128906,24693,-148.0
48.734375,0.1535447,3629837,-10.54838495009021,0.0008400046,0.008507702,56.453125,55.0574908026112,0.0008400046,59872.42909479141,0.0,231232.0,4.46875,73.35922131729006,5.53125,26.640778682709914,24757,-149.84375
50.12307692307692,0.20748886,3639984,-9.582290932320205,0.00164317,0.011258102,55.2,53.80525071717181,0.00164317,60033.28600692749,0.0,226099.2,6.7846153846153845,75.84485166210249,3.2153846153846155,24.155148337897515,24822,-132.92307692307693
49.578125,0.19480492,3649871,-9.792086351086027,0.001964454,0.009957643,55.6875,54.294389878105385,0.001964454,60191.19098448753,0.0,228096.0,5.1875,75.09865451162672,4.8125,24.90134548837329,24886,-138.90625
47.6875,0.14688706,3659922,-11.631178746226754,0.0014470575,0.008634437,57.4375,56.013873112534036,0.0014470575,60344.42649459839,0.0,235264.0,3.375,70.29365826940604,6.625,29.706341730593916,24950,-171.875
48.46153846153846,0.17504805,3669874,-10.422492665410411,0.0013613999,0.008483693,56.753846153846155,55.325659511895154,0.0013613999,60505.69842553139,0.0,232463.75384615385,6.861538461538461,74.40503609322579,3.1384615384615384,25.594963906774264,25015,-144.6153846153846
50.015151515151516,0.20394754,3679997,-10.6113799160875,0.0016677899,0.010519606,55.24242424242424,53.87825314587817,0.0016677899,60672.54926967621,0.0,226272.9696969697,7.2272727272727275,73.49153287790979,2.772727272727273,26.508467122090217,25081,-145.9090909090909
48.921875,0.19549015,3689950,-10.007431138396294,0.0017244009,0.009879279,56.234375,54.863617996662036,0.0017244009,60832.505193948746,0.0,230336.0,5.90625,75.33197341575793,4.09375,24.668026584242075,25145,-139.0625
48.78125,0.19108248,3699901,-9.417689668351935,0.001540769,0.009776256,56.34375,54.98341790571058,0.001540769,60988.02228283882,0.0,230784.0,4.71875,76.46982385917687,5.28125,23.530176140823112,25209,-132.5
45.03225806451613,0.13836536,3709907,-12.436516616792751,0.0007840704,0.008396857,60.03225806451613,58.49181772580015,0.0007840704,61133.53813004494,0.0,245892.12903225806,1.8387096774193548,68.00395023633055,8.161290322580646,31.99604976366944,25271,-193.5483870967742
