surrgain,TimestepsSoFar,entropy,TimeElapsed,AttNC,optimgain,MtR,TtR,entloss,EpisodesSoFar,AttC,meankl,Fce
0.00037897288,3729966,1.7945857,49312.87823557854,1.6136363636363635,0.00037897288,16.859308171492984,89.86363636363636,0.0,17200,1.3863636363636365,0.0013503942,0.11981818181818178
0.00042424074,3739776,1.8156734,49431.32234287262,1.5319148936170213,0.00042424074,15.396752158260247,81.25531914893617,0.0,17247,1.4680851063829787,0.0018471591,0.15698196455643265
0.0006250458,3749869,1.8247364,49543.14331436157,1.489795918367347,0.0006250458,14.699817965891313,77.20408163265306,0.0,17296,1.510204081632653,0.0015255322,0.13831238578821825
0.00036424305,3759907,1.8467085,49669.617757081985,1.434782608695652,0.00036424305,16.484798479068882,86.02173913043478,0.0,17342,1.565217391304348,0.001119276,0.14285111989459812
0.000204157,3769961,1.8528106,49794.88889336586,1.4565217391304348,0.000204157,16.90498862194738,89.21739130434783,0.0,17388,1.5434782608695652,0.010466843,0.14770317097090546
0.00041048127,3779824,1.8508008,49913.56782913208,1.2352941176470589,0.00041048127,16.245036889634505,84.11764705882354,0.0,17439,1.7647058823529411,0.0022222956,0.1615294503880085
0.0005199112,3789794,1.834567,50038.49311423302,1.1176470588235294,0.0005199112,16.23536487482402,85.0,0.0,17490,1.8823529411764706,0.007035254,0.1448427613335899
0.00046762417,3799906,1.808444,50153.540187597275,1.34,0.00046762417,16.64177061929945,86.1,0.0,17540,1.66,0.005659183,0.12932440845704002
0.00017343648,3809959,1.8011492,50275.39349746704,1.5555555555555556,0.00017343648,16.7923081256131,89.53333333333333,0.0,17585,1.4444444444444444,0.0024890415,0.1505263427930095
0.00017919287,3819964,1.8004156,50393.41315102577,1.6511627906976745,0.00017919287,17.286620496582305,89.93023255813954,0.0,17628,1.3488372093023255,0.0036735788,0.1507286821705426
0.00044363836,3829996,1.7852855,50522.53011345863,1.6590909090909092,0.00044363836,16.504569766490153,86.45454545454545,0.0,17672,1.3409090909090908,0.005194103,0.1395664335664336
0.00040338899,3839823,1.7664791,50636.14244890213,1.5,0.00040338899,15.932633983761926,82.82608695652173,0.0,17718,1.5,0.003100548,0.15674007925433942
0.0007596497,3849968,1.773313,50756.64637374878,1.7446808510638299,0.0007596497,15.696463740726882,81.8936170212766,0.0,17765,1.2553191489361701,0.0028462785,0.12298483015360119
0.0004910461,3859940,1.7627867,50887.941496133804,1.346938775510204,0.0004910461,15.981573067182506,82.71428571428571,0.0,17814,1.653061224489796,0.0015104192,0.1198080025056769
0.000249587,3869808,1.7515796,50994.189230918884,1.489795918367347,0.000249587,15.496634211579478,81.0,0.0,17863,1.510204081632653,0.0049491953,0.14492717260064203
0.00026436895,3879867,1.7436619,51126.74889969826,1.4883720930232558,0.00026436895,17.78993795906947,92.02325581395348,0.0,17906,1.5116279069767442,0.0050509535,0.13144186046511627
0.00065011746,3889877,1.760864,51240.793382167816,1.6363636363636365,0.00065011746,16.625600933470157,88.70454545454545,0.0,17950,1.3636363636363635,0.0045687635,0.1182727272727273
0.00029680022,3899959,1.7267214,51372.81239390373,1.5208333333333333,0.00029680022,15.375478156416456,80.0,0.0,17998,1.4791666666666667,0.007885667,0.12376162587962246
0.0009841184,3909940,1.7291253,51515.34741306305,1.1607142857142858,0.0009841184,13.597933892304953,70.17857142857143,0.0,18054,1.8392857142857142,0.005565361,0.11953775788184803
0.00031895345,3919989,1.7120653,51641.09375882149,1.3333333333333333,0.00031895345,14.064879273837139,71.83333333333333,0.0,18108,1.6666666666666667,0.0012344844,0.13292584633628732
0.00038608705,3929911,1.665893,51755.7611014843,1.3617021276595744,0.00038608705,15.701561327184427,82.46808510638297,0.0,18155,1.6382978723404256,0.003894909,0.12813280751455786
0.0002637581,3939960,1.6652856,51887.22565245628,1.5319148936170213,0.0002637581,14.69443570565033,76.72340425531915,0.0,18202,1.4680851063829787,0.0021989916,0.1099069441197101
0.00033978067,3949789,1.6637789,52016.83535909653,1.6428571428571428,0.00033978067,18.327592093393825,95.35714285714286,0.0,18244,1.3571428571428572,0.0017208551,0.1303956043956044
0.0007068558,3959831,1.6671448,52130.724371910095,1.608695652173913,0.0007068558,15.674258000001883,83.02173913043478,0.0,18290,1.391304347826087,0.0035909617,0.11808695652173916
0.00017391866,3969920,1.6711818,52254.259061813354,1.4081632653061225,0.00017391866,15.849370675760238,82.53061224489795,0.0,18339,1.5918367346938775,0.0030903935,0.12117205243735855
0.0005386653,3979931,1.6525804,52374.468935489655,1.4444444444444444,0.0005386653,16.56343384360899,86.73333333333333,0.0,18384,1.5555555555555556,0.0054190164,0.11564444444444445
0.00045230714,3989761,1.6267014,52486.28437900543,1.7555555555555555,0.00045230714,14.699668358027502,77.2,0.0,18429,1.2444444444444445,0.0045574787,0.10657952069716778
0.00052453,3999877,1.6133698,52615.513302087784,1.490566037735849,0.00052453,14.398325661643298,74.88679245283019,0.0,18482,1.509433962264151,0.0017063841,0.11478205104882706
0.000807133,4010000,1.6078196,52745.53980612755,1.7555555555555555,0.000807133,16.423457895043573,86.53333333333333,0.0,18527,1.2444444444444445,0.0062553002,0.12139027392360724
0.0010982135,4019751,1.5838709,52866.40147423744,1.725,0.0010982135,17.464377716887448,91.725,0.0,18567,1.275,0.0019367655,0.1223
0.0007666967,4029958,1.579842,52999.52911520004,1.510204081632653,0.0007666967,15.24849271346544,78.9795918367347,0.0,18616,1.489795918367347,0.0027442041,0.11571973046550696
0.0007581075,4039885,1.5634658,53118.62480330467,1.5454545454545454,0.0007581075,17.74324553531426,92.72727272727273,0.0,18660,1.4545454545454546,0.0055975337,0.15237930886012727
0.0006509023,4049910,1.5522562,53236.18571281433,1.7446808510638299,0.0006509023,14.218728109687964,76.46808510638297,0.0,18707,1.2553191489361701,0.0014379008,0.10195744680851065
0.00020410995,4059873,1.5592386,53352.27891802788,1.5833333333333333,0.00020410995,14.622474285582038,75.4375,0.0,18755,1.4166666666666667,0.0041877,0.11762773418301282
0.0006559931,4069884,1.5601463,53469.85152578354,1.6046511627906976,0.0006559931,17.320079048182304,90.4186046511628,0.0,18798,1.3953488372093024,0.0063889064,0.12055813953488373
0.00045279847,4079772,1.531625,53594.37961316109,1.3265306122448979,0.00045279847,14.830059725218652,76.95918367346938,0.0,18847,1.6734693877551021,0.001966513,0.1150839496250951
