TimestepsSoFar,entloss,optimgain,AttC,MtR,entropy,Fce,TtR,EpisodesSoFar,meankl,TimeElapsed,surrgain,AttNC
9967,0.0,0.0005665784,0.7516339869281046,5.3973639191512675,1.388838,0.09329578650970792,9.267973856209151,153,0.0013475018,47.57114815711975,0.0005665784,0.24836601307189543
19970,0.0,0.001024994,0.6454545454545455,7.699723339918335,1.38562,0.09468792950698235,13.063636363636364,263,0.0032747833,140.26959681510925,0.001024994,0.35454545454545455
29916,0.0,0.0015605987,0.5806451612903226,8.677888647765895,1.3685311,0.07850833037929811,15.129032258064516,356,0.0047577126,214.16382145881653,0.0015605987,0.41935483870967744
39854,0.0,0.0015718231,0.5301204819277109,9.718829652036922,1.3453509,0.0895163933906731,16.63855421686747,439,0.0020366337,290.27064633369446,0.0015718231,0.46987951807228917
49766,0.0,0.0014262802,0.4935064935064935,10.444950164022597,1.309386,0.11274494625143974,18.181818181818183,516,0.0024470463,379.89780163764954,0.0014262802,0.5064935064935064
59795,0.0,0.00072181853,0.2727272727272727,14.124225640235942,1.3113258,0.12596709956709956,24.836363636363636,571,0.000884676,430.903760433197,0.00072181853,0.7272727272727273
69891,0.0,0.001530759,0.4594594594594595,11.063462394683002,1.290405,0.08498280098280098,19.06756756756757,645,0.005324303,521.7024705410004,0.001530759,0.5405405405405406
79766,0.0,0.002632071,0.3709677419354839,13.032451735962715,1.2535597,0.12145919164422816,22.387096774193548,707,0.0059301727,597.6932311058044,0.002632071,0.6290322580645161
89836,0.0,0.0012222687,0.375,12.145493550569402,1.1893908,0.1179728835978836,21.21875,771,0.0058410973,683.9992842674255,0.0012222687,0.625
99921,0.0,0.002277974,0.36507936507936506,12.030307066773807,1.1581024,0.10302242378432858,20.746031746031747,834,0.0072006285,757.9991898536682,0.002277974,0.6349206349206349
109763,0.0,0.0012559162,0.36065573770491804,13.66448065904238,1.132696,0.12538812007664463,23.639344262295083,895,0.0038016308,824.2887823581696,0.0012559162,0.639344262295082
119855,0.0,0.0015063736,0.2,16.28263687392899,1.1373333,0.14760634920634916,27.88,945,0.0018968115,921.2534112930298,0.0015063736,0.8
129911,0.0,0.0014118255,0.25925925925925924,14.209250442517904,1.1396049,0.10729453262786597,25.185185185185187,999,0.0034488437,993.2328445911407,0.0014118255,0.7407407407407407
139985,0.0,0.0013979237,0.3333333333333333,13.626666639578461,1.1314042,0.14341309333940913,23.716666666666665,1059,0.0059463037,1067.6519644260406,0.0013979237,0.6666666666666666
149999,0.0,0.00086723635,0.16666666666666666,16.32731111135666,1.1338059,0.1379761904761905,28.583333333333332,1107,0.0010380205,1131.4703328609467,0.00086723635,0.8333333333333334
159856,0.0,0.0012597751,0.25,14.768763626423748,1.11615,0.12713402990452172,25.75,1159,0.0025218108,1214.0446908473969,0.0012597751,0.75
169949,0.0,0.0013872558,0.3220338983050847,13.176926544030815,1.0684816,0.09881194511702987,23.271186440677965,1218,0.0054427315,1306.9423987865448,0.0013872558,0.6779661016949152
179978,0.0,0.0020223504,0.21568627450980393,14.266861407876725,1.029457,0.1044183006535948,25.49019607843137,1269,0.00647101,1378.3176093101501,0.0020223504,0.7843137254901961
189996,0.0,0.0014982696,0.25925925925925924,13.613127013884174,1.0212399,0.09555555555555556,23.88888888888889,1323,0.0018350421,1447.266751050949,0.0014982696,0.7407407407407407
199815,0.0,0.002550998,0.35,12.524293367858935,1.0348326,0.09475633528265108,21.783333333333335,1383,0.0066768723,1527.1241772174835,0.002550998,0.65
209843,0.0,0.0024536536,0.25925925925925924,14.664364211943617,1.0129591,0.10516402116402121,25.64814814814815,1437,0.005338524,1604.3975088596344,0.0024536536,0.7407407407407407
219914,0.0,0.0020608967,0.2727272727272727,14.483250099704478,1.0190614,0.10857498057498056,25.70909090909091,1492,0.0023563576,1691.188631772995,0.0020608967,0.7272727272727273
229927,0.0,0.0010126336,0.1111111111111111,17.537765357891555,0.9976794,0.128,30.91111111111111,1537,0.0023137443,1761.2065691947937,0.0010126336,0.8888888888888888
239756,0.0,0.0016905105,0.25,15.316704661848767,0.97333395,0.11041827050275765,26.71153846153846,1589,0.007825847,1825.336061000824,0.0016905105,0.75
249843,0.0,0.0020189483,0.2727272727272727,14.80667154438926,0.9751382,0.1122368666906216,25.581818181818182,1644,0.0052617975,1907.209950208664,0.0020189483,0.7272727272727273
259924,0.0,0.0020937081,0.3220338983050847,13.316352459578047,0.9274838,0.11342195635316271,23.152542372881356,1703,0.0042878957,1988.3625786304474,0.0020937081,0.6779661016949152
269994,0.0,0.0019058441,0.3103448275862069,14.977761492665344,0.8868179,0.13662954669851224,26.120689655172413,1761,0.004070737,2070.8444859981537,0.0019058441,0.6896551724137931
279848,0.0,0.0022683328,0.2909090909090909,14.333596308590309,0.88464504,0.10826252266252268,24.818181818181817,1816,0.0058513223,2138.5611624717712,0.0022683328,0.7090909090909091
289868,0.0,0.0025588544,0.25925925925925924,14.556256455335983,0.8897706,0.10111111111111111,25.27777777777778,1870,0.0071175047,2220.118191242218,0.0025588544,0.7407407407407407
299885,0.0,0.0018478055,0.1836734693877551,16.083593227791972,0.8796939,0.11346938775510207,28.367346938775512,1919,0.0039222357,2300.1022272109985,0.0018478055,0.8163265306122449
309976,0.0,0.001212993,0.24528301886792453,15.177207687597697,0.8676161,0.11047686475206034,26.39622641509434,1972,0.001979728,2396.5830602645874,0.001212993,0.7547169811320755
319884,0.0,0.002864643,0.417910447761194,12.361121346396969,0.8226913,0.11122762900978206,21.940298507462686,2039,0.008671349,2470.8372621536255,0.002864643,0.582089552238806
329783,0.0,0.0022910004,0.2777777777777778,14.973580990090866,0.8367384,0.11052674897119343,25.87037037037037,2093,0.0051960233,2545.387461900711,0.0022910004,0.7222222222222222
339811,0.0,0.0018199311,0.2857142857142857,14.439929992637275,0.79300123,0.10893197278911564,25.142857142857142,2149,0.0037508353,2633.705358028412,0.0018199311,0.7142857142857143
349870,0.0,0.0031742768,0.1111111111111111,17.972116642599588,0.74734455,0.131415873015873,31.444444444444443,2194,0.0058595203,2703.813948392868,0.0031742768,0.8888888888888888
359896,0.0,0.0012336426,0.2,16.002412704940514,0.73089594,0.13589333333333328,27.74,2244,0.0025145095,2791.685426712036,0.0012336426,0.8
369930,0.0,0.0037750748,0.2857142857142857,14.109667915422435,0.6986458,0.10026984126984129,24.589285714285715,2300,0.007350215,2868.1873149871826,0.0037750748,0.7142857142857143
379972,0.0,0.0015059856,0.2,14.99991325270227,0.6678794,0.10910222222222223,26.2,2350,0.0031606397,2948.126101732254,0.0015059856,0.8
389992,0.0,0.0014875458,0.13043478260869565,17.234539739258572,0.6850609,0.14788628762541806,30.369565217391305,2396,0.0025042305,3031.9433991909027,0.0014875458,0.8695652173913043
399773,0.0,0.002505603,0.15217391304347827,16.769673197741543,0.6944603,0.14163285024154593,29.41304347826087,2442,0.0032113327,3106.8957035541534,0.002505603,0.8478260869565217
409804,0.0,0.0021495784,0.21568627450980393,15.121497605363473,0.6676564,0.14120634920634917,26.50980392156863,2493,0.0037005665,3187.557914495468,0.0021495784,0.7843137254901961
419810,0.0,0.0031048034,0.13043478260869565,16.064356911932926,0.63407356,0.11234782608695651,28.08695652173913,2539,0.0044039004,3275.3470928668976,0.0031048034,0.8695652173913043
429811,0.0,0.0028217712,0.024390243902439025,19.508897438156357,0.63763195,0.16068292682926832,34.09756097560975,2580,0.0043872837,3341.1459081172943,0.0028217712,0.975609756097561
439818,0.0,0.0023698884,0.06976744186046512,16.860787878634447,0.60505134,0.11906976744186049,29.767441860465116,2623,0.0055965385,3432.130364894867,0.0023698884,0.9302325581395349
449827,0.0,0.0025524688,0.14893617021276595,16.376602745936385,0.58437294,0.11293617021276599,28.23404255319149,2670,0.0045104646,3516.033754348755,0.0025524688,0.851063829787234
459843,0.0,0.0023383026,0.23076923076923078,13.901852178929849,0.50633824,0.09638461538461542,24.096153846153847,2722,0.007255417,3593.163167476654,0.0023383026,0.7692307692307693
469848,0.0,0.0023162477,0.06976744186046512,16.99569501712325,0.5060448,0.12644961240310082,29.697674418604652,2765,0.0028619007,3677.9951853752136,0.0023162477,0.9302325581395349
479851,0.0,0.0019233704,0.06976744186046512,17.3819394854056,0.491656,0.12241860465116283,30.6046511627907,2808,0.002899431,3750.777626991272,0.0019233704,0.9302325581395349
489863,0.0,0.0023635582,0.13043478260869565,16.13310874791745,0.4609349,0.11165217391304348,27.91304347826087,2854,0.002747475,3842.690292596817,0.0023635582,0.8695652173913043
499871,0.0,0.0020329636,0.09090909090909091,17.310487582090477,0.41167003,0.12118181818181818,30.295454545454547,2898,0.0050952393,3919.9995107650757,0.0020329636,0.9090909090909091
509873,0.0,0.0033883133,0.047619047619047616,17.834820605824948,0.4514335,0.1255238095238095,31.38095238095238,2940,0.005979974,3994.6411592960358,0.0033883133,0.9523809523809523
519900,0.0,0.003361386,0.14893617021276595,16.73494945570092,0.42303374,0.11908346972176757,29.382978723404257,2987,0.004173307,4083.5293316841125,0.003361386,0.851063829787234
529903,0.0,0.0029195098,0.06976744186046512,17.252758511925908,0.38599014,0.12260465116279072,30.651162790697676,3030,0.007675171,4159.381214857101,0.0029195098,0.9302325581395349
539904,0.0,0.0036777966,0.024390243902439025,19.08851015011695,0.39909366,0.13326829268292684,33.31707317073171,3071,0.003766575,4238.044247865677,0.0036777966,0.975609756097561
549924,0.0,0.0029471535,0.09090909090909091,16.061724353078066,0.3904572,0.11903030303030304,27.931818181818183,3115,0.007333142,4316.3633732795715,0.0029471535,0.9090909090909091
559927,0.0,0.0018701691,0.06976744186046512,16.065825238133854,0.3659678,0.1138604651162791,28.46511627906977,3158,0.0069761705,4387.091881275177,0.0018701691,0.9302325581395349
569928,0.0,0.0022164125,0.024390243902439025,17.427574984224496,0.39726183,0.1227317073170732,30.682926829268293,3199,0.0029093118,4471.7958199977875,0.0022164125,0.975609756097561
579933,0.0,0.0019324851,0.1111111111111111,14.892844378212933,0.3661948,0.10524444444444447,26.31111111111111,3244,0.004456289,4551.364762306213,0.0019324851,0.8888888888888888
589935,0.0,0.0019461792,0.047619047619047616,16.740631925534522,0.35932896,0.11761904761904762,29.404761904761905,3286,0.0048898696,4628.6496324539185,0.0019461792,0.9523809523809523
599938,0.0,0.0019992432,0.06976744186046512,15.208648599070514,0.35791036,0.10604651162790701,26.511627906976745,3329,0.0040369355,4714.735580921173,0.0019992432,0.9302325581395349
609946,0.0,0.003053235,0.13043478260869565,15.03088718160587,0.41264325,0.1059130434782609,26.47826086956522,3375,0.0082394285,4782.791853427887,0.003053235,0.8695652173913043
619949,0.0,0.0018729859,0.06976744186046512,15.743369869601873,0.36531153,0.11069767441860469,27.674418604651162,3418,0.0037496616,4869.8287851810455,0.0018729859,0.9302325581395349
