Tbt,entropy,AttNC,surrgain,TimeElapsed,TimestepsSoFar,Tmt,TtR,EpisodesSoFar,MpbtN,entloss,meankl,AttC,MpbtA,optimgain,Tmc,MtR,Ptt
328617.78434268833,0.6840542,0.0,0.008471934,1578.4147238731384,9997,80.22895125553914,-228.19054652880354,677,94.82873922470054,0.0,0.008899701,3.0,5.171260775299314,0.008471934,23.76957163958641,-71.04127453802667,78.0778950913411
330102.28965517244,0.65462667,0.0,0.0072873905,2909.8416860103607,19987,80.59137931034483,-226.56206896551726,1257,93.72965448144495,0.0,0.010827334,3.0,6.27034551855508,0.0072873905,23.405172413793103,-69.70332683920398,78.41708546992136
331508.506122449,0.6158482,0.0,0.007474772,4040.926859140396,29997,80.93469387755103,-224.08163265306123,1747,92.31154824951034,0.0,0.008356495,3.0,7.688451750489614,0.007474772,23.06326530612245,-67.8933264211987,78.73501330661672
332815.4371859296,0.56434244,0.0,0.009423295,4976.306962490082,39985,81.2537688442211,-222.63316582914572,2145,91.36786994525724,0.0,0.0087942155,3.0,8.632130054742758,0.009423295,22.733668341708544,-66.0072679427157,79.04044725524965
334724.5863192182,0.51290226,0.0,0.010650567,5697.968836784363,49987,81.71986970684038,-220.24104234527687,2452,89.86662185812709,0.0,0.008619928,3.0,10.13337814187302,0.010650567,22.26058631921824,-63.226917300805084,79.47934410451428
334133.1320754717,0.45786735,0.0,0.009887361,6183.351766586304,59994,81.5754716981132,-213.86320754716982,2664,87.40387383511909,0.0,0.008953869,3.0,12.59612616488088,0.009887361,22.419811320754718,-57.75844230896833,79.33541661546698
331903.00775193796,0.43981546,0.007751937984496124,0.006567392,6482.939708709717,69941,81.03100775193798,-202.67441860465115,2793,83.40128075314014,0.0,0.0049155806,2.992248062015504,16.59871924685983,0.006567392,22.96124031007752,-49.53667373107297,78.83177734731285
328750.54545454547,0.3822009,0.09090909090909091,0.0071473503,6694.456472158432,79867,80.26136363636364,-190.29545454545453,2881,78.95564148079049,0.0,0.006261069,2.909090909090909,21.044358519209517,0.0071473503,23.738636363636363,-42.81119921373593,78.1087994467157
327452.44444444444,0.36410004,0.5,0.0045364713,6835.943862438202,89975,79.94444444444444,-174.94444444444446,2935,72.87299380938086,0.0,0.0038235227,2.5,27.127006190619106,0.0045364713,24.01851851851852,-34.89396996522558,77.84138723251891
325677.5111111111,0.34998754,1.0,0.0048275446,6959.093487262726,99969,79.5111111111111,-165.6,2980,69.40123794744993,0.0,0.0037455943,2.0,30.598762052550047,0.0048275446,24.488888888888887,-32.13678231082757,77.41191298566056
324483.1219512195,0.32159,1.6097560975609757,0.0053013205,7074.710376739502,109944,79.21951219512195,-166.97560975609755,3021,70.26014287240352,0.0,0.0033878044,1.3902439024390243,29.739857127596444,0.0053013205,24.78048780487805,-32.40328123107165,77.1402833967012
326727.4418604651,0.35028815,1.069767441860465,0.005298002,7195.334250450134,119787,79.76744186046511,-162.8372093023256,3064,68.00458175739459,0.0,0.0031403508,1.930232558139535,31.99541824260543,0.005298002,24.232558139534884,-32.3590589115626,77.65273826463604
324441.3023255814,0.34772402,1.302325581395349,0.0054958407,7312.5544373989105,129816,79.20930232558139,-161.7906976744186,3107,68.01364180595591,0.0,0.002742435,1.697674418604651,31.986358194044076,0.0054958407,24.790697674418606,-31.834089807422643,77.13171753541529
320791.2727272727,0.37061957,1.1136363636363635,0.0050625405,7432.111381292343,139924,78.31818181818181,-159.0681818181818,3151,67.60494889445462,0.0,0.0031035156,1.8863636363636365,32.39505110554538,0.0050625405,25.681818181818183,-31.26426626865111,76.29907845538047
321774.1395348837,0.3557573,0.9534883720930233,0.0046145506,7552.072976112366,149920,78.55813953488372,-158.1627906976744,3194,67.03483987983782,0.0,0.0029361665,2.046511627906977,32.96516012016218,0.0046145506,25.46511627906977,-30.280505725968418,76.50794056660257
324060.27906976745,0.35363623,1.186046511627907,0.0035029359,7668.148240566254,159855,79.11627906976744,-158.2325581395349,3237,66.57172647326034,0.0,0.002076388,1.813953488372093,33.428273526739645,0.0035029359,24.88372093023256,-30.984932673473992,77.04439318746103
