AttC,TimeElapsed,Ptt,entloss,Tmt,MpbtN,meankl,AttNC,EpisodesSoFar,TimestepsSoFar,Tbt,MpbtA,MtR,surrgain,optimgain,entropy,TtR,Tmc
3.0,1595.115023136139,78.08373472618224,0.0,80.23190546528804,94.69356955244045,0.008830801,0.0,677,9997,328629.8847858198,5.306430447559506,-70.94125929308423,0.009088411,0.009088411,0.68438554,-227.86706056129987,23.76218611521418
3.0,3021.268939256668,78.4343895776792,0.0,80.60636515912898,93.96679744170473,0.008916472,0.0,1274,19994,330163.6716917923,6.033202558295232,-70.05918695342716,0.0057865847,0.0057865847,0.6590363,-227.17587939698493,23.385259631490786
3.0,4257.930615186691,78.66369942721337,0.0,80.85185185185185,92.83841906277155,0.01034666,0.0,1787,29997,331169.18518518517,7.161580937228447,-68.5156331904678,0.009001049,0.009001049,0.61299336,-225.12865497076024,23.13840155945419
3.0,5182.3183398246765,79.07687678911756,0.0,81.29455445544555,91.71053220763943,0.009337738,0.0,2191,39996,332982.49504950497,8.28946779236055,-66.42519540607009,0.01055061,0.01055061,0.5559375,-223.61138613861385,22.695544554455445
3.0,5844.539454460144,79.23130876779418,0.0,81.45357142857142,89.72675708079389,0.010430175,0.0,2471,49981,333633.82857142854,10.273242919206158,-62.22213405432346,0.013188865,0.013188865,0.48851874,-219.17142857142858,22.52857142857143
3.0,6224.428779363632,78.81829780146349,0.0,81.01935483870967,85.57147181761091,0.009073443,0.0,2626,59956,331855.2774193548,14.42852818238907,-52.98150354178654,0.010043591,0.010043591,0.42861107,-208.00645161290322,22.974193548387095
2.9634146341463414,6443.754408597946,78.97615742803703,0.0,81.17073170731707,78.13008676373786,0.008258318,0.036585365853658534,2708,69919,332475.31707317074,21.869913236262143,-41.6605886200077,0.0073021646,0.0073021646,0.37158284,-190.35365853658536,22.804878048780488
2.4791666666666665,6594.167032957077,76.682219206743,0.0,78.72916666666667,68.72427673251879,0.008882486,0.5208333333333334,2756,79795,322474.6666666667,31.275723267481222,-32.20480473001236,0.0035791234,0.0035791234,0.28274778,-162.5,25.270833333333332
0.8048780487804879,6729.43421626091,77.8460792654384,0.0,79.97560975609755,70.08198511128893,0.00247291,2.1951219512195124,2797,89799,327580.0975609756,29.918014888711074,-33.00540742062296,0.0030831655,0.0030831655,0.25260434,-168.3658536585366,24.024390243902438
1.5714285714285714,6873.101977825165,77.15779197168813,0.0,79.23809523809524,69.5179908651746,0.0043260306,1.4285714285714286,2839,99737,324559.2380952381,30.482009134825407,-32.687570230666566,0.0032452554,0.0032452554,0.27146098,-165.42857142857142,24.761904761904763
1.146341463414634,7009.979625225067,76.706305766645,0.0,78.7560975609756,66.86536500223815,0.0033104732,1.853658536585366,2880,109799,322584.9756097561,33.134634997761864,-31.469896021921997,0.0036418706,0.0036418706,0.30362827,-158.1219512195122,25.24390243902439
1.619047619047619,7145.693948507309,76.40413120750006,0.0,78.42857142857143,64.08311554580392,0.0044734497,1.380952380952381,2922,119941,321243.4285714286,35.9168844541961,-29.88240524046359,0.003316328,0.003316328,0.33848807,-151.07142857142858,25.571428571428573
2.1914893617021276,7292.167899608612,76.04333529736567,0.0,78.04255319148936,67.04879759864427,0.006957376,0.8085106382978723,2969,129817,319662.2978723404,32.95120240135574,-31.421392180565054,0.002682093,0.002682093,0.28478235,-157.14893617021278,25.95744680851064
1.4634146341463414,7425.365154504776,76.79965147468268,0.0,78.85365853658537,65.55193859435013,0.0033722424,1.5365853658536586,3010,139790,322984.5853658537,34.44806140564985,-30.313287033494035,0.0027960388,0.0027960388,0.3090242,-155.26829268292684,25.146341463414632
1.4186046511627908,7562.410680532455,77.3917456710823,0.0,79.48837209302326,65.84599652361176,0.005124316,1.5813953488372092,3053,149955,325584.37209302327,34.154003476388226,-31.084605745250286,0.004321047,0.004321047,0.33926523,-157.04651162790697,24.511627906976745
2.088888888888889,7701.02556848526,76.37693510016203,0.0,78.4,63.91592884425551,0.005994026,0.9111111111111111,3098,159993,321126.4,36.084071155744496,-29.641851774935994,0.0022989935,0.0022989935,0.3008793,-150.53333333333333,25.6
1.6666666666666667,7837.072838068008,75.91439189588563,0.0,77.9047619047619,64.1800659396841,0.002377604,1.3333333333333333,3140,169984,319097.90476190473,35.81993406031589,-29.643316089377727,0.0029373057,0.0029373057,0.3125759,-150.0,26.095238095238095
1.5,7978.493826150894,75.86978884788066,0.0,77.85714285714286,65.91032223502386,0.0048948196,1.5,3182,179886,318902.85714285716,34.08967776497612,-30.42642587515046,0.0033464683,0.0033464683,0.33739853,-154.07142857142858,26.142857142857142
2.260869565217391,8118.383990049362,76.59269946546969,0.0,78.6304347826087,65.47011076916989,0.0027962893,0.7391304347826086,3228,189803,322070.26086956525,34.52988923083009,-30.291761609169512,0.002784222,0.002784222,0.33415493,-154.5,25.369565217391305
2.2045454545454546,8258.648374795914,75.97222472408754,0.0,78.0,65.67400899109872,0.004758543,0.7954545454545454,3272,199780,319488.0,34.325991008901305,-30.15277493920714,0.0032637878,0.0032637878,0.36502486,-154.1590909090909,26.045454545454547
2.4166666666666665,8401.763620853424,76.10092455231994,0.0,78.10416666666667,66.51008690693502,0.0053968555,0.5833333333333334,3320,209827,319914.6666666667,33.48991309306499,-30.914611974739042,0.003881202,0.003881202,0.31062585,-155.9375,25.895833333333332
1.930232558139535,8536.003024101257,75.89537076158291,0.0,77.88372093023256,61.17432230647648,0.0032136543,1.069767441860465,3363,219835,319011.72093023255,38.825677693523495,-28.39904135132945,0.0032841451,0.0032841451,0.34241802,-143.1627906976744,26.11627906976744
