entloss,optimgain,AttNC,meankl,TtR,TimestepsSoFar,MtR,surrgain,AttC,EpisodesSoFar,Fce,entropy,TimeElapsed
0.0,0.00077368924,0.24342105263157895,0.005562224,9.585526315789474,9971,5.693305335470241,0.00077368924,0.756578947368421,152,0.08188302188133152,1.4167615,38.324225664138794
0.0,0.001513147,0.3577981651376147,0.007596266,13.825688073394495,19985,8.204633593940713,0.001513147,0.6422018348623854,261,0.09512200621098607,1.3899548,76.63883209228516
0.0,0.0012444957,0.4105263157894737,0.00530354,14.052631578947368,29899,7.990320851648112,0.0012444957,0.5894736842105263,356,0.12328888888888889,1.3667785,109.90173864364624
0.0,0.00088517915,0.5,0.0058567408,16.96153846153846,39836,9.959724683543103,0.00088517915,0.5,434,0.09731202610296814,1.3240957,145.29407358169556
0.0,0.0005526024,0.7272727272727273,0.00688656,22.89090909090909,49869,13.057387764848118,0.0005526024,0.2727272727272727,489,0.11162020202020204,1.391314,181.14772701263428
0.0,0.00051302224,0.6153846153846154,0.0025811645,21.323076923076922,59952,12.275650166781405,0.00051302224,0.38461538461538464,554,0.12632259766377416,1.3610884,217.14563059806824
0.0,0.0012813018,0.609375,0.0047096997,21.28125,69771,12.299641026088524,0.0012813018,0.390625,618,0.10406707875457874,1.3317918,254.5982792377472
0.0,0.0008626419,0.6666666666666666,0.008228125,21.166666666666668,79819,12.230732951383464,0.0008626419,0.3333333333333333,678,0.10358095238095234,1.3113871,289.7094235420227
0.0,0.0015503891,0.547945205479452,0.005422673,19.328767123287673,89998,11.098024262788353,0.0015503891,0.4520547945205479,751,0.09520148219341186,1.2550058,321.5893654823303
0.0,0.0003679246,0.639344262295082,0.0024320688,20.770491803278688,99782,12.045724461007769,0.0003679246,0.36065573770491804,812,0.10060529634300126,1.2374916,359.0299527645111
0.0,0.0016718346,0.5970149253731343,0.0072064055,18.62686567164179,109829,10.678960110952557,0.0016718346,0.40298507462686567,879,0.07580461329715062,1.1740721,395.55989170074463
0.0,0.00047203523,0.6666666666666666,0.004819209,20.95,119863,12.04349288795132,0.00047203523,0.3333333333333333,939,0.11699999999999999,1.1162288,434.12396597862244
0.0,0.00093348615,0.7272727272727273,0.0063817594,22.490909090909092,129886,12.94483218158013,0.00093348615,0.2727272727272727,994,0.10550303030303035,1.0705624,471.6160523891449
0.0,0.0012326874,0.7272727272727273,0.008968702,22.21818181818182,139921,12.739933488236073,0.0012326874,0.2727272727272727,1049,0.11208962350780528,1.0952145,504.4315073490143
0.0,0.0012279266,0.7222222222222222,0.0066578803,24.037037037037038,149778,13.709958639331667,0.0012279266,0.2777777777777778,1103,0.11009544590427832,1.0946883,538.9497146606445
0.0,0.0011080811,0.6779661016949152,0.007049984,21.627118644067796,159827,12.354446576344687,0.0011080811,0.3220338983050847,1162,0.08836689930209371,1.0162979,574.7772927284241
0.0,0.001209735,0.6557377049180327,0.009148425,20.950819672131146,169902,11.80094040794562,0.001209735,0.3442622950819672,1223,0.08603065039648303,0.9401606,611.8797011375427
0.0,0.0015508423,0.7843137254901961,0.007366704,23.392156862745097,179933,13.227741279818202,0.0015508423,0.21568627450980393,1274,0.09356862745098042,0.8734756,651.0962932109833
0.0,0.0008223488,0.8,0.008861126,23.4,189951,13.417368303219463,0.0008223488,0.2,1324,0.09360000000000003,0.8524155,687.0323927402496
0.0,0.0012024902,0.7547169811320755,0.007330841,23.69811320754717,199968,13.421163119594697,0.0012024902,0.24528301886792453,1377,0.10100628930817611,0.792885,721.1437520980835
0.0,0.00062941434,0.8,0.0036480569,25.66,209990,14.938709807911069,0.00062941434,0.2,1427,0.10437818181818184,0.8481739,756.3838429450989
0.0,0.0009449585,0.8863636363636364,0.0052114394,28.363636363636363,219757,16.37100199286143,0.0009449585,0.11363636363636363,1471,0.14297979797979796,0.90883577,790.4604015350342
0.0,0.000731875,0.7692307692307693,0.0057954676,26.46153846153846,229795,15.20089661511981,0.000731875,0.23076923076923078,1523,0.11066666666666668,0.8750625,825.8263275623322
0.0,0.0027638336,0.5970149253731343,0.005166593,20.55223880597015,239912,11.772092863358054,0.0027638336,0.40298507462686567,1590,0.09088848156876439,0.83200276,863.0179340839386
0.0,0.0018314652,0.8163265306122449,0.0046965242,28.93877551020408,249943,16.469506396620556,0.0018314652,0.1836734693877551,1639,0.11978349600709853,0.82772744,898.1676068305969
0.0,0.0006828629,0.7090909090909091,0.0023879234,23.78181818181818,259801,13.55413467405645,0.0006828629,0.2909090909090909,1694,0.1263722803227874,0.8374917,933.1674411296844
0.0,0.001997345,0.7407407407407407,0.0064721433,23.314814814814813,269879,13.191398314758127,0.001997345,0.25925925925925924,1748,0.10141287284144426,0.8438706,967.7586660385132
0.0,0.0023794582,0.6666666666666666,0.005942887,22.166666666666668,279929,12.683259519620387,0.0023794582,0.3333333333333333,1808,0.0909809523809524,0.7884752,1002.5105047225952
0.0,0.0007423599,0.7647058823529411,0.0023150216,24.647058823529413,289789,13.947769010305123,0.0007423599,0.23529411764705882,1859,0.10409604890108945,0.76299995,1040.0951099395752
0.0,0.0021588036,0.7843137254901961,0.0054280297,26.137254901960784,299894,14.807738816945815,0.0021588036,0.21568627450980393,1910,0.10894422583212818,0.7255571,1079.2697999477386
0.0,0.0015069855,0.6862745098039216,0.0036256046,27.50980392156863,309948,16.213476817901324,0.0015069855,0.3137254901960784,1961,0.12973753608671906,0.67725354,1113.604636669159
0.0,0.0016770829,0.75,0.0062855775,27.692307692307693,319963,15.804499741252387,0.0016770829,0.25,2013,0.14586188416024873,0.71859735,1148.7180111408234
